Sin Funcionalizar	Sin Funcionalizar
mV	uA
Primeros 45	Primeros 45
-100.1916	-0.07201432
-99.9502	-0.06610446
-99.46057	-0.05858362
-98.73521	-0.05044785
-97.73901	-0.0416319
-96.73745	-0.03825699
-95.73885	-0.03547391
-94.73768	-0.03275521
-93.74438	-0.02971572
-92.7688	-0.02793025
-91.76173	-0.02612732
-90.74464	-0.0249154
-89.75316	-0.02434223
-88.75093	-0.02238574
-87.7723	-0.02132358
-86.79027	-0.0186886
-85.77783	-0.0159991
-84.77267	-0.0141125
-83.76444	-0.01214094
-82.7626	-0.01241548
-81.76064	-0.01187959
-80.73323	-0.01132573
-79.72466	-0.01158655
-78.72282	-0.01037219
-77.71611	-0.009635841
-76.74753	-0.009485657
-75.75249	-0.00768338
-74.74199	-0.006133484
-73.75685	-0.004027834
-72.75051	-0.001612656
-71.75045	-7.05E-04
-70.75755	-0.001218585
-69.74223	-0.001658719
-68.73079	-0.00199182
-67.72577	-0.001481146
-66.72399	2.31E-04
-65.73082	9.53E-04
-64.74501	0.002060796
-63.74749	0.00336815
-62.76431	0.004222297
-61.74769	0.005146688
-60.73526	0.005444098
-59.7285	0.004764273
-58.69353	0.005179668
-57.71357	0.006096062
-56.70935	0.006773827
-55.71457	0.00900146
-54.70539	0.009765377
-53.69551	0.01042073
-52.68554	0.01128549
-51.67818	0.01186506
-50.70595	0.01241826
-49.71456	0.01294831
-48.71876	0.01421224
-47.73505	0.01474318
-46.74015	0.01601106
-45.74054	0.01670574
-44.74844	0.01642845
-43.74506	0.0167486
-42.72285	0.01695534
-41.71479	0.0175495
-40.709	0.01883239
-39.70528	0.01971921
-38.71077	0.02117715
-37.69677	0.02195872
-36.69958	0.02340266
-35.7011	0.02530458
-34.69904	0.02625933
-33.72564	0.02726165
-32.72936	0.02674404
-31.72355	0.02582838
-30.7289	0.02530576
-29.70837	0.02554226
-28.68855	0.02648574
-27.68301	0.02789451
-26.68238	0.02875348
-25.70094	0.02927436
-24.72135	0.02981621
-23.7269	0.03055556
-22.73937	0.03069454
-21.74997	0.03003046
-20.77439	0.0297699
-19.77983	0.02883502
-18.76674	0.03027153
-17.75984	0.03219242
-16.72913	0.0336769
-15.71402	0.03477583
-14.73541	0.03446437
-13.71896	0.03482448
-12.7233	0.03423577
-11.71881	0.03530732
-10.69212	0.03595456
-9.680587	0.03615267
-8.66465	0.0379495
-7.673043	0.03760856
-6.674139	0.03835382
-5.679358	0.03921048
-4.681534	0.03975052
-3.686918	0.03945979
-2.709519	0.03952453
-1.745214	0.03975064
-0.7664019	0.03999864
