Funcionalizado APTES 10mM	Funcionalizado APTES 10mM
mv	uA
Primeros 45	Primeros 45
-100.0165	-0.05813209
-99.79906	-0.05257394
-99.33611	-0.0453754
-98.61353	-0.0381477
-97.6376	-0.03053819
-96.63196	-0.02762919
-95.62833	-0.02599208
-94.63509	-0.02433904
-93.62724	-0.02243796
-92.65016	-0.02171542
-91.66478	-0.02047395
-90.66889	-0.01906832
-89.67053	-0.01830781
-88.66096	-0.0171734
-87.64471	-0.01650117
-86.64208	-0.01599171
-85.64104	-0.01441867
-84.62967	-0.01318428
-83.62607	-0.01216285
-82.62184	-0.01106618
-81.62238	-0.01110347
-80.60147	-0.01078155
-79.58852	-0.01040052
-78.60491	-0.009967349
-77.62216	-0.009062847
-76.65624	-0.008816194
-75.7019	-0.008193959
-74.69592	-0.007279885
-73.68474	-0.006481798
-72.69775	-0.004742663
-71.67351	-0.004020836
-70.68654	-0.004284336
-69.69026	-0.00415911
-68.68692	-0.004529746
-67.67403	-0.004160344
-66.65314	-0.003401738
-65.65601	-0.003034319
-64.64478	-0.002217177
-63.66573	-0.001588986
-62.66407	-4.76E-04
-61.65689	0.001017933
-60.65594	0.001457641
-59.64652	0.002052156
-58.63899	0.002460309
-57.62537	0.002316559
-56.61466	0.002789812
-55.63052	0.003193611
-54.63451	0.003551625
-53.65671	0.004176417
-52.6639	0.004945219
-51.65866	0.005746019
-50.6818	0.006579946
-49.67805	0.007212439
-48.67329	0.007728008
-47.67803	0.008349618
-46.67421	0.008441925
-45.68015	0.009216029
-44.6817	0.009607745
-43.67126	0.009977059
-42.67515	0.01071672
-41.68167	0.01109081
-40.68019	0.01198833
-39.6809	0.01228508
-38.67384	0.01297661
-37.66394	0.01292617
-36.67105	0.0130358
-35.69091	0.01380708
-34.68534	0.01492014
-33.68773	0.01611007
-32.69299	0.01647373
-31.67529	0.01725532
-30.67849	0.01706785
-29.65154	0.01760997
-28.64389	0.01811389
-27.63653	0.01766198
-26.62669	0.01809596
-25.63763	0.01828952
-24.64137	0.01900455
-23.63931	0.02011565
-22.63354	0.02085711
-21.65056	0.02216992
-20.65378	0.02273572
-19.64479	0.02337104
-18.66817	0.02364517
-17.64727	0.02355454
-16.64145	0.02458346
-15.64748	0.024978
-14.62026	0.02573628
-13.62841	0.02664921
-12.61982	0.02637887
-11.62006	0.02713972
-10.6154	0.02871817
-9.606189	0.02933387
-8.608865	0.03039455
-7.611091	0.03085101
-6.611191	0.03007403
-5.611323	0.03020859
-4.589005	0.03068352
-3.592695	0.03036022
-2.633475	0.03077461
-1.669636	0.03084976
