Funcionalizado DHDP 3mM	Funcionalizado DHDP 3mM
mV	uA
	
-100.0261	-0.2990175
-99.81271	-0.284367
-99.34088	-0.2657182
-98.63	-0.2447829
-97.65556	-0.2222175
-96.66463	-0.2123544
-95.67659	-0.2039313
-94.67088	-0.1961126
-93.66344	-0.1878905
-92.65047	-0.1824073
-91.66255	-0.177482
-90.6605	-0.1731448
-89.66933	-0.1694845
-88.66847	-0.1644821
-87.65091	-0.1602958
-86.66241	-0.1567552
-85.66832	-0.1528924
-84.66919	-0.1493592
-83.65724	-0.1448222
-82.64791	-0.140083
-81.66994	-0.1362807
-80.66528	-0.1322357
-79.67921	-0.1302416
-78.6843	-0.1279131
-77.67513	-0.1251008
-76.68383	-0.1228152
-75.69337	-0.1191414
-74.69818	-0.1157833
-73.70196	-0.1130112
-72.71111	-0.1100512
-71.71934	-0.1072479
-70.71816	-0.1048277
-69.69626	-0.1015579
-68.68089	-0.09898943
-67.65974	-0.09664613
-66.6433	-0.09467286
-65.65572	-0.09352954
-64.66545	-0.0911698
-63.68577	-0.08922157
-62.7049	-0.08606523
-61.69185	-0.08246494
-60.69506	-0.08064412
-59.67487	-0.07828338
-58.65459	-0.07670223
-57.65348	-0.07498091
-56.64949	-0.0722216
-55.65016	-0.06997818
-54.64973	-0.06845837
-53.65114	-0.06812058
-52.64265	-0.06773139
-51.64148	-0.06672546
-50.6539	-0.06505221
-49.65287	-0.06272945
-48.66619	-0.06022801
-47.66719	-0.05954556
-46.68006	-0.05820885
-45.67941	-0.05546997
-44.67846	-0.05427448
-43.6718	-0.0515731
-42.63283	-0.04989148
-41.64637	-0.05059118
-40.62457	-0.04974462
-39.63642	-0.04932093
-38.67455	-0.04916959
-37.66083	-0.0475392
-36.68441	-0.04632353
-35.67731	-0.04499146
-34.6701	-0.04351892
-33.68285	-0.04185037
-32.65622	-0.04018636
-31.65475	-0.03916325
-30.64175	-0.03770993
-29.62807	-0.03655743
-28.62425	-0.03677036
-27.63349	-0.03627311
-26.64102	-0.03583048
-25.65646	-0.03630181
-24.69145	-0.03482851
-23.69755	-0.03283089
-22.6997	-0.03153374
-21.69436	-0.02970325
-20.68954	-0.02831845
-19.68212	-0.02762391
-18.68509	-0.02686197
-17.68474	-0.02609962
-16.65598	-0.02546567
-15.66016	-0.02593182
-14.64451	-0.02565966
-13.64313	-0.02442263
-12.66286	-0.023989
-11.63555	-0.02205699
-10.63806	-0.02021112
-9.621096	-0.02036853
-8.62716	-0.01964006
-7.64795	-0.01816162
-6.651639	-0.01712624
-5.654148	-0.015838
-4.641501	-0.01492237
-3.656823	-0.01710835
-2.67944	-0.01781778
-1.722215	-0.01783241
-0.7456128	-0.01713913
0.2629786	-0.01503897
1.261716	-0.01440328
2.257245	-0.01327701
3.245812	-0.01318482
4.22597	-0.01143595
5.204135	-0.009311778
6.222614	-0.008764447
7.226004	-0.007713065
8.239913	-0.008344194
9.26135	-0.008931511
10.26223	-0.008650791
11.23416	-0.008898453
12.21627	-0.008254286
13.18974	-0.008644941
14.18576	-0.008108458
15.20229	-0.006858728
16.20645	-0.005954607
17.21328	-0.005448348
18.18843	-0.003941029
19.17342	-0.004068567
20.16788	-0.004020784
21.16739	-0.003497618
22.17688	-0.004704902
23.17891	-0.00439089
24.17637	-0.003824105
25.16895	-0.003384032
26.16166	-0.003055546
27.16565	-0.002659918
28.15948	-0.002366551
29.17399	-8.49E-04
30.16337	7.97E-04
31.1459	0.001611709
32.14795	0.002430389
33.13432	0.002748913
34.15272	0.002820193
35.16779	0.002963986
36.16724	0.00303231
37.17648	0.003613613
38.16578	0.003973427
39.18102	0.00524169
40.16955	0.006188195
41.16719	0.006705885
42.17744	0.008477582
43.17371	0.008983971
44.18964	0.009020593
45.19194	0.008630537
46.17987	0.00778936
47.1893	0.00824129
48.20218	0.008508893
49.20689	0.009255528
50.23029	0.01008767
51.23654	0.009461309
52.23418	0.009786004
53.22752	0.01103065
54.20155	0.0118145
55.17239	0.01387095
56.1482	0.01475387
57.14273	0.01399188
58.15104	0.01344085
59.15662	0.01321901
60.17274	0.01359644
61.16803	0.01464961
62.15267	0.01526779
63.15142	0.01537146
64.11476	0.01549839
65.0983	0.01593374
66.11478	0.01739035
67.11302	0.01795082
68.13015	0.01894887
69.15963	0.01969147
70.16756	0.01943786
71.17218	0.02004187
72.18379	0.02085971
73.17188	0.02167327
74.16347	0.02196192
75.17102	0.02264858
76.16837	0.022868
77.15912	0.02358035
78.14386	0.02493233
79.1252	0.02640839
80.11498	0.02652244
81.12283	0.0262155
82.13881	0.02663526
83.13514	0.02585578
84.13803	0.02695046
85.14674	0.0284978
86.1275	0.02906376
87.14363	0.03057617
88.15719	0.03199099
89.14538	0.03298996
90.1644	0.03409268
91.15536	0.03519021
92.15434	0.03643978
93.17339	0.03704493
94.16917	0.03769863
95.1862	0.03826301
96.18808	0.03761126
97.17663	0.0383791
98.20889	0.03932018
99.21223	0.03989138
100.224	0.04167842
101.2265	0.04263882
102.1863	0.04317537
103.1785	0.04488016
104.1563	0.04656538
105.1508	0.04800501
106.158	0.0496717
107.1406	0.05019199
108.1419	0.0499701
109.1369	0.0506662
110.1489	0.05107909
111.1745	0.05282401
112.1486	0.05462756
113.1541	0.05530094
114.1476	0.05738821
115.1231	0.05820045
116.1518	0.06043234
117.1501	0.06365743
118.1499	0.06457428
119.1589	0.06603131
120.1464	0.0662994
121.1718	0.06647144
122.1638	0.068256
123.1768	0.06994292
124.1931	0.07157233
125.1551	0.07267678
126.1615	0.0734878
127.1345	0.07519136
128.125	0.07692216
129.1478	0.07910685
130.1409	0.08180155
131.144	0.08300059
132.1173	0.08436096
133.1121	0.08581829
134.0886	0.08646742
135.0841	0.08873506
136.1128	0.09095542
137.1266	0.0930667
138.1592	0.09627216
139.1679	0.09845454
