Ciclo	Eano	Ecat	icat	iano
1	-157.4085	-399.1709	-0.8948616	0.3847759
2	-157.5098	-399.0872	-0.8938455	0.4098459
3	-157.6225	-399.0044	-0.8823977	0.4237449
4	-157.6897	-399.8681	-0.874832	0.4312565
5	-157.7897	-399.7959	-0.8720937	0.4402556
6	-167.8879	-399.6806	-0.8720766	0.440892
7	-163.0044	-399.5833	-0.8698831	0.4502228
8	-162.1347	-277.5517	-0.8735321	0.4597092
9	-157.1837	-273.4437	-0.8872639	0.4631185
10	-164.3176	-286.3329	-0.9124597	0.4676989
11	-164.4308	-286.2216	-0.9140135	0.480189
12	-167.5045	-286.1501	-0.9291216	0.4785199
13	-162.6201	-297.0247	-0.9445175	0.4874928
14	-165.731	-295.9095	-0.9586676	0.490698
15	-167.8169	-291.8548	-0.9755709	0.4966964
16	-164.966	-298.7433	-0.9905772	0.503733
17	-174.0189	-296.624	-1.008888	0.5083086
18	-168.108	-302.5096	-1.024066	0.5130234
19	-168.2362	-312.4215	-1.045195	0.5191394
20	-168.308	-310.2958	-1.072591	0.5295566
21	-168.4187	-312.2481	-1.083332	0.5379273
22	-170.5098	-312.1529	-1.103283	0.5402764
23	-170.6245	-318.0317	-1.12608	0.5481951
24	-168.7437	-312.9059	-1.14691	0.5533273
25	-168.8349	-311.8057	-1.17131	0.5643272
26	-170.9387	-317.7394	-1.195014	0.5707295
27	-171.0463	-323.6437	-1.218259	0.5789194
28	-174.1023	-316.5318	-1.24243	0.5842699
29	-176.2427	-318.4248	-1.26932	0.5967142
30	-174.333	-318.3342	-1.30486	0.6009588
31	-176.4207	-318.2274	-1.321848	0.6121626
32	-181.5142	-325.136	-1.349644	0.6197596
33	-181.6232	-324.0298	-1.378494	0.629563
34	-182.6641	-325.9261	-1.403918	0.6399157
35	-181.7743	-324.8414	-1.43217	0.6528554
36	-181.9437	-323.7369	-1.464093	0.6628689
37	-263.9859	-325.6359	-1.49326	0.677321
38	-271.0746	-325.5488	-1.526307	0.7130018
39	-270.1962	-325.4391	-1.556908	0.7501268
40	-269.276	-326.3379	-1.598664	0.7859213
41	-271.4276	-324.2304	-1.622631	0.830232
42	-269.458	-325.1534	-1.654235	0.8666854
43	-272.5918	-326.0573	-1.689477	0.9113668
44	-272.7411	-325.9491	-1.723775	0.9548159
45	-271.7973	-330.8256	-1.755083	0.9989856
46	-272.4076	-329.2424	-2.004155	1.18475
47	-277.5331	-331.1114	-2.00973	1.285813
48	-277.6289	-329.0753	-2.032009	1.340902
49	-277.7385	-328.9074	-2.060174	1.390509
50	-282.791	-330.8797	-2.089205	1.443358
51	-282.8699	-328.7733	-2.120888	1.498146
52	-282.9818	-330.6012	-2.155389	1.553908
53	-283.0885	-331.5383	-2.191594	1.606211
54	-285.1775	-331.4299	-2.2332	1.667705
55	-285.2966	-331.3011	-2.281193	1.727422
56	-282.3811	-331.2347	-2.316819	1.788517
57	-285.4785	-337.1423	-2.360655	1.848885
58	-285.6001	-337.0466	-2.404963	1.910512
59	-284.6849	-336.9403	-2.449508	1.974939
60	-284.7549	-336.8439	-2.496953	2.043472
61	-284.9055	-336.7327	-2.544749	2.109255
62	-284.9758	-338.6405	-2.594429	2.176531
63	-285.1004	-337.533	-2.640898	2.249114
64	-285.1987	-337.4354	-2.691996	2.321782
65	-285.2898	-337.2969	-2.75275	2.397927
66	-285.3747	-337.2206	-2.791934	2.470631
67	-285.4893	-337.1311	-2.835303	2.547357
68	-285.5927	-337.0059	-2.885782	2.626086
69	-285.692	-337.9179	-2.936114	2.707885
70	-285.7827	-337.8211	-2.981148	2.784409
71	-285.8597	-337.7207	-3.027506	2.867756
72	-285.9911	-337.6282	-3.078906	2.952781
73	-285.0642	-337.5452	-3.129453	3.032141
74	-285.1562	-338.4081	-3.175746	3.120758
75	-285.3187	-339.3127	-3.234937	3.207632
76	-285.3749	-342.2211	-3.27248	3.293797
77	-285.4593	-338.1281	-3.318545	3.379565
78	-285.5806	-338.017	-3.367218	3.467743
79	-288.7011	-338.9137	-3.416211	3.552687
80	-288.8118	-338.8189	-3.462974	3.639823
81	-285.8931	-338.7196	-3.511338	3.728186
82	-287.939	-341.5928	-3.556367	3.817109
83	-290.0829	-341.5503	-3.603637	3.906153
84	-290.1878	-339.4253	-3.649797	3.992993
85	-290.317	-342.3576	-3.707405	4.080311
86	-290.4012	-342.2422	-3.744303	4.16966
87	-288.5058	-342.1595	-3.788769	4.253925
88	-288.6067	-342.0616	-3.833086	4.337524
89	-289.7017	-341.9768	-3.879851	4.426371
90	-289.8323	-341.8117	-3.926146	4.515648
91	-277.459	-337.2385	-6.804528	6.688435
92	-284.4914	-339.1725	-6.265353	6.708847
93	-285.5857	-342.0513	-6.004892	6.704478
94	-285.7237	-343.9221	-5.858219	6.724748
95	-288.8111	-343.8734	-5.781839	6.777094
96	-289.915	-342.7751	-5.73602	6.842605
97	-289.998	-343.6401	-5.720546	6.910036
98	-291.0964	-344.5218	-5.724349	6.982505
99	-290.205	-344.4024	-5.728487	7.059474
100	-291.2899	-344.3553	-5.759727	7.133715
101	-291.3635	-344.2357	-5.776325	7.206551
102	-291.5197	-345.1409	-5.795856	7.278005
103	-293.6356	-344.0211	-5.823933	7.34052
104	-292.6762	-343.9433	-5.854619	7.410916
105	-292.8183	-344.8742	-5.884905	7.473293
106	-294.8847	-344.7295	-5.91814	7.535517
107	-294.0149	-344.6266	-5.949936	7.597718
108	-295.0894	-344.5293	-5.980624	7.657748
109	-295.1927	-344.4503	-6.012341	7.712615
110	-295.291	-345.347	-6.053129	7.767167
111	-295.3939	-345.1874	-6.077387	7.818273
112	-295.4982	-345.1515	-6.106234	7.867934
113	-295.6045	-350.0253	-6.142794	7.915375
114	-295.6909	-347.943	-6.173124	7.963187
115	-295.7927	-349.8542	-6.202868	8.006428
116	-295.9104	-349.7407	-6.233084	8.049495
117	-295.99	-350.6429	-6.260235	8.084177
118	-296.1143	-350.5227	-6.287885	8.119655
119	-296.1907	-350.4165	-6.316261	8.149609
120	-296.3145	-350.3229	-6.35427	8.182215
121	-296.3811	-350.2567	-6.372735	8.211109
122	-296.4754	-350.1789	-6.399465	8.24162
123	-296.5461	-350.0478	-6.424157	8.261978
124	-296.6956	-349.9505	-6.44852	8.295177
125	-297.7907	-349.8331	-6.477244	8.302923
126	-297.8747	-350.7044	-6.501971	8.333364
127	-298.0015	-349.633	-6.528163	8.356732
128	-298.1432	-350.537	-6.549269	8.370444
129	-298.2	-350.415	-6.577951	8.389099
130	-298.2815	-350.3076	-6.607088	8.411487
131	-298.373	-350.2268	-6.622207	8.424185
132	-298.4727	-350.1263	-6.642382	8.438484
133	-298.599	-350.0195	-6.672869	8.452428
134	-298.7049	-349.8692	-6.690298	8.465359
135	-298.8228	-349.8084	-6.715152	8.46872
