Funcionalizado APTES 1mM	Funcionalizado APTES 1mM
mV	uA
Primeros 45	Primeros 45
-100.0862	-0.02091805
-99.84047	-0.01281138
-99.35526	-0.003134588
-98.62436	0.007279155
-97.63878	0.01858413
-96.6653	0.02239722
-95.67126	0.02537704
-94.67056	0.0284776
-93.6595	0.03159823
-92.63564	0.03355164
-91.62702	0.03644341
-90.61694	0.03844564
-89.63086	0.04061017
-88.63824	0.04306937
-87.65237	0.04432283
-86.66651	0.04567663
-85.66389	0.04669037
-84.67767	0.04768711
-83.66103	0.04894663
-82.66035	0.05043823
-81.65723	0.0517478
-80.6383	0.05373079
-79.63737	0.05461136
-78.6303	0.05556778
-77.63661	0.05642048
-76.64303	0.05667661
-75.65636	0.05800141
-74.66109	0.05938942
-73.65607	0.06013258
-72.65613	0.0609407
-71.67393	0.06202507
-70.68207	0.06232443
-69.66225	0.06344201
-68.67698	0.06422764
-67.63623	0.06427656
-66.62722	0.06480204
-65.65094	0.06515089
-64.63478	0.06602592
-63.67176	0.06761703
-62.68509	0.069537
-61.66796	0.07111166
-60.65397	0.07161467
-59.63673	0.07180393
-58.62078	0.07138307
-57.62114	0.07152775
-56.6246	0.0723998
-55.61556	0.0735185
-54.61393	0.07394777
-53.61877	0.07471319
-52.63761	0.07530855
-51.62967	0.07558233
-50.62879	0.07684452
-49.64676	0.07638545
-48.63686	0.07707378
-47.63198	0.07753935
-46.63828	0.07763334
-45.63012	0.07881372
-44.62865	0.07894982
-43.64956	0.07945873
-42.63409	0.08061176
-41.64193	0.08136273
-40.63573	0.08277034
-39.62138	0.08360229
-38.6302	0.08357479
-37.62212	0.08424684
-36.63645	0.08386891
-35.64645	0.08405843
-34.65122	0.08444403
-33.64674	0.08480623
-32.64968	0.08591026
-31.6526	0.08664459
-30.6534	0.088016
-29.62807	0.08939496
-28.62056	0.08981071
-27.61787	0.09029925
-26.6026	0.09061331
-25.63605	0.0907439
-24.62829	0.0916071
-23.61717	0.09240095
-22.63098	0.09259993
-21.63853	0.09275284
-20.64943	0.09265296
-19.66882	0.09290311
-18.66266	0.09358892
-17.62984	0.09444949
-16.61837	0.09560329
-15.59612	0.09569569
-14.60768	0.09602422
-13.61373	0.09717148
-12.63156	0.09794357
-11.64348	0.09929417
-10.63861	0.1006083
-9.633758	0.1001476
-8.621576	0.1002783
-7.625615	0.1007359
-6.599159	0.1005325
-5.604177	0.1014998
-4.591149	0.101861
-3.595653	0.1011894
-2.644044	0.101765
-1.667093	0.1023152
-0.6935323	0.1032589
0.2806102	0.1045062
1.275608	0.1048058
