Sin Funcionalizar	Sin Funcionalizar
mV	uA
Primeros 45	Primeros 45
-100.0225	-0.01451252
-99.80943	-0.009838917
-99.34695	-0.003855337
-98.65083	0.002705398
-97.68307	0.0104633
-96.67198	0.01363979
-95.68115	0.01564101
-94.66643	0.0170575
-93.65263	0.01816792
-92.64937	0.01923887
-91.64352	0.0205375
-90.64023	0.02223901
-89.63896	0.02350457
-88.64744	0.02494529
-87.63087	0.02610548
-86.63036	0.02763945
-85.63579	0.02955594
-84.63112	0.03074934
-83.64479	0.03146456
-82.64755	0.03156331
-81.6524	0.03095445
-80.65335	0.03104153
-79.65076	0.03162457
-78.64255	0.03232089
-77.62695	0.03292609
-76.64011	0.03304125
-75.66187	0.03316509
-74.66497	0.03387423
-73.68452	0.03490685
-72.68469	0.03568382
-71.66895	0.03661822
-70.67513	0.03599807
-69.67767	0.03641751
-68.69453	0.03705556
-67.69481	0.0376711
-66.69693	0.0391208
-65.69142	0.03891899
-64.69801	0.03905419
-63.69496	0.03901357
-62.69114	0.03897842
-61.68473	0.03996195
-60.65002	0.03895437
-59.64081	0.03884478
-58.64182	0.03887689
-57.64444	0.03858713
-56.6369	0.03973808
-55.64054	0.04019296
-54.6062	0.04032535
-53.6063	0.0402228
-52.60619	0.04128328
-51.59357	0.04209451
-50.61556	0.04291658
-49.6226	0.0434599
-48.62998	0.04311431
-47.65578	0.0435187
-46.67248	0.04362177
-45.65684	0.04371314
-44.65795	0.04360289
-43.63966	0.0428526
-42.63033	0.04282097
-41.64143	0.04305633
-40.65679	0.04368873
-39.65863	0.04466985
-38.66309	0.04496403
-37.66479	0.04525553
-36.65461	0.04567355
-35.65023	0.04648373
-34.65116	0.04714213
-33.64936	0.04729943
-32.64231	0.04714862
-31.63595	0.04582474
-30.61998	0.04538174
-29.61623	0.04559175
-28.61864	0.04593438
-27.63451	0.04655176
-26.64719	0.04666252
-25.65262	0.04656086
-24.66595	0.04657737
-23.6699	0.04739119
-22.6634	0.04800887
-21.66003	0.04825713
-20.65602	0.04807531
-19.6481	0.04747851
-18.65807	0.04712128
-17.66492	0.04725186
-16.63869	0.04785234
-15.61777	0.0477916
-14.60885	0.04802062
-13.58987	0.04883039
-12.61084	0.04918541
-11.63884	0.05015463
-10.63294	0.05118504
-9.628689	0.05135183
-8.612121	0.05151156
-7.589255	0.05144737
-6.598444	0.0505771
-5.601934	0.05010511
-4.601801	0.05027288
-3.631182	0.04997582
-2.643811	0.05093396
-1.685705	0.05163581
-0.7180105	0.05198143
0.2844157	0.0525556
1.259306	0.05268359
2.275908	0.05331045
