Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ferroceno t=0	Ferroceno t=0	Ferroceno t=8min	Ferroceno t=8min	Ferroceno t=15min	Ferroceno t=15min	Ferroceno t=27min	Ferroceno t=27min	Feroceno t=45min	Feroceno t=45min	Ferroceno t=69min	Ferroceno t=69min	Ferroceno t=99min	Ferroceno t=99min
-199.6553	-0.265427	-199.7762	-0.514258	-199.6716	-0.638048	-199.7563	-0.640451	-199.7851	-0.619535	-199.7176	-0.705295	-199.8083	-0.854948
-199.4416	-0.255638	-199.5349	-0.501962	-199.4451	-0.627107	-199.5191	-0.626818	-199.552	-0.604809	-199.5079	-0.690612	-199.55	-0.836719
-198.9749	-0.241786	-199.0344	-0.487139	-198.9811	-0.611796	-199.0361	-0.60981	-199.0653	-0.584698	-199.023	-0.669158	-199.0561	-0.811793
-198.2521	-0.225713	-198.296	-0.470924	-198.2489	-0.593355	-198.3018	-0.589212	-198.3222	-0.562304	-198.299	-0.644767	-198.3011	-0.781935
-197.2794	-0.208618	-197.2954	-0.452105	-197.2865	-0.571709	-197.2878	-0.56457	-197.3154	-0.535092	-197.3139	-0.615208	-197.3086	-0.74662
-196.2909	-0.199603	-196.3006	-0.443526	-196.2944	-0.560049	-196.2878	-0.552998	-196.3057	-0.521907	-196.2906	-0.598897	-196.3214	-0.724951
-195.2864	-0.193675	-195.3175	-0.435739	-195.3023	-0.549593	-195.2904	-0.540099	-195.2976	-0.509427	-195.2805	-0.585181	-195.2974	-0.706285
-194.3073	-0.18848	-194.3032	-0.428254	-194.3267	-0.542572	-194.2948	-0.529883	-194.2827	-0.499296	-194.2746	-0.572306	-194.298	-0.688622
-193.3201	-0.183844	-193.3175	-0.421415	-193.3321	-0.536018	-193.3179	-0.521216	-193.3072	-0.490328	-193.2907	-0.560344	-193.2963	-0.671969
-192.2971	-0.180927	-192.3059	-0.414265	-192.3405	-0.52898	-192.3165	-0.510347	-192.3	-0.479959	-192.3079	-0.547778	-192.2875	-0.657324
-191.2932	-0.176814	-191.3004	-0.407713	-191.3393	-0.522847	-191.3232	-0.502894	-191.3232	-0.47212	-191.3224	-0.535306	-191.3008	-0.642761
-190.28	-0.171743	-190.3091	-0.401522	-190.3194	-0.515224	-190.3355	-0.492761	-190.3356	-0.461871	-190.3369	-0.523047	-190.3239	-0.629293
-189.2767	-0.165993	-189.2896	-0.39413	-189.293	-0.506487	-189.3451	-0.483825	-189.3055	-0.452649	-189.3171	-0.509982	-189.3104	-0.615358
-188.3075	-0.158155	-188.3149	-0.388706	-188.2962	-0.499547	-188.3566	-0.477644	-188.3118	-0.443441	-188.3083	-0.498971	-188.3383	-0.602128
-187.3295	-0.152017	-187.325	-0.383186	-187.2856	-0.493338	-187.3428	-0.469271	-187.278	-0.435558	-187.3163	-0.487861	-187.35	-0.588488
-186.3412	-0.147881	-186.3344	-0.377991	-186.2926	-0.485928	-186.3181	-0.46327	-186.2937	-0.4254	-186.3228	-0.476264	-186.3203	-0.573914
-185.3545	-0.142236	-185.3349	-0.373748	-185.3262	-0.48143	-185.3009	-0.456206	-185.3187	-0.416384	-185.3409	-0.46684	-185.3178	-0.560958
-184.3207	-0.1398	-184.3312	-0.368876	-184.3272	-0.473892	-184.2969	-0.44687	-184.3248	-0.407572	-184.3456	-0.456438	-184.2931	-0.548011
-183.2991	-0.136955	-183.315	-0.364626	-183.3277	-0.46751	-183.2993	-0.438977	-183.3334	-0.398877	-183.3425	-0.447431	-183.2749	-0.534623
-182.307	-0.133394	-182.3085	-0.359079	-182.3271	-0.463058	-182.3097	-0.431003	-182.3168	-0.391797	-182.3286	-0.439867	-182.292	-0.523388
-181.2882	-0.131168	-181.3054	-0.353153	-181.3317	-0.456871	-181.3235	-0.424048	-181.2976	-0.384257	-181.322	-0.431094	-181.3058	-0.512041
-180.3033	-0.127041	-180.3055	-0.348995	-180.3309	-0.452601	-180.3171	-0.418791	-180.2891	-0.378007	-180.3236	-0.422662	-180.3068	-0.500506
-179.3294	-0.122799	-179.3127	-0.34337	-179.3521	-0.445908	-179.3199	-0.413114	-179.3003	-0.3695	-179.3326	-0.413805	-179.3378	-0.491209
-178.3152	-0.118881	-178.3346	-0.33829	-178.3868	-0.435977	-178.3359	-0.406847	-178.3181	-0.362767	-178.3353	-0.403929	-178.3456	-0.480076
-177.3167	-0.115905	-177.3546	-0.333696	-177.3624	-0.428733	-177.3575	-0.400166	-177.3338	-0.355336	-177.3163	-0.395101	-177.3467	-0.469072
-176.313	-0.112248	-176.3642	-0.328098	-176.3688	-0.423449	-176.3624	-0.394778	-176.3324	-0.347973	-176.3143	-0.385912	-176.3721	-0.458357
-175.316	-0.109247	-175.3648	-0.324443	-175.3581	-0.4201	-175.3643	-0.391052	-175.3333	-0.342014	-175.3127	-0.377845	-175.3724	-0.446792
-174.3301	-0.106667	-174.3564	-0.32125	-174.3588	-0.420837	-174.3557	-0.387597	-174.3299	-0.334601	-174.3226	-0.370005	-174.3714	-0.436189
-173.3473	-0.10251	-173.3701	-0.317626	-173.3631	-0.418524	-173.3428	-0.384297	-173.3151	-0.32672	-173.3322	-0.360574	-173.357	-0.426266
-172.3752	-0.099428	-172.3581	-0.314843	-172.3826	-0.413643	-172.3398	-0.378922	-172.3462	-0.320173	-172.328	-0.353096	-172.3423	-0.416002
-171.3523	-0.0953	-171.3535	-0.310081	-171.3969	-0.409353	-171.3404	-0.37335	-171.3439	-0.312847	-171.3422	-0.344762	-171.3506	-0.406997
-170.3394	-0.089854	-170.3488	-0.304538	-170.3766	-0.404024	-170.3485	-0.36788	-170.3277	-0.306802	-170.3278	-0.337392	-170.3322	-0.396143
-169.342	-0.085668	-169.325	-0.30055	-169.3819	-0.400938	-169.3546	-0.362363	-169.3342	-0.302526	-169.352	-0.332499	-169.3356	-0.386007
-168.3344	-0.081458	-168.3224	-0.297011	-168.3614	-0.398497	-168.3686	-0.357996	-168.3093	-0.296593	-168.3564	-0.32558	-168.3429	-0.377525
-167.3485	-0.077944	-167.3319	-0.293671	-167.347	-0.394633	-167.364	-0.352082	-167.3169	-0.29068	-167.3618	-0.318555	-167.3403	-0.367486
-166.3485	-0.076389	-166.3343	-0.290508	-166.3601	-0.390838	-166.3511	-0.346091	-166.3276	-0.286707	-166.3769	-0.311975	-166.356	-0.360841
-165.3364	-0.074712	-165.3444	-0.286666	-165.3754	-0.387019	-165.3416	-0.340579	-165.3417	-0.280601	-165.369	-0.30388	-165.3866	-0.352356
-164.3261	-0.073421	-164.3436	-0.281254	-164.364	-0.381539	-164.3456	-0.334274	-164.3565	-0.275156	-164.3632	-0.296712	-164.3817	-0.342821
-163.3236	-0.071784	-163.3275	-0.277243	-163.3683	-0.376599	-163.3385	-0.329209	-163.3429	-0.269935	-163.3476	-0.289547	-163.3717	-0.334454
-162.3341	-0.068738	-162.3387	-0.273871	-162.3595	-0.371753	-162.3453	-0.324873	-162.3321	-0.262721	-162.3589	-0.282202	-162.3592	-0.325402
-161.3203	-0.064395	-161.3207	-0.27204	-161.351	-0.364762	-161.3378	-0.320584	-161.3277	-0.257047	-161.353	-0.275552	-161.3401	-0.317593
-160.3251	-0.059285	-160.3236	-0.270028	-160.3546	-0.36032	-160.3286	-0.31706	-160.3194	-0.250376	-160.356	-0.267894	-160.3433	-0.309586
-159.312	-0.054766	-159.3412	-0.266612	-159.3518	-0.355987	-159.3279	-0.312736	-159.3157	-0.245343	-159.3398	-0.262046	-159.3299	-0.301328
-158.297	-0.050518	-158.3208	-0.262663	-158.3755	-0.350166	-158.3043	-0.308594	-158.3113	-0.240147	-158.3125	-0.256132	-158.3234	-0.292528
-157.2921	-0.047016	-157.3149	-0.25824	-157.3489	-0.347569	-157.2854	-0.303847	-157.281	-0.235498	-157.2962	-0.249431	-157.3041	-0.282075
-156.2729	-0.044197	-156.3083	-0.255823	-156.341	-0.344875	-156.2673	-0.299998	-156.2872	-0.232169	-156.312	-0.244873	-156.2912	-0.274407
-155.2731	-0.041857	-155.3027	-0.252619	-155.3248	-0.341112	-155.2776	-0.296687	-155.3081	-0.227529	-155.3169	-0.23908	-155.303	-0.268
-154.2775	-0.040796	-154.3041	-0.249881	-154.2799	-0.339331	-154.2954	-0.29129	-154.3266	-0.222469	-154.3288	-0.232522	-154.3076	-0.261109
-153.2954	-0.041178	-153.3153	-0.247272	-153.3177	-0.33623	-153.3208	-0.287614	-153.376	-0.218627	-153.3511	-0.227861	-153.3275	-0.256989
-152.3338	-0.039567	-152.3197	-0.241961	-152.3284	-0.331154	-152.348	-0.282874	-152.3723	-0.213273	-152.3339	-0.221293	-152.3479	-0.250607
-151.3655	-0.037047	-151.3066	-0.238309	-151.3368	-0.328143	-151.3428	-0.277445	-151.3649	-0.208025	-151.3498	-0.214576	-151.3398	-0.243116
-150.3793	-0.032967	-150.313	-0.235947	-150.356	-0.324581	-150.3218	-0.275117	-150.3565	-0.204271	-150.3484	-0.20859	-150.3574	-0.237366
-149.3915	-0.028275	-149.322	-0.23354	-149.34	-0.319652	-149.3295	-0.269839	-149.3066	-0.198129	-149.3405	-0.202001	-149.3561	-0.230088
-148.3625	-0.025612	-148.324	-0.231183	-148.342	-0.317299	-148.3252	-0.266026	-148.3373	-0.193956	-148.3537	-0.196865	-148.3362	-0.223207
-147.3499	-0.024046	-147.3322	-0.22913	-147.3453	-0.31305	-147.3261	-0.262656	-147.3458	-0.189121	-147.3434	-0.192914	-147.3373	-0.217281
-146.3534	-0.023015	-146.3237	-0.226596	-146.3646	-0.306845	-146.356	-0.257263	-146.3541	-0.185186	-146.3247	-0.188298	-146.3269	-0.209557
-145.3309	-0.021839	-145.3284	-0.223273	-145.3622	-0.303974	-145.3707	-0.254295	-145.3748	-0.181461	-145.3379	-0.184243	-145.3433	-0.20288
-144.3367	-0.019795	-144.2899	-0.219464	-144.3338	-0.299142	-144.3813	-0.249645	-144.3255	-0.176818	-144.3091	-0.178689	-144.3339	-0.195419
-143.3464	-0.016344	-143.2857	-0.216245	-143.3269	-0.295681	-143.3965	-0.245213	-143.3132	-0.173628	-143.3064	-0.174291	-143.332	-0.188545
-142.3311	-0.013613	-142.2871	-0.212633	-142.2975	-0.294241	-142.3955	-0.24335	-142.3031	-0.170511	-142.3298	-0.16903	-142.3271	-0.183556
-141.3389	-0.010517	-141.284	-0.209015	-141.276	-0.289126	-141.3692	-0.238369	-141.2957	-0.166062	-141.3063	-0.163864	-141.3156	-0.177837
-140.3434	-0.008339	-140.3199	-0.207002	-140.3036	-0.285592	-140.3709	-0.234698	-140.3018	-0.16264	-140.3568	-0.159276	-140.3485	-0.174426
-139.344	-0.006552	-139.3325	-0.203897	-139.3113	-0.281691	-139.374	-0.231397	-139.3145	-0.158157	-139.3605	-0.153431	-139.3502	-0.16955
-138.3529	-0.003795	-138.3485	-0.200882	-138.3168	-0.276776	-138.3617	-0.226526	-138.3102	-0.152014	-138.3529	-0.149354	-138.3707	-0.162933
-137.3663	-0.002705	-137.3605	-0.198587	-137.3288	-0.270739	-137.3729	-0.224999	-137.3167	-0.149985	-137.3657	-0.145791	-137.3645	-0.157929
-136.3692	-0.001446	-136.3687	-0.196522	-136.3506	-0.264656	-136.3496	-0.22098	-136.3406	-0.144435	-136.3458	-0.14093	-136.3531	-0.151295
-135.3477	-2.12E-4	-135.3789	-0.194092	-135.3498	-0.260124	-135.3468	-0.217921	-135.332	-0.140367	-135.3494	-0.135266	-135.3551	-0.144528
-134.3557	2.28E-4	-134.3723	-0.19274	-134.3627	-0.257417	-134.3486	-0.214601	-134.3539	-0.137058	-134.3516	-0.13015	-134.3474	-0.140186
-133.353	0.003021	-133.3594	-0.189106	-133.357	-0.256267	-133.3407	-0.209283	-133.3646	-0.132572	-133.3528	-0.124748	-133.3566	-0.133676
-132.3437	0.006039	-132.3383	-0.184541	-132.3309	-0.254003	-132.3429	-0.206981	-132.3458	-0.130275	-132.3397	-0.120156	-132.3475	-0.12767
-131.3381	0.009579	-131.3396	-0.181648	-131.3315	-0.253012	-131.3325	-0.202947	-131.34	-0.127449	-131.3235	-0.117288	-131.3259	-0.123163
-130.3451	0.012542	-130.3355	-0.178726	-130.3239	-0.251797	-130.3292	-0.200394	-130.3268	-0.124351	-130.3231	-0.11402	-130.3198	-0.117773
-129.3378	0.014158	-129.3668	-0.176588	-129.3575	-0.249804	-129.3284	-0.198506	-129.3228	-0.121521	-129.3375	-0.111498	-129.3052	-0.114291
-128.3463	0.01583	-128.3974	-0.175207	-128.368	-0.24997	-128.3244	-0.193608	-128.3244	-0.117974	-128.3556	-0.107647	-128.3054	-0.110824
-127.3562	0.015797	-127.3998	-0.173067	-127.3835	-0.246112	-127.3389	-0.190394	-127.3351	-0.115407	-127.3818	-0.104073	-127.3294	-0.107151
-126.3365	0.016317	-126.4102	-0.170497	-126.3976	-0.240614	-126.3351	-0.186667	-126.3431	-0.112801	-126.3978	-0.100477	-126.3383	-0.102664
-125.3446	0.017838	-125.3895	-0.166452	-125.3733	-0.236672	-125.3302	-0.183543	-125.3336	-0.108476	-125.3921	-0.095834	-125.3472	-0.097612
-124.3345	0.018748	-124.3712	-0.165124	-124.3834	-0.231944	-124.3303	-0.183015	-124.3469	-0.105708	-124.3922	-0.092901	-124.3519	-0.092329
-123.3586	0.020328	-123.3635	-0.162828	-123.3707	-0.227603	-123.3195	-0.180463	-123.3414	-0.100095	-123.3937	-0.089672	-123.3513	-0.087627
-122.3573	0.023614	-122.3753	-0.160405	-122.341	-0.224177	-122.3376	-0.178025	-122.3482	-0.096175	-122.3791	-0.084417	-122.3569	-0.082916
-121.355	0.025751	-121.3804	-0.159212	-121.3564	-0.220909	-121.3371	-0.176455	-121.363	-0.093438	-121.3702	-0.081906	-121.3729	-0.079784
-120.3523	0.028367	-120.4006	-0.156027	-120.3347	-0.218173	-120.3523	-0.172454	-120.3579	-0.090954	-120.3697	-0.077769	-120.368	-0.075185
-119.329	0.031347	-119.3947	-0.154088	-119.3371	-0.216823	-119.3652	-0.170088	-119.3488	-0.089253	-119.3532	-0.074436	-119.3659	-0.068283
-118.3159	0.033015	-118.3744	-0.150511	-118.3528	-0.215857	-118.355	-0.16602	-118.3287	-0.086385	-118.367	-0.0721	-118.3424	-0.063816
-117.2997	0.034479	-117.3612	-0.147105	-117.3527	-0.215778	-117.3751	-0.162485	-117.3484	-0.083358	-117.3885	-0.067822	-117.3245	-0.059277
-116.3104	0.034699	-116.3353	-0.145756	-116.371	-0.214676	-116.3568	-0.15952	-116.3452	-0.081014	-116.3788	-0.064827	-116.3376	-0.056262
