Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mv	ua	mv	ua	mv	ua	mv	ua
FcAu		FcMeso		RuAds		Mediacion	
-100.3695	-1.832632	-100.3702	-0.441192	-600.204	-4.752963	-600.2277	-4.804494
-100.1544	-1.811925	-100.158	-0.421157	-599.9807	-4.736876	-599.9941	-4.787866
-99.68494	-1.786323	-99.68104	-0.397365	-599.4893	-4.714627	-599.5087	-4.763984
-98.96498	-1.753041	-98.96226	-0.369162	-598.7661	-4.687657	-598.7736	-4.734807
-98.01045	-1.717367	-97.98404	-0.335681	-597.7843	-4.654445	-597.7731	-4.696424
-97.00166	-1.695177	-96.96947	-0.32037	-596.7823	-4.631286	-596.7744	-4.671015
-96.00452	-1.674044	-95.98076	-0.304456	-595.7852	-4.607591	-595.7896	-4.646158
-95.01527	-1.658749	-94.96891	-0.289544	-594.766	-4.583488	-594.799	-4.620097
-93.98869	-1.641539	-93.95589	-0.275233	-593.76	-4.55932	-593.787	-4.5966
-92.98442	-1.628705	-92.96782	-0.263689	-592.7346	-4.536701	-592.7787	-4.571237
-91.98335	-1.615277	-91.96054	-0.251599	-591.7309	-4.516104	-591.754	-4.546437
-90.9839	-1.599791	-90.95448	-0.239741	-590.738	-4.493629	-590.7328	-4.52267
-89.99659	-1.585034	-89.97626	-0.229898	-589.7268	-4.470987	-589.7572	-4.499606
-89.00758	-1.569873	-88.98438	-0.218164	-588.7424	-4.450172	-588.767	-4.477918
-87.98986	-1.555045	-87.97719	-0.209011	-587.756	-4.428497	-587.7664	-4.457076
-86.9725	-1.540797	-87.00205	-0.203639	-586.7369	-4.409037	-586.7794	-4.436112
-85.96588	-1.525986	-85.99548	-0.197697	-585.7581	-4.392104	-585.7874	-4.415918
-84.9764	-1.517483	-84.98676	-0.191818	-584.7766	-4.372889	-584.7899	-4.395586
-83.99438	-1.510114	-83.99249	-0.185165	-583.7871	-4.3537	-583.8074	-4.375404
-82.99447	-1.506204	-82.9808	-0.177598	-582.8142	-4.334486	-582.8223	-4.355932
-81.98538	-1.502367	-81.98698	-0.169539	-581.8163	-4.314647	-581.8278	-4.334127
-80.95656	-1.494064	-80.96807	-0.161384	-580.8083	-4.294414	-580.8159	-4.312582
-79.96278	-1.486674	-79.97363	-0.155189	-579.7905	-4.274065	-579.7866	-4.290093
-78.96884	-1.477777	-78.97131	-0.146826	-578.8082	-4.253988	-578.7655	-4.268604
-77.96477	-1.4652	-77.93985	-0.139849	-577.8079	-4.232389	-577.7441	-4.250069
-76.97326	-1.45404	-76.97257	-0.13438	-576.8021	-4.21244	-576.7495	-4.230474
-75.96573	-1.441799	-75.96614	-0.127559	-575.8195	-4.194844	-575.7687	-4.21155
-74.95982	-1.428492	-74.96189	-0.12153	-574.8115	-4.176915	-574.78	-4.192064
-73.96989	-1.420785	-73.98638	-0.118146	-573.7938	-4.15948	-573.7756	-4.171741
-72.97971	-1.409524	-72.98125	-0.113018	-572.7938	-4.142355	-572.7838	-4.155046
-71.97989	-1.39776	-72.00478	-0.10816	-571.7937	-4.123762	-571.7918	-4.137336
-70.99977	-1.390412	-71.03342	-0.104186	-570.7819	-4.104839	-570.7786	-4.11967
-70.00831	-1.384524	-70.06295	-0.099436	-569.8151	-4.086204	-569.7856	-4.10217
-68.99876	-1.380692	-69.05368	-0.094924	-568.8264	-4.06652	-568.7725	-4.08211
-67.98544	-1.377285	-68.03152	-0.089583	-567.813	-4.046041	-567.7454	-4.063184
-66.97708	-1.368712	-67.01319	-0.087437	-566.8047	-4.02527	-566.7504	-4.046419
