Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Adsorbido 1.teq4_2col	Adsorbido 1.teq4_2col	Adsorbido 2 - luego ru - ferroceno.teq4_2col	Adsorbido 2 - luego ru - ferroceno.teq4_2col	Adsorbido 3 - luego ru - ferroceno.teq4_2col	Adsorbido 3 - luego ru - ferroceno.teq4_2col	Ciclado - 20 Ciclos 1.teq4_2col	Ciclado - 20 Ciclos 1.teq4_2col	Ciclado - 20 Ciclos 2.teq4_2col	Ciclado - 20 Ciclos 2.teq4_2col	Ru - Ferroceno 1.teq4_2col	Ru - Ferroceno 1.teq4_2col	Ru - Ferroceno 2  10 ciclos.teq4_2col	Ru - Ferroceno 2  10 ciclos.teq4_2col	Ru - Ferroceno 3  10 ciclos.teq4_2col	Ru - Ferroceno 3  10 ciclos.teq4_2col
-600.204	-4.752963	-600.2609	-4.764214	-600.2574	-4.195014	-600.22	-3.81183	-600.1622	-3.076383	-600.2277	-4.804494	-600.1631	-3.873756	-600.2294	-3.961653
-599.9807	-4.736876	-600.0217	-4.748374	-600.0182	-4.178529	-599.9839	-3.798915	-599.942	-3.062154	-599.9941	-4.787866	-599.9471	-3.859704	-599.9843	-3.946652
-599.4893	-4.714627	-599.5308	-4.72262	-599.5237	-4.152944	-599.5273	-3.782958	-599.4658	-3.041534	-599.5087	-4.763984	-599.4739	-3.838947	-599.4723	-3.921635
-598.7661	-4.687657	-598.7836	-4.690328	-598.7786	-4.120339	-598.817	-3.765366	-598.7338	-3.015146	-598.7736	-4.734807	-598.748	-3.813064	-598.7336	-3.889389
-597.7843	-4.654445	-597.7761	-4.648263	-597.7736	-4.080896	-597.8441	-3.744825	-597.7499	-2.98312	-597.7731	-4.696424	-597.7632	-3.77924	-597.7606	-3.848868
-596.7823	-4.631286	-596.7682	-4.615717	-596.7662	-4.0492	-596.838	-3.735809	-596.7581	-2.96187	-596.7744	-4.671015	-596.7495	-3.754105	-596.7628	-3.81542
-595.7852	-4.607591	-595.7648	-4.585098	-595.7689	-4.017104	-595.8265	-3.725392	-595.7699	-2.941397	-595.7896	-4.646158	-595.7379	-3.729282	-595.7654	-3.783984
-594.766	-4.583488	-594.759	-4.55493	-594.7469	-3.986691	-594.8047	-3.715138	-594.7983	-2.923413	-594.799	-4.620097	-594.75	-3.704416	-594.7576	-3.75394
