Vf	Im
V vs. Ref.	A
-5.97881E-001	-3.38488E-006
-5.95883E-001	-3.35109E-006
-5.93884E-001	-3.32167E-006
-5.91875E-001	-3.28802E-006
-5.89883E-001	-3.26527E-006
-5.87868E-001	-3.23120E-006
-5.85876E-001	-3.21615E-006
-5.83874E-001	-3.19131E-006
-5.81871E-001	-3.16876E-006
-5.79859E-001	-3.14517E-006
-5.77876E-001	-3.13567E-006
-5.75859E-001	-3.11922E-006
-5.73868E-001	-3.09931E-006
-5.71869E-001	-3.08065E-006
-5.69866E-001	-3.06476E-006
-5.67869E-001	-3.05047E-006
-5.65848E-001	-3.02757E-006
-5.63854E-001	-3.01869E-006
-5.61843E-001	-3.00280E-006
-5.59857E-001	-2.98802E-006
-5.57858E-001	-2.97290E-006
-5.55863E-001	-2.96090E-006
-5.53861E-001	-2.94570E-006
-5.51871E-001	-2.93301E-006
-5.49852E-001	-2.92267E-006
-5.47856E-001	-2.90546E-006
-5.45851E-001	-2.88756E-006
-5.43848E-001	-2.87424E-006
-5.41860E-001	-2.85787E-006
-5.39852E-001	-2.85058E-006
-5.37846E-001	-2.83990E-006
-5.35831E-001	-2.82679E-006
-5.33845E-001	-2.81742E-006
-5.31856E-001	-2.80632E-006
-5.29855E-001	-2.79369E-006
-5.27848E-001	-2.78183E-006
-5.25852E-001	-2.77281E-006
-5.23831E-001	-2.76740E-006
-5.21830E-001	-2.75276E-006
-5.19838E-001	-2.74069E-006
-5.17842E-001	-2.72792E-006
-5.15842E-001	-2.71751E-006
-5.13819E-001	-2.70655E-006
-5.11819E-001	-2.69684E-006
-5.09820E-001	-2.68782E-006
-5.07825E-001	-2.67935E-006
-5.05820E-001	-2.66714E-006
-5.03830E-001	-2.65889E-006
-5.01840E-001	-2.65021E-006
-4.99841E-001	-2.63731E-006
-4.97824E-001	-2.63315E-006
-4.95825E-001	-2.61969E-006
-4.93824E-001	-2.60338E-006
-4.91820E-001	-2.59610E-006
-4.89830E-001	-2.58964E-006
-4.87811E-001	-2.57827E-006
-4.85804E-001	-2.57299E-006
-4.83824E-001	-2.56883E-006
-4.81809E-001	-2.55842E-006
-4.79814E-001	-2.54760E-006
-4.77816E-001	-2.54399E-006
-4.75808E-001	-2.53518E-006
-4.73810E-001	-2.52144E-006
-4.71809E-001	-2.51777E-006
-4.69823E-001	-2.51249E-006
-4.67823E-001	-2.50632E-006
-4.65813E-001	-2.49182E-006
-4.63815E-001	-2.48557E-006
-4.61800E-001	-2.47579E-006
-4.59803E-001	-2.46670E-006
-4.57795E-001	-2.45984E-006
-4.55807E-001	-2.44873E-006
-4.53813E-001	-2.44450E-006
-4.51809E-001	-2.43999E-006
-4.49807E-001	-2.42563E-006
-4.47789E-001	-2.42161E-006
-4.45800E-001	-2.41411E-006
-4.43805E-001	-2.40329E-006
-4.41800E-001	-2.39379E-006
-4.39801E-001	-2.38539E-006
-4.37802E-001	-2.38206E-006
-4.35806E-001	-2.36992E-006
-4.33789E-001	-2.36451E-006
-4.31791E-001	-2.35688E-006
-4.29794E-001	-2.34924E-006
-4.27793E-001	-2.33988E-006
-4.25790E-001	-2.33065E-006
-4.23787E-001	-2.32260E-006
-4.21780E-001	-2.31546E-006
-4.19785E-001	-2.31095E-006
-4.17788E-001	-2.30435E-006
-4.15784E-001	-2.29284E-006
-4.13788E-001	-2.28514E-006
-4.11792E-001	-2.27376E-006
-4.09778E-001	-2.27549E-006
-4.07782E-001	-2.25960E-006
-4.05774E-001	-2.24920E-006
-4.03786E-001	-2.24642E-006
-4.01784E-001	-2.23997E-006
-3.99784E-001	-2.22998E-006
-3.97806E-001	-2.22283E-006
-3.95767E-001	-2.21152E-006
-3.93776E-001	-2.20840E-006
-3.91778E-001	-2.20035E-006
-3.89782E-001	-2.18953E-006
-3.87776E-001	-2.17912E-006
-3.85777E-001	-2.16705E-006
-3.83765E-001	-2.16296E-006
-3.81770E-001	-2.15526E-006
-3.79762E-001	-2.13937E-006
-3.77775E-001	-2.14020E-006
-3.75777E-001	-2.13056E-006
-3.73775E-001	-2.12237E-006
-3.71786E-001	-2.11030E-006
-3.69762E-001	-2.10315E-006
-3.67771E-001	-2.09739E-006
-3.65784E-001	-2.08796E-006
-3.63770E-001	-2.07679E-006
-3.61759E-001	-2.06756E-006
-3.59760E-001	-2.06166E-006
-3.57752E-001	-2.05584E-006
-3.55760E-001	-2.04217E-006
-3.53756E-001	-2.03467E-006
-3.51763E-001	-2.03134E-006
-3.49760E-001	-2.01927E-006
-3.47772E-001	-2.01109E-006
-3.45742E-001	-2.00200E-006
-3.43753E-001	-1.98597E-006
-3.41755E-001	-1.97917E-006
-3.39760E-001	-1.97140E-006
-3.37755E-001	-1.95808E-006
