	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.04	-5.99856E-001	-8.26777E-006	0.00000E+000	-6.00000E-001	0.00000E+000	9	...........
	1	0.08	-5.97861E-001	-8.19839E-006	0.00000E+000	-5.98000E-001	0.00000E+000	9	...........
	2	0.12	-5.95861E-001	-8.13949E-006	0.00000E+000	-5.96000E-001	0.00000E+000	9	...........
	3	0.16	-5.93857E-001	-8.08773E-006	0.00000E+000	-5.94000E-001	0.00000E+000	9	...........
	4	0.2	-5.91853E-001	-8.02945E-006	0.00000E+000	-5.92000E-001	0.00000E+000	9	...........
	5	0.24	-5.89859E-001	-7.96722E-006	0.00000E+000	-5.90000E-001	0.00000E+000	9	...........
	6	0.28	-5.87850E-001	-7.91379E-006	0.00000E+000	-5.88000E-001	0.00000E+000	9	...........
	7	0.32	-5.85854E-001	-7.87459E-006	0.00000E+000	-5.86000E-001	0.00000E+000	9	...........
	8	0.36	-5.83857E-001	-7.81805E-006	0.00000E+000	-5.84000E-001	0.00000E+000	9	...........
	9	0.4	-5.81856E-001	-7.76511E-006	0.00000E+000	-5.82000E-001	0.00000E+000	9	...........
	10	0.44	-5.79855E-001	-7.71967E-006	0.00000E+000	-5.80000E-001	0.00000E+000	9	...........
	11	0.48	-5.77856E-001	-7.67318E-006	0.00000E+000	-5.78000E-001	0.00000E+000	9	...........
	12	0.52	-5.75836E-001	-7.62337E-006	0.00000E+000	-5.76000E-001	0.00000E+000	9	...........
	13	0.56	-5.73857E-001	-7.57605E-006	0.00000E+000	-5.74000E-001	0.00000E+000	9	...........
	14	0.6	-5.71845E-001	-7.53012E-006	0.00000E+000	-5.72000E-001	0.00000E+000	9	...........
	15	0.64	-5.69856E-001	-7.48398E-006	0.00000E+000	-5.70000E-001	0.00000E+000	9	...........
	16	0.68	-5.67854E-001	-7.43993E-006	0.00000E+000	-5.68000E-001	0.00000E+000	9	...........
	17	0.72	-5.65838E-001	-7.38574E-006	0.00000E+000	-5.66000E-001	0.00000E+000	9	...........
	18	0.76	-5.63830E-001	-7.33801E-006	0.00000E+000	-5.64000E-001	0.00000E+000	9	...........
	19	0.8	-5.61837E-001	-7.30186E-006	0.00000E+000	-5.62000E-001	0.00000E+000	9	...........
	20	0.84	-5.59846E-001	-7.25302E-006	0.00000E+000	-5.60000E-001	0.00000E+000	9	...........
	21	0.88	-5.57845E-001	-7.21077E-006	0.00000E+000	-5.58000E-001	0.00000E+000	9	...........
	22	0.92	-5.55853E-001	-7.17219E-006	0.00000E+000	-5.56000E-001	0.00000E+000	9	...........
	23	0.96	-5.53848E-001	-7.12238E-006	0.00000E+000	-5.54000E-001	0.00000E+000	9	...........
	24	1	-5.51853E-001	-7.07992E-006	0.00000E+000	-5.52000E-001	0.00000E+000	9	...........
	25	1.04	-5.49827E-001	-7.03981E-006	0.00000E+000	-5.50000E-001	0.00000E+000	9	...........
	26	1.08	-5.47841E-001	-6.99832E-006	0.00000E+000	-5.48000E-001	0.00000E+000	9	...........
	27	1.12	-5.45839E-001	-6.96204E-006	0.00000E+000	-5.46000E-001	0.00000E+000	9	...........
	28	1.16	-5.43836E-001	-6.92291E-006	0.00000E+000	-5.44000E-001	0.00000E+000	9	...........
	29	1.2	-5.41847E-001	-6.87739E-006	0.00000E+000	-5.42000E-001	0.00000E+000	9	...........
	30	1.24	-5.39836E-001	-6.84194E-006	0.00000E+000	-5.40000E-001	0.00000E+000	9	...........
	31	1.28	-5.37826E-001	-6.79726E-006	0.00000E+000	-5.38000E-001	0.00000E+000	9	...........
	32	1.32	-5.35821E-001	-6.75806E-006	0.00000E+000	-5.36000E-001	0.00000E+000	9	...........
	33	1.36	-5.33824E-001	-6.71824E-006	0.00000E+000	-5.34000E-001	0.00000E+000	9	...........
	34	1.4	-5.31832E-001	-6.67994E-006	0.00000E+000	-5.32000E-001	0.00000E+000	9	...........
	35	1.44	-5.29834E-001	-6.64220E-006	0.00000E+000	-5.30000E-001	0.00000E+000	9	...........
	36	1.48	-5.27842E-001	-6.60015E-006	0.00000E+000	-5.28000E-001	0.00000E+000	9	...........
	37	1.52	-5.25839E-001	-6.56532E-006	0.00000E+000	-5.26000E-001	0.00000E+000	9	...........
	38	1.56	-5.23814E-001	-6.52786E-006	0.00000E+000	-5.24000E-001	0.00000E+000	9	...........
	39	1.6	-5.21820E-001	-6.48935E-006	0.00000E+000	-5.22000E-001	0.00000E+000	9	...........
	40	1.64	-5.19827E-001	-6.45071E-006	0.00000E+000	-5.20000E-001	0.00000E+000	9	...........
	41	1.68	-5.17828E-001	-6.41734E-006	0.00000E+000	-5.18000E-001	0.00000E+000	9	...........
	42	1.72	-5.15829E-001	-6.38369E-006	0.00000E+000	-5.16000E-001	0.00000E+000	9	...........
	43	1.76	-5.13808E-001	-6.34858E-006	0.00000E+000	-5.14000E-001	0.00000E+000	9	...........
	44	1.8	-5.11806E-001	-6.31341E-006	0.00000E+000	-5.12000E-001	0.00000E+000	9	...........
	45	1.84	-5.09802E-001	-6.27518E-006	0.00000E+000	-5.10000E-001	0.00000E+000	9	...........
	46	1.88	-5.07803E-001	-6.24070E-006	0.00000E+000	-5.08000E-001	0.00000E+000	9	...........
	47	1.92	-5.05814E-001	-6.20968E-006	0.00000E+000	-5.06000E-001	0.00000E+000	9	...........
	48	1.96	-5.03830E-001	-6.17666E-006	0.00000E+000	-5.04000E-001	0.00000E+000	9	...........
	49	2	-5.01826E-001	-6.13954E-006	0.00000E+000	-5.02000E-001	0.00000E+000	9	...........
	50	2.04	-4.99818E-001	-6.09826E-006	0.00000E+000	-5.00000E-001	0.00000E+000	9	...........
	51	2.08	-4.97798E-001	-6.06322E-006	0.00000E+000	-4.98000E-001	0.00000E+000	9	...........
	52	2.12	-4.95807E-001	-6.02659E-006	0.00000E+000	-4.96000E-001	0.00000E+000	9	...........
	53	2.16	-4.93824E-001	-6.00133E-006	0.00000E+000	-4.94000E-001	0.00000E+000	9	...........
	54	2.2	-4.91822E-001	-5.96546E-006	0.00000E+000	-4.92000E-001	0.00000E+000	9	...........
	55	2.24	-4.89819E-001	-5.92786E-006	0.00000E+000	-4.90000E-001	0.00000E+000	9	...........
	56	2.28	-4.87810E-001	-5.89699E-006	0.00000E+000	-4.88000E-001	0.00000E+000	9	...........
	57	2.32	-4.85795E-001	-5.86923E-006	0.00000E+000	-4.86000E-001	0.00000E+000	9	...........
	58	2.36	-4.83798E-001	-5.83732E-006	0.00000E+000	-4.84000E-001	0.00000E+000	9	...........
	59	2.4	-4.81798E-001	-5.80381E-006	0.00000E+000	-4.82000E-001	0.00000E+000	9	...........
	60	2.44	-4.79807E-001	-5.77391E-006	0.00000E+000	-4.80000E-001	0.00000E+000	9	...........
	61	2.48	-4.77797E-001	-5.74595E-006	0.00000E+000	-4.78000E-001	0.00000E+000	9	...........
	62	2.52	-4.75807E-001	-5.71563E-006	0.00000E+000	-4.76000E-001	0.00000E+000	9	...........
	63	2.56	-4.73792E-001	-5.68420E-006	0.00000E+000	-4.74000E-001	0.00000E+000	9	...........
	64	2.6	-4.71790E-001	-5.65312E-006	0.00000E+000	-4.72000E-001	0.00000E+000	9	...........
	65	2.64	-4.69794E-001	-5.62405E-006	0.00000E+000	-4.70000E-001	0.00000E+000	9	...........
	66	2.68	-4.67809E-001	-5.59255E-006	0.00000E+000	-4.68000E-001	0.00000E+000	9	...........
	67	2.72	-4.65796E-001	-5.55647E-006	0.00000E+000	-4.66000E-001	0.00000E+000	9	...........
	68	2.76	-4.63797E-001	-5.53760E-006	0.00000E+000	-4.64000E-001	0.00000E+000	9	...........
	69	2.8	-4.61787E-001	-5.50825E-006	0.00000E+000	-4.62000E-001	0.00000E+000	9	...........
	70	2.84	-4.59773E-001	-5.47370E-006	0.00000E+000	-4.60000E-001	0.00000E+000	9	...........
	71	2.88	-4.57770E-001	-5.44768E-006	0.00000E+000	-4.58000E-001	0.00000E+000	9	...........
	72	2.92	-4.55788E-001	-5.41792E-006	0.00000E+000	-4.56000E-001	0.00000E+000	9	...........
	73	2.96	-4.53791E-001	-5.38670E-006	0.00000E+000	-4.54000E-001	0.00000E+000	9	...........
	74	3	-4.51788E-001	-5.36123E-006	0.00000E+000	-4.52000E-001	0.00000E+000	9	...........
	75	3.04	-4.49793E-001	-5.33050E-006	0.00000E+000	-4.50000E-001	0.00000E+000	9	...........
	76	3.08	-4.47768E-001	-5.30358E-006	0.00000E+000	-4.48000E-001	0.00000E+000	9	...........
	77	3.12	-4.45775E-001	-5.27153E-006	0.00000E+000	-4.46000E-001	0.00000E+000	9	...........
	78	3.16	-4.43788E-001	-5.24759E-006	0.00000E+000	-4.44000E-001	0.00000E+000	9	...........
	79	3.2	-4.41786E-001	-5.21727E-006	0.00000E+000	-4.42000E-001	0.00000E+000	9	...........
	80	3.24	-4.39782E-001	-5.18903E-006	0.00000E+000	-4.40000E-001	0.00000E+000	9	...........
	81	3.28	-4.37777E-001	-5.16760E-006	0.00000E+000	-4.38000E-001	0.00000E+000	9	...........
	82	3.32	-4.35789E-001	-5.14539E-006	0.00000E+000	-4.36000E-001	0.00000E+000	9	...........
	83	3.36	-4.33775E-001	-5.11320E-006	0.00000E+000	-4.34000E-001	0.00000E+000	9	...........
	84	3.4	-4.31775E-001	-5.08594E-006	0.00000E+000	-4.32000E-001	0.00000E+000	9	...........
	85	3.44	-4.29780E-001	-5.06394E-006	0.00000E+000	-4.30000E-001	0.00000E+000	9	...........
	86	3.48	-4.27787E-001	-5.03543E-006	0.00000E+000	-4.28000E-001	0.00000E+000	9	...........
	87	3.52	-4.25770E-001	-5.00511E-006	0.00000E+000	-4.26000E-001	0.00000E+000	9	...........
	88	3.56	-4.23774E-001	-4.97916E-006	0.00000E+000	-4.24000E-001	0.00000E+000	9	...........
	89	3.6	-4.21763E-001	-4.95425E-006	0.00000E+000	-4.22000E-001	0.00000E+000	9	...........
	90	3.64	-4.19765E-001	-4.93316E-006	0.00000E+000	-4.20000E-001	0.00000E+000	9	...........
	91	3.68	-4.17766E-001	-4.90478E-006	0.00000E+000	-4.18000E-001	0.00000E+000	9	...........
	92	3.72	-4.15765E-001	-4.88272E-006	0.00000E+000	-4.16000E-001	0.00000E+000	9	...........
	93	3.76	-4.13770E-001	-4.85774E-006	0.00000E+000	-4.14000E-001	0.00000E+000	9	...........
	94	3.8	-4.11772E-001	-4.82895E-006	0.00000E+000	-4.12000E-001	0.00000E+000	9	...........
	95	3.84	-4.09763E-001	-4.80807E-006	0.00000E+000	-4.10000E-001	0.00000E+000	9	...........
	96	3.88	-4.07770E-001	-4.78136E-006	0.00000E+000	-4.08000E-001	0.00000E+000	9	...........
	97	3.92	-4.05765E-001	-4.75638E-006	0.00000E+000	-4.06000E-001	0.00000E+000	9	...........
	98	3.96	-4.03779E-001	-4.72849E-006	0.00000E+000	-4.04000E-001	0.00000E+000	9	...........
	99	4	-4.01772E-001	-4.70629E-006	0.00000E+000	-4.02000E-001	0.00000E+000	9	...........
	100	4.04	-3.99776E-001	-4.68159E-006	0.00000E+000	-4.00000E-001	0.00000E+000	9	...........
	101	4.08	-3.97784E-001	-4.65634E-006	0.00000E+000	-3.98000E-001	0.00000E+000	9	...........
	102	4.12	-3.95764E-001	-4.62713E-006	0.00000E+000	-3.96000E-001	0.00000E+000	9	...........
	103	4.16	-3.93759E-001	-4.60125E-006	0.00000E+000	-3.94000E-001	0.00000E+000	9	...........
	104	4.2	-3.91759E-001	-4.57606E-006	0.00000E+000	-3.92000E-001	0.00000E+000	9	...........
	105	4.24	-3.89772E-001	-4.56052E-006	0.00000E+000	-3.90000E-001	0.00000E+000	9	...........
	106	4.28	-3.87765E-001	-4.53388E-006	0.00000E+000	-3.88000E-001	0.00000E+000	9	...........
	107	4.32	-3.85761E-001	-4.51112E-006	0.00000E+000	-3.86000E-001	0.00000E+000	9	...........
	108	4.36	-3.83749E-001	-4.48767E-006	0.00000E+000	-3.84000E-001	0.00000E+000	9	...........
	109	4.4	-3.81764E-001	-4.46047E-006	0.00000E+000	-3.82000E-001	0.00000E+000	9	...........
	110	4.44	-3.79765E-001	-4.43515E-006	0.00000E+000	-3.80000E-001	0.00000E+000	9	...........
	111	4.48	-3.77764E-001	-4.40913E-006	0.00000E+000	-3.78000E-001	0.00000E+000	9	...........
	112	4.52	-3.75763E-001	-4.38936E-006	0.00000E+000	-3.76000E-001	0.00000E+000	9	...........
	113	4.56	-3.73759E-001	-4.36549E-006	0.00000E+000	-3.74000E-001	0.00000E+000	9	...........
	114	4.6	-3.71776E-001	-4.34010E-006	0.00000E+000	-3.72000E-001	0.00000E+000	9	...........
	115	4.64	-3.69746E-001	-4.31374E-006	0.00000E+000	-3.70000E-001	0.00000E+000	9	...........
	116	4.68	-3.67752E-001	-4.29181E-006	0.00000E+000	-3.68000E-001	0.00000E+000	9	...........
	117	4.72	-3.65764E-001	-4.26919E-006	0.00000E+000	-3.66000E-001	0.00000E+000	9	...........
	118	4.76	-3.63756E-001	-4.23992E-006	0.00000E+000	-3.64000E-001	0.00000E+000	9	...........
	119	4.8	-3.61757E-001	-4.21973E-006	0.00000E+000	-3.62000E-001	0.00000E+000	9	...........
	120	4.84	-3.59742E-001	-4.19746E-006	0.00000E+000	-3.60000E-001	0.00000E+000	9	...........
	121	4.88	-3.57731E-001	-4.16603E-006	0.00000E+000	-3.58000E-001	0.00000E+000	9	...........
	122	4.92	-3.55749E-001	-4.14695E-006	0.00000E+000	-3.56000E-001	0.00000E+000	9	...........
	123	4.96	-3.53739E-001	-4.12426E-006	0.00000E+000	-3.54000E-001	0.00000E+000	9	...........
	124	5	-3.51748E-001	-4.09679E-006	0.00000E+000	-3.52000E-001	0.00000E+000	9	...........
	125	5.04	-3.49738E-001	-4.06841E-006	0.00000E+000	-3.50000E-001	0.00000E+000	9	...........
	126	5.08	-3.47757E-001	-4.04385E-006	0.00000E+000	-3.48000E-001	0.00000E+000	9	...........
	127	5.12	-3.45738E-001	-4.02380E-006	0.00000E+000	-3.46000E-001	0.00000E+000	9	...........
	128	5.16	-3.43743E-001	-3.99466E-006	0.00000E+000	-3.44000E-001	0.00000E+000	9	...........
	129	5.2	-3.41742E-001	-3.96365E-006	0.00000E+000	-3.42000E-001	0.00000E+000	9	...........
	130	5.24	-3.39744E-001	-3.94297E-006	0.00000E+000	-3.40000E-001	0.00000E+000	9	...........
	131	5.28	-3.37734E-001	-3.92001E-006	0.00000E+000	-3.38000E-001	0.00000E+000	9	...........
	132	5.32	-3.35736E-001	-3.88386E-006	0.00000E+000	-3.36000E-001	0.00000E+000	9	...........
	133	5.36	-3.33747E-001	-3.85826E-006	0.00000E+000	-3.34000E-001	0.00000E+000	9	...........
	134	5.4	-3.31732E-001	-3.83619E-006	0.00000E+000	-3.32000E-001	0.00000E+000	9	...........
	135	5.44	-3.29734E-001	-3.80359E-006	0.00000E+000	-3.30000E-001	0.00000E+000	9	...........
	136	5.48	-3.27740E-001	-3.77389E-006	0.00000E+000	-3.28000E-001	0.00000E+000	9	...........
	137	5.52	-3.25729E-001	-3.75176E-006	0.00000E+000	-3.26000E-001	0.00000E+000	9	...........
	138	5.56	-3.23742E-001	-3.71825E-006	0.00000E+000	-3.24000E-001	0.00000E+000	9	...........
	139	5.6	-3.21733E-001	-3.68987E-006	0.00000E+000	-3.22000E-001	0.00000E+000	9	...........
	140	5.64	-3.19720E-001	-3.66087E-006	0.00000E+000	-3.20000E-001	0.00000E+000	9	...........
	141	5.68	-3.17721E-001	-3.63694E-006	0.00000E+000	-3.18000E-001	0.00000E+000	9	...........
	142	5.72	-3.15728E-001	-3.60349E-006	0.00000E+000	-3.16000E-001	0.00000E+000	9	...........
	143	5.76	-3.13721E-001	-3.57304E-006	0.00000E+000	-3.14000E-001	0.00000E+000	9	...........
	144	5.8	-3.11738E-001	-3.54702E-006	0.00000E+000	-3.12000E-001	0.00000E+000	9	...........
	145	5.84	-3.09716E-001	-3.51524E-006	0.00000E+000	-3.10000E-001	0.00000E+000	9	...........
	146	5.88	-3.07712E-001	-3.47674E-006	0.00000E+000	-3.08000E-001	0.00000E+000	9	...........
	147	5.92	-3.05697E-001	-3.44420E-006	0.00000E+000	-3.06000E-001	0.00000E+000	9	...........
	148	5.96	-3.03701E-001	-3.40618E-006	0.00000E+000	-3.04000E-001	0.00000E+000	9	...........
	149	6	-3.01719E-001	-3.37287E-006	0.00000E+000	-3.02000E-001	0.00000E+000	9	...........
	150	6.04	-2.99716E-001	-3.34193E-006	0.00000E+000	-3.00000E-001	0.00000E+000	9	...........
	151	6.08	-2.97731E-001	-3.29926E-006	0.00000E+000	-2.98000E-001	0.00000E+000	9	...........
	152	6.12	-2.95718E-001	-3.26589E-006	0.00000E+000	-2.96000E-001	0.00000E+000	9	...........
	153	6.16	-2.93712E-001	-3.22815E-006	0.00000E+000	-2.94000E-001	0.00000E+000	9	...........
	154	6.2	-2.91705E-001	-3.18687E-006	0.00000E+000	-2.92000E-001	0.00000E+000	9	...........
	155	6.24	-2.89718E-001	-3.14531E-006	0.00000E+000	-2.90000E-001	0.00000E+000	9	...........
	156	6.28	-2.87708E-001	-3.10493E-006	0.00000E+000	-2.88000E-001	0.00000E+000	9	...........
	157	6.32	-2.85721E-001	-3.05692E-006	0.00000E+000	-2.86000E-001	0.00000E+000	9	...........
	158	6.36	-2.83711E-001	-3.00697E-006	0.00000E+000	-2.84000E-001	0.00000E+000	9	...........
	159	6.4	-2.81699E-001	-2.95784E-006	0.00000E+000	-2.82000E-001	0.00000E+000	9	...........
	160	6.44	-2.79699E-001	-2.90671E-006	0.00000E+000	-2.80000E-001	0.00000E+000	9	...........
	161	6.48	-2.77702E-001	-2.84552E-006	0.00000E+000	-2.78000E-001	0.00000E+000	9	...........
	162	6.52	-2.75707E-001	-2.79411E-006	0.00000E+000	-2.76000E-001	0.00000E+000	9	...........
	163	6.56	-2.73695E-001	-2.73715E-006	0.00000E+000	-2.74000E-001	0.00000E+000	9	...........
	164	6.6	-2.71701E-001	-2.67047E-006	0.00000E+000	-2.72000E-001	0.00000E+000	9	...........
	165	6.64	-2.69713E-001	-2.60977E-006	0.00000E+000	-2.70000E-001	0.00000E+000	9	...........
	166	6.68	-2.67695E-001	-2.53948E-006	0.00000E+000	-2.68000E-001	0.00000E+000	9	...........
	167	6.72	-2.65695E-001	-2.47163E-006	0.00000E+000	-2.66000E-001	0.00000E+000	9	...........
