Vf	Im
V vs. Ref.	A
-5.97867E-001	-2.07596E-006
-5.95861E-001	-2.05958E-006
-5.93867E-001	-2.04848E-006
-5.91856E-001	-2.03315E-006
-5.89874E-001	-2.02448E-006
-5.87862E-001	-2.01629E-006
-5.85862E-001	-1.99839E-006
-5.83856E-001	-1.98625E-006
-5.81851E-001	-1.97452E-006
-5.79862E-001	-1.97404E-006
-5.77865E-001	-1.96134E-006
-5.75841E-001	-1.95197E-006
-5.73859E-001	-1.94226E-006
-5.71847E-001	-1.93664E-006
-5.69863E-001	-1.92894E-006
-5.67861E-001	-1.92228E-006
-5.65839E-001	-1.90958E-006
-5.63843E-001	-1.89911E-006
-5.61845E-001	-1.89480E-006
-5.59844E-001	-1.89245E-006
-5.57842E-001	-1.87961E-006
-5.55857E-001	-1.87371E-006
-5.53847E-001	-1.86261E-006
-5.51858E-001	-1.84908E-006
-5.49838E-001	-1.85491E-006
-5.47840E-001	-1.83923E-006
-5.45841E-001	-1.82258E-006
-5.43848E-001	-1.81814E-006
-5.41848E-001	-1.81571E-006
-5.39837E-001	-1.81661E-006
-5.37824E-001	-1.80940E-006
-5.35824E-001	-1.79316E-006
-5.33829E-001	-1.78824E-006
-5.31838E-001	-1.78616E-006
-5.29833E-001	-1.77124E-006
-5.27843E-001	-1.75063E-006
-5.25840E-001	-1.73981E-006
-5.23817E-001	-1.73579E-006
-5.21817E-001	-1.75306E-006
-5.19832E-001	-1.74564E-006
-5.17831E-001	-1.73599E-006
-5.15830E-001	-1.73912E-006
-5.13812E-001	-1.74154E-006
-5.11810E-001	-1.73592E-006
-5.09808E-001	-1.73461E-006
-5.07812E-001	-1.70658E-006
-5.05818E-001	-1.69908E-006
-5.03831E-001	-1.68535E-006
-5.01834E-001	-1.67466E-006
-4.99831E-001	-1.66474E-006
-4.97811E-001	-1.65218E-006
-4.95805E-001	-1.64483E-006
-4.93822E-001	-1.65836E-006
-4.91821E-001	-1.66314E-006
-4.89821E-001	-1.66710E-006
-4.87805E-001	-1.66613E-006
-4.85792E-001	-1.64053E-006
-4.83808E-001	-1.62582E-006
-4.81792E-001	-1.62492E-006
-4.79806E-001	-1.62568E-006
-4.77813E-001	-1.62478E-006
-4.75812E-001	-1.60910E-006
-4.73804E-001	-1.59952E-006
-4.71796E-001	-1.59675E-006
-4.69808E-001	-1.59002E-006
-4.67812E-001	-1.58599E-006
-4.65795E-001	-1.57746E-006
-4.63807E-001	-1.56872E-006
-4.61791E-001	-1.56705E-006
-4.59785E-001	-1.55692E-006
-4.57780E-001	-1.55339E-006
-4.55789E-001	-1.54784E-006
-4.53801E-001	-1.54513E-006
-4.51799E-001	-1.53833E-006
-4.49810E-001	-1.53327E-006
-4.47771E-001	-1.52667E-006
-4.45784E-001	-1.52286E-006
-4.43790E-001	-1.51474E-006
-4.41795E-001	-1.51294E-006
-4.39794E-001	-1.50121E-006
-4.37783E-001	-1.49247E-006
-4.35791E-001	-1.49240E-006
-4.33776E-001	-1.48165E-006
-4.31780E-001	-1.47929E-006
-4.29787E-001	-1.47013E-006
-4.27779E-001	-1.46361E-006
-4.25792E-001	-1.46049E-006
-4.23788E-001	-1.45140E-006
-4.21766E-001	-1.45091E-006
-4.19770E-001	-1.44037E-006
-4.17778E-001	-1.43613E-006
-4.15776E-001	-1.42906E-006
-4.13784E-001	-1.41567E-006
-4.11779E-001	-1.41137E-006
-4.09766E-001	-1.40623E-006
-4.07765E-001	-1.39902E-006
-4.05764E-001	-1.39090E-006
-4.03780E-001	-1.38889E-006
-4.01777E-001	-1.38514E-006
-3.99782E-001	-1.37452E-006
-3.97777E-001	-1.36786E-006
-3.95769E-001	-1.36419E-006
-3.93769E-001	-1.35787E-006
-3.91778E-001	-1.34767E-006
-3.89780E-001	-1.34108E-006
-3.87775E-001	-1.33498E-006
-3.85754E-001	-1.33026E-006
-3.83753E-001	-1.32381E-006
-3.81768E-001	-1.32298E-006
-3.79770E-001	-1.31118E-006
-3.77761E-001	-1.30473E-006
-3.75762E-001	-1.29710E-006
-3.73771E-001	-1.28773E-006
-3.71771E-001	-1.28787E-006
-3.69757E-001	-1.27975E-006
-3.67759E-001	-1.27150E-006
-3.65772E-001	-1.26685E-006
-3.63762E-001	-1.25457E-006
-3.61759E-001	-1.25408E-006
-3.59752E-001	-1.25138E-006
-3.57737E-001	-1.24326E-006
-3.55750E-001	-1.23119E-006
-3.53737E-001	-1.22695E-006
-3.51744E-001	-1.21877E-006
-3.49750E-001	-1.21002E-006
-3.47757E-001	-1.21148E-006
-3.45727E-001	-1.19809E-006
-3.43742E-001	-1.19011E-006
-3.41749E-001	-1.18123E-006
-3.39749E-001	-1.17513E-006
-3.37747E-001	-1.16985E-006
-3.35750E-001	-1.17013E-006
-3.33754E-001	-1.15848E-006
-3.31728E-001	-1.14751E-006
-3.29745E-001	-1.14300E-006
-3.27736E-001	-1.12920E-006
-3.25738E-001	-1.12316E-006
-3.23748E-001	-1.11823E-006
-3.21742E-001	-1.11435E-006
-3.19724E-001	-1.10478E-006
-3.17722E-001	-1.09694E-006
-3.15727E-001	-1.09048E-006
-3.13727E-001	-1.08132E-006
-3.11744E-001	-1.07002E-006
-3.09710E-001	-1.06717E-006
-3.07712E-001	-1.04844E-006
-3.05703E-001	-1.04719E-006
-3.03708E-001	-1.03741E-006
-3.01723E-001	-1.02686E-006
-2.99720E-001	-1.01604E-006
-2.97728E-001	-1.01014E-006
-2.95730E-001	-1.00001E-006
-2.93713E-001	-9.92796E-007
-2.91710E-001	-9.77671E-007
-2.89717E-001	-9.72468E-007
-2.87717E-001	-9.66640E-007
-2.85723E-001	-9.58384E-007
-2.83714E-001	-9.45618E-007
-2.81699E-001	-9.37570E-007
-2.79700E-001	-9.28411E-007
-2.77714E-001	-9.19670E-007
-2.75713E-001	-9.06626E-007
-2.73707E-001	-8.88726E-007
-2.71701E-001	-8.79984E-007
-2.69712E-001	-8.67635E-007
-2.67703E-001	-8.55840E-007
-2.65702E-001	-8.43629E-007
-2.63712E-001	-8.39397E-007
-2.61700E-001	-8.21566E-007
-2.59707E-001	-8.14975E-007
-2.57691E-001	-8.01654E-007
-2.55690E-001	-7.87640E-007
-2.53678E-001	-7.73070E-007
-2.51690E-001	-7.56349E-007
-2.49694E-001	-7.38241E-007
