Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
HQ t0	HQ t0	HQ t1	HQ t1	HQ t2	HQ t2	HQ t3	HQ t3	HQ t4	HQ t4	HQ t5	HQ t5	HQ t6	HQ t6	HQ t7	HQ t7	HQ t8	HQ t8	HQ t9	HQ t9	HQ t10	HQ t10	HQ t11	HQ t11	HQ Au	HQ Au
200.3365	0.064889	200.3506	-0.013451	200.3309	-0.014116	200.3934	-0.073538	200.3716	1.91E-4	200.284	0.003794	200.3152	0.027252	200.2904	0.005111	200.2215	-0.012051	200.2323	0.005177	200.2182	0.007703				
200.5793	0.07262	200.6023	0.003796	200.5548	0.005882	200.6246	-0.041357	200.5882	0.013965	200.5218	0.017	200.5365	0.039014	200.5245	0.017053	200.4707	0.004269	200.4638	0.017837	200.4587	0.019875				
201.0888	0.083131	201.108	0.023802	201.0523	0.029565	201.1062	-0.004059	201.0763	0.031252	201.0192	0.031752	201.0331	0.053093	201.0098	0.031573	200.9811	0.022011	200.9453	0.032157	200.9689	0.033604				
201.8326	0.097685	201.8579	0.044131	201.801	0.05524	201.8342	0.032951	201.7955	0.048753	201.7661	0.046856	201.7586	0.06763	201.7528	0.046347	201.7188	0.040061	201.7092	0.04742	201.7106	0.047303				
202.8411	0.114913	202.8472	0.06705	202.798	0.082171	202.8304	0.073835	202.7809	0.067048	202.7497	0.06385	202.7294	0.085429	202.7411	0.06102	202.7154	0.059668	202.7084	0.06422	202.7166	0.061591				
203.8538	0.123202	203.8303	0.074738	203.8073	0.086015	203.8197	0.083153	203.8017	0.069859	203.7438	0.066948	203.7331	0.091027	203.7296	0.064195	203.6996	0.062179	203.7131	0.066977	203.7188	0.062993				
204.8244	0.130861	204.8243	0.079208	204.7883	0.08833	204.8069	0.0904	204.7872	0.070716	204.7365	0.068679	204.7102	0.096409	204.722	0.067004	204.6695	0.065254	204.7085	0.068532	204.6901	0.065096				
205.8197	0.136586	205.8105	0.083605	205.7744	0.089569	205.7915	0.097422	205.7936	0.071739	205.7112	0.0707	205.6847	0.100127	205.6915	0.070377	205.6481	0.068571	205.6842	0.069531	205.6868	0.068147				
206.8005	0.140058	206.8107	0.085878	206.7695	0.090764	206.7675	0.102506	206.7689	0.073749	206.7108	0.073227	206.6902	0.102126	206.6662	0.075301	206.6508	0.071162	206.668	0.069138	206.6718	0.071709				
207.808	0.147794	207.8128	0.088138	207.7649	0.094286	207.764	0.10832	207.7654	0.076435	207.7052	0.077328	207.6844	0.103879	207.6699	0.079393	207.6452	0.074789	207.6684	0.070836	207.6619	0.075819				
208.8243	0.15326	208.8122	0.092323	208.7665	0.097085	208.7637	0.111765	208.7595	0.078217	208.6844	0.080819	208.6799	0.104978	208.644	0.0795	208.6572	0.077423	208.671	0.072258	208.6733	0.076932				
209.8139	0.159395	209.811	0.096912	209.7672	0.099164	209.7811	0.116985	209.7386	0.080261	209.6787	0.084029	209.6762	0.108652	209.6489	0.079708	209.6629	0.080048	209.6607	0.073935	209.682	0.077251				
210.8032	0.16766	210.8228	0.102529	210.7688	0.102547	210.7697	0.123496	210.7355	0.08252	210.6823	0.085795	210.664	0.112073	210.6627	0.080152	210.6652	0.082975	210.668	0.076433	210.6719	0.077842				
211.7818	0.173794	211.8074	0.104716	211.7546	0.105775	211.7717	0.126503	211.7123	0.085548	211.6817	0.086359	211.6563	0.114696	211.6451	0.079493	211.6824	0.083402	211.6578	0.077625	211.6577	0.077647				
212.7937	0.182781	212.7713	0.106868	212.7639	0.109657	212.7717	0.130294	212.7023	0.089796	212.6743	0.089243	212.648	0.118312	212.6622	0.08186	212.6755	0.084612	212.6564	0.080018	212.641	0.079611				
213.7835	0.189376	213.7701	0.111819	213.7664	0.114397	213.7499	0.13662	213.6963	0.0937	213.7073	0.092355	213.6752	0.120366	213.6514	0.083915	213.7032	0.086091	213.6654	0.083453	213.6459	0.081411				
214.8094	0.193784	214.7604	0.115797	214.759	0.117037	214.7699	0.141099	214.7139	0.094879	214.7068	0.094229	214.6713	0.121403	214.6504	0.084767	214.688	0.085641	214.6693	0.084944	214.6608	0.082258				
215.8026	0.197185	215.7775	0.120652	215.7703	0.119689	215.7696	0.147679	215.7301	0.097037	215.7147	0.095871	215.6772	0.124143	215.6662	0.087368	215.6841	0.087352	215.6709	0.087815	215.6729	0.083889				
216.7909	0.200863	216.7961	0.123177	216.7671	0.120876	216.7675	0.154089	216.7402	0.09749	216.7311	0.096511	216.6754	0.126731	216.6648	0.090037	216.6867	0.087667	216.6581	0.089673	216.6698	0.084804				
217.8131	0.20428	217.7853	0.123263	217.7496	0.120749	217.7676	0.156826	217.7487	0.096659	217.7229	0.096719	217.6347	0.128351	217.678	0.09238	217.653	0.088103	217.6487	0.089674	217.6375	0.086749				
218.8127	0.209511	218.7726	0.123339	218.7288	0.12157	218.7546	0.158999	218.7196	0.098803	218.7179	0.097631	218.644	0.131053	218.692	0.095172	218.6563	0.0899	218.6287	0.091544	218.631	0.088834	200.2428	0.016286	200.2242	-0.072914
219.8284	0.216824	219.773	0.124725	219.7263	0.123195	219.752	0.160182	219.7011	0.099932	219.705	0.098859	219.6418	0.134025	219.6817	0.097327	219.6532	0.09198	219.6335	0.09203	219.6249	0.090073	200.4769	0.027676	200.4612	-0.04953
220.8241	0.221717	220.7845	0.127571	220.7217	0.125225	220.7458	0.162587	220.6874	0.102236	220.7021	0.100302	220.646	0.134611	220.6775	0.098496	220.6496	0.094346	220.6593	0.093175	220.6339	0.091301	200.9758	0.040076	200.9561	-0.019641
