WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)	
Ru Adsorbido con HQ 5mM.teq4_2col	Ru Adsorbido con HQ 5mM.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 1.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 1.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 2.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 2.teq4_2col	Ru Adsorbido con HQ 5mM 20 ciclos.teq4_2col	Ru Adsorbido con HQ 5mM 20 ciclos.teq4_2col
-600.2798	-5.0349	-600.3207	-4.2032	-600.3432	-2.429352	-600.2431	-6.514217
-600.0431	-5.020016	-600.0999	-4.191395	-600.0923	-2.41163	-600.0211	-6.498934
-599.5602	-4.998504	-599.6078	-4.17555	-599.5952	-2.387248	-599.5425	-6.47798
-598.8252	-4.96971	-598.8711	-4.158288	-598.8494	-2.356828	-598.8287	-6.450804
-597.8214	-4.936157	-597.8825	-4.137321	-597.8308	-2.317964	-597.8252	-6.417769
-596.8317	-4.91446	-596.8708	-4.128784	-596.838	-2.295158	-596.8099	-6.396983
-595.8235	-4.893211	-595.8812	-4.118079	-595.8498	-2.271885	-595.8057	-6.371785
-594.8226	-4.874471	-594.8745	-4.107599	-594.8567	-2.251668	-594.8022	-6.351432
-593.8331	-4.856196	-593.8597	-4.098177	-593.8767	-2.232933	-593.8062	-6.327744
-592.8107	-4.837218	-592.8352	-4.086271	-592.8596	-2.210521	-592.8162	-6.303138
-591.8102	-4.820009	-591.8226	-4.078497	-591.8568	-2.192984	-591.8188	-6.284284
-590.8401	-4.803682	-590.8186	-4.069659	-590.8433	-2.171778	-590.8074	-6.260811
-589.8424	-4.785906	-589.8309	-4.061985	-589.8474	-2.153611	-589.8165	-6.239605
-588.8828	-4.767693	-588.8557	-4.055948	-588.8729	-2.136323	-588.8285	-6.217501
-587.882	-4.750401	-587.8629	-4.049801	-587.8536	-2.116457	-587.8423	-6.194376
-586.8588	-4.731558	-586.8557	-4.042972	-586.8878	-2.09884	-586.8427	-6.173483
-585.8669	-4.715759	-585.8363	-4.036252	-585.8992	-2.081183	-585.857	-6.154702
-584.8618	-4.698444	-584.8302	-4.028087	-584.8987	-2.063122	-584.8516	-6.135539
-583.8728	-4.679869	-583.8248	-4.019334	-583.9234	-2.045522	-583.8325	-6.11817
-582.8706	-4.665591	-582.8511	-4.012227	-582.9141	-2.028164	-582.8334	-6.101673
-581.8716	-4.646008	-581.8724	-4.005628	-581.8882	-2.009167	-581.8511	-6.085518
-580.8792	-4.629581	-580.8777	-3.998061	-580.8882	-1.990503	-580.8437	-6.069693
-579.8847	-4.611551	-579.8821	-3.990335	-579.879	-1.971465	-579.8585	-6.052302
-578.8967	-4.591648	-578.8683	-3.983217	-578.8792	-1.952132	-578.8448	-6.032077
