Potencial	Intensidad
mv	uA
-196.563000	-0.154112
-197.548500	-0.154266
-198.304200	-0.140465
-198.572400	-0.124435
-198.359300	-0.107136
-197.645800	-0.086658
-196.661300	-0.078339
-195.653900	-0.072569
-194.644500	-0.067037
-193.630300	-0.064348
-192.644700	-0.062954
-191.653700	-0.061635
-190.674800	-0.059679
-189.679100	-0.057435
-188.638000	-0.055661
-187.649400	-0.053417
-186.643300	-0.051166
-185.647400	-0.047795
-184.679600	-0.043028
-183.665500	-0.039532
-182.636300	-0.037541
-181.619900	-0.036275
-180.597200	-0.036865
-179.590500	-0.036877
-178.605500	-0.036328
-177.630300	-0.035583
-176.650700	-0.033457
-175.657700	-0.031813
-174.697500	-0.029566
-173.681400	-0.027276
-172.682200	-0.025495
-171.698500	-0.023308
-170.677000	-0.022615
-169.712800	-0.023132
-168.717100	-0.022805
-167.720700	-0.021833
-166.703200	-0.020658
-165.694900	-0.017909
-164.720600	-0.015807
-163.714900	-0.013760
-162.711400	-0.010885
-161.703300	-0.009886
-160.683300	-0.008771
-159.686900	-0.009894
-158.697400	-0.009804
-157.681700	-0.009505
-156.664100	-0.010968
-155.655700	-0.010593
-154.654400	-0.010023
-153.671800	-0.009324
-152.680100	-0.006847
-151.668000	-0.004923
-150.678000	-0.004467
-149.679700	-0.001979
-148.697600	-0.001372
-147.707200	0.000372
-146.701400	0.002513
-145.705700	0.003119
-144.696100	0.005245
-143.685900	0.004952
-142.705200	0.003928
-141.679300	0.003156
-140.667100	0.002483
-139.684800	0.003015
-138.670000	0.004116
-137.687800	0.005026
-136.687800	0.005980
-135.681000	0.007568
-134.694400	0.009349
-133.702900	0.010944
-132.703900	0.011032
-131.692500	0.010476
-130.678700	0.009081
-129.666200	0.007604
-128.671100	0.008024
-127.703400	0.008453
-126.717100	0.009602
-125.719200	0.011338
-124.708600	0.012435
-123.699900	0.014107
-122.682600	0.015768
-121.691400	0.016937
-120.722600	0.017639
-119.724000	0.018196
-118.740000	0.018268
-117.734100	0.018604
-116.727500	0.018519
-115.714000	0.018527
-114.702300	0.018974
-113.695400	0.019598
-112.705000	0.020643
-111.715400	0.021310
-110.730500	0.021981
-109.734400	0.022390
-108.698900	0.024090
-107.688300	0.025453
-106.659100	0.025921
-105.634100	0.025900
-104.657800	0.025230
-103.657100	0.024657
-102.664600	0.024202
-101.693500	0.024904
-100.683800	0.024580
-99.693760	0.024826
-98.739900	0.025104
-97.733420	0.025847
-96.735970	0.027966
-95.743640	0.029581
-94.720290	0.031390
-93.711320	0.031168
-92.695040	0.029635
-91.680310	0.028503
-90.663350	0.027690
-89.658060	0.027389
-88.692280	0.027778
-87.703210	0.028397
-86.700800	0.028451
-85.726090	0.029340
-84.713780	0.030945
-83.702060	0.030897
-82.713250	0.031124
-81.701690	0.030743
-80.687580	0.029805
-79.687990	0.029098
-78.688160	0.029228
-77.687540	0.029815
-76.688000	0.029964
-75.711760	0.031454
-74.721110	0.032531
-73.737980	0.033185
-72.762700	0.034497
-71.751210	0.035319
-70.741830	0.034996
-69.754230	0.035151
-68.748370	0.034725
-67.742190	0.034579
-66.738950	0.034496
-65.732780	0.034276
-64.747350	0.034900
-63.741280	0.035213
-62.731010	0.036139
-61.705120	0.037322
-60.673490	0.037448
-59.665580	0.037744
-58.674710	0.039369
-57.679670	0.039839
-56.691470	0.040735
-55.691270	0.040774
-54.690990	0.039939
-53.691650	0.039623
-52.687390	0.038889
-51.714490	0.038954
-50.716980	0.038653
-49.722760	0.038584
-48.733420	0.039352
-47.721440	0.039890
-46.728680	0.041475
-45.739600	0.042942
-44.726130	0.043558
-43.715640	0.043465
-42.713280	0.042388
