Potencial	Intensidad
mv	uA
-199.564100	-0.021355
-199.330500	-0.017625
-198.848000	-0.013230
-198.122800	-0.007591
-197.127700	-0.000826
-196.136200	0.003505
-195.118000	0.007724
-194.116400	0.011389
-193.123900	0.013859
-192.116800	0.014811
-191.140900	0.015657
-190.149300	0.016305
-189.142500	0.017479
-188.149000	0.017988
-187.136600	0.019094
-186.139300	0.020206
-185.143700	0.020758
-184.159700	0.022300
-183.153800	0.023091
-182.125600	0.024155
-181.137300	0.026093
-180.118400	0.027401
-179.154700	0.028624
-178.185900	0.028682
-177.204400	0.027846
-176.197700	0.028199
-175.183400	0.028116
-174.173400	0.028192
-173.149800	0.028971
-172.167900	0.029424
-171.190000	0.030216
-170.188800	0.031612
-169.199500	0.033019
-168.194500	0.033736
-167.182900	0.034137
-166.190000	0.034044
-165.191500	0.033581
-164.205400	0.033131
-163.198300	0.033851
-162.200800	0.034900
-161.218000	0.035670
-160.210100	0.037141
-159.216300	0.037963
-158.204100	0.039825
-157.172100	0.040692
-156.156700	0.038468
-155.142100	0.033491
-154.132400	0.027134
-153.150300	0.022941
-152.147600	0.021985
-151.159900	0.024449
-150.210000	0.027766
-149.205200	0.030781
-148.229600	0.032862
-147.230400	0.034622
-146.203500	0.036094
-145.198100	0.036405
-144.187700	0.037176
-143.170200	0.036875
-142.174400	0.036340
-141.184400	0.037963
-140.212800	0.038474
-139.237000	0.040011
-138.250200	0.042083
-137.277200	0.042167
-136.251200	0.043585
-135.248700	0.044792
-134.232500	0.044876
-133.205100	0.046235
-132.213800	0.046652
-131.204500	0.047548
-130.205400	0.048205
-129.207600	0.047782
-128.209400	0.047348
-127.233000	0.047134
-126.246200	0.046806
-125.245800	0.047801
-124.257100	0.047697
-123.255700	0.046041
-122.260100	0.046516
-121.256800	0.045166
-120.230600	0.046757
-119.215000	0.048869
-118.188900	0.049192
-117.197700	0.050331
-116.228700	0.049648
-115.217400	0.049003
-114.240400	0.049032
-113.239200	0.048231
-112.216900	0.048307
-111.210800	0.048836
-110.192600	0.048902
-109.179700	0.049124
-108.176900	0.048023
-107.171200	0.046188
-106.154900	0.039330
-105.149200	0.034814
-104.155700	0.032512
-103.185600	0.029979
-102.184900	0.032344
-101.191600	0.034968
-100.189300	0.036461
-99.171450	0.038923
-98.181640	0.040609
-97.203870	0.039995
-96.205440	0.039773
-95.224540	0.039615
-94.238300	0.040862
-93.233340	0.042276
-92.236600	0.041953
-91.242170	0.041430
-90.243050	0.040812
-89.241870	0.040953
-88.229200	0.042917
-87.217420	0.045357
-86.221800	0.046568
-85.211310	0.047649
-84.236720	0.047867
-83.246850	0.047384
-82.226870	0.048765
-81.222790	0.049581
-80.206150	0.050410
-79.219730	0.050516
-78.239080	0.050330
-77.245150	0.049888
-76.244450	0.048695
-75.236080	0.048588
-74.245640	0.047597
-73.257230	0.046895
-72.275060	0.047399
-71.280850	0.048641
-70.266110	0.049756
-69.237400	0.051060
-68.221040	0.051811
-67.200620	0.051518
-66.224590	0.051395
-65.256320	0.051049
-64.253720	0.051417
-63.280170	0.051047
-62.263520	0.051107
-61.250850	0.052066
-60.247640	0.052704
-59.230800	0.054213
-58.218710	0.055851
-57.224180	0.057291
-56.226600	0.058433
-55.219780	0.059023
-54.213460	0.058757
-53.208090	0.057871
-52.232510	0.056761
-51.224660	0.057125
-50.250550	0.056961
-49.250680	0.057340
-48.245440	0.058364
-47.254950	0.057849
-46.267150	0.058030
-45.269830	0.058371
-44.268910	0.058652
-43.263290	0.058899
-42.227460	0.059685
-41.222970	0.059418
-40.206000	0.059461
-39.209910	0.060769
-38.218570	0.060909
-37.236020	0.061395
-36.258210	0.061868
-35.255250	0.061299
-34.266430	0.062161
-33.270900	0.062704
-32.273740	0.063014
-31.274930	0.063630
-30.259490	0.062606
-29.218100	0.061960
-28.209300	0.061267
-27.207550	0.060274
-26.211790	0.060771
-25.249030	0.061566
-24.252860	0.062566
-23.265270	0.063330
-22.267150	0.062671
-21.262930	0.062229
-20.260530	0.062529
-19.267450	0.064151
-18.264710	0.066639
-17.275560	0.067832
-16.249750	0.066598
-15.231440	0.064548
-14.243540	0.063216
-13.242600	0.063063
-12.271500	0.064886
-11.275490	0.066692
-10.262400	0.067725
-9.235437	0.067054
-8.217012	0.066072
-7.215823	0.065955
-6.199264	0.066615
-5.190398	0.068381
-4.193980	0.068185
-3.230369	0.066113
-2.272636	0.063919
-1.313796	0.063164
-0.340081	0.063548
0.668158	0.064842
1.650822	0.065413
2.663271	0.064666
3.647982	0.067419
4.628682	0.067925
5.631505	0.068470
6.588809	0.068695
7.569211	0.065180
8.580240	0.063693
9.588232	0.063036
10.624140	0.062201
11.641030	0.063569
12.609400	0.063301
13.576460	0.062861
14.536770	0.063640
15.544560	0.063361
16.558710	0.066213
17.548850	0.068787
18.563500	0.069151
19.552920	0.068211
20.559190	0.066687
21.579750	0.065115
22.590070	0.064492
23.561470	0.065832
24.570600	0.067005
25.565510	0.066138
26.559220	0.067063
27.581100	0.067149
28.579730	0.065152
29.567760	0.065489
30.536160	0.064828
31.529540	0.063331
32.535830	0.064148
33.548760	0.065269
34.574460	0.065904
35.585090	0.066400
36.569030	0.066453
37.585240	0.065942
38.579130	0.065447
