Potencial	Intensidad
mv	uA
-197.784800	-0.137086
-198.467800	-0.125836
-198.627900	-0.110787
-198.298800	-0.094639
-197.441600	-0.078373
-196.435400	-0.073034
-195.414900	-0.069811
-194.393200	-0.066953
-193.398800	-0.064379
-192.422000	-0.061246
-191.460100	-0.059038
-190.499600	-0.056953
-189.504500	-0.053900
-188.487500	-0.051493
-187.483900	-0.048641
-186.477900	-0.045697
-185.471400	-0.043815
-184.476000	-0.042082
-183.456700	-0.040728
-182.441500	-0.039500
-181.438400	-0.037971
-180.448600	-0.036733
-179.467900	-0.035060
-178.463600	-0.033004
-177.477200	-0.031837
-176.453800	-0.030515
-175.431800	-0.029828
-174.446500	-0.029013
-173.452100	-0.027221
-172.462500	-0.025326
-171.489400	-0.022788
-170.486800	-0.021508
-169.476200	-0.020559
-168.485200	-0.019154
-167.458000	-0.018564
-166.461100	-0.017312
-165.467000	-0.015717
-164.464100	-0.014589
-163.490300	-0.013060
-162.487000	-0.011506
-161.473200	-0.010110
-160.486900	-0.008464
-159.472000	-0.007224
-158.465000	-0.006441
-157.467900	-0.006469
-156.459100	-0.007366
-155.440000	-0.007963
-154.435900	-0.007635
-153.455200	-0.007148
-152.453400	-0.005878
-151.474500	-0.004219
-150.482100	-0.003266
-149.491200	-0.001223
-148.477700	-0.000142
-147.492500	0.000130
-146.504900	0.000022
-145.489500	-0.000983
-144.499000	-0.000889
-143.493500	-0.001453
-142.484000	-0.000889
-141.484400	0.000397
-140.489900	0.000755
-139.496900	0.002659
-138.489300	0.004507
-137.494000	0.004897
-136.484200	0.005976
-135.473400	0.006540
-134.476800	0.006119
-133.476300	0.007029
-132.477000	0.007725
-131.471200	0.008064
-130.488700	0.008360
-129.498700	0.008177
-128.517400	0.008784
-127.517400	0.009997
-126.534600	0.011348
-125.511300	0.012859
-124.493700	0.013148
-123.520500	0.013670
-122.498300	0.014536
-121.514100	0.014764
-120.532100	0.014854
-119.522400	0.014485
-118.507600	0.013601
-117.499500	0.013241
-116.506500	0.013377
-115.506600	0.013980
-114.517400	0.014647
-113.551700	0.015301
-112.536600	0.016437
-111.528000	0.017298
-110.543000	0.018893
-109.517600	0.020097
-108.510700	0.020009
-107.509000	0.019277
-106.488400	0.018540
-105.464100	0.017289
-104.465800	0.017438
-103.440800	0.017415
-102.459400	0.016924
-101.489400	0.017697
-100.499900	0.017834
-99.521420	0.019453
-98.497320	0.020271
-97.505290	0.020459
-96.517630	0.020283
-95.527220	0.019118
-94.545460	0.018893
-93.536520	0.018901
-92.530410	0.018477
-91.519940	0.018972
-90.524060	0.019237
-89.540450	0.019282
-88.541030	0.021640
-87.540790	0.023341
-86.542720	0.024672
-85.527570	0.026603
-84.537010	0.026472
-83.559060	0.026063
-82.566880	0.025862
-81.556510	0.024712
-80.535050	0.024779
-79.537700	0.024446
-78.534410	0.024467
-77.545720	0.024919
-76.551120	0.025151
-75.545060	0.024839
-74.536180	0.025258
-73.534000	0.025198
-72.553770	0.025261
-71.561370	0.026603
-70.576130	0.026321
-69.585840	0.026707
-68.574910	0.026411
-67.559720	0.025238
-66.539530	0.025048
-65.542270	0.025039
-64.542980	0.025856
-63.556450	0.026262
-62.574040	0.026796
-61.561600	0.028741
-60.563710	0.029211
-59.565810	0.031298
-58.557520	0.032503
-57.564850	0.031315
-56.557060	0.031088
-55.544300	0.030567
-54.537180	0.029969
-53.528610	0.030288
-52.522740	0.030798
-51.523330	0.031417
-50.541210	0.033000
-49.548030	0.035321
-48.545140	0.038152
-47.532380	0.040095
-46.521350	0.042114
