Potencial	Intensidad
mv	uA
-199.585900	-0.144522
-199.360800	-0.136425
-198.879900	-0.125918
-198.158900	-0.112596
-197.165700	-0.097228
-196.139900	-0.089848
-195.115400	-0.084075
-194.098700	-0.080424
-193.101400	-0.077608
-192.115500	-0.073516
-191.127300	-0.070397
-190.130300	-0.066653
-189.124600	-0.062692
-188.143000	-0.059917
-187.172000	-0.056301
-186.170200	-0.052026
-185.200800	-0.049439
-184.171300	-0.046777
-183.142700	-0.044156
-182.152800	-0.042952
-181.128800	-0.041253
-180.161700	-0.039614
-179.191600	-0.038093
-178.214000	-0.036209
-177.248600	-0.034472
-176.222100	-0.030974
-175.191000	-0.028152
-174.170600	-0.026013
-173.142300	-0.023498
-172.156800	-0.023002
-171.177700	-0.021775
-170.171300	-0.020366
-169.174400	-0.020031
-168.180400	-0.019237
-167.195800	-0.018698
-166.210900	-0.017570
-165.217600	-0.014752
-164.214100	-0.012273
-163.184300	-0.009839
-162.183900	-0.008249
-161.174800	-0.007618
-160.179400	-0.006448
-159.193100	-0.005646
-158.172900	-0.004798
-157.159000	-0.004247
-156.137900	-0.004377
-155.134000	-0.004343
-154.130600	-0.003649
-153.147900	-0.002859
-152.162700	-0.001513
-151.163400	0.000625
-150.167000	0.002201
-149.157400	0.004290
-148.175400	0.006674
-147.184400	0.009115
-146.209800	0.010050
-145.198300	0.010320
-144.185000	0.010584
-143.173200	0.010722
-142.179600	0.012070
-141.196200	0.014029
-140.228900	0.015173
-139.253400	0.015305
-138.249500	0.016269
-137.278500	0.016879
-136.267600	0.018645
-135.260500	0.020299
-134.263700	0.020952
-133.253000	0.022127
-132.241600	0.021956
-131.243900	0.022877
-130.238700	0.023764
-129.244900	0.024302
-128.251400	0.025436
-127.259200	0.026849
-126.261000	0.028980
-125.241000	0.030594
-124.239100	0.031242
-123.231700	0.030629
-122.222500	0.030774
-121.250900	0.031596
-120.252900	0.032275
-119.247400	0.033087
-118.243200	0.032250
-117.230400	0.031595
-116.212000	0.032448
-115.217000	0.033807
-114.235400	0.035758
-113.254100	0.037293
-112.248300	0.038201
-111.243600	0.038647
-110.220700	0.040295
-109.207400	0.042246
-108.211100	0.043403
-107.202600	0.044132
-106.204100	0.043790
-105.171100	0.042413
-104.173000	0.042150
-103.165100	0.043135
-102.175000	0.043410
-101.198800	0.044653
-100.194500	0.045581
-99.213010	0.045792
-98.206760	0.047523
-97.206770	0.049863
-96.221310	0.050693
-95.220970	0.050829
-94.213200	0.050268
