Potencial	Intensidad
mv	uA
-199.580000	-0.214775
-199.340800	-0.209229
-198.859100	-0.202121
-198.130300	-0.194197
-197.126700	-0.184822
-196.146200	-0.180449
-195.147600	-0.175992
-194.140000	-0.171845
-193.177700	-0.167730
-192.173400	-0.163494
-191.189700	-0.159916
-190.220800	-0.156143
-189.211400	-0.151794
-188.215500	-0.147645
-187.221800	-0.143626
-186.201100	-0.140545
-185.196500	-0.138633
-184.191300	-0.136972
-183.155200	-0.134933
-182.144800	-0.132724
-181.133700	-0.130390
-180.135100	-0.127932
-179.155400	-0.125626
-178.181500	-0.122783
-177.194900	-0.119825
-176.185200	-0.117076
-175.184200	-0.114648
-174.174000	-0.112733
-173.163200	-0.111198
-172.187300	-0.110320
-171.189500	-0.109331
-170.189600	-0.107579
-169.219700	-0.106143
-168.221100	-0.103779
-167.215600	-0.100931
-166.219900	-0.098668
-165.193700	-0.095671
-164.159900	-0.093315
-163.156800	-0.091795
-162.152200	-0.090086
-161.164700	-0.088805
-160.190900	-0.087641
-159.210900	-0.086805
-158.216900	-0.086172
-157.200300	-0.084968
-156.190900	-0.083528
-155.169200	-0.081533
-154.151900	-0.079424
-153.163500	-0.078083
-152.174700	-0.076693
-151.187200	-0.074977
-150.215900	-0.072719
-149.228000	-0.070806
-148.230900	-0.069207
-147.239800	-0.068559
-146.224700	-0.068899
-145.234400	-0.068629
-144.222000	-0.067416
-143.220100	-0.065803
-142.226400	-0.064332
-141.215600	-0.062872
-140.240400	-0.062335
-139.242000	-0.061616
-138.237400	-0.059738
-137.227600	-0.058361
-136.199400	-0.057210
-135.203400	-0.057161
-134.203700	-0.057309
-133.208200	-0.057333
-132.214200	-0.056905
-131.217400	-0.055407
-130.218300	-0.054299
-129.233600	-0.053434
-128.246400	-0.052221
-127.234800	-0.050920
-126.240800	-0.049695
-125.231700	-0.048120
-124.240200	-0.047267
-123.255800	-0.047082
-122.253800	-0.047081
-121.260400	-0.047380
-120.267200	-0.047119
-119.248800	-0.046196
-118.249800	-0.045558
-117.238900	-0.043979
-116.207500	-0.042557
-115.218700	-0.041962
-114.219600	-0.040584
-113.221300	-0.039807
-112.234500	-0.038507
-111.222600	-0.037056
-110.225600	-0.036363
-109.233800	-0.036539
-108.242700	-0.037490
-107.240900	-0.037361
-106.212100	-0.036545
-105.181200	-0.035250
-104.176800	-0.033729
-103.168600	-0.033402
-102.202700	-0.033700
-101.228500	-0.033176
-100.219900	-0.031945
-99.233280	-0.030817
-98.229270	-0.029969
-97.217540	-0.028659
-96.237340	-0.028996
-95.252810	-0.027580
-94.267090	-0.027055
-93.272490	-0.026266
-92.269350	-0.025993
-91.273100	-0.026144
-90.258030	-0.024861
-89.290860	-0.025302
-88.312330	-0.024246
-87.305500	-0.023389
-86.306980	-0.024552
-85.300440	-0.023843
-84.285600	-0.022733
-83.280480	-0.022742
-82.286390	-0.021046
-81.291720	-0.020765
-80.274020	-0.020840
-79.287000	-0.021156
-78.291890	-0.020627
-77.268720	-0.019530
-76.282460	-0.019011
-75.272610	-0.017727
-74.259640	-0.017038
-73.244290	-0.017587
-72.221980	-0.018034
-71.235460	-0.018331
-70.243360	-0.018598
-69.275660	-0.018042
-68.277130	-0.016680
-67.254060	-0.014970
-66.249600	-0.013282
-65.237560	-0.011922
-64.239330	-0.011020
-63.254310	-0.010939
-62.258600	-0.010331
-61.244490	-0.009421
-60.257030	-0.009427
-59.261840	-0.009380
-58.274070	-0.009946
-57.290700	-0.010553
-56.284460	-0.009777
-55.260570	-0.008775
-54.204150	-0.007484
-53.192760	-0.006337
-52.202900	-0.005868
-51.226470	-0.005124
-50.272040	-0.003570
-49.271430	-0.002251
-48.253190	-0.001226
-47.239700	-0.001269
-46.251140	-0.002497
-45.253070	-0.003183
-44.262740	-0.003233
-43.261180	-0.002311
-42.231010	-0.001305
-41.250730	-0.000594
-40.271840	-0.000153
-39.281520	0.000142
-38.306050	0.001252
-37.298810	0.002609
-36.286650	0.003352
-35.273730	0.003853
-34.277420	0.003559
-33.275840	0.003028
-32.267250	0.003725
-31.273180	0.004349
-30.271990	0.005786
-29.253770	0.006862
-28.259820	0.007310
-27.280640	0.008135
-26.255580	0.008306
-25.273540	0.008731
-24.268080	0.009284
-23.246040	0.009332
-22.255320	0.009166
-21.258640	0.009346
-20.288530	0.009867
-19.311170	0.010842
-18.335090	0.012113
-17.330360	0.013437
-16.299470	0.014771
-15.283480	0.015999
-14.274060	0.016812
-13.274800	0.017566
-12.271710	0.018261
-11.268330	0.019088
-10.258830	0.020216
-9.253154	0.020157
-8.270093	0.020167
-7.272438	0.020438
-6.279636	0.020975
-5.263390	0.022723
-4.234794	0.024185
-3.247722	0.024397
-2.265157	0.024833
-1.322282	0.025324
-0.368924	0.026540
0.611676	0.028416
1.602513	0.029689
2.617818	0.030465
3.619849	0.030016
4.607400	0.029932
5.611594	0.030165
6.569674	0.030543
7.558216	0.031605
8.550224	0.032971
9.563383	0.033954
10.590110	0.035152
11.564720	0.036866
12.561730	0.038349
13.542700	0.039304
14.547170	0.039994
15.572930	0.040099
16.575320	0.039977
17.569330	0.040042
18.570930	0.040838
19.563270	0.041219
20.560670	0.042254
21.555390	0.043824
22.547660	0.045442
23.555210	0.047072
24.555870	0.048229
