Potencial	Intensidad
mv	uA
-199.588600	-0.151213
-199.349800	-0.139890
-198.880800	-0.124871
-198.150100	-0.107745
-197.169200	-0.087892
-196.162000	-0.077315
-195.122400	-0.069225
-194.120000	-0.062955
-193.111600	-0.058332
-192.130300	-0.054744
-191.151000	-0.052315
-190.155100	-0.048843
-189.142800	-0.045211
-188.143500	-0.042607
-187.152300	-0.038367
-186.127700	-0.034112
-185.125000	-0.030950
-184.128800	-0.027082
-183.097800	-0.023990
-182.098100	-0.021741
-181.106700	-0.018249
-180.105300	-0.016236
-179.134200	-0.014336
-178.182300	-0.013452
-177.208400	-0.013052
-176.207200	-0.010140
-175.198400	-0.008196
-174.172100	-0.004768
-173.150000	-0.001716
-172.163500	-0.001093
-171.160400	-0.000085
-170.166200	0.002133
-169.182300	0.004230
-168.157900	0.007195
-167.179200	0.009085
-166.196400	0.009175
-165.197400	0.009109
-164.203700	0.008939
-163.183000	0.010789
-162.157000	0.012263
-161.159200	0.013811
-160.159000	0.015739
-159.174700	0.016975
-158.181200	0.019132
-157.144000	0.022438
-156.128400	0.023157
-155.119500	0.023118
-154.112100	0.022497
-153.128100	0.020392
-152.120800	0.019939
-151.129900	0.021479
-150.142900	0.022595
-149.163300	0.024380
-148.197200	0.027012
-147.211200	0.028782
-146.203800	0.030819
-145.219500	0.030786
-144.202100	0.031340
-143.181500	0.030424
-142.196800	0.030738
-141.169200	0.031512
-140.176700	0.032198
-139.209100	0.033611
-138.209100	0.034472
-137.224500	0.035499
-136.232700	0.036087
-135.230800	0.036276
-134.240500	0.035535
-133.224200	0.037074
-132.208200	0.038922
-131.198400	0.039731
-130.174200	0.041006
-129.177100	0.040868
-128.211300	0.040172
-127.225300	0.040839
-126.228200	0.040582
-125.234000	0.041081
-124.231900	0.040904
-123.212800	0.041098
-122.242800	0.042709
-121.253100	0.043557
-120.225800	0.044811
-119.215400	0.046096
-118.193800	0.046035
-117.178900	0.045670
-116.206700	0.045246
-115.222700	0.044388
-114.208300	0.044612
-113.221500	0.045146
-112.209300	0.046567
-111.209800	0.048359
-110.240500	0.049108
-109.219200	0.050268
-108.199100	0.050472
-107.182600	0.050669
