Potencial	Intensidad
mv	uA
-199.635000	-0.137484
-199.384500	-0.131364
-198.890200	-0.122782
-198.136900	-0.112465
-197.143900	-0.099687
-196.127600	-0.092368
-195.103500	-0.086001
-194.090600	-0.080858
-193.070700	-0.077516
-192.085900	-0.074348
-191.113800	-0.072289
-190.148900	-0.070139
-189.146400	-0.067033
-188.160400	-0.064142
-187.147200	-0.060642
-186.136100	-0.056298
-185.156300	-0.052989
-184.142900	-0.049239
-183.132200	-0.045803
-182.107500	-0.043274
-181.090500	-0.040362
-180.103100	-0.038898
-179.125900	-0.037650
-178.159400	-0.036598
-177.179900	-0.035751
-176.155700	-0.033369
-175.146200	-0.031067
-174.143800	-0.028695
-173.138600	-0.026027
-172.166000	-0.024712
-171.192700	-0.022478
-170.176900	-0.019226
-169.170700	-0.016819
-168.184100	-0.014083
-167.172400	-0.012827
-166.185200	-0.013218
-165.183000	-0.013144
-164.161800	-0.012544
-163.144200	-0.011021
-162.155100	-0.009299
-161.174500	-0.007639
-160.172000	-0.005840
-159.211400	-0.004736
-158.211100	-0.002212
-157.178800	-0.001133
-156.186500	-0.000429
-155.178200	-0.000069
-154.167800	0.000567
-153.199200	0.002408
-152.219700	0.003591
-151.214800	0.005587
-150.229400	0.006107
-149.252200	0.006778
-148.251400	0.007578
-147.254200	0.008498
-146.257700	0.009673
-145.243100	0.009469
-144.232800	0.011407
-143.233600	0.011482
-142.215900	0.012116
-141.198400	0.013636
-140.214100	0.013288
-139.225500	0.014788
-138.238300	0.015748
-137.259900	0.016820
-136.245100	0.018586
-135.224500	0.020148
-134.218900	0.021417
-133.204900	0.023170
-132.201300	0.024199
-131.190400	0.025458
-130.174400	0.025632
-129.185200	0.024995
-128.193400	0.024305
-127.219300	0.023580
-126.249900	0.024386
-125.232700	0.025885
-124.225700	0.027721
-123.219200	0.029113
-122.189100	0.030080
-121.205900	0.030359
-120.214400	0.031456
-119.204700	0.033341
-118.209600	0.034506
-117.195400	0.035438
-116.189100	0.034821
-115.219400	0.033851
-114.239200	0.033548
-113.236600	0.033565
-112.219800	0.034633
-111.188400	0.034920
-110.192800	0.035691
-109.218800	0.037153
-108.233200	0.038060
-107.224800	0.039915
-106.203500	0.040405
-105.173700	0.040120
-104.166700	0.040059
-103.161400	0.039322
-102.156100	0.039101
-101.163500	0.039377
-100.178600	0.039470
-99.190250	0.040023
-98.210780	0.040774
-97.234790	0.042193
-96.224780	0.043549
-95.226070	0.044236
-94.203930	0.045455
-93.196750	0.045691
-92.200030	0.045256
-91.216100	0.045288
-90.251160	0.044876
-89.247100	0.044701
-88.266890	0.045632
-87.263500	0.046622
-86.260280	0.047759
-85.250300	0.049011
-84.217610	0.050034
-83.205060	0.050295
-82.208300	0.050688
-81.214770	0.052101
-80.225450	0.052710
-79.238300	0.053086
-78.224560	0.052930
-77.220920	0.052348
-76.239970	0.052839
-75.246370	0.054028
-74.241320	0.056037
-73.252410	0.056866
-72.253650	0.057159
-71.243940	0.057186
-70.265190	0.057407
-69.266580	0.058772
-68.242870	0.059920
-67.232940	0.060765
-66.208560	0.059941
-65.211480	0.058456
-64.228640	0.057697
-63.246090	0.058164
-62.252030	0.059350
-61.226850	0.060701
-60.195430	0.061840
-59.196900	0.062384
-58.218940	0.063475
-57.231810	0.064851
-56.248120	0.065584
-55.238330	0.065952
-54.208540	0.065761
-53.192080	0.065249
-52.194330	0.064926
-51.195290	0.065402
-50.229690	0.066060
-49.252110	0.067132
-48.235180	0.068728
-47.234050	0.070144
-46.209800	0.071328
-45.218140	0.071882
-44.251110	0.072104
-43.267810	0.072338
-42.270370	0.072265
-41.255070	0.072368
-40.249570	0.072637
-39.233770	0.072979
-38.248340	0.073941
-37.260680	0.075519
-36.245330	0.076784
-35.239730	0.078134
-34.216540	0.079469
-33.206550	0.080107
-32.229100	0.081033
-31.226750	0.082727
-30.233390	0.083501
-29.204220	0.083922
-28.202430	0.083587
-27.210770	0.082510
-26.219060	0.082996
-25.243310	0.083842
-24.232120	0.085825
-23.245640	0.087337
-22.249390	0.087493
-21.286460	0.088466
-20.302820	0.089270
-19.281550	0.091417
-18.274860	0.093537
-17.242260	0.094533
-16.223760	0.094960
-15.237860	0.094560
-14.228520	0.094742
-13.226040	0.095657
-12.225550	0.096653
-11.221340	0.097094
-10.220100	0.098274
-9.224640	0.098876
-8.240011	0.100004
-7.245476	0.101939
-6.259955	0.101873
-5.253995	0.103037
-4.239450	0.102922
-3.235273	0.102796
-2.260534	0.105247
-1.298342	0.106303
-0.349525	0.108119
0.597906	0.109197
1.574808	0.109531
2.581809	0.110716
3.583262	0.112550
4.595677	0.114277
5.584962	0.115268
6.544925	0.116815
7.540632	0.117854
8.535480	0.119165
9.561913	0.119945
10.567380	0.120624
11.567640	0.121824
12.562100	0.122743
13.546920	0.124956
14.555770	0.126323
15.568160	0.128086
16.585660	0.130248
17.602070	0.132458
18.619060	0.135294
19.610850	0.136817
20.594620	0.137785
21.607680	0.138687
22.589850	0.139220
23.577100	0.140635
24.585520	0.141900
25.564800	0.143630
26.551790	0.145470
27.544080	0.147318
28.528420	0.150432
29.518460	0.153476
30.522670	0.156757
31.523640	0.159930
32.528270	0.161717
33.549200	0.163049
34.578480	0.164051
35.585110	0.165389
36.578420	0.167335
37.568650	0.170003
38.509660	0.172065
39.517440	0.174288
40.514630	0.177374
41.509540	0.180009
42.545520	0.183822
43.527840	0.186370
44.550670	0.189077
45.547860	0.191119
46.557010	0.193119
47.578640	0.196168
48.577190	0.198831
49.562240	0.202357
50.538750	0.206258
51.509090	0.210162
52.494750	0.214300
53.498350	0.218802
54.508550	0.222588
55.535270	0.226365
56.535800	0.230535
57.553590	0.233792
58.546620	0.237610
59.537170	0.242062
60.531270	0.246784
61.496730	0.251721
62.508440	0.257529
63.518850	0.263485
64.521550	0.269374
65.541790	0.275704
66.543570	0.282681
67.534410	0.288472
68.523100	0.294478
69.503400	0.300987
70.484630	0.305625
71.478240	0.311739
72.485120	0.318711
73.523150	0.325447
74.539320	0.333773
75.517750	0.340835
76.524100	0.348799
77.499570	0.356078
78.470880	0.363668
79.494580	0.373989
80.475070	0.383030
81.470840	0.393403
82.492650	0.404745
83.477200	0.413187
84.488910	0.422768
85.507020	0.433093
86.502230	0.442358
87.517320	0.452784
88.497950	0.463371
89.471680	0.474039
90.450410	0.486310
91.444360	0.500255
92.468500	0.515861
93.477010	0.531364
94.494480	0.546300
95.494900	0.561339
96.492980	0.574910
97.510790	0.589964
98.527180	0.605993
99.545160	0.620695
100.537100	0.636757
101.516300	0.653829
102.511700	0.670923
103.506800	0.691228
104.526500	0.713476
105.530700	0.734628
106.521100	0.757270
107.498100	0.778229
108.474300	0.797347
109.455600	0.818485
110.457100	0.841214
111.460600	0.866765
112.450300	0.892360
113.469200	0.921740
114.466400	0.951498
115.459300	0.978046
116.470900	1.009076
117.473800	1.038581
118.466800	1.065466
119.476200	1.097390
120.479600	1.128613
121.464400	1.158720
122.459800	1.194745
123.466400	1.233483
124.487100	1.272923
125.485000	1.312045
126.485400	1.350527
127.469800	1.387316
128.412900	1.420421
129.387700	1.459995
130.378000	1.507214
131.378200	1.549600
132.382700	1.598870
133.415100	1.650170
134.419400	1.693038
135.427000	1.743609
136.446400	1.797076
137.442600	1.847914
138.441500	1.898906
139.428600	1.950149
140.428000	2.001722
141.418500	2.055369
142.418200	2.118248
143.430600	2.187068
144.431300	2.251258
145.451000	2.315480
146.476800	2.381845
147.468000	2.435174
148.456400	2.496178
149.455500	2.563854
150.432700	2.628953
151.423800	2.702362
152.398700	2.776115
153.390400	2.848406
154.396600	2.922227
155.374800	2.997785
156.415700	3.076971
157.408200	3.150954
158.378100	3.225695
159.408900	3.302236
160.384900	3.377180
161.387100	3.459131
162.412600	3.551360
163.404100	3.639628
164.399100	3.726815
165.396400	3.815578
166.382100	3.893841
167.370800	3.979100
168.394900	4.072960
169.405500	4.163772
170.419300	4.257700
171.427900	4.346519
172.426200	4.431030
173.420700	4.511062
174.412600	4.596763
175.427700	4.689819
176.415600	4.774931
177.402600	4.866615
178.419700	4.964455
179.422100	5.048714
180.426800	5.142252
181.437400	5.237535
182.412900	5.314485
183.386500	5.395347
184.384900	5.475582
185.358900	5.550879
186.350900	5.636858
187.372000	5.728320
188.376700	5.827523
189.395800	5.919303
190.427300	6.004050
191.422700	6.086526
192.429700	6.151494
193.428400	6.218757
194.426500	6.296940
195.425900	6.361684
196.410800	6.431665
197.412000	6.509784
198.399000	6.575959
199.421300	6.653200
200.449700	6.728982
201.480200	6.792023
202.502700	6.847889
203.470900	6.889760
204.442500	6.930875
205.420800	6.974255
206.394100	7.020507
207.406700	7.080966
208.403100	7.131219
209.390300	7.175324
210.404200	7.220618
211.381300	7.249247
212.379200	7.280652
213.396700	7.312966
214.384000	7.336332
215.400100	7.364194
216.419000	7.386744
217.411300	7.412053
218.404900	7.440752
219.397900	7.464513
220.378200	7.487168
221.368500	7.498787
222.379000	7.500069
223.379600	7.501673
224.385400	7.500617
225.377900	7.502192
226.376500	7.514186
227.382800	7.516642
228.370100	7.521094
229.391400	7.522334
230.386800	7.507348
231.377200	7.500308
232.384600	7.485491
233.351200	7.465421
234.323700	7.449914
235.299900	7.429285
236.278100	7.410794
237.284400	7.394092
238.299800	7.381054
239.336900	7.371007
240.354100	7.351589
241.355600	7.329013
242.370700	7.302887
243.351400	7.263198
244.345100	7.232883
245.355700	7.206060
246.331300	7.169884
247.320800	7.143240
248.328100	7.117444
249.314000	7.085098
250.338100	7.057403
251.358000	7.028591
252.374800	6.993106
253.375900	6.951868
254.358300	6.910327
255.350000	6.871936
256.318300	6.831576
257.310900	6.797919
258.330500	6.768565
259.329400	6.729415
260.335500	6.691836
261.337200	6.655840
262.304700	6.612011
263.289100	6.572246
264.284200	6.534730
265.271700	6.496889
266.273400	6.459270
267.280700	6.425202
268.282200	6.389924
269.288800	6.352704
270.297500	6.314370
271.317700	6.278394
272.317000	6.237946
273.309300	6.196389
274.299800	6.160569
275.268200	6.120333
276.263700	6.084804
277.262900	6.054626
278.275800	6.020921
279.297600	5.988964
280.318800	5.954664
281.321800	5.918146
282.316700	5.881258
283.306500	5.843896
284.274000	5.808500
285.277300	5.773597
286.259100	5.739024
287.251200	5.707587
288.268300	5.677791
289.271500	5.648623
290.310200	5.621115
291.310600	5.590760
292.310400	5.558503
293.326000	5.526729
294.289800	5.493010
295.296800	5.463204
296.300800	5.433006
297.285900	5.403143
298.291000	5.375695
299.274400	5.346748
300.267800	5.318466
301.279700	5.289865
302.306900	5.261048
303.336700	5.235555
304.352200	5.209163
305.350500	5.183392
306.337300	5.158223
307.307400	5.130876
308.294600	5.104967
309.279200	5.080256
310.267200	5.051791
311.280000	5.026822
312.282800	5.002935
313.277200	4.977809
314.275000	4.956213
315.255900	4.933424
316.248600	4.910925
317.243300	4.889698
318.250200	4.867285
319.276400	4.845975
320.265900	4.823489
321.283800	4.802766
322.279500	4.784925
323.273000	4.762082
324.304000	4.741426
325.291200	4.720567
326.277500	4.697879
327.261600	4.679911
328.263700	4.662500
329.277500	4.643898
330.294400	4.624785
331.311200	4.605690
332.292100	4.585114
333.290100	4.564822
334.283800	4.546542
335.276100	4.528486
336.257600	4.510702
337.247600	4.494094
338.247400	4.479213
339.239000	4.463170
340.255400	4.447845
341.272400	4.432906
342.294400	4.415146
343.288800	4.398620
344.283100	4.382090
345.259200	4.365589
346.244800	4.349955
347.252100	4.334732
348.249800	4.321522
349.260800	4.307914
350.252900	4.294490
351.277800	4.281877
352.293900	4.267567
353.291400	4.254003
354.314400	4.242348
355.326000	4.229315
356.310100	4.215992
357.319200	4.202230
358.301500	4.187143
359.276300	4.173706
360.290200	4.161065
361.295000	4.149630
362.300200	4.137788
363.277000	4.125267
364.261400	4.113620
365.225200	4.102084
366.193700	4.092194
367.226700	4.083150
368.239300	4.072596
369.254100	4.061119
370.285800	4.049063
371.261500	4.036971
372.261200	4.026238
373.272500	4.015777
