Potencial	Intensidad
mv	uA
-199.529400	-0.996538
-199.306000	-0.988692
-198.827300	-0.978764
-198.113200	-0.967027
-197.129200	-0.954055
-196.119400	-0.948472
-195.111500	-0.944647
-194.109400	-0.942501
-193.123800	-0.939540
-192.115200	-0.936444
-191.141700	-0.933611
-190.137900	-0.929862
-189.123000	-0.925475
-188.147600	-0.922135
-187.156300	-0.917583
-186.154700	-0.913502
-185.181200	-0.911736
-184.187500	-0.908512
-183.174700	-0.906166
-182.175300	-0.903467
-181.158600	-0.901063
-180.157600	-0.898128
-179.148100	-0.892633
-178.158000	-0.887083
-177.159900	-0.882976
-176.147700	-0.881579
-175.150300	-0.882605
-174.159800	-0.883766
-173.144500	-0.882898
-172.165000	-0.881480
-171.167900	-0.879279
-170.149800	-0.877324
-169.165500	-0.875865
-168.178200	-0.873633
-167.186500	-0.871638
-166.205300	-0.869652
-165.219600	-0.866571
-164.205900	-0.863398
-163.202500	-0.859080
-162.198100	-0.855580
-161.207600	-0.852447
-160.198300	-0.848348
-159.209700	-0.846887
-158.214300	-0.843176
-157.178500	-0.840405
-156.188200	-0.839701
-155.175000	-0.837217
-154.158500	-0.835163
-153.180700	-0.833380
-152.171100	-0.828266
-151.184500	-0.825333
-150.206000	-0.824636
-149.218700	-0.822587
-148.223800	-0.821794
-147.225600	-0.820103
-146.223800	-0.816861
-145.225900	-0.814475
-144.219600	-0.812490
-143.196900	-0.809039
-142.195600	-0.806821
-141.177600	-0.804362
-140.198100	-0.803825
-139.204500	-0.804617
-138.191300	-0.803931
-137.204200	-0.803679
-136.196900	-0.801353
-135.197300	-0.799104
-134.203200	-0.798322
-133.187100	-0.797033
-132.179600	-0.796549
-131.179000	-0.795905
-130.167500	-0.794631
-129.196900	-0.792637
-128.206300	-0.790924
-127.232200	-0.788768
-126.254300	-0.785546
-125.222800	-0.782360
-124.225400	-0.779052
-123.230200	-0.775517
-122.232700	-0.773035
-121.242900	-0.771969
-120.230500	-0.770507
-119.203200	-0.769930
-118.197900	-0.770053
-117.193100	-0.769216
-116.206700	-0.768235
-115.211300	-0.766314
-114.188500	-0.763608
-113.198700	-0.760810
-112.182100	-0.758983
-111.185700	-0.756855
-110.195600	-0.753895
-109.181300	-0.749446
-108.189900	-0.746006
-107.188100	-0.744081
-106.192600	-0.742943
-105.192700	-0.744815
-104.194000	-0.745166
-103.183800	-0.744203
-102.186200	-0.743686
-101.181600	-0.741521
-100.173900	-0.739776
-99.182460	-0.737963
-98.179200	-0.735212
-97.189740	-0.731419
-96.183650	-0.726396
-95.203510	-0.722438
-94.207140	-0.720988
-93.199130	-0.722232
-92.204900	-0.725160
-91.192210	-0.727678
-90.201840	-0.727060
-89.222840	-0.725334
-88.252100	-0.722311
-87.229350	-0.718249
-86.222530	-0.715346
-85.218350	-0.713188
-84.206890	-0.712112
-83.231510	-0.712652
-82.234540	-0.714041
-81.242220	-0.714391
-80.223500	-0.713601
-79.225550	-0.712497
-78.217970	-0.710580
-77.209320	-0.708410
-76.240630	-0.707069
-75.250200	-0.704865
-74.247600	-0.702210
-73.245860	-0.700477
-72.225360	-0.698428
-71.217620	-0.697610
-70.238240	-0.696744
-69.235320	-0.695453
-68.232430	-0.694284
-67.219270	-0.692889
-66.206440	-0.691836
-65.205220	-0.689885
-64.227710	-0.687261
-63.257970	-0.684359
-62.279600	-0.681494
-61.277970	-0.679006
-60.271400	-0.676810
-59.267540	-0.674480
-58.254840	-0.672491
-57.281090	-0.671854
-56.275360	-0.671376
-55.257000	-0.671123
-54.250920	-0.671127
-53.236380	-0.669362
-52.232890	-0.667838
-51.246780	-0.666358
-50.254330	-0.664445
-49.256520	-0.663157
-48.250110	-0.660768
-47.250320	-0.658229
-46.246430	-0.655410
-45.240190	-0.653432
-44.248660	-0.653022
-43.230450	-0.652714
-42.208290	-0.652127
-41.212770	-0.651694
-40.225600	-0.650023
-39.230430	-0.648082
-38.257940	-0.646943
-37.270450	-0.644737
-36.263470	-0.642562
-35.266400	-0.640557
-34.254410	-0.639030
-33.218280	-0.638430
-32.208210	-0.637574
-31.202760	-0.635654
-30.207010	-0.631376
-29.222560	-0.625201
-28.230210	-0.621097
-27.248860	-0.618943
-26.260620	-0.618547
-25.279790	-0.619637
-24.286950	-0.619459
-23.268800	-0.617407
-22.259970	-0.615813
-21.240840	-0.613301
-20.253880	-0.611331
-19.268100	-0.609463
-18.276800	-0.607356
-17.297350	-0.605569
-16.248930	-0.602286
-15.229310	-0.600192
-14.222210	-0.597115
-13.212900	-0.594891
-12.240310	-0.593424
-11.263460	-0.590913
-10.249060	-0.587964
-9.240176	-0.582886
-8.261161	-0.578796
-7.247392	-0.575532
-6.266164	-0.572292
-5.270853	-0.570713
-4.254887	-0.566581
-3.261772	-0.562408
-2.258701	-0.558601
-1.294347	-0.555289
-0.314853	-0.552889
0.662165	-0.549788
1.634196	-0.546422
2.643756	-0.541728
3.636013	-0.537264
4.615440	-0.532452
5.603751	-0.527750
6.581330	-0.519554
7.576427	-0.509977
8.590378	-0.503197
9.602464	-0.501346
10.609270	-0.502847
11.623730	-0.506419
12.613230	-0.506482
13.579550	-0.502347
14.564010	-0.497261
15.546460	-0.490918
16.542860	-0.485728
17.558980	-0.479919
18.561020	-0.474112
19.570040	-0.469791
20.573190	-0.463934
21.596090	-0.456348
22.618890	-0.450560
23.615410	-0.441496
24.607760	-0.432565
25.591500	-0.424947
26.554420	-0.413686
27.544130	-0.404929
28.540730	-0.394890
29.530980	-0.385476
30.549020	-0.378447
31.533130	-0.371455
32.539150	-0.364619
33.524720	-0.357115
34.527180	-0.349116
35.523000	-0.342408
36.498070	-0.335125
37.512080	-0.326507
38.484400	-0.316868
39.504390	-0.303235
40.522800	-0.288271
41.530980	-0.272776
42.562740	-0.253025
43.560450	-0.237684
44.546550	-0.228257
45.536140	-0.220388
46.540660	-0.213476
47.557080	-0.202095
48.577200	-0.187080
49.583230	-0.169017
50.572350	-0.152214
51.543650	-0.137364
52.555980	-0.119488
53.552340	-0.101867
54.545200	-0.085045
55.552250	-0.065555
56.518540	-0.046050
57.489380	-0.026682
58.487650	-0.002921
59.483950	0.022417
60.485900	0.049124
61.505200	0.075806
62.495250	0.100754
63.494290	0.125055
64.497960	0.149257
65.500510	0.177344
66.512270	0.208997
67.503890	0.238563
68.504820	0.270953
69.506320	0.305345
70.485940	0.338754
71.498120	0.376758
72.518510	0.414152
73.524150	0.446861
74.536500	0.480793
75.534260	0.514948
76.502590	0.551525
77.483900	0.591621
78.486400	0.638061
79.478700	0.689575
80.495960	0.741646
81.507990	0.793638
82.521330	0.840572
83.505020	0.878663
84.491660	0.920613
85.484100	0.970688
86.475780	1.021850
87.484120	1.081579
88.505430	1.144358
89.512750	1.204472
90.511050	1.270585
91.521460	1.336609
92.510070	1.403497
93.504010	1.469543
94.490940	1.535378
95.483920	1.608479
96.499660	1.680556
97.506650	1.760040
98.537030	1.852683
99.548390	1.938479
100.550900	2.026430
101.555700	2.115381
102.526600	2.193745
103.511800	2.277468
104.492600	2.367336
105.480200	2.457459
106.488900	2.554918
107.476400	2.654937
108.482700	2.760714
109.474900	2.872858
110.462300	2.986404
111.489100	3.109283
112.489100	3.225885
113.509400	3.338295
114.509300	3.457032
115.486800	3.568187
116.458300	3.688353
117.432600	3.820320
118.437000	3.953610
119.453500	4.097316
120.489800	4.243340
121.483600	4.387033
122.475200	4.537233
123.467700	4.685356
124.445100	4.836579
125.461100	4.990448
126.460400	5.142017
127.472600	5.300691
128.436400	5.462065
129.425500	5.630494
130.421600	5.810980
131.413600	5.984276
132.430100	6.159763
133.447500	6.335367
134.451200	6.502019
135.440900	6.684524
136.453600	6.876352
137.420000	7.072784
138.428100	7.278916
139.408100	7.481550
140.407100	7.684007
141.406000	7.888857
142.381900	8.095836
143.411200	8.312072
144.387600	8.523865
145.396100	8.741586
146.412300	8.970394
147.394000	9.193790
148.413500	9.432892
149.424700	9.683180
150.423000	9.922855
151.422100	10.167720
152.426300	10.409580
153.430700	10.635880
154.431400	10.874880
155.440400	11.118020
156.434500	11.366200
157.422900	11.622120
158.434800	11.880290
159.426500	12.154290
160.437200	12.429080
161.429900	12.708980
162.427400	13.000420
163.418900	13.274240
164.407700	13.539200
165.418700	13.811910
166.398300	14.071520
167.404900	14.343790
168.387500	14.634400
169.378800	14.926810
170.374400	15.229110
171.383200	15.529560
172.406400	15.828150
173.424400	16.124220
174.426600	16.411390
175.439200	16.711930
176.429300	17.005890
177.424600	17.300020
178.434900	17.610070
179.416900	17.912930
180.410000	18.224400
181.407400	18.545280
182.408700	18.855980
183.407100	19.165490
184.412400	19.468820
185.404800	19.766980
186.395900	20.077100
187.381200	20.392770
188.397600	20.726330
189.397300	21.066130
190.410500	21.396590
191.430900	21.729810
192.424200	22.050600
193.423500	22.367300
194.416800	22.691730
195.400400	23.006360
196.391300	23.325620
197.393800	23.651710
198.369900	23.976850
199.401900	24.322280
200.416600	24.673650
201.437700	25.017930
202.464000	25.359210
203.449900	25.679980
204.433600	25.987240
205.397500	26.295660
206.373600	26.606520
207.362000	26.932420
208.349500	27.262500
209.355000	27.599030
210.386000	27.942940
211.385600	28.269530
212.399000	28.604520
213.419800	28.937740
214.409500	29.251910
215.408300	29.573000
216.399900	29.888530
217.369100	30.194990
218.362300	30.518000
219.360800	30.848580
220.366300	31.179980
221.381100	31.511480
222.364600	31.832610
223.359300	32.133010
224.349900	32.435410
225.345300	32.738470
226.370100	33.055420
227.369800	33.370510
228.375300	33.674270
229.377900	33.981020
230.369300	34.271290
231.368500	34.572980
232.367200	34.878010
233.343800	35.172580
234.346300	35.461680
235.338600	35.738360
236.324800	36.010670
237.317500	36.283560
238.283100	36.558460
239.305900	36.852690
240.311100	37.138610
241.343400	37.414570
242.373400	37.688640
243.346300	37.936560
244.347300	38.180320
245.328600	38.425800
246.296400	38.658010
247.309300	38.893230
248.312000	39.130000
249.313300	39.364350
250.341600	39.609480
251.350900	39.850010
252.373100	40.087500
253.384600	40.306510
254.385500	40.501410
255.377500	40.685770
256.355200	40.853600
257.338500	41.023860
258.349700	41.204660
259.341400	41.377740
260.338800	41.552940
261.350000	41.722270
