Potencial	Intensidad
mv	uA
-199.550200	-0.059782
-199.339000	-0.052691
-198.852400	-0.044018
-198.125600	-0.034534
-197.143600	-0.023889
-196.137200	-0.019887
-195.152300	-0.016972
-194.154000	-0.015612
-193.166900	-0.014934
-192.163500	-0.013613
-191.144700	-0.012005
-190.149400	-0.008986
-189.118200	-0.004728
-188.124300	-0.003229
-187.133100	-0.001423
-186.139600	0.001143
-185.160300	0.003416
-184.149700	0.006648
-183.178500	0.007038
-182.157200	0.005089
-181.140900	0.001799
-180.141200	-0.000948
-179.119400	-0.000843
-178.129200	0.001632
-177.160000	0.005938
-176.153700	0.012543
-175.174900	0.022270
-174.189600	0.029407
-173.181100	0.031704
-172.200100	0.027251
-171.200900	0.017913
-170.188500	0.010398
-169.179900	0.005392
-168.170300	0.004446
-167.151000	0.004551
-166.173500	0.003372
-165.199200	0.003273
-164.218200	0.003903
-163.233500	0.004494
-162.231800	0.006409
-161.222000	0.006301
-160.206800	0.007301
-159.186100	0.009409
-158.168200	0.011615
-157.155200	0.016072
-156.149800	0.017901
-155.144700	0.018138
-154.144600	0.018041
-153.166500	0.018553
-152.173300	0.021796
-151.171000	0.025236
-150.164600	0.026726
-149.140000	0.028538
-148.150200	0.029562
-147.179200	0.033183
-146.193300	0.034900
-145.218400	0.033283
-144.213000	0.030776
-143.225300	0.023156
-142.235700	0.022732
-141.208000	0.025331
-140.223400	0.029905
-139.221600	0.039212
-138.206100	0.043000
-137.212400	0.040879
-136.215600	0.035012
-135.193800	0.029590
-134.208000	0.024182
-133.215700	0.023656
-132.197700	0.024349
-131.180400	0.022536
-130.171400	0.022452
-129.178800	0.022287
-128.179900	0.023375
-127.223800	0.024284
-126.222600	0.024863
-125.228300	0.026391
-124.247000	0.027717
-123.223500	0.029893
-122.223800	0.032846
-121.221800	0.034298
-120.211600	0.034905
-119.224000	0.034598
-118.222700	0.033559
-117.219300	0.032349
-116.225100	0.033041
-115.205700	0.034609
-114.222200	0.037047
-113.234600	0.039619
-112.223900	0.041752
-111.241900	0.042900
-110.217300	0.041561
-109.196200	0.042928
-108.215600	0.041244
-107.211300	0.042574
-106.212500	0.045787
-105.214800	0.045146
-104.190500	0.044523
-103.182200	0.042957
-102.206900	0.044192
-101.204600	0.047149
-100.208200	0.053471
-99.209470	0.059141
-98.203320	0.060942
-97.226460	0.063319
-96.239830	0.059409
-95.259890	0.053482
-94.276490	0.048677
-93.262730	0.042532
-92.257360	0.041149
-91.238490	0.040746
-90.218860	0.040625
-89.224450	0.041297
-88.220760	0.041701
-87.230020	0.042779
-86.237960	0.044032
-85.229200	0.046572
-84.224260	0.048970
-83.224240	0.051030
-82.203410	0.052248
-81.188800	0.050807
-80.168520	0.051804
-79.148000	0.052846
-78.180900	0.054420
-77.206560	0.056294
-76.245240	0.056070
-75.276630	0.055604
-74.274880	0.055199
-73.272340	0.055085
-72.264830	0.054755
-71.275310	0.051921
-70.269700	0.049815
-69.264750	0.049205
-68.242750	0.048870
-67.229000	0.050935
-66.223420	0.052156
-65.243900	0.054939
-64.282080	0.057451
-63.280330	0.059076
-62.280970	0.060883
-61.246400	0.061244
-60.225940	0.061536
-59.231310	0.062872
-58.222430	0.063439
-57.254600	0.062058
-56.259360	0.060662
-55.245020	0.059952
-54.264610	0.058896
-53.239070	0.059350
-52.243980	0.061050
-51.247470	0.062292
-50.233330	0.064582
-49.262530	0.066701
-48.243820	0.068651
-47.260550	0.069684
-46.254510	0.070794
-45.254230	0.071554
-44.286370	0.069954
-43.274640	0.069662
-42.272360	0.068663
-41.258650	0.067081
-40.224490	0.067775
-39.214500	0.068006
-38.219850	0.068387
-37.206030	0.069618
-36.210750	0.071546
-35.216980	0.073910
-34.242700	0.076337
-33.268130	0.078127
-32.273940	0.078698
-31.269600	0.078476
-30.235440	0.078480
-29.201360	0.080029
-28.195150	0.080688
-27.210610	0.081735
-26.232170	0.082874
-25.278560	0.083110
-24.302530	0.084641
-23.306470	0.087151
-22.297240	0.089390
-21.283910	0.090715
-20.272640	0.091027
-19.279320	0.090434
-18.285220	0.090275
-17.272770	0.091092
-16.252820	0.092756
-15.239190	0.094298
-14.250030	0.095528
-13.248860	0.097549
-12.267120	0.099214
-11.256210	0.101199
-10.234710	0.103621
-9.224178	0.104796
-8.217144	0.106411
-7.238756	0.107646
-6.261211	0.108929
-5.254177	0.110839
-4.255498	0.113453
-3.274155	0.114512
-2.292943	0.116939
-1.348666	0.119949
-0.367108	0.122640
0.631257	0.126810
1.638753	0.129603
2.662957	0.133049
3.643987	0.134820
4.632892	0.137698
5.613327	0.140272
6.584715	0.141859
7.577071	0.144647
8.571539	0.147370
9.577054	0.151071
10.569480	0.154633
11.572600	0.158504
12.574080	0.162281
13.562690	0.165997
14.544100	0.171690
15.537960	0.178261
16.553060	0.182981
17.546820	0.187432
18.573950	0.190942
19.574990	0.193958
20.578340	0.198832
21.597790	0.204466
22.591750	0.208782
23.578610	0.213582
24.563660	0.219209
25.544510	0.224318
26.537490	0.232118
27.548770	0.240893
28.551880	0.248741
29.564420	0.256677
30.557390	0.262777
31.553580	0.268895
32.557170	0.275064
33.526100	0.282214
34.537630	0.292445
35.525250	0.300342
36.500860	0.309678
37.524120	0.320204
