Potencial	Intensidad
mv	uA
-199.540800	-0.583895
-199.327900	-0.574181
-198.872400	-0.559582
-198.137500	-0.540696
-197.156900	-0.519230
-196.127000	-0.509170
-195.100300	-0.503663
-194.127000	-0.501213
-193.126200	-0.499717
-192.152200	-0.495388
-191.174600	-0.490047
-190.186700	-0.484507
-189.189700	-0.478590
-188.195100	-0.473976
-187.185400	-0.468008
-186.167400	-0.462058
-185.164900	-0.458246
-184.168900	-0.453589
-183.159100	-0.450689
-182.146300	-0.448941
-181.155000	-0.445834
-180.163600	-0.442358
-179.176800	-0.439485
-178.192000	-0.435425
-177.206800	-0.431138
-176.175000	-0.426269
-175.189200	-0.421134
-174.195000	-0.417045
-173.172100	-0.412687
-172.199200	-0.409993
-171.195400	-0.405717
-170.171100	-0.401789
-169.171400	-0.399344
-168.171600	-0.396689
-167.170800	-0.394660
-166.190300	-0.392504
-165.214400	-0.388888
-164.220800	-0.384944
-163.198100	-0.382231
-162.200300	-0.378547
-161.173200	-0.374724
-160.156500	-0.370705
-159.166100	-0.366779
-158.135200	-0.363684
-157.142600	-0.361654
-156.133900	-0.361341
-155.135000	-0.360465
-154.153900	-0.358591
-153.158900	-0.356583
-152.174500	-0.352302
-151.180900	-0.347426
-150.199700	-0.343929
-149.202900	-0.341933
-148.207600	-0.340853
-147.222200	-0.341166
-146.230900	-0.341702
-145.235800	-0.341678
-144.217600	-0.341419
-143.204400	-0.341194
-142.198300	-0.339806
-141.199800	-0.337357
-140.219100	-0.335883
-139.233300	-0.333288
-138.232000	-0.330793
-137.224800	-0.328285
-136.235000	-0.325053
-135.221000	-0.321705
-134.227200	-0.318979
-133.220300	-0.316596
-132.213700	-0.315214
-131.212900	-0.314041
-130.211300	-0.313290
-129.246700	-0.312633
-128.244500	-0.309460
-127.251500	-0.307521
-126.256300	-0.302749
-125.234600	-0.298349
-124.240300	-0.295468
-123.254300	-0.292794
-122.250700	-0.292137
-121.268900	-0.290864
-120.276600	-0.290061
-119.271900	-0.289703
-118.265600	-0.288335
-117.228400	-0.285604
-116.233900	-0.285081
-115.234300	-0.282412
-114.225200	-0.279986
-113.260900	-0.281581
