Potencial	Intensidad
mv	uA
-199.553100	-0.672869
-199.329500	-0.663332
-198.825700	-0.650752
-198.100100	-0.637035
-197.119900	-0.620223
-196.130800	-0.611852
-195.153500	-0.604271
-194.154700	-0.597434
-193.169000	-0.591791
-192.172600	-0.585404
-191.172700	-0.579291
-190.173000	-0.572477
-189.155400	-0.565808
-188.148300	-0.560523
-187.170700	-0.556503
-186.183000	-0.550810
-185.205100	-0.546545
-184.199300	-0.542090
-183.176200	-0.537606
-182.158900	-0.535345
-181.146800	-0.532339
-180.156000	-0.528695
-179.186800	-0.522982
-178.202800	-0.516605
-177.212000	-0.511529
-176.209000	-0.509036
-175.210100	-0.509437
-174.224900	-0.507970
-173.220000	-0.504698
-172.223100	-0.500851
-171.193300	-0.496778
-170.172900	-0.494732
-169.173900	-0.494178
-168.158200	-0.492186
-167.179200	-0.489942
-166.191300	-0.487722
-165.188400	-0.484194
-164.221700	-0.481134
-163.236400	-0.477221
-162.232300	-0.473047
-161.220900	-0.469543
-160.208400	-0.465868
-159.180700	-0.463386
-158.163200	-0.461670
-157.172100	-0.460045
-156.167800	-0.458962
-155.174300	-0.457133
-154.188900	-0.454550
-153.180500	-0.452139
-152.181200	-0.448377
-151.184800	-0.444349
-150.189500	-0.441265
-149.195000	-0.437717
-148.204600	-0.435247
-147.216800	-0.433287
-146.218000	-0.430628
-145.233000	-0.429011
-144.211800	-0.426810
-143.200900	-0.425716
-142.197500	-0.424739
-141.184700	-0.422759
-140.202400	-0.421895
-139.207200	-0.419505
-138.214200	-0.416657
-137.239600	-0.414712
-136.235000	-0.410928
-135.244800	-0.406455
-134.253200	-0.403806
-133.246700	-0.401068
-132.252300	-0.399612
-131.239000	-0.399423
-130.236600	-0.398350
-129.217700	-0.396784
-128.213500	-0.394420
-127.224800	-0.393009
-126.231700	-0.390904
-125.261600	-0.388577
-124.256600	-0.387360
-123.261400	-0.383850
-122.255700	-0.381342
-121.247000	-0.380598
-120.271400	-0.380339
-119.262100	-0.380882
-118.256100	-0.381901
-117.249500	-0.381808
-116.237900	-0.380574
-115.242200	-0.379625
-114.232700	-0.377886
-113.232400	-0.375079
-112.235600	-0.371761
-111.226800	-0.369919
-110.234700	-0.368121
-109.235600	-0.367317
-108.224900	-0.369683
-107.239200	-0.369994
-106.227100	-0.369486
-105.211000	-0.368721
-104.208300	-0.365590
-103.194800	-0.363858
-102.198300	-0.362056
-101.233000	-0.361497
-100.245500	-0.359205
-99.248470	-0.355980
-98.264620	-0.355963
-97.253070	-0.354534
-96.264340	-0.353256
-95.273710	-0.354289
-94.279340	-0.352551
-93.259520	-0.349540
-92.264100	-0.349193
-91.268360	-0.345761
-90.262710	-0.340529
-89.275660	-0.335899
-88.274890	-0.331883
-87.271280	-0.329628
-86.271630	-0.331999
-85.289430	-0.333665
-84.281630	-0.335601
-83.288380	-0.335180
-82.284740	-0.331415
-81.272320	-0.331238
-80.231860	-0.328562
-79.225570	-0.328617
-78.224880	-0.327963
-77.223960	-0.325530
-76.259800	-0.324804
-75.267620	-0.322287
-74.278190	-0.320114
-73.288550	-0.317173
-72.296660	-0.313566
-71.297850	-0.311707
-70.308640	-0.312119
-69.297150	-0.312716
-68.278000	-0.313136
-67.260600	-0.312228
-66.237430	-0.310708
-65.249010	-0.309329
-64.254930	-0.307525
-63.271400	-0.306654
-62.290600	-0.304621
-61.277570	-0.302748
-60.271330	-0.302070
-59.244950	-0.300539
-58.223090	-0.299759
-57.239430	-0.300178
-56.246930	-0.299531
-55.262780	-0.299284
-54.274190	-0.298661
-53.268190	-0.296729
-52.267870	-0.293581
-51.256470	-0.288049
-50.238480	-0.283752
-49.231770	-0.280772
