Potencial	Intensidad
mv	uA
-199.511200	-0.108676
-199.278100	-0.100405
-198.824200	-0.089899
-198.102400	-0.078676
-197.137400	-0.067071
-196.149800	-0.063638
-195.143000	-0.061078
-194.131300	-0.058545
-193.118800	-0.055010
-192.117400	-0.050987
-191.118500	-0.047007
-190.142500	-0.043214
-189.151900	-0.039821
-188.151800	-0.036535
-187.164200	-0.033541
-186.152600	-0.031630
-185.160300	-0.030491
-184.164300	-0.030869
-183.123400	-0.031558
-182.130400	-0.032257
-181.111200	-0.032957
-180.119100	-0.032174
-179.156900	-0.032285
-178.158400	-0.030728
-177.187400	-0.028709
-176.180700	-0.025200
-175.164100	-0.021212
-174.174300	-0.019422
-173.152300	-0.018351
-172.175900	-0.019993
-171.188600	-0.020794
-170.169300	-0.019866
-169.183700	-0.020068
-168.187700	-0.019041
-167.189500	-0.018540
-166.232300	-0.018222
-165.230700	-0.015582
-164.210200	-0.012771
-163.199700	-0.010111
-162.169700	-0.007820
-161.151100	-0.006584
-160.160400	-0.006202
-159.160900	-0.006436
-158.173600	-0.006971
-157.183200	-0.006051
-156.177800	-0.006436
-155.179000	-0.005443
-154.162500	-0.003806
-153.171900	-0.003034
-152.160400	-0.000881
-151.140600	0.000708
-150.136300	0.001710
-149.131300	0.003866
-148.149800	0.004862
-147.197600	0.005001
-146.224000	0.004773
-145.228500	0.002922
-144.227200	0.002381
-143.203500	0.003125
-142.195300	0.004570
-141.196800	0.006142
-140.207900	0.007406
-139.225400	0.008773
-138.232900	0.011230
-137.237200	0.013237
-136.253700	0.015089
-135.241200	0.015189
-134.240700	0.013774
-133.234400	0.012685
-132.200500	0.012013
-131.197300	0.012123
-130.183700	0.012414
-129.197800	0.012835
-128.208500	0.013408
-127.227700	0.013953
-126.245400	0.016291
-125.229200	0.019658
-124.222900	0.020065
-123.212200	0.019654
-122.201000	0.017933
-121.207200	0.014257
-120.208600	0.014288
-119.219500	0.015625
-118.237100	0.016825
-117.233000	0.019305
-116.254800	0.020094
-115.254800	0.021745
-114.240400	0.023954
-113.262900	0.026141
-112.210500	0.028280
-111.184500	0.027450
-110.178100	0.026501
-109.145700	0.025164
-108.188600	0.023979
-107.197900	0.024215
-106.199900	0.024543
-105.209000	0.025128
-104.211100	0.025976
-103.210300	0.028587
-102.203300	0.029821
-101.199600	0.031354
-100.188100	0.032819
-99.184350	0.033801
-98.185950	0.034389
-97.192380	0.033967
-96.202010	0.033245
-95.215620	0.031170
-94.216370	0.030307
-93.222820	0.030631
-92.196720	0.031375
-91.195500	0.032754
-90.196560	0.033502
-89.201990	0.033723
-88.232970	0.035536
-87.229290	0.037367
-86.245690	0.038706
-85.259480	0.039362
-84.247080	0.037515
-83.242920	0.036038
-82.239250	0.035573
-81.213810	0.035880
-80.226200	0.037130
-79.236340	0.037842
-78.251630	0.037950
-77.251240	0.039247
-76.250410	0.040190
-75.267370	0.042845
-74.236110	0.044012
-73.224000	0.043229
-72.222400	0.041493
-71.203720	0.039769
-70.239170	0.040020
-69.255230	0.040183
-68.274470	0.042916
-67.283620	0.042419
-66.263590	0.042322
-65.272270	0.044320
-64.264210	0.044415
-63.275060	0.045288
-62.284920	0.046752
-61.270770	0.046203
-60.266410	0.045284
-59.264640	0.045811
-58.240470	0.048249
-57.244240	0.048899
-56.218050	0.051828
-55.192770	0.053995
-54.216770	0.052349
-53.229770	0.053829
-52.230470	0.054548
-51.248070	0.054131
-50.236840	0.055510
-49.232530	0.056476
-48.237550	0.056357
-47.239050	0.056181
-46.256770	0.054894
-45.245890	0.054446
-44.251570	0.053564
-43.249450	0.054664
-42.217940	0.056160
-41.211800	0.056311
-40.223260	0.057252
-39.202850	0.058268
-38.208720	0.059537
-37.231390	0.061557
-36.213890	0.062968
-35.214750	0.063110
-34.226840	0.061614
-33.210870	0.059676
-32.227170	0.058540
-31.235840	0.057933
-30.240030	0.058315
-29.242840	0.059423
-28.234610	0.059932
-27.245080	0.060675
-26.237400	0.062950
-25.236480	0.064317
-24.248320	0.065528
-23.232810	0.065062
-22.244520	0.063596
-21.266690	0.062276
-20.271830	0.061758
-19.284110	0.062355
-18.279010	0.062583
-17.276500	0.063192
-16.263670	0.064026
-15.248760	0.065455
-14.237620	0.066761
-13.238790	0.068288
-12.236250	0.067814
-11.233340	0.067841
-10.237170	0.067575
-9.234860	0.066648
-8.228207	0.067296
-7.220017	0.066785
-6.224855	0.066872
-5.200188	0.068293
-4.182407	0.070706
-3.219290	0.071668
-2.245971	0.073085
-1.292068	0.073634
-0.351489	0.073289
0.628632	0.074896
