Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA
AuF127T130V7D Fe 10mM PH6	AuF127T130V7D Fe 10mM PH6	Au COntrol 1mM	
600.455	0.5901	600.703	2.4407
600.226	0.5707	600.473	2.4293
599.729	0.5463	599.966	2.4122
598.977	0.5191	599.222	2.39
597.99	0.4909	598.232	2.366
596.977	0.4776	597.216	2.3485
595.978	0.4676	596.213	2.3349
594.99	0.4584	595.215	2.323
593.995	0.4477	594.22	2.31
592.996	0.4394	593.222	2.299
591.99	0.4315	592.252	2.2869
590.987	0.4235	591.244	2.2755
589.977	0.4179	590.222	2.265
588.988	0.4112	589.221	2.2545
588.008	0.4045	588.222	2.2441
587.015	0.3975	587.24	2.2334
586.027	0.3899	586.276	2.223
585.02	0.3841	585.282	2.2135
583.996	0.3781	584.269	2.2045
582.987	0.3725	583.246	2.1958
581.973	0.3679	582.229	2.1877
580.958	0.3612	581.215	2.1776
579.976	0.3556	580.219	2.1688
578.978	0.3509	579.227	2.1602
577.983	0.3448	578.217	2.1507
576.989	0.3403	577.222	2.1438
575.989	0.3359	576.226	2.1355
574.984	0.3301	575.239	2.1273
573.983	0.3252	574.244	2.1201
572.973	0.3201	573.243	2.1117
571.96	0.315	572.234	2.1032
570.959	0.3107	571.222	2.0949
569.956	0.3064	570.21	2.0864
568.981	0.3033	569.232	2.0791
567.982	0.2986	568.243	2.0722
566.987	0.2943	567.238	2.0655
566.008	0.2902	566.255	2.0597
565.011	0.2843	565.231	2.052
564.034	0.2807	564.222	2.0454
563.054	0.2773	563.229	2.0388
562.049	0.272	562.22	2.0299
561.027	0.268	561.218	2.0226
560.013	0.2637	560.189	2.0156
558.992	0.2588	559.175	2.0081
557.986	0.256	558.162	2.0025
556.992	0.2526	557.18	1.9966
556.003	0.249	556.206	1.9898
555.006	0.2453	555.219	1.983
553.994	0.2407	554.223	1.9758
552.99	0.2375	553.203	1.9688
551.972	0.2334	552.193	1.9621
550.968	0.2299	551.2	1.9574
550.005	0.227	550.211	1.9522
549.006	0.2224	549.225	1.946
547.993	0.2196	548.227	1.9402
546.984	0.217	547.214	1.9336
545.942	0.2137	546.238	1.9265
544.94	0.2117	545.231	1.9206
543.958	0.2089	544.25	1.9147
542.967	0.2052	543.244	1.9083
541.983	0.2018	542.235	1.9029
540.994	0.1982	541.24	1.8968
540.012	0.1947	540.223	1.8909
539.015	0.192	539.231	1.8851
538.037	0.1896	538.221	1.8799
537.052	0.1877	537.235	1.8751
536.06	0.1845	536.222	1.8698
535.064	0.1815	535.214	1.8651
534.048	0.179	534.227	1.8599
533.023	0.1754	533.204	1.8544
532.011	0.1729	532.208	1.8494
531.029	0.171	531.212	1.8439
530.025	0.1675	530.186	1.8383
529.016	0.1654	529.175	1.8325
528.001	0.1632	528.185	1.8261
526.984	0.1603	527.191	1.8204
525.955	0.1591	526.21	1.8157
524.992	0.1569	525.25	1.8108
524.018	0.1541	524.253	1.8069
523.017	0.1512	523.242	1.8022
522.052	0.1478	522.238	1.7966
521.03	0.1454	521.23	1.7928
520.025	0.1429	520.232	1.7875
519.027	0.1413	519.242	1.7823
518.024	0.1402	518.236	1.7781
517.036	0.1372	517.22	1.7719
516.027	0.1355	516.215	1.7677
515.034	0.1338	515.219	1.7639
514.039	0.1309	514.229	1.7584
513.038	0.1297	513.232	1.7549
512.042	0.1279	512.254	1.7498
511.044	0.1246	511.278	1.7443
510.039	0.1218	510.28	1.7405
509.024	0.1187	509.281	1.7352
508.018	0.1162	508.266	1.7315
506.997	0.1143	507.256	1.7262
505.996	0.1126	506.258	1.7218
505	0.1119	505.241	1.7186
503.979	0.1096	504.234	1.713
502.988	0.1079	503.216	1.709
501.985	0.1068	502.203	1.7039
500.978	0.1037	501.211	1.6978
499.995	0.1024	500.217	1.694
499.003	0.1012	499.222	1.6906
498.008	0.0978	498.222	1.6867
497.019	0.0964	497.221	1.6827
496.031	0.0948	496.22	1.6781
495.02	0.0928	495.202	1.6733
494.009	0.0919	494.179	1.6692
493.007	0.0897	493.181	1.6643
491.994	0.0872	492.191	1.6603
490.989	0.084	491.203	1.6568
489.994	0.0812	490.227	1.653
489.001	0.0796	489.235	1.6508
488.001	0.0771	488.21	1.6471
