Potencial	Intensidad
mv	uA
-199.520300	-2.151895
-199.281000	-2.140002
-198.810100	-2.120650
-198.095800	-2.101100
-197.113300	-2.077219
-196.122600	-2.060686
-195.095400	-2.049068
-194.095300	-2.036131
-193.103400	-2.023906
-192.109600	-2.016351
-191.140000	-2.010929
-190.151000	-2.002788
-189.136100	-1.995525
-188.160200	-1.988078
-187.159800	-1.979206
-186.150500	-1.972821
-185.191300	-1.967083
-184.172300	-1.958467
-183.161700	-1.948225
-182.151600	-1.940459
-181.116400	-1.931805
-180.112300	-1.927167
-179.124800	-1.925352
-178.133200	-1.921257
-177.139600	-1.919174
-176.167200	-1.914314
-175.153600	-1.909238
-174.160300	-1.904268
-173.167600	-1.899546
-172.154400	-1.894797
-171.164200	-1.887944
-170.160900	-1.881575
-169.148300	-1.875983
-168.144300	-1.871143
-167.151200	-1.868471
-166.158100	-1.867471
-165.188800	-1.861091
-164.177700	-1.856684
-163.170700	-1.851486
-162.161300	-1.843204
-161.147400	-1.838941
-160.163800	-1.833409
-159.169700	-1.827104
-158.169500	-1.821148
-157.147400	-1.817284
-156.137800	-1.811400
-155.142700	-1.807022
-154.151600	-1.805721
-153.196600	-1.800022
-152.209300	-1.795692
-151.209100	-1.793282
-150.202500	-1.788362
-149.157600	-1.784273
-148.159600	-1.782567
-147.163100	-1.778302
-146.174900	-1.771442
-145.198200	-1.766184
-144.177900	-1.758339
-143.185400	-1.747572
-142.178400	-1.741214
-141.181400	-1.736131
-140.221700	-1.733965
-139.214900	-1.737965
-138.227200	-1.739243
-137.234600	-1.738523
-136.219700	-1.738088
-135.205300	-1.734006
-134.208000	-1.729397
-133.209400	-1.725613
-132.193600	-1.721002
-131.196200	-1.715605
-130.182400	-1.714202
-129.174100	-1.714083
-128.176300	-1.708740
-127.200700	-1.707258
-126.221000	-1.704462
-125.217900	-1.697679
-124.234000	-1.695966
-123.232800	-1.692047
-122.220000	-1.684986
-121.229200	-1.681825
-120.223400	-1.677819
-119.216900	-1.672046
-118.207300	-1.670370
-117.206500	-1.667422
-116.213300	-1.662385
-115.219300	-1.659682
-114.229400	-1.654277
-113.233200	-1.648018
-112.194100	-1.642249
-111.172300	-1.639252
-110.177600	-1.635582
-109.166500	-1.632885
-108.192300	-1.633176
-107.198300	-1.629338
-106.179000	-1.625479
-105.181200	-1.621392
-104.186400	-1.615987
-103.176300	-1.611019
-102.170100	-1.612610
-101.150200	-1.612478
-100.158100	-1.610878
-99.165150	-1.611879
-98.182060	-1.606801
-97.204530	-1.604449
-96.206090	-1.600856
-95.236000	-1.597828
-94.248370	-1.594582
-93.231350	-1.589735
-92.216720	-1.588650
-91.213290	-1.583151
-90.207390	-1.581470
-89.234530	-1.579420
-88.251940	-1.574972
-87.245030	-1.571019
-86.231840	-1.565304
-85.239520	-1.560956
-84.231760	-1.556595
-83.231870	-1.553789
-82.255650	-1.548627
-81.244190	-1.544133
-80.253470	-1.540561
-79.259660	-1.536103
-78.253420	-1.532963
-77.249500	-1.530833
-76.243850	-1.526707
-75.260810	-1.520405
-74.251760	-1.517854
-73.267600	-1.512702
-72.284420	-1.508968
-71.258070	-1.508154
-70.272160	-1.504581
-69.263120	-1.500031
-68.244910	-1.495478
-67.253680	-1.490006
-66.227810	-1.480651
-65.231510	-1.476054
-64.250760	-1.473751
-63.250640	-1.472065
-62.260330	-1.473567
-61.246480	-1.470947
-60.217390	-1.466420
-59.194470	-1.462359
-58.188350	-1.459313
-57.209620	-1.455138
-56.218730	-1.451126
-55.228170	-1.446995
-54.222890	-1.441391
-53.210000	-1.438381
-52.202140	-1.434856
-51.205210	-1.428941
-50.222180	-1.424595
-49.206910	-1.419788
-48.210670	-1.412315
-47.216730	-1.409685
-46.241020	-1.405010
-45.262050	-1.397758
-44.288850	-1.394330
-43.289960	-1.388662
-42.257440	-1.382045
-41.272250	-1.379260
-40.250160	-1.376269
-39.236080	-1.370083
-38.261560	-1.366292
-37.247030	-1.362291
-36.224190	-1.355800
-35.239630	-1.351214
-34.215490	-1.347511
-33.217920	-1.339990
-32.247540	-1.332438
-31.243280	-1.328449
-30.246250	-1.321857
-29.227220	-1.314993
-28.205870	-1.311112
-27.218730	-1.304697
-26.233650	-1.298485
-25.252060	-1.294941
-24.266620	-1.289926
-23.272770	-1.281003
-22.257990	-1.272897
