WE1	Volts(mV)	WE1	Volts(mV)	WE1	Volts(mV)	WE1	Volts(mV)	WE1	Volts(mV)
ACV - Primera 1hz.teq4_2col	ACV - Primera 1hz.teq4_2col	ACV - Primera 2hz.teq4_2col	ACV - Primera 2hz.teq4_2col	ACV - Primera 5hz.teq4_2col	ACV - Primera 5hz.teq4_2col	ACV - Primera 10hz - bis.teq4_2col	ACV - Primera 10hz - bis.teq4_2col	ACV - Primera 25hz.teq4_2col	ACV - Primera 25hz.teq4_2col
-599.8792	--	-599.7801	3.9E-4	-599.8408	0.00247	-599.6427	0.00408	-599.4631	0.0078
-599.3621	--	-599.51	4.41008	-599.4852	0.00204	-599.297	0.00312	-599.3799	0.006
-598.3599	--	-599.0325	5.56396	-598.9348	0.00124	-598.7749	0.00226	-599.1702	0.00378
-596.7841	-	-598.311	5.21495	-598.2047	2.07928	-597.9316	0.00148	-598.8241	0.00224
-594.7408	0.956653	-597.2794	4.68181	-597.1602	3.36373	-596.9136	5.2E-4	-598.3552	3.1E-4
-592.672	0.138934	-596.3146	0.193462	-596.2825	3.79044	-596.1329	4.9E-4	-597.8731	4.2E-4
-590.5953	0.169082	-595.1869	1.618846	-595.3767	4.06874	-595.0967	2.22707	-597.4141	3.8E-4
-588.6633	0.026335	-594.1642	1.190334	-594.3937	2.10924	-594.1586	2.57498	-597.0984	0.00107
-586.6506	0.013684	-593.2202	0.375097	-593.379	0.788547	-593.2113	2.30118	-596.7052	0.00134
-584.7758	0.17362	-592.153	0.538126	-592.3452	0.275417	-592.1744	1.86359	-596.1587	8.5E-4
-582.8269	0.36437	-591.2783	1.27522	-591.3149	0.111695	-591.2997	0.85681	-595.6621	6.1E-4
-580.812	0.311235	-590.2916	1.529721	-590.2467	0.350915	-590.3745	1.7154	-595.0416	1.6E-4
-578.8644	0.119712	-589.2091	1.364676	-589.2766	0.491802	-589.3356	1.95716	-594.5077	7E-5
-576.7986	0.091885	-588.2314	0.680882	-588.2232	0.540719	-588.2258	1.99322	-594.0983	5E-5
-574.7494	0.274161	-587.2054	0.236279	-587.2283	0.57863	-587.1301	1.92655	-593.6198	1.7E-4
-572.7695	0.449787	-586.1356	1.205851	-586.2162	0.649283	-586.0448	1.812091	-593.067	7E-4
-570.8298	0.386123	-585.251	1.923453	-585.2662	0.624265	-584.9987	1.680591	-592.5222	8.6E-4
-568.9542	0.178259	-584.3607	2.221678	-584.3171	0.642417	-584.0292	1.551171	-592.0031	5.3E-4
-566.902	0.152397	-583.4137	2.081543	-583.2668	0.664231	-583.0854	1.341665	-591.4836	3E-5
-564.9078	0.327117	-582.4878	1.406204	-582.2719	0.609216	-582.184	1.031671	-590.9817	1.86469
-562.7117	0.496001	-581.3396	0.546746	-581.2617	0.586622	-581.2753	0.677183	-590.5257	2.22051
-560.5818	0.439765	-580.277	0.410063	-580.2784	0.572233	-580.3365	0.335571	-590.0129	2.25584
-558.7399	0.231265	-579.2818	1.107824	-579.36	0.545948	-579.369	0.064096	-589.5417	2.16563
-556.7897	0.19919	-578.2383	1.373167	-578.3608	0.535516	-578.3206	0.101715	-589.1817	0.12068
-554.8547	0.376178	-577.327	1.184837	-577.2857	0.535852	-577.3135	0.313964	-588.6244	0.42376
-552.9124	0.532635	-576.3386	0.492382	-576.196	0.538689	-576.2637	0.569799	-588.1934	0.69658
-550.8925	0.459071	-575.3583	0.381263	-575.1885	0.500384	-575.1852	0.780131	-587.6021	0.843
-548.8423	0.282342	-574.4465	1.341886	-574.2715	0.514246	-574.2462	1.007051	-586.9228	0.90384
-546.9026	0.298638	-573.5131	2.063744	-573.2456	0.532006	-573.2833	1.191672	-586.4701	0.95756
-544.862	0.505196	-572.4531	2.345109	-572.3646	0.532536	-572.3346	1.326376	-585.9424	0.96146
-542.8788	0.659882	-571.3241	2.20658	-571.334	0.571598	-571.4503	1.414979	-585.5154	0.96783
-540.8176	0.575007	-570.3354	1.547144	-570.3081	0.58479	-570.3926	1.428497	-585.0677	0.97136
-538.7429	0.432349	-569.2197	0.693596	-569.332	0.583512	-569.4902	1.358488	-584.5674	0.97119
-536.72	0.499273	-568.2369	0.235416	-568.4166	0.610525	-568.4665	1.256139	-583.9856	0.96662
-534.6024	0.700273	-567.3375	0.982484	-567.4785	0.656545	-567.4683	1.180838	-583.448	0.94494
-532.6241	0.790373	-566.2773	1.293269	-566.5081	0.696504	-566.5038	1.096819	-582.9124	0.924365
-530.6819	0.658345	-565.3441	1.208609	-565.6489	0.732614	-565.2843	0.948432	-582.3983	0.88721
-528.7452	0.487836	-564.3412	0.615448	-564.4694	0.770524	-564.2808	0.747486	-581.9694	0.862688
-526.8419	0.562852	-563.4041	0.211199	-563.3781	0.800636	-563.1859	0.511542	-581.5048	0.851
-524.8649	0.733936	-562.3682	1.161887	-562.2794	0.813556	-562.0873	0.25282	-580.9998	0.832462
-522.8629	0.703831	-561.3707	1.97658	-561.1957	0.847514	-561.2165	0.0357	-580.485	0.849489
-520.7961	0.532274	-560.3817	2.364667	-560.2463	0.888347	-560.2143	0.399366	-580.002	0.85964
-518.7396	0.430485	-559.2121	2.342852	-559.2653	0.886845	-559.2455	0.788363	-579.537	0.891869
-516.7019	0.528418	-558.2809	1.787957	-558.311	0.895784	-558.2919	1.159083	-579.0408	0.916379
-514.6754	0.670965	-557.3514	0.948628	-557.3402	0.907107	-557.222	1.470918	-578.5963	0.912523
-512.7044	0.604686	-556.3578	7.28E-4	-556.3099	0.885225	-556.2195	1.703538	-578.1056	0.937342
-510.7159	0.473841	-555.4045	0.78698	-555.2764	0.887285	-555.1796	1.953013	-577.5172	0.945043
-508.6646	0.48299	-554.374	1.175142	-554.3109	0.920906	-554.2537	2.237143	-577.1163	0.94622
-506.8056	0.653158	-553.2539	1.124556	-553.3932	0.905011	-553.2928	2.497195	-576.5563	0.941843
-504.8065	0.776195	-552.2834	0.527152	-552.4961	0.87773	-552.2484	2.732608	-576.0074	0.951769
-502.8329	0.654125	-551.3473	0.327658	-551.5704	0.87201	-551.3367	2.925736	-575.5392	0.958988
-500.9097	0.476535	-550.4032	1.313094	-550.5468	0.851255	-550.3395	3.116142	-575.0261	0.979768
-498.7693	0.522347	-549.3779	2.130012	-549.3069	0.832385	-549.3419	3.256929	-574.5797	1.007082
-496.7904	0.734964	-548.3341	2.485811	-548.245	0.83874	-548.3787	3.327949	-574.1385	1.018433
-494.8864	0.822689	-547.1936	2.435321	-547.1708	0.836982	-547.3352	3.321933	-573.6495	0.980125
-492.9458	0.67899	-546.1663	1.835511	-546.198	0.785107	-546.3328	3.227801	-573.1264	0.960257
-490.9969	0.478229	-545.2506	0.978285	-545.4236	0.809068	-545.3761	3.15499	-572.6053	0.965488
-489.0041	0.520832	-544.335	0.038237	-544.4843	0.823264	-544.3448	3.098517	-572.0317	0.935845
-486.8594	0.706464	-543.4226	0.754316	-543.5745	0.821577	-543.3004	2.999725	-571.4434	0.961898
-484.8534	0.768912	-542.4221	1.112033	-542.5337	0.843446	-542.3316	2.837405	-570.9404	0.984246
-482.8794	0.638832	-541.3948	1.041015	-541.4232	0.852313	-541.2908	2.628144	-570.4052	0.994262
-480.8407	0.491982	-540.3381	0.427622	-540.3536	0.869969	-540.3011	2.391764	-569.8818	1.01092
-478.9622	0.571613	-539.3049	0.437333	-539.333	0.867737	-539.2653	2.163676	-569.5182	1.031096
-476.9551	0.696672	-538.2552	1.400733	-538.3757	0.933212	-538.1588	1.85214	-569.0503	1.037977
-474.897	0.633539	-537.224	2.167778	-537.3811	0.957497	-537.1038	1.491691	-568.556	1.031526
-472.9012	0.482654	-536.2327	2.491355	-536.3909	0.965017	-536.1415	1.13564	-568.0504	1.035238
-470.7671	0.444399	-535.3216	2.399257	-535.4138	1.031608	-535.2791	0.816232	-567.4369	1.031986
-468.8123	0.55101	-534.3347	1.768254	-534.3627	1.049512	-534.296	0.594676	-566.897	1.047062
-466.8	0.613898	-533.4672	0.909231	-533.3467	1.083351	-533.3595	0.388041	-566.3941	1.060704
-464.7722	0.556933	-532.3682	0.019099	-532.3385	1.136322	-532.3682	0.136898	-565.924	1.058468
-462.8553	0.454794	-531.3783	0.747166	-531.3212	1.167805	-531.3558	0.132707	-565.4124	1.06823
-460.7803	0.449341	-530.4616	1.047815	-530.3124	1.169761	-530.4187	0.356776	-564.9644	1.059437
-458.7729	0.525649	-529.366	0.936253	-529.3468	1.17732	-529.4244	0.549288	-564.4796	1.070467
-456.8713	0.456953	-528.5669	0.337908	-528.3724	1.184332	-528.4464	0.718096	-564.0467	1.106541
-454.8419	0.379026	-527.5542	0.462218	-527.2732	1.153839	-527.4423	0.843151	-563.6303	1.091627
-452.8223	0.429491	-526.447	1.375747	-526.3047	1.15889	-526.4261	0.929086	-563.02	1.100015
-450.9193	0.509931	-525.4385	2.195175	-525.3348	1.155662	-525.3864	0.940345	-562.5535	1.100786
-448.8218	0.506675	-524.2604	2.618425	-524.4152	1.125828	-524.3614	0.874181	-561.939	1.085802
-446.7986	0.356334	-523.2436	2.706277	-523.4893	1.115206	-523.4203	0.789773	-561.4985	1.116654
-444.7533	0.268472	-522.2867	2.370475	-522.3887	1.094452	-522.3464	0.731291	-561.0663	1.122183
-442.8358	0.382056	-521.3892	1.634797	-521.4133	1.04285	-521.4216	0.644166	-560.5716	1.133539
-440.8034	0.502025	-520.5732	0.759181	-520.348	1.011213	-520.4339	0.497735	-560.1414	1.140518
-438.8611	0.470993	-519.5958	0.128486	-519.327	1.003097	-519.3426	0.311424	-559.7054	1.138316
-436.4869	0.285037	-518.5336	0.786441	-518.3744	0.942698	-518.3519	0.070835	-559.1848	1.14144
-433.8793	0.291975	-517.4049	1.080428	-517.3022	0.94654	-517.3296	0.152472	-558.6934	1.13657
-431.4995	0.380402	-516.3542	0.97221	-516.2676	0.960903	-516.2812	0.392386	-558.204	1.141135
-428.9929	0.286449	-515.3444	0.397439	-515.284	0.95184	-515.2748	0.713437	-557.5898	1.157472
-426.9113	0.202461	-514.3621	0.394957	-514.4023	0.988747	-514.333	1.085586	-557.1546	1.156178
-424.9029	0.159969	-513.3414	1.317599	-513.3922	1.01818	-513.3044	1.422847	-556.6174	1.16814
-422.8216	0.288077	-512.3422	2.15232	-512.3524	1.003612	-512.3389	1.749472	-556.1603	1.16112
-420.806	0.430445	-511.2944	2.590633	-511.295	1.031814	-511.3677	1.968525	-555.7202	1.160244
-418.7904	0.39623	-510.2292	2.638446	-510.2153	1.078472	-510.3986	2.173174	-555.139	1.174861
-416.87	0.294806	-509.3647	2.1928	-509.1824	1.077209	-509.3888	2.444651	-554.6423	1.195517
-414.9541	0.374859	-508.2833	1.404707	-508.1882	1.141527	-508.3549	2.70045	-554.0793	1.201384
-412.9685	0.521457	-507.253	0.46249	-507.3015	1.181166	-507.3088	2.939532	-553.4791	1.182259
-410.9962	0.500996	-506.4619	0.402226	-506.308	1.190614	-506.308	3.133792	-552.9801	1.179742
-408.8476	0.340091	-505.358	0.918176	-505.2985	1.217287	-505.2408	3.309511	-552.5126	1.165537
-406.8019	0.252807	-504.3769	1.011329	-504.3436	1.239115	-504.405	3.44454	-551.9998	1.18829
-404.7134	0.402486	-503.4702	0.593705	-503.2618	1.213578	-503.5959	3.556057	-551.5675	1.217213
-402.7067	0.55575	-502.3507	0.174186	-502.2606	1.220128	-502.5396	3.595087	-551.1147	1.212044
-400.7641	0.524392	-501.3994	1.110458	-501.3875	1.245322	-501.5593	3.539746	-550.6205	1.219077
-398.7756	0.442515	-500.3764	1.9951	-500.4415	1.200343	-500.4015	3.455535	-550.1777	1.217881
-396.9479	0.510355	-499.3221	2.524977	-499.4545	1.215132	-499.2243	3.39771	-549.648	1.214546
-394.9026	0.695369	-498.2754	2.68091	-498.419	1.193351	-498.2549	3.355768	-549.1362	1.228145
-392.8844	0.755274	-497.2715	2.359416	-497.3098	1.138165	-497.2933	3.26969	-548.5382	1.228567
-390.911	0.615514	-496.3202	1.622534	-496.2624	1.125326	-496.3849	3.125765	-548.0343	1.211867
-388.7753	0.49169	-495.3599	0.73314	-495.2622	1.098278	-495.3734	2.912945	-547.5195	1.216693
-386.8448	0.552347	-494.4489	0.190078	-494.36	1.083981	-494.3072	2.677366	-546.9688	1.22387
-384.8593	0.724993	-493.4725	0.817178	-493.3773	1.062901	-493.2592	2.46123	-546.4691	1.23381
-382.7737	0.709924	-492.4944	1.06417	-492.3775	1.0479	-492.1929	2.169047	-545.9395	1.256992
-380.8674	0.574584	-491.4615	0.845268	-491.4202	0.986186	-491.2439	1.804385	-545.4019	1.268386
-378.9054	0.60903	-490.4263	0.14339	-490.3883	0.979296	-490.3659	1.455459	-545.139	1.297293
-376.9779	0.77836	-489.401	0.729217	-489.4281	0.975022	-489.4868	1.125769	-544.7966	1.300413
-375.0611	0.909125	-488.3919	1.689759	-488.3965	0.954733	-488.4539	0.858337	-544.3488	1.299662
-372.998	0.902717	-487.3808	2.385857	-487.3762	0.993114	-487.5122	0.654039	-543.95	1.285196
-371.1201	0.854513	-486.3856	2.660835	-486.3737	0.983125	-486.5101	0.386445	-543.3034	1.26017
