Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	
1Hz	1Hz	2Hz	2Hz	5Hz	5Hz	10Hz bis	10Hz bis	25Hz	25Hz	
-594.7408	0.371132833049076	-599.7801	0.0372517326233626	-599.8408	0.00247	-599.6427	1.06373801126609	-599.4631	0.0078
-592.672	0.248507788914653	-599.51	2.24655848956535	-599.4852	0.00204	-599.297	1.03773837363076	-599.3799	0.006
-590.5953	0.360960751896836	-599.0325	1.5211059303722	-598.9348	0.00124	-598.7749	1.10470837076099	-599.1702	0.00378
-588.6633	0.245947405423416	-598.311	1.16058302696387	-598.2047	2.07928	-597.9316	1.31825416362112	-598.8241	0.00224
-586.6506	0.344513282815639	-597.2794	2.37648672955505	-597.1602	3.36373	-596.9136	1.26581633722416	-598.3552	3.1E-4
-584.7758	0.25109839769448	-596.3146	-0.110074920373159	-596.2825	3.79044	-596.1329	0.516002439703245	-597.8731	4.2E-4
-582.8269	0.324886597910409	-595.1869	2.32168496980091	-595.3767	4.06874	-595.0967	1.53008725942226	-597.4141	3.8E-4
-580.812	0.262349262982442	-594.1642	1.95117928869776	-594.3937	2.10924	-594.1586	1.05515086573452	-597.0984	0.00107
-578.8644	0.306184389933537	-593.2202	0.991649662709065	-593.379	0.788547	-593.2113	0.927929095635458	-596.7052	0.00134
-576.7986	0.277292986886211	-592.153	1.1314088379763	-592.3452	0.275417	-592.1744	1.2452929771618	-596.1587	8.5E-4
-574.7494	0.292621020135536	-591.2783	1.73037385257022	-591.3149	0.111695	-591.2997	0.714035931449374	-595.6621	6.1E-4
-572.7695	0.293549219373493	-590.2916	1.680157733718	-590.2467	0.350915	-590.3745	1.3471734018362	-595.0416	1.6E-4
-570.8298	0.287589994940119	-589.2091	1.46765392024006	-589.2766	0.491802	-589.3356	1.06481302605613	-594.5077	7E-5
-568.9542	0.309508463794564	-588.2314	1.23219040668882	-588.2232	0.540719	-588.2258	0.88451737873076	-594.0983	5E-5
-566.902	0.292957517893042	-587.2054	1.21889435134812	-587.2283	0.57863	-587.1301	1.00975891416447	-593.6198	1.7E-4
-564.9078	0.324772773335548	-586.1356	1.86565027666259	-586.2162	0.649283	-586.0448	1.14264498764564	-593.067	7E-4
-562.7117	0.308768393660974	-585.251	1.57037376577365	-585.2662	0.624265	-584.9987	1.07919262337441	-592.5222	8.6E-4
-560.5818	0.340170184347336	-584.3607	1.12941094119613	-584.3171	0.642417	-584.0292	0.980801520178498	-592.0031	5.3E-4
-558.7399	0.333423271859354	-583.4137	1.30561135978635	-583.2668	0.664231	-583.0854	0.990846236024069	-591.4836	3E-5
-556.7897	0.357358655372562	-582.4878	1.67457145181861	-582.2719	0.609216	-582.184	1.07745787552838	-590.9817	1.86469
-554.8547	0.364244257220227	-581.3396	1.54240413730265	-581.2617	0.586622	-581.2753	1.11853658609855	-590.5257	2.22051
-552.9124	0.37816401604537	-580.277	1.24997549917775	-580.2784	0.572233	-580.3365	1.06795750266157	-590.0129	2.25584
-550.8925	0.398235804659467	-579.2818	1.35782296325748	-579.36	0.545948	-579.369	0.984420084604807	-589.5417	2.16563
-548.8423	0.403874163998335	-578.2383	1.40215976888279	-578.3608	0.535516	-578.3206	1.07907294326852	-589.1817	0.12068
-546.9026	0.432803367050261	-577.327	1.5829814033509	-577.2857	0.535852	-577.3135	1.15562113590205	-588.6244	0.42376
-544.862	0.434715224469465	-576.3386	1.34946651438901	-576.196	0.538689	-576.2637	1.12328352652121	-588.1934	0.69658
-542.8788	0.466224720970538	-575.3583	1.19760072692803	-575.1885	0.500384	-575.1852	1.05085268083391	-587.6021	0.843
-540.8176	0.469666482027811	-574.4465	1.52159491876652	-574.2715	0.514246	-574.2462	1.10615781337445	-586.9228	0.90384
-538.7429	0.497763964080354	-573.5131	1.42401323451553	-573.2456	0.532006	-573.2833	1.1808789478998	-586.4701	0.95756
-536.72	0.506655178856743	-572.4531	1.25453888634198	-572.3646	0.532536	-572.3346	1.1833275291459	-585.9424	0.96146
-534.6024	0.527441668408149	-571.3241	1.34392432831652	-571.334	0.571598	-571.4503	1.15107232971032	-585.5154	0.96783
-532.6241	0.54304966902282	-570.3354	1.45022969735497	-570.3081	0.58479	-570.3926	1.15871415573661	-585.0677	0.97136
-530.6819	0.555584658173237	-569.2197	1.36149568314484	-569.332	0.583512	-569.4902	1.20883570225803	-584.5674	0.97119
-528.7452	0.576280325616748	-568.2369	1.11908492626324	-568.4166	0.610525	-568.4665	1.24764674617631	-583.9856	0.96662
-526.8419	0.58234001519472	-567.3375	1.48024940625522	-567.4785	0.656545	-567.4683	1.25675158042409	-583.448	0.94494
-524.8649	0.604389373922518	-566.2773	1.34109731848787	-566.5081	0.696504	-566.5038	1.24399307310169	-582.9124	0.924365
-522.8629	0.607332995464679	-565.3441	1.31795254780013	-565.6489	0.732614	-565.2843	1.2461939370302	-582.3983	0.88721
-520.7961	0.626349180364172	-564.3412	1.23932727986928	-564.4694	0.770524	-564.2808	1.30182394791822	-581.9694	0.862688
-518.7396	0.629583445552238	-563.4041	1.11850314794055	-563.3781	0.800636	-563.1859	1.37021604522204	-581.5048	0.851
-516.7019	0.642076620596967	-562.3682	1.56981504587464	-562.2794	0.813556	-562.0873	1.36379564964882	-580.9998	0.832462
-514.6754	0.64769588365604	-561.3707	1.34923271263188	-561.1957	0.847514	-561.2165	1.23427200882179	-580.485	0.849489
-512.7044	0.652176383147085	-560.3817	1.01110845525662	-560.2463	0.888347	-560.2143	1.43790088727287	-580.002	0.85964
-510.7159	0.660240680548758	-559.2121	1.16985090243392	-559.2653	0.886845	-559.2455	1.45057700513096	-579.537	0.891869
-508.6646	0.657531958750597	-558.2809	1.49361722321295	-558.311	0.895784	-558.2919	1.39605637132189	-579.0408	0.916379
-506.8056	0.666181109056057	-557.3514	1.48920125656417	-557.3402	0.907107	-557.222	1.4024418758184	-578.5963	0.912523
-504.8065	0.658901910699257	-556.3578	0.785612736007524	-556.3099	0.885225	-556.2195	1.45451882794298	-578.1056	0.937342
-502.8329	0.665192824816099	-555.4045	1.2978597469714	-555.2764	0.887285	-555.1796	1.51372377590684	-577.5172	0.945043
-500.9097	0.656660903995209	-554.374	1.38273593104575	-554.3109	0.920906	-554.2537	1.51784073007304	-577.1163	0.94622
-498.7693	0.657768074302066	-553.2539	1.37592136994204	-553.3932	0.905011	-553.2928	1.48320751617451	-576.5563	0.941843
-496.7904	0.650760204017009	-552.2834	1.07864223140905	-552.4961	0.87773	-552.2484	1.51332824697771	-576.0074	0.951769
-494.8864	0.64507740794805	-551.3473	0.974301216296665	-551.5704	0.87201	-551.3367	1.57121181558169	-575.5392	0.958988
-492.9458	0.640896767355022	-550.4032	1.47474237235198	-550.5468	0.851255	-550.3395	1.60580711915332	-575.0261	0.979768
-490.9969	0.62864673685854	-549.3779	1.37094252186188	-549.3069	0.832385	-549.3419	1.57427267060634	-574.5797	1.007082
-489.0041	0.626805100552009	-548.3341	1.01651543322177	-548.245	0.83874	-548.3787	1.56755380166218	-574.1385	1.018433
-486.8594	0.60996720511031	-547.1936	1.0691036122887	-547.1708	0.836982	-547.3352	1.63078151398142	-573.6495	0.980125
-484.8534	0.608547504802223	-546.1663	1.34702741047178	-546.198	0.785107	-546.3328	1.66004196204337	-573.1264	0.960257
-482.8794	0.590170236418768	-545.2506	1.44833050182092	-545.4236	0.809068	-545.3761	1.65631744838131	-572.6053	0.965488
-480.8407	0.586687441290149	-544.335	0.854558893402246	-544.4843	0.823264	-544.3448	1.63991970323533	-572.0317	0.935845
-478.9622	0.569867840347164	-543.4226	1.27528129503289	-543.5745	0.821577	-543.3004	1.65736961875325	-571.4434	0.961898
-476.9551	0.562281183339731	-542.4221	1.28054757843606	-542.5337	0.843446	-542.3316	1.70829442393326	-570.9404	0.984246
-474.897	0.54919324009454	-541.3948	1.2957010860947	-541.4232	0.852313	-541.2908	1.72629358146965	-570.4052	0.994262
-472.9012	0.536693914705516	-540.3381	1.05180242592666	-540.3536	0.869969	-540.3011	1.68829669405064	-569.8818	1.01092
-470.7671	0.528004290363745	-539.3049	1.10590767331453	-539.333	0.867737	-539.2653	1.69823146483669	-569.5182	1.031096
-468.8123	0.511311060568535	-538.2552	1.43851193354083	-538.3757	0.933212	-538.1588	1.73025964074175	-569.0503	1.037977
-466.8	0.506158350108367	-537.224	1.2386344982123	-537.3811	0.957497	-537.1038	1.765992710183	-568.556	1.031526
-464.7722	0.487250809710212	-536.2327	0.99228740691226	-536.3909	0.965017	-536.1415	1.75217816686126	-568.0504	1.035238
-462.8553	0.483750283700761	-535.3216	1.16965167435473	-535.4138	1.031608	-535.2791	1.70331016365849	-567.4369	1.031986
-460.7803	0.465178377887008	-534.3347	1.41567880368415	-534.3627	1.049512	-534.296	1.74823865460656	-566.897	1.047062
-458.7729	0.461228738021913	-533.4672	1.38437605262315	-533.3467	1.083351	-533.3595	1.81570091969932	-566.3941	1.060704
-456.8713	0.445280811738996	-532.3682	0.784662035364256	-532.3385	1.136322	-532.3682	1.74497169787448	-565.924	1.058468
-454.8419	0.439358531951616	-531.3783	1.32118547506022	-531.3212	1.167805	-531.3558	1.73185753479863	-565.4124	1.06823
-452.8223	0.427400301375052	-530.4616	1.39124783737632	-530.3124	1.169761	-530.4187	1.78925808833789	-564.9644	1.059437
-450.9193	0.419057648610594	-529.366	1.34548346548654	-529.3468	1.17732	-529.4244	1.77425778102675	-564.4796	1.070467
-448.8218	0.411267377042609	-528.5669	0.992880515724608	-528.3724	1.184332	-528.4464	1.77099169310876	-564.0467	1.106541
-446.7986	0.401182995737018	-527.5542	1.10808216181819	-527.2732	1.153839	-527.4423	1.76488766607137	-563.6303	1.091627
-444.7533	0.39674354052493	-526.447	1.47017249789194	-526.3047	1.15889	-526.4261	1.76580613562644	-563.02	1.100015
-442.8358	0.386353681971086	-525.4385	1.38410383734131	-525.3348	1.155662	-525.3864	1.76952547132541	-562.5535	1.100786
-440.8034	0.383986156014564	-524.2604	1.08658449251541	-524.4152	1.125828	-524.3614	1.77079597373933	-561.939	1.085802
-438.8611	0.374880370950233	-523.2436	1.09048005918721	-523.4893	1.115206	-523.4203	1.76740319844757	-561.4985	1.116654
-436.4869	0.373483614309609	-522.2867	1.33758049063013	-522.3887	1.094452	-522.3464	1.76126278795898	-561.0663	1.122183
-433.8793	0.366823840798035	-521.3892	1.48110785900602	-521.4133	1.04285	-521.4216	1.74319473153826	-560.5716	1.133539
-431.4995	0.365961012567941	-520.5732	1.30017871784037	-520.348	1.011213	-520.4339	1.75404349944399	-560.1414	1.140518
-428.9929	0.362153741221678	-519.5958	0.899227697701791	-519.327	1.003097	-519.3426	1.78925416419849	-559.7054	1.138316
-426.9113	0.362205366930812	-518.5336	1.39179340894676	-518.3744	0.942698	-518.3519	1.70184434112854	-559.1848	1.14144
-424.9029	0.360939931575611	-517.4049	1.46213395286671	-517.3022	0.94654	-517.3296	1.7467112528411	-558.6934	1.13657
-422.8216	0.362886491648547	-516.3542	1.38346990945677	-516.2676	0.960903	-516.2812	1.75228669780061	-558.204	1.141135
-420.806	0.363497937019484	-515.3444	1.06163079575355	-515.284	0.95184	-515.2748	1.72497720675407	-557.5898	1.157472
-418.7904	0.368445941985047	-514.3621	1.13517340438817	-514.4023	0.988747	-514.333	1.72201074576675	-557.1546	1.156178
-416.87	0.370430095278147	-513.3414	1.57060265354281	-513.3922	1.01818	-513.3044	1.70786301584291	-556.6174	1.16814
-414.9541	0.37909473074768	-512.3422	1.45670310187364	-512.3524	1.003612	-512.3389	1.73296505018435	-556.1603	1.16112
-412.9685	0.382546125940788	-511.2944	1.10670373196513	-511.295	1.031814	-511.3677	1.70449163473264	-555.7202	1.160244
-410.9962	0.394914312398321	-510.2292	1.13307794228175	-510.2153	1.078472	-510.3986	1.68458992635541	-555.139	1.174861
-408.8476	0.40069423998996	-509.3647	1.44292854125203	-509.1824	1.077209	-509.3888	1.71037199423938	-554.6423	1.195517
-406.8019	0.416013049982362	-508.2833	1.59650996490066	-508.1882	1.141527	-508.3549	1.69422174853551	-554.0793	1.201384
-404.7134	0.425568159051263	-507.253	1.16773881375928	-507.3015	1.181166	-507.3088	1.67853362874069	-553.4791	1.182259
-402.7067	0.44266835546165	-506.4619	1.09015368525704	-506.308	1.190614	-506.308	1.67148942922717	-552.9801	1.179742
-400.7641	0.457563722288658	-505.358	1.43073853535061	-505.2985	1.217287	-505.2408	1.68557630810231	-552.5126	1.165537
-398.7756	0.475390947853686	-504.3769	1.55398268120849	-504.3436	1.239115	-504.405	1.67010282081919	-551.9998	1.18829
-396.9479	0.496738564364328	-503.4702	1.34651905192163	-503.2618	1.213578	-503.5959	1.65979185787009	-551.5675	1.217213
-394.9026	0.514879125174673	-502.3507	0.970507505975183	-502.2606	1.220128	-502.5396	1.65819201843101	-551.1147	1.212044
-392.8844	0.542888023823379	-501.3994	1.48613759964056	-501.3875	1.245322	-501.5593	1.65512834906076	-550.6205	1.219077
-390.911	0.561874891179263	-500.3764	1.54561882199966	-500.4415	1.200343	-500.4015	1.65600637264172	-550.1777	1.217881
-388.7753	0.595705819585556	-499.3221	1.27461051569056	-499.4545	1.215132	-499.2243	1.65132211709269	-549.648	1.214546
-386.8448	0.616972981993227	-498.2754	1.16941608841878	-498.419	1.193351	-498.2549	1.64051669933305	-549.1362	1.228145
-384.8593	0.654966200309516	-497.2715	1.33563833041799	-497.3098	1.138165	-497.2933	1.63198265392088	-548.5382	1.228567
-382.7737	0.680453218098284	-496.3202	1.53012608995982	-496.2624	1.125326	-496.3849	1.64923840385757	-548.0343	1.211867
-380.8674	0.720657052414459	-495.3599	1.40255325907627	-495.2622	1.098278	-495.3734	1.64639191939983	-547.5195	1.216693
-378.9054	0.752198931065184	-494.4489	1.04218876221298	-494.36	1.083981	-494.3072	1.6226864789956	-546.9688	1.22387
-376.9779	0.793013056209876	-493.4725	1.41770401150666	-493.3773	1.062901	-493.2592	1.63311244994312	-546.4691	1.23381
-375.0611	0.831732682496848	-492.4944	1.4814261435772	-492.3775	1.0479	-492.1929	1.63372751747708	-545.9395	1.256992
-372.998	0.872436395850068	-491.4615	1.43453899192164	-491.4202	0.986186	-491.2439	1.63277631674245	-545.4019	1.268386
-371.1201	0.918357304107043	-490.4263	0.99533019698291	-490.3883	0.979296	-490.3659	1.64914328369991	-545.139	1.297293
-369.1405	0.959334813500063	-489.401	1.40519406249819	-489.4281	0.975022	-489.4868	1.61993016917768	-544.7966	1.300413
-367.2084	1.01135182838334	-488.3919	1.56869479924708	-488.3965	0.954733	-488.4539	1.60341237906703	-544.3488	1.299662
-365.2153	1.05393690434802	-487.3808	1.28667879748716	-487.3762	0.993114	-487.5122	1.66346612404948	-543.95	1.285196
-363.0534	1.11015243397132	-486.3856	1.10587227885581	-486.3737	0.983125	-486.5101	1.67388704756782	-543.3034	1.26017
-360.9308	1.15615143362003	-485.3801	1.31802882789833	-485.3804	1.006958	-485.3405	1.5676523191355	-542.6496	1.260058
-358.7644	1.21445493875784	-484.3785	1.54228304908164	-484.3861	1.056099	-484.4063	1.64327627617138	-542.0803	1.283505
-356.7597	1.26551913797403	-483.3691	1.40708353481927	-483.3665	1.083089	-483.2595	1.68728104973822	-541.5724	1.290657
-354.7553	1.32420463289468	-482.3454	0.915549635961453	-482.2939	1.10496	-482.2342	1.63177977565931	-541.0458	1.280324
-352.8457	1.38126955078639	-481.3357	1.4128563339064	-481.3099	1.158	-481.3195	1.61972765113273	-540.6102	1.290713
-350.9517	1.43947989310172	-480.3068	1.51273682408501	-480.351	1.175196	-480.4164	1.65144327468017	-540.1625	1.278885
-349.0444	1.50245591152125	-479.2593	1.35841756847041	-479.3221	1.205875	-479.4409	1.67162838167658	-539.6388	1.297668
-347.108	1.56031269563343	-478.4091	0.885573251197278	-478.4031	1.28715	-478.4692	1.65970061278357	-539.2878	1.318828
-345.1483	1.62811317509687	-477.4062	1.50476963119927	-477.3864	1.247203	-477.5218	1.6436359962107	-538.7528	1.289842
-342.99	1.68650849673291	-476.1957	1.43368552611436	-476.3826	1.241926	-476.3928	1.6556389727671	-538.2849	1.257882
-340.9658	1.75737774080717	-475.0819	1.15185142052287	-475.4029	1.243507	-475.4818	1.68176331138496	-537.7734	1.257651
-338.8802	1.81752362336688	-473.8119	1.18265206577745	-474.3511	1.163882	-474.4261	1.68324949619161	-537.2173	1.264662
-336.8162	1.88952445499854	-472.5419	1.3783721273572	-473.4352	1.183547	-473.3724	1.65073008013065	-536.7323	1.316845
-334.9666	1.95243314011942	-471.6177	1.33611448484168	-472.432	1.13507	-472.363	1.68030469223813	-536.1597	1.337997
-332.9455	2.02390946833323	-470.7027	1.06190277831881	-471.405	1.07278	-471.2967	1.71790317431516	-535.5756	1.334854
-331.0428	2.08998674590079	-469.5621	1.38271680469282	-470.4445	1.058971	-470.3163	1.6439587983361	-535.068	1.333476
-329.0592	2.15984352315386	-468.6498	1.32787808434016	-469.3419	1.017642	-469.2934	1.71097773877333	-534.5849	1.309115
-326.9733	2.22871867127157	-467.5258	1.15482757100995	-468.3605	0.995551	-468.3252	1.7130552114446	-534.0662	1.32503
-324.8986	2.29644541873094	-466.4186	1.06320002423704	-467.4128	0.987749	-467.3914	1.68671628282719	-533.6587	1.326647
-322.8768	2.36706176125876	-465.4956	1.52766659917399	-466.4407	0.929901	-466.408	1.69156891304749	-533.0973	1.328293
-320.8321	2.4325306319317	-464.4466	1.2581167978891	-465.492	0.913964	-465.4494	1.72053608106132	-532.6047	1.353855
-318.9041	2.50342123045454	-463.3678	0.984164856445353	-464.5107	0.937985	-464.4572	1.73306173228093	-532.2332	1.359088
-316.9641	2.56657429567077	-462.3398	1.20124184696949	-463.4728	0.946399	-463.4454	1.70032005502279	-531.7283	1.364177
-314.8527	2.63618672501534	-461.2806	1.48677535744971	-462.5046	0.990441	-462.4247	1.705980034246	-531.1531	1.384599
-312.8916	2.69675811611428	-460.281	1.18757027456453	-461.4172	1.009438	-461.3535	1.74289136837689	-530.5838	1.374154
-310.8701	2.76369207952535	-459.4016	0.988505968887219	-460.4019	1.010175	-460.2965	1.73139359766803	-529.9855	1.379309
-308.9252	2.82107966273142	-458.3978	1.26288028718266	-459.4129	1.043493	-459.2722	1.73759260231827	-529.4552	1.399961
-307.0423	2.88415753615328	-457.3494	1.36397428948176	-458.3182	1.076053	-458.2859	1.7141969165879	-528.9797	1.385128
-305.0036	2.93748225236698	-456.3951	1.2040081605839	-457.3451	1.091518	-457.4752	1.74036983880686	-528.3771	1.391956
-303.0366	2.99565874341869	-455.419	0.95718938590141	-456.3941	1.154248	-456.4255	1.76515400035983	-527.8292	1.38808
-300.9857	3.04396199035826	-454.469	1.38546011902862	-455.3144	1.146626	-455.5062	1.73596211393194	-527.3075	1.376664
-298.9374	3.09615681197714	-453.5705	1.24600616271361	-454.3088	1.170107	-454.504	1.74008347346869	-526.8561	1.389931
-296.9442	3.13862524738404	-452.4957	1.05091495031518	-453.2809	1.223865	-453.4503	1.75300590176619	-526.4559	1.387646
-294.9363	3.18359844767012	-451.5078	1.18325744351585	-452.1384	1.204184	-452.5449	1.75492525152086	-526.0362	1.398707
-292.9514	3.21969716421789	-450.4266	1.3460157394725	-451.2455	1.232706	-451.5117	1.76621775339399	-525.5769	1.39211
-290.9355	3.25606536485067	-449.4921	1.16692388196025	-450.2123	1.250993	-450.4422	1.76030340176903	-525.0502	1.382217
-288.9377	3.28550758724398	-448.4705	0.956162299853694	-449.3122	1.213195	-449.3174	1.74959270534523	-524.6913	1.374373
-286.9558	3.31193036740097	-447.3937	1.33503324498915	-448.4523	1.261894	-448.304	1.76492540396773	-524.1335	1.371355
-284.9438	3.33449373274023	-446.3743	1.32329277704001	-447.4885	1.210702	-447.2794	1.78455068248902	-523.6253	1.383336
-283.03	3.34997298299512	-445.2414	1.1582260140491	-446.5371	1.165785	-446.2449	1.77309540247376	-523.0752	1.387782
-281.0854	3.36525287307047	-444.2267	0.815583337855953	-445.4917	1.162453	-445.3272	1.76066880393026	-522.5093	1.400154
-279.0457	3.36942255105385	-443.2344	1.47659635152944	-444.397	1.065599	-444.2967	1.78305126046001	-522.0172	1.41032
-276.9994	3.37665543352487	-442.3151	1.3774038687011	-443.3308	1.071603	-443.2519	1.78261136162034	-521.4532	1.413958
-275.0033	3.36992528795416	-441.3449	0.960009647942132	-442.3382	1.052039	-442.3726	1.79048966070004	-520.9404	1.436
-273.0079	3.36799839136904	-440.354	1.00444172743307	-441.3905	0.989335	-441.4288	1.80006061804383	-520.4966	1.443154
-271.1455	3.3514623528877	-439.33	1.36782630668507	-440.4527	1.010548	-440.4408	1.77885663225831	-520.0875	1.458505
-269.0982	3.33915370913115	-438.309	1.47987490284168	-439.537	1.030711	-439.468	1.7942521027779	-519.5839	1.460395
-267.0869	3.31426546387025	-437.3121	0.780779773327585	-438.4767	1.045986	-438.4375	1.81535126703855	-519.1715	1.450089
-265.0769	3.29065801535082	-436.3228	1.24755432741893	-437.4181	1.137973	-437.3748	1.82733923915609	-518.6537	1.456478
-262.884	3.2587764628807	-435.2665	1.33015651682958	-436.3139	1.15991	-436.3571	1.82055986087208	-518.1591	1.445939
-260.913	3.22370281009435	-434.2534	1.27918398508643	-435.2315	1.205764	-435.2959	1.7651194115441	-517.8041	1.451916
-258.8991	3.18567656603062	-433.3044	0.92891859720154	-434.3499	1.254905	-434.2758	1.87691420431433	-517.3425	1.470986
-256.9086	3.14001540395395	-432.3303	1.40247934099527	-433.3331	1.25135	-433.2559	1.87486884468398	-516.8072	1.459369
-254.9508	3.09597752822333	-431.5338	1.24649065844568	-432.4141	1.3126	-432.2887	1.81302136716692	-516.2244	1.473454
-252.9867	3.0416583543928	-430.5066	1.0545492843308	-431.4163	1.342257	-431.3301	1.82757974805333	-515.6462	1.468812
-250.9421	2.99113399180747	-429.4987	1.23375419879273	-430.463	1.365144	-430.2437	1.90303582529835	-515.11	1.449718
-248.9258	2.93080477668014	-428.6287	1.44145685622655	-429.4977	1.468535	-429.334	1.91186627694199	-514.646	1.460071
-247.0625	2.87311779030327	-427.5274	1.10682303171085	-428.4804	1.475091	-428.3575	1.87702245932267	-514.2015	1.444598
-245.0449	2.80955639269549	-426.5219	1.02012699837447	-427.4818	1.486329	-427.3345	1.86754644211992	-513.7254	1.457128
-243.0567	2.74439977092159	-425.4633	1.46528157813608	-426.3416	1.53447	-426.4117	1.93794594288488	-513.235	1.474299
-241.0028	2.67985571347405	-424.2891	1.42837123441517	-425.3398	1.474957	-425.2926	1.99842947236858	-512.718	1.476564
-238.9001	2.60781271952183	-423.2991	0.856081096506099	-424.3069	1.507559	-424.2848	1.91483154888205	-512.1619	1.487535
-236.9532	2.54350812267361	-422.3243	1.41480969654124	-423.4471	1.500263	-423.3292	1.94277613333869	-511.5936	1.49002
-234.9676	2.46631083100527	-421.2221	1.39809293408645	-422.4633	1.466728	-422.4557	2.02837200110848	-511.059	1.491282
-233.0045	2.40228679731679	-420.2351	1.16783474418097	-421.4869	1.485858	-421.4295	2.03143213770259	-510.5713	1.48153
-231.0745	2.3226813968187	-419.3293	1.2141997568046	-420.4716	1.458514	-420.4101	2.01301608386629	-510.0971	1.469302
-229.0447	2.25805976952914	-418.3249	1.41200929934871	-419.3165	1.449221	-419.3805	2.06055746947056	-509.7124	1.459116
-227.0509	2.1792872061272	-417.4657	1.37758834944669	-418.3106	1.454664	-418.2555	2.09157752107522	-509.2765	1.449924
-225.1651	2.11286757071786	-416.5797	0.991508879246999	-417.2949	1.390689	-417.3286	2.1065541867789	-508.7109	1.467261
-223.0313	2.03791365364316	-415.4623	1.54547333236264	-416.3469	1.399779	-416.3704	2.15575428091118	-508.1277	1.483896
-221.0705	1.96889712946997	-414.4661	1.52972833118251	-415.3467	1.422584	-415.389	2.16355419147128	-507.5892	1.511526
-219.0602	1.89976277888557	-413.4074	1.00291365207738	-414.3904	1.413905	-414.4572	2.1893557927843	-506.9687	1.520146
-216.9888	1.82833755406677	-412.3686	1.34353163225134	-413.3434	1.483934	-413.4404	2.23750980220524	-506.5295	1.528037
-214.9742	1.76558792526515	-411.338	1.59446347844643	-412.4135	1.507063	-412.4389	2.28077093410043	-506.1029	1.542321
-213.0541	1.69315168364072	-410.3041	1.41328381815452	-411.4539	1.540423	-411.3938	2.30169224145382	-505.5557	1.525929
-211.0504	1.63591476844834	-409.3029	1.20474181816916	-410.4511	1.623676	-410.3962	2.33153407100295	-505.1371	1.529728
-208.9945	1.56483551014244	-408.1978	1.34342953818714	-409.4644	1.689951	-409.4205	2.38053535730308	-504.5962	1.540737
-207.0443	1.51126500899931	-407.2378	1.57795457388182	-408.3952	1.739406	-408.314	2.43128423905928	-504.0213	1.523957
-205.0248	1.44425042409111	-406.2845	1.59413203917588	-407.4237	1.826348	-407.3672	2.464505831455	-503.5735	1.542466
-203.0485	1.39229966694771	-405.3546	1.19403312725537	-406.375	1.880178	-406.3495	2.50668182221909	-503.0732	1.54562
-201.0557	1.33159439528108	-404.4436	1.41061284777086	-405.3692	1.942414	-405.3698	2.55079266735294	-502.5726	1.53341
-199.1566	1.27983033627822	-403.3724	1.7160121095494	-404.3419	2.048908	-404.3851	2.60309431850633	-502.1417	1.546424
-197.0922	1.22653314575302	-402.3286	1.51045167402809	-403.3348	2.06718	-403.3906	2.65643465897071	-501.6979	1.520859
-195.1176	1.1746980392972	-401.232	1.37617577796541	-402.398	2.132952	-402.3583	2.70956175381077	-501.229	1.525367
-193.1076	1.12845679461759	-400.2552	1.57658084951635	-401.4813	2.171102	-401.3499	2.74736217078676	-500.7344	1.54637
-191.0702	1.07757167186489	-399.3145	1.62568721367756	-400.4738	2.156514	-400.3583	2.80057407911834	-500.2401	1.535039
-189.1603	1.03678170653901	-398.4599	1.60993580278559	-399.4509	2.211838	-399.2953	2.8873706439794	-499.6893	1.527848
-187.2025	0.988751622044383	-397.5356	1.57491675373124	-398.418	2.203887	-398.2697	2.91568368094309	-499.227	1.507261
-185.2909	0.951198859480395	-396.5804	1.63384983935354	-397.3286	2.204234	-397.1979	2.97717214967926	-498.7445	1.523015
-183.2525	0.908065582234095	-395.5518	1.69112660707045	-396.4258	2.240163	-396.2201	3.06047030943141	-498.2053	1.551769
-181.2102	0.871786900663282	-394.4931	1.67030957331965	-395.4177	2.24264	-395.213	3.081994485548	-497.6641	1.588954
-179.2432	0.834911188879295	-393.4695	1.74656526379445	-394.4205	2.255211	-394.3168	3.18560728511062	-497.1645	1.603593
-177.2032	0.798955217194606	-392.4468	1.78398711917506	-393.4057	2.303203	-393.3622	3.25143877384508	-496.586	1.588394
-175.3097	0.768445010469325	-391.5355	1.7109811385311	-392.3042	2.31632	-392.4838	3.27519542455826	-496.0765	1.578787
-173.2397	0.733243344877374	-390.5888	1.78734923028058	-391.3492	2.359908	-391.5675	3.37653695041871	-495.5505	1.573813
-171.1653	0.707859684065813	-389.5694	1.99730931714503	-390.3692	2.433026	-390.461	3.45154807939631	-494.9036	1.598744
-169.1401	0.67505568542784	-388.5372	1.75611333428831	-389.338	2.471763	-389.4271	3.51050657824642	-494.436	1.581111
-167.0734	0.652652550374773	-387.4557	1.9365636608852	-388.4682	2.53278	-388.4256	3.5765277003616	-493.8994	1.585144
-165.1341	0.624434996482883	-386.3466	1.96411952613458	-387.4135	2.60092	-387.4475	3.65521402493154	-493.4226	1.598181
-163.137	0.602785418718053	-385.4692	2.00176123765538	-386.4249	2.666005	-386.5117	3.73972281409061	-492.9705	1.5848
-161.1577	0.580964527881522	-384.4565	2.04710431269782	-385.4772	2.760978	-385.5253	3.8021036506114	-492.536	1.60081
