Potencial	Intensidad
mv	ua
Mediacion	
-600.22770	-4.80449
-599.99410	-4.78787
-599.50870	-4.76398
-598.77360	-4.73481
-597.77310	-4.69642
-596.77440	-4.67102
-595.78960	-4.64616
-594.79900	-4.62010
-593.78700	-4.59660
-592.77870	-4.57124
-591.75400	-4.54644
-590.73280	-4.52267
-589.75720	-4.49961
-588.76700	-4.47792
-587.76640	-4.45708
-586.77940	-4.43611
-585.78740	-4.41592
-584.78990	-4.39559
-583.80740	-4.37540
-582.82230	-4.35593
-581.82780	-4.33413
-580.81590	-4.31258
-579.78660	-4.29009
-578.76550	-4.26860
-577.74410	-4.25007
-576.74950	-4.23047
-575.76870	-4.21155
-574.78000	-4.19206
-573.77560	-4.17174
-572.78380	-4.15505
-571.79180	-4.13734
-570.77860	-4.11967
-569.78560	-4.10217
-568.77250	-4.08211
-567.74540	-4.06318
-566.75040	-4.04642
-565.74760	-4.02884
-564.76080	-4.01143
-563.79490	-3.99359
-562.80050	-3.97322
-561.80000	-3.95563
-560.78500	-3.93892
-559.77080	-3.92354
-558.77010	-3.90861
-557.78660	-3.89136
-556.80300	-3.87478
-555.80660	-3.85685
-554.80320	-3.83934
-553.81200	-3.82260
-552.80010	-3.80284
-551.79540	-3.78521
-550.79530	-3.76809
-549.76530	-3.75059
-548.75990	-3.73539
-547.75020	-3.71972
-546.75630	-3.70403
-545.76800	-3.68949
-544.77230	-3.67411
-543.80480	-3.65854
-542.81290	-3.64148
-541.79310	-3.62243
-540.78860	-3.60506
-539.77320	-3.58718
-538.77290	-3.57024
-537.79190	-3.55614
-536.78970	-3.53942
-535.78910	-3.52346
-534.78490	-3.50820
-533.77770	-3.49260
-532.78660	-3.47773
-531.78810	-3.46169
-530.77890	-3.44511
-529.80730	-3.42800
-528.79770	-3.41062
-527.79530	-3.39584
-526.80330	-3.37992
-525.76980	-3.36250
-524.78780	-3.34702
-523.78630	-3.33058
-522.76870	-3.31509
-521.78810	-3.30291
-520.78600	-3.28894
-519.78260	-3.27393
-518.78330	-3.25917
-517.75990	-3.24264
-516.75570	-3.22767
-515.74720	-3.21221
-514.75290	-3.19705
-513.78850	-3.18074
-512.76730	-3.16365
-511.76420	-3.14923
-510.77200	-3.13408
-509.74740	-3.11981
-508.76030	-3.10669
-507.77330	-3.09165
-506.78440	-3.07739
-505.79400	-3.06301
-504.81420	-3.04797
-503.80930	-3.03283
-502.79320	-3.01764
-501.79300	-3.00298
-500.77580	-2.98726
-499.78960	-2.97315
-498.80750	-2.95852
-497.80290	-2.94225
-496.81230	-2.92753
-495.80630	-2.91204
-494.81250	-2.89636
-493.81000	-2.88166
-492.83610	-2.86606
-491.82630	-2.84982
-490.80440	-2.83411
-489.80460	-2.81868
-488.78740	-2.80710
-487.81110	-2.79275
-486.83360	-2.77909
-485.84230	-2.76376
-484.86330	-2.74697
-483.85650	-2.73331
-482.85560	-2.71929
-481.87000	-2.70518
-480.84430	-2.68847
-479.85650	-2.67178
-478.85210	-2.65348
-477.83030	-2.63449
-476.82220	-2.61615
-475.82060	-2.59797
-474.79500	-2.58040
-473.82220	-2.56551
-472.81370	-2.55117
-471.80640	-2.53720
-470.81900	-2.52226
-469.78680	-2.50556
-468.79600	-2.48824
-467.78360	-2.46866
-466.78600	-2.44789
-465.77920	-2.42768
-464.76330	-2.40502
-463.76970	-2.38473
-462.76050	-2.36630
-461.78560	-2.34695
-460.81970	-2.33020
-459.81110	-2.31173
-458.80820	-2.29222
-457.80560	-2.27435
-456.78630	-2.25197
-455.79870	-2.22851
-454.81170	-2.20613
-453.80330	-2.18032
-452.81930	-2.15775
-451.80420	-2.13562
-450.78670	-2.11145
-449.80740	-2.08906
-448.79010	-2.06602
-447.79610	-2.04359
-446.81190	-2.02006
-445.80660	-1.99433
-444.81770	-1.96908
-443.81590	-1.94091
-442.81780	-1.91210
-441.80900	-1.88662
-440.81090	-1.85698
-439.79370	-1.82611
-438.79490	-1.79641
-437.80620	-1.76190
-436.80780	-1.72980
-435.84970	-1.69857
-434.84420	-1.66689
-433.82980	-1.63448
-432.80890	-1.59904
-431.80020	-1.56638
-430.81050	-1.53130
-429.81390	-1.49316
-428.84540	-1.45827
-427.84550	-1.41592
-426.83540	-1.36869
-425.81910	-1.32689
-424.80600	-1.28177
-423.79710	-1.23838
-422.78700	-1.19959
-421.81220	-1.15764
-420.80210	-1.11357
-419.80050	-1.06677
-418.81410	-1.01845
-417.79930	-0.96604
-416.78740	-0.90753
-415.77700	-0.85056
-414.75210	-0.79088
-413.72720	-0.72739
-412.71370	-0.67279
-411.71240	-0.61788
-410.72800	-0.56249
-409.75130	-0.51080
-408.78290	-0.45308
-407.79660	-0.38961
-406.78980	-0.32220
-405.79250	-0.25200
-404.78550	-0.18191
-403.77780	-0.11095
-402.78670	-0.04184
-401.78890	0.02811
-400.76470	0.10542
-399.75910	0.18072
-398.76560	0.25716
-397.77040	0.34011
-396.81300	0.41750
-395.82170	0.50095
-394.82630	0.59020
-393.82060	0.67515
-392.80960	0.76364
-391.82280	0.84858
-390.83180	0.93215
-389.82260	1.02493
-388.80820	1.11877
-387.80940	1.22382
-386.80730	1.32899
-385.82660	1.42953
-384.84400	1.53180
-383.83120	1.62878
-382.84560	1.72791
-381.84630	1.83398
-380.84390	1.93500
-379.86200	2.04017
-378.86660	2.15123
-377.86740	2.26051
-376.87310	2.38718
-375.85360	2.51655
-374.81990	2.64350
-373.81710	2.77115
-372.81780	2.88558
-371.85620	2.99690
-370.87790	3.11065
-369.89970	3.22992
-368.91440	3.36081
-367.87790	3.49355
-366.86660	3.63233
-365.82700	3.77686
-364.80980	3.91119
-363.80770	4.05169
-362.80680	4.19414
-361.81400	4.32061
-360.81810	4.45226
-359.84090	4.58196
-358.83670	4.70366
-357.83250	4.84056
-356.83340	4.98484
-355.82060	5.13180
-354.82740	5.27865
-353.85680	5.42199
-352.86960	5.55998
-351.88950	5.68969
-350.90250	5.82611
-349.88890	5.97199
-348.88390	6.10899
-347.88180	6.25137
-346.87240	6.39919
-345.89040	6.53284
-344.88810	6.67652
-343.88580	6.82597
-342.88730	6.96577
-341.89550	7.11102
-340.89920	7.25268
-339.89680	7.39340
-338.90250	7.53475
-337.88260	7.68187
-336.86540	7.84275
-335.85330	7.98916
-334.83920	8.12984
-333.84250	8.27409
-332.86560	8.39067
-331.87060	8.51682
-330.89000	8.65568
-329.89090	8.77759
-328.89830	8.91472
-327.90080	9.05565
-326.91110	9.19379
-325.91260	9.34408
-324.88710	9.49124
-323.87170	9.63748
-322.84770	9.76834
-321.83720	9.87917
-320.85860	9.98896
-319.88010	10.09057
-318.89390	10.19873
-317.88890	10.32668
-316.86180	10.45473
-315.86530	10.58368
-314.83450	10.71356
-313.84580	10.82652
-312.84350	10.94024
-311.83150	11.04778
-310.83280	11.14933
-309.81250	11.25075
-308.82460	11.33679
-307.81310	11.42250
-306.83400	11.51461
-305.84480	11.60672
-304.83370	11.70865
-303.83810	11.80136
-302.83330	11.87918
-301.83950	11.95314
-300.85850	12.01034
-299.87190	12.07716
-298.87570	12.15248
-297.86690	12.22229
-296.86370	12.30576
-295.85660	12.38015
-294.87010	12.43913
-293.88750	12.50280
-292.88080	12.55554
-291.88020	12.59685
-290.88550	12.63630
-289.89370	12.66938
-288.89740	12.70423
-287.90120	12.74718
-286.87710	12.80233
-285.84660	12.86808
-284.83980	12.90842
-283.83600	12.94043
-282.83210	12.95680
-281.87230	12.93611
-280.90460	12.93327
-279.92320	12.93549
-278.93870	12.93121
-277.92560	12.94549
-276.91220	12.96020
-275.90050	12.96829
-274.89140	12.97621
-273.89060	12.98010
-272.86400	12.98232
-271.86150	12.95881
-270.87230	12.92787
-269.86650	12.90086
-268.88830	12.84936
-267.89030	12.81746
-266.88150	12.80603
-265.88280	12.77423
-264.86420	12.75029
-263.87450	12.72182
-262.88040	12.66721
-261.88610	12.61188
-260.89890	12.55504
-259.85990	12.49651
-258.85350	12.42850
-257.84400	12.35690
-256.83120	12.29330
-255.85270	12.21569
-254.85340	12.14038
-253.84750	12.07728
-252.87370	11.98337
-251.88930	11.88102
-250.90770	11.78405
-249.91330	11.66930
-248.89210	11.56976
-247.86580	11.48503
-246.84170	11.40009
-245.84150	11.31191
-244.86330	11.21078
-243.88820	11.10176
-242.89790	10.97829
-241.90380	10.84769
-240.90180	10.72895
-239.89170	10.60231
-238.89130	10.47497
-237.88660	10.36821
-236.86900	10.25167
-235.86800	10.13939
-234.85750	10.03478
-233.83940	9.90554
-232.83160	9.77190
-231.83820	9.62648
-230.84170	9.46819
-229.86130	9.32301
-228.88470	9.18034
-227.87610	9.05100
-226.87220	8.93051
-225.87360	8.80222
-224.84240	8.67702
-223.84870	8.54460
-222.86030	8.40491
-221.85140	8.27189
-220.86820	8.12629
-219.86910	7.98178
-218.86070	7.84239
-217.87080	7.69551
-216.86380	7.56897
-215.84780	7.44738
-214.85250	7.32037
-213.84170	7.19702
-212.85960	7.06084
-211.86720	6.91972
-210.86430	6.78414
-209.87360	6.65100
-208.85060	6.52698
-207.85500	6.40010
-206.85500	6.27483
-205.83410	6.15213
-204.84840	6.01895
-203.85170	5.89471
-202.84400	5.77203
-201.86830	5.63885
