Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 - 31.5uM	Ciclado - 20 ciclos 1 - 31.5uM	Ciclado - 20 ciclos 2 -31.5 uM	Ciclado - 20 ciclos 2 -31.5 uM	Ciclado - 20 ciclos 3 - 31.5uM	Ciclado - 20 ciclos 3 - 31.5uM	Adsorbido 1 - 31.5uM	Adsorbido 1 - 31.5uM	Adsorbido 2  - 31.5uM	Adsorbido 2  - 31.5uM	Adsorbido 3  - 31.5uM	Adsorbido 3  - 31.5uM	Adsorbido 4  - 31.5uM	Adsorbido 4  - 31.5uM	Ru 31.5uM - Au Desnudo	Ru 31.5uM - Au Desnudo
-600.0845	-1.987077	-600.1166	-1.43841	-600.0157	-1.676125	-600.142	-2.972693	-600.0884	-2.662218	-600.0764	-2.696055	-600.0175	-2.480651	-600.0755	-1.514949
-599.8448	-1.97699	-599.8811	-1.430179	-599.7899	-1.666609	-599.8835	-2.961531	-599.868	-2.652459	-599.8448	-2.685242	-599.8003	-2.469213	-599.8378	-1.505121
-599.345	-1.963235	-599.3749	-1.419237	-599.3092	-1.65493	-599.3661	-2.945093	-599.3873	-2.638561	-599.3608	-2.669851	-599.3173	-2.45442	-599.343	-1.493099
-598.5953	-1.94735	-598.6259	-1.406712	-598.588	-1.641543	-598.6166	-2.925622	-598.6611	-2.621095	-598.6113	-2.650861	-598.6074	-2.436781	-598.6066	-1.479324
-597.594	-1.929213	-597.6218	-1.391872	-597.5978	-1.62488	-597.6058	-2.902637	-597.6698	-2.60038	-597.6167	-2.628597	-597.6283	-2.414987	-597.6109	-1.4636
-596.6069	-1.919162	-596.6044	-1.384742	-596.6042	-1.615494	-596.6123	-2.887979	-596.6461	-2.587678	-596.6137	-2.615192	-596.6218	-2.401926	-596.6147	-1.456881
-595.6212	-1.90921	-595.6118	-1.378405	-595.6202	-1.606364	-595.6277	-2.875955	-595.6394	-2.575507	-595.6121	-2.602792	-595.6405	-2.389557	-595.6135	-1.450181
-594.6397	-1.89886	-594.6213	-1.37254	-594.6249	-1.597494	-594.606	-2.862235	-594.6224	-2.564288	-594.6224	-2.591319	-594.6211	-2.377587	-594.6079	-1.443165
-593.645	-1.888346	-593.623	-1.367591	-593.6278	-1.59021	-593.5941	-2.849225	-593.6248	-2.553352	-593.6239	-2.579908	-593.6278	-2.366808	-593.6183	-1.436013
-592.6235	-1.878174	-592.6194	-1.362192	-592.61	-1.58312	-592.5728	-2.835371	-592.6166	-2.541885	-592.6161	-2.56806	-592.6317	-2.355604	-592.603	-1.428125
-591.6095	-1.870494	-591.6464	-1.357646	-591.5743	-1.576963	-591.5656	-2.821581	-591.6157	-2.53174	-591.6233	-2.556952	-591.6322	-2.345395	-591.6055	-1.421326
-590.6138	-1.863142	-590.658	-1.352576	-590.5751	-1.569816	-590.5667	-2.809971	-590.6202	-2.521216	-590.6349	-2.546176	-590.6267	-2.334572	-590.6299	-1.414623
-589.6122	-1.854831	-589.6578	-1.34684	-589.5732	-1.561965	-589.5886	-2.798316	-589.616	-2.509736	-589.6461	-2.535058	-589.6155	-2.323473	-589.6183	-1.407348
-588.6408	-1.8476	-588.6835	-1.341821	-588.6001	-1.554963	-588.6132	-2.787469	-588.6451	-2.498841	-588.6677	-2.524393	-588.6348	-2.314308	-588.6366	-1.401331
-587.6572	-1.838909	-587.6746	-1.336175	-587.6391	-1.547426	-587.6204	-2.776186	-587.6602	-2.487103	-587.6669	-2.51263	-587.6366	-2.304028	-587.6381	-1.395263
-586.6641	-1.829773	-586.6588	-1.33026	-586.6221	-1.539567	-586.6369	-2.764033	-586.6418	-2.475182	-586.6686	-2.500718	-586.665	-2.29328	-586.6337	-1.390088
-585.701	-1.822768	-585.6615	-1.325034	-585.6155	-1.532979	-585.627	-2.751234	-585.6381	-2.464691	-585.6583	-2.490109	-585.674	-2.283059	-585.6429	-1.386529
-584.6881	-1.813826	-584.6548	-1.319326	-584.6021	-1.525733	-584.6147	-2.740041	-584.605	-2.453339	-584.6498	-2.479514	-584.6659	-2.271554	-584.647	-1.3819
-583.6918	-1.804571	-583.656	-1.314007	-583.6039	-1.51707	-583.6143	-2.729104	-583.6066	-2.442038	-583.6589	-2.469622	-583.653	-2.260487	-583.6559	-1.376546
-582.6872	-1.79627	-582.6599	-1.309382	-582.6042	-1.51072	-582.6207	-2.718221	-582.6349	-2.43239	-582.6604	-2.460547	-582.6614	-2.25132	-582.6495	-1.371556
-581.6582	-1.787229	-581.6679	-1.304908	-581.6203	-1.503512	-581.6285	-2.707036	-581.6617	-2.42205	-581.6711	-2.450086	-581.6444	-2.24251	-581.6459	-1.365725
-580.6468	-1.780323	-580.6661	-1.300693	-580.6385	-1.497443	-580.6306	-2.695051	-580.6805	-2.412232	-580.6732	-2.439755	-580.6461	-2.234186	-580.6479	-1.360219
-579.6561	-1.773351	-579.6479	-1.295651	-579.6169	-1.491625	-579.6017	-2.682437	-579.6595	-2.402817	-579.6503	-2.429697	-579.6584	-2.224887	-579.6433	-1.355108
-578.6419	-1.765197	-578.6463	-1.291527	-578.6149	-1.485697	-578.5923	-2.670462	-578.6704	-2.392794	-578.6408	-2.419301	-578.6501	-2.215518	-578.6362	-1.349206
-577.6606	-1.757484	-577.6401	-1.286301	-577.624	-1.480146	-577.5858	-2.659213	-577.6527	-2.382578	-577.6377	-2.409045	-577.6733	-2.206337	-577.6447	-1.343101
-576.6663	-1.747862	-576.6451	-1.281489	-576.5962	-1.473587	-576.6078	-2.64774	-576.6525	-2.37251	-576.6379	-2.39836	-576.663	-2.196679	-576.631	-1.338028
-575.6512	-1.738728	-575.6736	-1.27735	-575.6067	-1.468453	-575.6424	-2.636536	-575.6725	-2.362068	-575.654	-2.388433	-575.6556	-2.187881	-575.6425	-1.332113
-574.6563	-1.731137	-574.6699	-1.272051	-574.637	-1.461983	-574.6487	-2.625029	-574.6849	-2.351319	-574.6617	-2.377299	-574.6509	-2.178396	-574.6398	-1.326887
-573.6302	-1.721714	-573.6729	-1.267373	-573.6174	-1.454818	-573.6631	-2.613126	-573.6813	-2.341376	-573.6441	-2.366924	-573.6364	-2.167054	-573.6144	-1.322603
-572.6442	-1.713682	-572.6649	-1.262963	-572.6059	-1.448441	-572.6566	-2.602617	-572.683	-2.331382	-572.6475	-2.357706	-572.6379	-2.157567	-572.6194	-1.317712
-571.6475	-1.705787	-571.6326	-1.258015	-571.61	-1.441311	-571.6589	-2.592355	-571.6774	-2.322026	-571.6481	-2.347286	-571.6226	-2.148664	-571.6107	-1.313246
-570.6573	-1.696742	-570.6391	-1.252312	-570.5933	-1.434797	-570.6552	-2.58298	-570.6541	-2.312673	-570.6317	-2.338149	-570.6094	-2.139659	-570.6118	-1.308126
-569.6674	-1.688655	-569.6445	-1.246898	-569.6136	-1.429312	-569.6611	-2.57416	-569.6642	-2.303663	-569.6558	-2.329445	-569.6155	-2.132996	-569.6409	-1.302352
-568.6547	-1.680241	-568.6429	-1.240883	-568.6495	-1.423315	-568.6476	-2.563559	-568.6722	-2.295367	-568.6405	-2.320128	-568.6179	-2.124684	-568.6436	-1.296089
-567.6608	-1.671367	-567.6595	-1.235823	-567.6307	-1.417919	-567.6334	-2.552413	-567.6676	-2.286284	-567.6367	-2.310846	-567.6196	-2.116009	-567.6284	-1.289201
