Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 -63uM	Ciclado - 20 ciclos 1 -63uM	Ciclado - 20 ciclos 2 - 63uM	Ciclado - 20 ciclos 2 - 63uM	Adsorbido 1 - 63uM	Adsorbido 1 - 63uM	Adsorbido 2 - 63uM	Adsorbido 2 - 63uM	Adsorbido 3 - 63uM	Adsorbido 3 - 63uM	Ru 63uM - Au Desnudo	Ru 63uM - Au Desnudo
-600.2517	-3.386396	-600.1719	-1.733458	-600.1685	-3.031954	-600.2107	-2.455388	-600.1539	-2.726812	-600.3436	-2.784352
-600.0217	-3.3734	-599.9378	-1.725853	-599.9468	-3.021908	-599.9613	-2.446461	-599.9219	-2.717592	-600.1161	-2.772758
-599.5126	-3.355104	-599.4553	-1.716525	-599.4689	-3.007784	-599.4609	-2.435192	-599.4456	-2.704071	-599.6246	-2.756099
-598.7581	-3.334009	-598.7043	-1.707001	-598.7303	-2.990872	-598.7138	-2.420398	-598.705	-2.686843	-598.883	-2.734957
-597.7654	-3.308262	-597.7073	-1.695724	-597.7457	-2.97207	-597.7105	-2.401927	-597.7081	-2.667382	-597.8876	-2.707978
-596.7499	-3.289825	-596.7209	-1.693026	-596.7383	-2.961328	-596.6951	-2.390571	-596.7101	-2.65583	-596.8814	-2.688985
-595.7578	-3.271899	-595.7148	-1.689124	-595.7305	-2.95141	-595.6895	-2.3796	-595.7053	-2.64434	-595.8821	-2.670679
-594.7446	-3.254518	-594.7275	-1.681799	-594.7391	-2.940748	-594.6852	-2.370386	-594.7197	-2.633967	-594.8869	-2.653011
-593.7228	-3.240007	-593.7257	-1.674513	-593.738	-2.930293	-593.6981	-2.362322	-593.7136	-2.623893	-593.8961	-2.635605
-592.7031	-3.231973	-592.6978	-1.666597	-592.7113	-2.919343	-592.6996	-2.351928	-592.6931	-2.611586	-592.879	-2.618896
-591.7157	-3.227746	-591.6939	-1.66043	-591.7081	-2.910463	-591.6981	-2.343588	-591.6924	-2.601878	-591.8806	-2.603845
-590.7478	-3.222047	-590.681	-1.656723	-590.7079	-2.902776	-590.6943	-2.334888	-590.6964	-2.591928	-590.8926	-2.588363
-589.7686	-3.215162	-589.6771	-1.653572	-589.7078	-2.893667	-589.6862	-2.327542	-589.7017	-2.580437	-589.8748	-2.574614
-588.7953	-3.203993	-588.7004	-1.648342	-588.7255	-2.885762	-588.7105	-2.321824	-588.7191	-2.570972	-588.8849	-2.562159
-587.7859	-3.189912	-587.7245	-1.643976	-587.7236	-2.876401	-587.7222	-2.313442	-587.7286	-2.56106	-587.892	-2.546905
-586.7764	-3.176973	-586.7358	-1.635121	-586.7208	-2.86834	-586.7471	-2.304561	-586.7071	-2.551136	-586.8802	-2.533027
-585.7741	-3.169284	-585.7568	-1.627621	-585.7057	-2.861468	-585.7615	-2.295242	-585.7384	-2.543525	-585.886	-2.517526
-584.7678	-3.164673	-584.7623	-1.620932	-584.7162	-2.852652	-584.7624	-2.288293	-584.7493	-2.534721	-584.8865	-2.500751
-583.7801	-3.158819	-583.7495	-1.61606	-583.7325	-2.845398	-583.7715	-2.280341	-583.7484	-2.526686	-583.865	-2.486248
-582.7818	-3.1529	-582.7632	-1.609919	-582.7449	-2.8374	-582.7806	-2.272458	-582.781	-2.520076	-582.8986	-2.472483
-581.7858	-3.141407	-581.7695	-1.606429	-581.7566	-2.828498	-581.7678	-2.26477	-581.7707	-2.511203	-581.9235	-2.459071
-580.7833	-3.123966	-580.7692	-1.599744	-580.7458	-2.820147	-580.7615	-2.257016	-580.7633	-2.502776	-580.9312	-2.444677
-579.7555	-3.110362	-579.7566	-1.587094	-579.7368	-2.810475	-579.7198	-2.249965	-579.7589	-2.492336	-579.9728	-2.431339
-578.7555	-3.101334	-578.7353	-1.583545	-578.7314	-2.801823	-578.7079	-2.244048	-578.7443	-2.482714	-578.9464	-2.419099
-577.7535	-3.092686	-577.7208	-1.574889	-577.7363	-2.794161	-577.7004	-2.236081	-577.7364	-2.475209	-577.9414	-2.408269
-576.7574	-3.086038	-576.7053	-1.568985	-576.7531	-2.787015	-576.6846	-2.226593	-576.7438	-2.467904	-576.9415	-2.398665
