Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 - 0.315mM	Ciclado - 20 ciclos 1 - 0.315mM	Ciclado - 20 ciclos 2 - 0.315mM	Ciclado - 20 ciclos 2 - 0.315mM	Adsorbido 1 - 0.315mM	Adsorbido 1 - 0.315mM	Adsorbido 2 - 0.315mM	Adsorbido 2 - 0.315mM	Adsorbido 3 - 0.315mM	Adsorbido 3 - 0.315mM	Adsorbido 4 - 0.315mM	Adsorbido 4 - 0.315mM	Ru 0.315mM - Au Desnudo	Ru 0.315mM - Au Desnudo
-600.1013	-1.639931	-600.1528	-1.89052	-600.0964	-3.65855	-600.0829	-2.43757	-600.0075	-1.711688	-600.0881	-2.132622	-600.1334	-1.623255
-599.8776	-1.629375	-599.8975	-1.880896	-599.855	-3.645526	-599.8481	-2.42524	-599.7943	-1.698777	-599.8473	-2.119358	-599.8954	-1.613276
-599.3813	-1.615504	-599.3885	-1.868701	-599.3473	-3.62641	-599.356	-2.407274	-599.3083	-1.681525	-599.3572	-2.099691	-599.4063	-1.60096
-598.6572	-1.599756	-598.6336	-1.853754	-598.6058	-3.601692	-598.6169	-2.384314	-598.5978	-1.661077	-598.6157	-2.075037	-598.6732	-1.586544
-597.6714	-1.58125	-597.6374	-1.83638	-597.5977	-3.57138	-597.6317	-2.355871	-597.6345	-1.636263	-597.6305	-2.045675	-597.6807	-1.569835
-596.6649	-1.572267	-596.65	-1.826371	-596.5995	-3.550109	-596.6147	-2.33609	-596.6296	-1.621401	-596.6448	-2.026866	-596.6746	-1.560092
-595.6812	-1.563479	-595.6633	-1.815757	-595.61	-3.529948	-595.6182	-2.318129	-595.644	-1.607203	-595.6275	-2.010011	-595.6801	-1.552789
-594.6599	-1.554452	-594.6764	-1.806767	-594.6141	-3.512444	-594.6203	-2.301865	-594.6365	-1.592702	-594.6441	-1.994218	-594.6755	-1.545262
-593.6445	-1.545129	-593.6674	-1.797361	-593.6179	-3.495775	-593.6206	-2.287364	-593.6315	-1.578987	-593.6339	-1.978571	-593.69	-1.537853
-592.6365	-1.534586	-592.6506	-1.788141	-592.5967	-3.478635	-592.624	-2.27253	-592.6239	-1.565134	-592.5948	-1.962211	-592.696	-1.531251
-591.6315	-1.526176	-591.6469	-1.780467	-591.5984	-3.462697	-591.6143	-2.258263	-591.6278	-1.552674	-591.6116	-1.947125	-591.7031	-1.524303
-590.6575	-1.517423	-590.6367	-1.770814	-590.5865	-3.445685	-590.6235	-2.244297	-590.6281	-1.539992	-590.6056	-1.932304	-590.7015	-1.516604
-589.6642	-1.509031	-589.6487	-1.762039	-589.5795	-3.428277	-589.6182	-2.229598	-589.6169	-1.527275	-589.6126	-1.918007	-589.6859	-1.508403
-588.6713	-1.501429	-588.6752	-1.753471	-588.59	-3.412414	-588.6438	-2.216838	-588.6307	-1.51603	-588.6647	-1.904401	-588.7095	-1.501988
-587.6752	-1.492232	-587.6929	-1.743737	-587.6044	-3.394978	-587.6818	-2.202989	-587.6465	-1.504079	-587.6744	-1.889102	-587.7	-1.493109
-586.6593	-1.484	-586.6938	-1.735112	-586.6128	-3.37748	-586.6624	-2.18842	-586.645	-1.491928	-586.6775	-1.872159	-586.707	-1.484652
-585.6761	-1.475859	-585.6922	-1.726219	-585.6412	-3.360666	-585.6742	-2.174444	-585.6696	-1.481585	-585.6717	-1.855595	-585.718	-1.478579
-584.6831	-1.467573	-584.6962	-1.717641	-584.654	-3.34356	-584.67	-2.158426	-584.6694	-1.469702	-584.6614	-1.838977	-584.7203	-1.470489
-583.6846	-1.459226	-583.6978	-1.70902	-583.6487	-3.328747	-583.6591	-2.143505	-583.6552	-1.458656	-583.6598	-1.824236	-583.7476	-1.464032
-582.7152	-1.450991	-582.7108	-1.7012	-582.6542	-3.314063	-582.6757	-2.129566	-582.6646	-1.448077	-582.6512	-1.813215	-582.7507	-1.459503
-581.719	-1.443073	-581.7053	-1.693042	-581.6462	-3.299861	-581.6725	-2.115655	-581.6666	-1.435392	-581.6526	-1.801841	-581.7552	-1.453008
-580.7184	-1.435652	-580.6849	-1.684776	-580.6442	-3.285439	-580.6573	-2.102998	-580.6868	-1.423908	-580.6465	-1.790871	-580.7418	-1.448105
-579.6957	-1.428046	-579.6716	-1.676962	-579.6229	-3.27004	-579.6444	-2.089325	-579.6855	-1.411016	-579.646	-1.777609	-579.7156	-1.441568
-578.6641	-1.42022	-578.6714	-1.668657	-578.6229	-3.255092	-578.6428	-2.075514	-578.6985	-1.39939	-578.6646	-1.76277	-578.7167	-1.436225
-577.6592	-1.412365	-577.6666	-1.660924	-577.6223	-3.239784	-577.6416	-2.061702	-577.6752	-1.387752	-577.6826	-1.74746	-577.7266	-1.430306
-576.6685	-1.404577	-576.6788	-1.653347	-576.6299	-3.223858	-576.6597	-2.047942	-576.6549	-1.375027	-576.6765	-1.73138	-576.7133	-1.424101
-575.7009	-1.39714	-575.6945	-1.646069	-575.6547	-3.207713	-575.6596	-2.034247	-575.6699	-1.362212	-575.6863	-1.717418	-575.7279	-1.418642
-574.7089	-1.389253	-574.6882	-1.638635	-574.6603	-3.191144	-574.6717	-2.019837	-574.6561	-1.349108	-574.6682	-1.703336	-574.7355	-1.41056
-573.7021	-1.381232	-573.7009	-1.63016	-573.6558	-3.174306	-573.6617	-2.004066	-573.6484	-1.335131	-573.6391	-1.688853	-573.7097	-1.403004
-572.7039	-1.374313	-572.7022	-1.622463	-572.6674	-3.159507	-572.669	-1.988684	-572.6491	-1.321627	-572.6438	-1.67589	-572.7318	-1.396835
-571.7103	-1.366943	-571.6953	-1.614029	-571.6461	-3.145176	-571.6634	-1.973583	-571.6462	-1.309815	-571.6273	-1.661453	-571.7147	-1.389753
-570.7129	-1.359722	-570.6931	-1.605604	-570.6494	-3.131231	-570.6554	-1.958978	-570.6514	-1.293803	-570.6238	-1.646402	-570.7162	-1.382638
-569.7122	-1.352918	-569.6877	-1.598289	-569.6614	-3.11839	-569.6643	-1.946189	-569.6664	-1.281983	-569.6364	-1.633292	-569.7374	-1.376665
-568.6913	-1.344598	-568.6744	-1.589677	-568.6271	-3.103969	-568.6671	-1.932488	-568.6686	-1.271974	-568.6388	-1.618192	-568.7161	-1.368607
-567.6708	-1.337184	-567.6406	-1.581529	-567.6294	-3.088976	-567.6715	-1.918977	-567.639	-1.259904	-567.6351	-1.602472	-567.7131	-1.363135
-566.6478	-1.329826	-566.639	-1.573874	-566.6158	-3.074408	-566.6599	-1.904979	-566.6412	-1.251539	-566.6221	-1.587314	-566.6835	-1.357459
-565.6331	-1.322943	-565.6332	-1.566008	-565.5996	-3.058803	-565.6369	-1.890226	-565.6373	-1.240178	-565.624	-1.571061	-565.6808	-1.350617
-564.638	-1.316426	-564.649	-1.558298	-564.6104	-3.044033	-564.6184	-1.875944	-564.6344	-1.226934	-564.6139	-1.55529	-564.6837	-1.344334
-563.6478	-1.309968	-563.6638	-1.551402	-563.6165	-3.028923	-563.6299	-1.860828	-563.6604	-1.215106	-563.6163	-1.540639	-563.6921	-1.33594
-562.663	-1.304031	-562.6638	-1.543992	-562.6282	-3.013475	-562.6408	-1.844922	-562.662	-1.203288	-562.65	-1.526223	-562.7051	-1.329277
-561.6738	-1.297489	-561.6717	-1.536581	-561.6357	-2.998313	-561.6473	-1.828357	-561.6629	-1.191471	-561.6425	-1.511121	-561.701	-1.323443
-560.6829	-1.28997	-560.6556	-1.529539	-560.6356	-2.982439	-560.6536	-1.811502	-560.6495	-1.179037	-560.655	-1.494807	-560.7097	-1.318343
-559.6718	-1.282776	-559.6518	-1.522495	-559.6442	-2.967157	-559.6451	-1.795632	-559.6545	-1.165522	-559.6726	-1.480035	-559.7166	-1.313445
-558.6848	-1.275132	-558.6716	-1.515272	-558.6431	-2.953289	-558.6486	-1.78079	-558.654	-1.151281	-558.6787	-1.464897	-558.7231	-1.306883
-557.686	-1.267452	-557.6824	-1.507553	-557.6552	-2.938769	-557.647	-1.765602	-557.6594	-1.135759	-557.6749	-1.449537	-557.7222	-1.29942
-556.7037	-1.26188	-556.6972	-1.500065	-556.6709	-2.925065	-556.662	-1.750914	-556.6867	-1.12116	-556.6816	-1.43732	-556.7243	-1.292582
-555.718	-1.255139	-555.7256	-1.492168	-555.6884	-2.91048	-555.6592	-1.735953	-555.6679	-1.105061	-555.6816	-1.422143	-555.7327	-1.285592
-554.7109	-1.248003	-554.7194	-1.48484	-554.6786	-2.893208	-554.6483	-1.720457	-554.6476	-1.089047	-554.649	-1.406034	-554.7432	-1.278914
-553.7241	-1.241431	-553.7166	-1.477632	-553.6544	-2.877371	-553.6578	-1.705953	-553.634	-1.074175	-553.6794	-1.391134	-553.7477	-1.271663
-552.6946	-1.233417	-552.699	-1.470998	-552.6375	-2.860546	-552.6454	-1.690568	-552.6166	-1.058991	-552.6872	-1.374637	-552.7546	-1.263546
-551.6818	-1.226327	-551.6868	-1.463245	-551.6183	-2.844315	-551.655	-1.673779	-551.6145	-1.044988	-551.6837	-1.35904	-551.7441	-1.25629
-550.6967	-1.219978	-550.6836	-1.456089	-550.6192	-2.829254	-550.6649	-1.657179	-550.6343	-1.030887	-550.6967	-1.344281	-550.7419	-1.250552
-549.6809	-1.21313	-549.6984	-1.448758	-549.6347	-2.813203	-549.6611	-1.639499	-549.6554	-1.016148	-549.6772	-1.327705	-549.7465	-1.245844
-548.6936	-1.207039	-548.7186	-1.440624	-548.6581	-2.797583	-548.6511	-1.622155	-548.6704	-1.000894	-548.6637	-1.310401	-548.7424	-1.23966
-547.7017	-1.201156	-547.7092	-1.433439	-547.6612	-2.781128	-547.6451	-1.604945	-547.6881	-0.984638	-547.6641	-1.292546	-547.7378	-1.233459
-546.6778	-1.195654	-546.7035	-1.42542	-546.6734	-2.76479	-546.6453	-1.58676	-546.6738	-0.968678	-546.6713	-1.275059	-546.7457	-1.226524
-545.6896	-1.189996	-545.6869	-1.418348	-545.6676	-2.749241	-545.6676	-1.56968	-545.6741	-0.95275	-545.6833	-1.259122	-545.7578	-1.220426
