Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA
Ru T4 50mv/seg	Ru T4 50mv/seg	Ru T9 50mv/seg - Adsorbido	Ru T9 50mv/seg - Adsorbido	au Control	
-599.7192	-24.66895	-599.7377	-3.512242	-600.054	-24.15001
-599.4935	-24.60683	-599.4956	-3.482088	-599.8402	-24.10798
-599.0176	-24.49788	-598.988	-3.43048	-599.3516	-24.03445
-598.288	-24.34728	-598.262	-3.360264	-598.6226	-23.93359
-597.3022	-24.15812	-597.2722	-3.272278	-597.6136	-23.81061
-596.2963	-23.99806	-596.2612	-3.200761	-596.5826	-23.71002
-595.273	-23.84928	-595.2834	-3.135864	-595.5818	-23.61749
-594.2693	-23.70937	-594.278	-3.075366	-594.5745	-23.53056
-593.2774	-23.5745	-593.2856	-3.018316	-593.5862	-23.44243
-592.2773	-23.44131	-592.2899	-2.962426	-592.5919	-23.35431
-591.2943	-23.31521	-591.2689	-2.910999	-591.6181	-23.27094
-590.3053	-23.19492	-590.2521	-2.86209	-590.6221	-23.18897
-589.2907	-23.0775	-589.2418	-2.813874	-589.6429	-23.10742
-588.3049	-22.96914	-588.2688	-2.769582	-588.6613	-23.0278
-587.2969	-22.86305	-587.3099	-2.722842	-587.644	-22.94373
-586.3068	-22.75653	-586.3214	-2.675558	-586.6276	-22.85826
-585.3239	-22.65707	-585.3213	-2.631674	-585.6222	-22.77623
-584.3358	-22.55618	-584.3074	-2.587243	-584.6023	-22.69342
-583.3594	-22.4558	-583.293	-2.545394	-583.6284	-22.61265
-582.3652	-22.35636	-582.2891	-2.506148	-582.6448	-22.5368
-581.359	-22.25319	-581.287	-2.465617	-581.6393	-22.45838
-580.346	-22.15132	-580.2864	-2.425693	-580.647	-22.37991
-579.3186	-22.04878	-579.2712	-2.384805	-579.609	-22.30025
-578.2908	-21.95142	-578.2817	-2.345295	-578.6106	-22.22024
-577.3007	-21.85709	-577.2747	-2.305894	-577.6143	-22.1387
-576.2693	-21.76217	-576.29	-2.265794	-576.617	-22.05702
-575.3002	-21.6706	-575.3024	-2.227191	-575.6232	-21.97779
-574.3097	-21.57753	-574.3081	-2.187204	-574.6362	-21.89863
-573.2981	-21.48167	-573.3004	-2.146357	-573.6345	-21.81851
-572.335	-21.38946	-572.274	-2.109109	-572.6364	-21.73985
-571.311	-21.29558	-571.257	-2.071882	-571.63	-21.66264
-570.301	-21.19931	-570.2581	-2.034406	-570.6059	-21.58189
-569.3125	-21.10719	-569.2953	-2.000744	-569.6173	-21.5062
-568.3051	-21.01134	-568.3026	-1.964163	-568.6189	-21.42859
-567.3072	-20.91552	-567.2993	-1.925484	-567.6248	-21.3466
-566.3158	-20.82429	-566.2766	-1.889201	-566.626	-21.26461
-565.2717	-20.72992	-565.2466	-1.851043	-565.607	-21.17969
-564.2761	-20.6388	-564.2429	-1.814939	-564.5886	-21.09564
-563.2875	-20.54703	-563.2513	-1.780667	-563.5903	-21.01674
-562.2805	-20.45384	-562.2607	-1.747407	-562.5965	-20.9405
-561.3213	-20.36148	-561.2766	-1.714295	-561.599	-20.86318
-560.3191	-20.26567	-560.2925	-1.678331	-560.609	-20.78357
-559.3382	-20.17398	-559.2913	-1.644994	-559.6135	-20.70711
-558.3595	-20.08066	-558.2971	-1.610498	-558.6176	-20.62878
-557.3608	-19.98702	-557.2935	-1.574677	-557.6084	-20.5497
-556.3813	-19.89802	-556.2832	-1.54294	-556.6173	-20.47325
-555.3901	-19.80482	-555.3112	-1.509097	-555.6223	-20.39256
-554.3802	-19.70887	-554.3047	-1.473261	-554.621	-20.31107
-553.3879	-19.61417	-553.3268	-1.440541	-553.6202	-20.23234
-552.3793	-19.51545	-552.3395	-1.407637	-552.6144	-20.15364
-551.35	-19.41735	-551.3361	-1.375475	-551.6095	-20.07617
-550.3486	-19.32384	-550.3561	-1.346293	-550.6401	-20.00092
-549.3562	-19.22734	-549.3364	-1.314919	-549.6559	-19.92407
-548.368	-19.13321	-548.3239	-1.281975	-548.6355	-19.8453
-547.3857	-19.0396	-547.2963	-1.247795	-547.6441	-19.76863
-546.3956	-18.94672	-546.2709	-1.213582	-546.6097	-19.68803
-545.3928	-18.85445	-545.2833	-1.181925	-545.6106	-19.61024
-544.3868	-18.75864	-544.2783	-1.150404	-544.6438	-19.53465
-543.3716	-18.66285	-543.281	-1.12117	-543.6267	-19.45413
-542.3813	-18.56077	-542.2971	-1.09231	-542.6205	-19.37849
-541.366	-18.45316	-541.2769	-1.059799	-541.5941	-19.29936
-540.3571	-18.35381	-540.2892	-1.032568	-540.5923	-19.23014
-539.3551	-18.25462	-539.2819	-1.004827	-539.6025	-19.1599
-538.34	-18.15841	-538.2729	-0.976572	-538.6295	-19.08784
-537.3586	-18.07308	-537.2876	-0.951361	-537.6478	-19.02018
-536.3562	-17.981	-536.2899	-0.921418	-536.6399	-18.94027
-535.3651	-17.88696	-535.3132	-0.891661	-535.6369	-18.86146
-534.3713	-17.79529	-534.3059	-0.862991	-534.6141	-18.78839
-533.3598	-17.69799	-533.3035	-0.835404	-533.61	-18.71465
-532.3511	-17.59885	-532.3149	-0.811008	-532.6223	-18.6454
-531.347	-17.49944	-531.3358	-0.78743	-531.6209	-18.57969
-530.3664	-17.39823	-530.3539	-0.763736	-530.6396	-18.51295
-529.3691	-17.2968	-529.3512	-0.739634	-529.6457	-18.44508
-528.3707	-17.19368	-528.3544	-0.711467	-528.6085	-18.37494
-527.3698	-17.09764	-527.3389	-0.685032	-527.6046	-18.30657
-526.3593	-17.00233	-526.3417	-0.659403	-526.6066	-18.2362
-525.361	-16.90454	-525.3446	-0.632872	-525.6139	-18.16455
-524.3622	-16.816	-524.3458	-0.612147	-524.6233	-18.09918
-523.3671	-16.72131	-523.3472	-0.590159	-523.6401	-18.03204
-522.3477	-16.62106	-522.3468	-0.567424	-522.6043	-17.96344
-521.3474	-16.52703	-521.3412	-0.548611	-521.584	-17.90525
-520.3559	-16.42898	-520.3184	-0.528176	-520.6072	-17.84691
-519.3511	-16.32975	-519.3196	-0.508972	-519.6158	-17.78784
-518.3538	-16.23585	-518.3082	-0.492458	-518.6409	-17.73112
-517.3419	-16.13976	-517.3152	-0.471458	-517.6522	-17.66801
-516.3417	-16.04262	-516.3286	-0.450255	-516.6264	-17.60214
-515.3394	-15.94369	-515.3027	-0.428274	-515.5848	-17.53616
