Tiempo	Ic Sonda/Ic Au	Au	
min			
1	0.150267523630384	-25	1
7	0.287563614579156	200	1
12	0.638077211471858	--	--
13	0.637066472493376	--	--
19	1.03136305905699	--	--
24	1.14155784652887	--	--
30	1.19052183414934	--	--
35	1.21534750680116	--	--
41	1.2261692519763	--	--
48	1.23450464626599	--	--
54	1.21356033741222	--	--
60	1.19569632900155	--	--
66	1.18078571210394	--	--
72	1.1661986735652	--	--
77	1.14250178096189	--	--
83	1.11908353622669	--	--
90	1.0903788645395	--	--
96	1.06193037547505	--	--
102	1.05021810009055	--	--
107	1.0408575811828	--	--
113	1.02572447953052	--	--
119	1.01567542055826	--	--
125	1.01388549227954	--	--
130	1.01596707462107	--	--
138	1.01844514883718	--	--
143	1.04148444035428	--	--
151	1.03859607981468	--	--
158	1.02625990121204	--	--
163	1.05162257205383	--	--
169	1.04740836790978	--	--
177	1.03634088448036	--	--
183	1.01993455519307	--	--
188	1.02096381814581	--	--
