Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20  ciclos 1 - 1.575mM	Ciclado - 20  ciclos 1 - 1.575mM	Ciclado - 6  ciclos 2 - 1.575mM	Ciclado - 6  ciclos 2 - 1.575mM	Adsorbido 1 - 1.575mM	Adsorbido 1 - 1.575mM	Adsorbido 2 - 1.575mM	Adsorbido 2 - 1.575mM	Adsorbido 3 - 1.575mM	Adsorbido 3 - 1.575mM	Adsorbido 4 - 1.575mM	Adsorbido 4 - 1.575mM	Adsorbido 5 - 1.575mM	Adsorbido 5 - 1.575mM	Adsorbido 6 - 1.575mM	Adsorbido 6 - 1.575mM	Ru 1.575mM - Au Desnudo	Ru 1.575mM - Au Desnudo
-600.1065	-5.901836	-600.0002	-2.313337	-600.0911	-5.00422	-600.1031	-3.299404	-600.0975	-4.399442	-600.123	-3.994096	-600.1636	-3.301812	-600.1218	-3.866653	-600.223	-3.526684
-599.8677	-5.888196	-599.7903	-2.293859	-599.8605	-4.983521	-599.8613	-3.27938	-599.8694	-4.377223	-599.8841	-3.971108	-599.9277	-3.278657	-599.8744	-3.843918	-599.9543	-3.514453
-599.3661	-5.868241	-599.3163	-2.263238	-599.3793	-4.953566	-599.3607	-3.249509	-599.3738	-4.342143	-599.3996	-3.935081	-599.4338	-3.242854	-599.3818	-3.808266	-599.4481	-3.497449
-598.6263	-5.843549	-598.5908	-2.222899	-598.6542	-4.916446	-598.6101	-3.210265	-598.6394	-4.298125	-598.6678	-3.889066	-598.6938	-3.196133	-598.6176	-3.762069	-598.6848	-3.474993
-597.6223	-5.814443	-597.6261	-2.175196	-597.6713	-4.869076	-597.615	-3.160925	-597.6513	-4.243207	-597.6825	-3.832676	-597.6868	-3.138581	-597.6092	-3.706386	-597.6755	-3.449813
-596.6203	-5.795284	-596.6207	-2.140529	-596.6746	-4.837475	-596.614	-3.12519	-596.6396	-4.202547	-596.6737	-3.791343	-596.6675	-3.096154	-596.6183	-3.664587	-596.7008	-3.434007
-595.6351	-5.777778	-595.6334	-2.107162	-595.6762	-4.806308	-595.6144	-3.090774	-595.6441	-4.16521	-595.662	-3.752856	-595.6642	-3.056735	-595.6204	-3.626561	-595.6977	-3.418852
-594.6166	-5.761597	-594.6432	-2.07468	-594.6517	-4.77422	-594.6432	-3.059888	-594.6337	-4.128752	-594.6542	-3.715532	-594.6535	-3.01971	-594.6594	-3.590068	-594.7114	-3.404106
-593.6368	-5.745168	-593.6281	-2.041239	-593.6437	-4.746901	-593.6371	-3.031706	-593.6177	-4.093491	-593.6375	-3.67765	-593.6598	-2.983102	-593.6642	-3.553823	-593.7203	-3.38779
-592.6381	-5.729103	-592.6345	-2.006802	-592.6179	-4.71627	-592.6253	-3.003026	-592.6274	-4.057653	-592.6161	-3.639529	-592.6667	-2.947418	-592.6539	-3.518462	-592.7065	-3.369614
-591.638	-5.715203	-591.6314	-1.97549	-591.5992	-4.688022	-591.6256	-2.974837	-591.6323	-4.024528	-591.6213	-3.603215	-591.6656	-2.915315	-591.6503	-3.484323	-591.7095	-3.350823
-590.6476	-5.700721	-590.6471	-1.946272	-590.6084	-4.660978	-590.6141	-2.946301	-590.6226	-3.99139	-590.6344	-3.569479	-590.6667	-2.884694	-590.6498	-3.452794	-590.6953	-3.335669
-589.6362	-5.6865	-589.666	-1.917609	-589.5874	-4.631261	-589.6314	-2.917269	-589.6374	-3.958773	-589.6338	-3.538552	-589.6615	-2.8559	-589.6534	-3.421819	-589.6979	-3.320277
