Tension	Intensidad
mV	uA
Au CNEA Calcinado Ciclo 7 Ru 1mM	Au CNEA Calcinado Ciclo 7 Ru 1mM
-599.8755	-5.490024
-599.6346	-5.454159
-599.1375	-5.404175
-598.4168	-5.341801
-597.423	-5.266228
-596.4614	-5.220779
-595.4945	-5.180414
-594.4825	-5.145358
-593.4825	-5.11555
-592.4375	-5.085605
-591.4079	-5.058926
-590.399	-5.033477
-589.4252	-5.008116
-588.4497	-4.986122
-587.4715	-4.96149
-586.4768	-4.935489
-585.4667	-4.911188
-584.478	-4.88467
-583.4737	-4.860771
-582.4976	-4.838291
-581.4917	-4.816281
-580.4688	-4.79305
-579.4703	-4.769745
-578.4651	-4.74925
-577.4796	-4.726497
-576.4789	-4.703936
-575.4875	-4.683681
-574.493	-4.661968
-573.4738	-4.640595
-572.4828	-4.622429
-571.4839	-4.602696
-570.4883	-4.58212
-569.4954	-4.563425
-568.4931	-4.542047
-567.4775	-4.520842
-566.4589	-4.499342
-565.4595	-4.47996
-564.4671	-4.462706
-563.4895	-4.445247
-562.5075	-4.428227
-561.5207	-4.40878
-560.5168	-4.386311
-559.5001	-4.366083
-558.4762	-4.347455
-557.4611	-4.328376
-556.4679	-4.314245
-555.4688	-4.297673
-554.46	-4.279051
-553.4684	-4.262416
-552.4591	-4.244304
-551.4583	-4.225855
-550.4937	-4.208075
-549.4948	-4.18926
-548.5039	-4.169773
-547.5189	-4.150801
-546.4918	-4.133337
-545.4867	-4.118171
-544.5007	-4.101768
-543.4968	-4.086839
-542.5148	-4.070521
-541.4993	-4.050858
-540.4807	-4.035334
-539.4737	-4.017561
-538.4563	-4.000542
-537.4922	-3.986567
-536.5105	-3.968166
-535.5198	-3.950963
-534.5359	-3.934021
-533.5369	-3.917361
-532.5342	-3.90406
-531.5372	-3.890133
-530.539	-3.876019
-529.5216	-3.85921
-528.4927	-3.839703
-527.4849	-3.823741
-526.4877	-3.80776
-525.4776	-3.791886
-524.5043	-3.781346
-523.5118	-3.766379
-522.5066	-3.749711
-521.5151	-3.735137
-520.4938	-3.71734
-519.484	-3.70183
-518.4841	-3.68997
-517.4636	-3.676552
-516.4678	-3.661734
-515.4486	-3.646907
-514.4468	-3.633129
-513.4634	-3.620483
-512.4698	-3.608328
-511.4866	-3.595846
-510.4881	-3.579965
-509.476	-3.563318
-508.4816	-3.549541
-507.4808	-3.536767
-506.4948	-3.524032
-505.5008	-3.514133
-504.4945	-3.50199
-503.5028	-3.488391
-502.4811	-3.47682
-501.4866	-3.462607
-500.4677	-3.450312
-499.4547	-3.437256
-498.4634	-3.423737
-497.4692	-3.412126
-496.4879	-3.399288
-495.4938	-3.389352
-494.495	-3.380465
-493.5038	-3.37022
-492.5179	-3.361081
-491.5256	-3.350481
-490.5093	-3.337725
-489.5054	-3.327046
-488.5	-3.316396
-487.5026	-3.306962
-486.5157	-3.299459
-485.5134	-3.290117
-484.5097	-3.279325
-483.4925	-3.267685
-482.5109	-3.257633
-481.5095	-3.24862
-480.5272	-3.240242
-479.5354	-3.232562
-478.522	-3.222326
-477.5398	-3.20959
-476.5321	-3.200128
-475.5458	-3.191515
-474.5599	-3.182576
-473.5721	-3.177351
-472.5592	-3.166185
-471.5596	-3.153472
-470.5698	-3.143356
-469.5526	-3.13277
-468.5756	-3.125162
-467.5776	-3.11782
-466.5373	-3.108767
-465.5229	-3.098881
-464.4958	-3.08714
-463.4797	-3.077899
-462.498	-3.069512
-461.4931	-3.058934
-460.4958	-3.050973
-459.5062	-3.038998
-458.4982	-3.02627
-457.5258	-3.016078
-456.5309	-3.005827
-455.5205	-2.997411
-454.5398	-2.988928
-453.5501	-2.978324
-452.5488	-2.966495
-451.5566	-2.953265
-450.5597	-2.940942
-449.5291	-2.928648
-448.5098	-2.91618
-447.5256	-2.905303
-446.5103	-2.892548
-445.517	-2.879638
-444.5461	-2.870239
-443.5316	-2.858842
-442.5353	-2.847306
-441.5537	-2.837493
-440.545	-2.822011
-439.5281	-2.806607
-438.5117	-2.793144
-437.4815	-2.779273
-436.4877	-2.767391
-435.5081	-2.756714
-434.5439	-2.742538
-433.559	-2.728035
-432.5547	-2.713352
-431.547	-2.701913
-430.5319	-2.689976
-429.5304	-2.673974
-428.5314	-2.663567
-427.5552	-2.646514
-426.5182	-2.630652
-425.5254	-2.618915
-424.5163	-2.60305
-423.4973	-2.588957
-422.5282	-2.577946
-421.5269	-2.564586
-420.5396	-2.549634
-419.5479	-2.533962
-418.5343	-2.516497
-417.5286	-2.500122
-416.5095	-2.482892
-415.491	-2.467717
-414.5145	-2.451925
-413.4901	-2.431669
-412.4926	-2.41763
-411.4943	-2.402989
-410.4772	-2.385788
-409.4904	-2.3735
-408.4987	-2.355472
-407.5142	-2.337201
-406.5193	-2.322027
-405.5362	-2.307425
-404.5386	-2.293879
-403.5383	-2.278011
-402.5376	-2.261274
-401.5383	-2.242354
-400.5321	-2.218825
-399.5326	-2.200068
-398.5301	-2.18203
-397.5285	-2.161899
-396.5509	-2.149332
-395.5596	-2.133061
-394.5752	-2.114065
-393.5866	-2.099862
-392.5837	-2.081749
-391.5639	-2.062326
-390.5695	-2.044502
-389.5471	-2.02133
-388.5392	-1.999437
-387.5231	-1.978981
-386.5238	-1.96109
-385.5383	-1.947842
-384.5363	-1.930916
-383.5647	-1.913663
-382.562	-1.894971
-381.5704	-1.869507
-380.5913	-1.851211
-379.5994	-1.831662
-378.5879	-1.80904
-377.5661	-1.793369
-376.5733	-1.771062
-375.5547	-1.750425
-374.5563	-1.733311
-373.5682	-1.712859
-372.5495	-1.695765
-371.5721	-1.675045
-370.5862	-1.652146
-369.6042	-1.63033
-368.6068	-1.605205
-367.5937	-1.587307
-366.5865	-1.570344
-365.5606	-1.549062
-364.5669	-1.536357
-363.5782	-1.515428
-362.5779	-1.490412
-361.5952	-1.47283
-360.5797	-1.447922
-359.5796	-1.426735
-358.5793	-1.41244
-357.5692	-1.390718
-356.5836	-1.373558
-355.5857	-1.357373
-354.5845	-1.340638
-353.6026	-1.326018
-352.6053	-1.305937
-351.5846	-1.286758
-350.5941	-1.260658
-349.5758	-1.22964
-348.5593	-1.209732
-347.5843	-1.187868
-346.5729	-1.169482
-345.6005	-1.162053
-344.6285	-1.145699
-343.6351	-1.126554
-342.6561	-1.110681
-341.6455	-1.088913
-340.6357	-1.067455
-339.618	-1.046774
-338.6127	-1.025843
-337.6107	-1.002077
-336.6028	-0.977462
-335.5984	-0.965934
-334.5904	-0.95323
-333.5844	-0.936166
-332.6052	-0.929124
-331.6217	-0.910071
-330.6266	-0.882377
-329.6335	-0.868042
-328.62	-0.846528
-327.619	-0.825613
-326.6143	-0.815568
-325.6299	-0.79808
-324.6242	-0.782313
-323.6202	-0.762659
-322.6294	-0.746553
-321.6122	-0.731722
-320.6159	-0.70939
-319.6227	-0.696762
-318.6164	-0.678187
-317.6173	-0.65264
-316.6303	-0.644358
-315.624	-0.631891
-314.627	-0.615547
-313.622	-0.609427
-312.5935	-0.587482
-311.5931	-0.561751
-310.5768	-0.53981
-309.561	-0.517979
-308.5825	-0.506378
-307.5577	-0.498029
-306.5709	-0.490966
-305.5963	-0.484677
-304.5929	-0.468368
-303.6288	-0.458409
-302.6491	-0.446741
-301.6423	-0.423175
-300.6548	-0.410942
-299.6525	-0.387169
-298.6454	-0.360356
-297.6407	-0.347567
-296.6259	-0.330648
-295.618	-0.320941
-294.6285	-0.319076
-293.6455	-0.306666
-292.6606	-0.293988
-291.6629	-0.276243
-290.6457	-0.255402
-289.6546	-0.239337
-288.6385	-0.22044
-287.6506	-0.207941
-286.6498	-0.192883
-285.6228	-0.171624
-284.6231	-0.166267
-283.6139	-0.152942
-282.6193	-0.139042
-281.6294	-0.13781
-280.6435	-0.114431
-279.6622	-0.091771
-278.6493	-0.080555
-277.6562	-0.062703
-276.6738	-0.050957
-275.6493	-0.040866
-274.6695	-0.022549
-273.6787	-0.001957
-272.6551	0.024418
-271.6647	0.040872
-270.6702	0.056006
-269.6317	0.075886
-268.642	0.080315
-267.6561	0.097246
-266.6447	0.121972
-265.6997	0.131657
-264.6935	0.157114
-263.6843	0.177101
-262.6774	0.190639
-261.6491	0.218517
-260.6687	0.237574
-259.6529	0.261378
-258.6509	0.280856
-257.6591	0.293737
-256.6585	0.313748
-255.6777	0.32828
-254.6818	0.350622
-253.6596	0.381446
-252.6496	0.394568
-251.6292	0.416046
-250.6282	0.437022
-249.6507	0.446635
-248.6513	0.476082
-247.6614	0.505279
-246.6505	0.535253
-245.6258	0.572145
-244.6299	0.597951
-243.627	0.62226
-242.6506	0.645323
-241.6687	0.669301
-240.6771	0.700615
-239.6884	0.724361
-238.6919	0.75123
-237.6868	0.787226
-236.6796	0.813896
-235.7096	0.85704
-234.6863	0.904444
-233.6838	0.933321
-232.6722	0.970078
-231.6266	0.999327
-230.6541	1.017762
-229.677	1.051053
-228.6743	1.085982
-227.6856	1.124615
-226.6916	1.166605
-225.6869	1.209415
-224.6901	1.257881
-223.7007	1.29978
-222.6824	1.347766
-221.6787	1.400948
-220.6825	1.436953
-219.6648	1.477541
-218.666	1.52162
-217.6674	1.552687
-216.6589	1.600674
-215.6618	1.65685
-214.6472	1.707848
-213.6514	1.763131
-212.6512	1.815167
-211.6324	1.862419
-210.6411	1.908886
-209.614	1.959711
-208.594	2.020281
-207.6045	2.068811
-206.5945	2.118602
-205.5884	2.176091
-204.5992	2.216684
-203.6043	2.270737
-202.6216	2.332279
-201.6381	2.37668
-200.6595	2.429647
-199.6654	2.481982
-198.6699	2.528857
-197.669	2.58755
-196.6855	2.649873
-195.6634	2.717119
-194.6682	2.777843
-193.6651	2.831881
-192.6225	2.887258
-191.6651	2.931003
-190.6555	2.979817
-189.6541	3.039553
-188.6881	3.086428
-187.6895	3.140241
-186.6989	3.199207
-185.6974	3.248193
-184.7038	3.309089
-183.6812	3.369086
-182.6673	3.421074
-181.6971	3.471377
-180.6914	3.510571
-179.7053	3.548508
-178.7278	3.588902
-177.7182	3.631211
-176.7151	3.685286
-175.7142	3.733871
-174.7097	3.781335
-173.7051	3.831511
-172.7212	3.868651
-171.7101	3.909447
-170.6971	3.951859
-169.7041	3.982472
-168.6978	4.01731
-167.7225	4.048131
-166.7411	4.072271
-165.7486	4.106483
-164.7399	4.139981
-163.7362	4.172429
-162.7211	4.20323
-161.7162	4.224358
-160.6996	4.243862
-159.6876	4.260037
-158.6897	4.281372
-157.6637	4.309262
-156.6768	4.326161
-155.6718	4.343036
-154.6688	4.354727
-153.685	4.35259
-152.691	4.361061
-151.6953	4.367823
-150.6939	4.369169
-149.6875	4.375125
-148.7046	4.377097
-147.7166	4.376815
-146.7301	4.380226
-145.7519	4.384281
-144.7104	4.391065
-143.7027	4.388614
-142.7036	4.382161
-141.7028	4.375083
-140.7328	4.355381
-139.729	4.34448
-138.7225	4.338052
-137.7365	4.322689
-136.7274	4.314718
-135.7316	4.307441
-134.7428	4.293386
-133.7246	4.2832
-132.7341	4.271671
-131.7401	4.254916
-130.7384	4.232169
-129.7376	4.207993
-128.7324	4.184979
-127.742	4.159658
-126.7431	4.14188
-125.7184	4.128839
-124.7202	4.103925
-123.6974	4.084811
-122.6895	4.066429
-121.7126	4.036482
-120.7263	4.019487
-119.739	3.996709
-118.7348	3.971169
-117.7475	3.948169
-116.737	3.921306
-115.7495	3.896503
-114.7737	3.871063
-113.7691	3.846917
-112.7586	3.82594
-111.7335	3.79862
-110.7179	3.771971
-109.71	3.748566
-108.7063	3.720065
-107.7115	3.698476
-106.6948	3.678337
-105.6913	3.652261
-104.6978	3.628011
-103.6963	3.602243
-102.7025	3.573536
-101.7074	3.548412
-100.7018	3.5223
-99.69908	3.496253
-98.69853	3.469868
-97.70229	3.442932
-96.69544	3.420238
-95.71087	3.397254
-94.72472	3.375813
-93.70377	3.355535
-92.69963	3.33048
-91.67716	3.305298
-90.67589	3.280314
-89.71093	3.251856
-88.72798	3.229747
-87.75459	3.208225
-86.75487	3.185833
-85.74472	3.167946
-84.73895	3.145679
-83.73526	3.123806
-82.73309	3.104014
-81.73943	3.081607
-80.75759	3.061821
-79.74712	3.039045
-78.74522	3.016709
-77.74434	2.997341
-76.7199	2.975157
-75.72501	2.959129
-74.7477	2.943012
-73.74593	2.923155
-72.76247	2.907435
-71.77071	2.888585
-70.76059	2.868237
-69.7765	2.852483
-68.78513	2.833837
-67.78555	2.81599
-66.78336	2.797449
-65.76753	2.777858
-64.75214	2.761442
-63.7421	2.74399
-62.73286	2.728806
-61.71921	2.715796
-60.73729	2.696842
-59.74224	2.680069
-58.74701	2.66671
-57.76818	2.650054
-56.76592	2.639117
-55.74537	2.62749
-54.74719	2.610316
-53.7161	2.592923
-52.69703	2.574992
-51.7201	2.557598
-50.71547	2.542169
-49.73966	2.529032
-48.73684	2.518028
-47.72861	2.505301
-46.74297	2.494867
-45.74526	2.484695
-44.76881	2.472149
-43.77215	2.459699
-42.73787	2.448291
-41.71887	2.43374
-40.71301	2.419398
-39.71087	2.407754
-38.73727	2.393704
-37.76175	2.382711
-36.75909	2.374041
-35.76154	2.365986
-34.76914	2.357333
-33.76549	2.346997
-32.75441	2.338276
-31.76424	2.326567
-30.75836	2.313824
-29.74327	2.305682
-28.721	2.292472
-27.711	2.281096
-26.71216	2.274152
-25.71949	2.262719
-24.76442	2.255767
-23.7709	2.249081
-22.76331	2.23988
-21.74721	2.231556
-20.75321	2.22256
-19.73051	2.213519
-18.7384	2.204941
-17.76482	2.19664
-16.74541	2.190484
-15.76075	2.181116
-14.75633	2.173095
-13.73902	2.166643
-12.73807	2.15647
-11.75274	2.150265
-10.75221	2.144147
-9.744998	2.135368
-8.753075	2.1304
-7.754686	2.125786
-6.746925	2.120423
-5.748471	2.11536
-4.712128	2.108517
-3.720486	2.096513
-2.759589	2.086643
-1.797511	2.079321
