Ciclos	Mínimo	Máximo		
1	-2.826897	0.339298	-6.77	4.01
2	-2.814598	0.396261	-6.77	4.01
3	-2.897455	0.46641	-6.77	4.01
4	-2.899637	0.543497	-6.77	4.01
5	-2.894731	0.610479	-6.77	4.01
6	-3.074578	0.665024	-6.77	4.01
7	-3.213356	0.714659	-6.77	4.01
8	-3.322854	0.769944	-6.77	4.01
9	-3.421743	0.820845	-6.77	4.01
10	-3.536617	0.861517	-6.77	4.01
11	-3.627745	0.911109	-6.77	4.01
12	-3.730483	0.957412	-6.77	4.01
13	-3.827392	1.034653	-6.77	4.01
14	-3.948221	1.130364	-6.77	4.01
15	-4.053835	1.229465	-6.77	4.01
16	-4.173408	1.333268	-6.77	4.01
17	-4.300063	1.435339	-6.77	4.01
18	-4.431179	1.543186	-6.77	4.01
19	-4.567094	1.657484	-6.77	4.01
20	-4.709862	1.774138	-6.77	4.01
21	-4.848815	1.90121	-6.77	4.01
22	-5.017076	2.023631	-6.77	4.01
23	-5.1744	2.156772	-6.77	4.01
24	-5.354764	2.304625	-6.77	4.01
25	-5.546542	2.454026	-6.77	4.01
26	-5.735311	2.616279	-6.77	4.01
27	-5.956115	2.782544	-6.77	4.01
28	-6.167972	2.962506	-6.77	4.01
29	-6.396359	3.156374	-6.77	4.01
30	-6.650041	3.35771	-6.77	4.01
31	-6.855302	3.55803	-6.77	4.01
32	-7.088601	3.76623	-6.77	4.01
33	-7.32337	3.975935	-6.77	4.01
34	-7.557037	4.186334	-6.77	4.01
35	-7.782324	4.402135	-6.77	4.01
36	-7.984644	4.616032	-6.77	4.01
37	-8.183146	4.826586	-6.77	4.01
38	-8.370743	5.019336	-6.77	4.01
39	-8.546999	5.210022	-6.77	4.01
40	-8.730101	5.394743	-6.77	4.01
41	-8.872705	5.569074	-6.77	4.01
42	-9.011402	5.731007	-6.77	4.01
43	-9.143076	5.88273	-6.77	4.01
44	-9.263012	6.021991	-6.77	4.01
45	-9.365159	6.160933	-6.77	4.01
46	-9.459223	6.285708	-6.77	4.01
47	-9.66967	6.55246	-6.77	4.01
48	-9.70468	6.72813	-6.77	4.01
49	-9.74952	6.80033	-6.77	4.01
50	-9.77605	6.88381	-6.77	4.01
51	-9.81224	6.95695	-6.77	4.01
52	-9.82024	7.03339	-6.77	4.01
53	-9.84115	7.10036	-6.77	4.01
54	-9.85337	7.16193	-6.77	4.01
55	-9.85623	7.22053	-6.77	4.01
56	-9.87166	7.26731	-6.77	4.01
57	-9.85045	7.3136	-6.77	4.01
58	-9.86693	7.35525	-6.77	4.01
59	-9.86198	7.39951	-6.77	4.01
60	-9.85565	7.42611	-6.77	4.01
61	-9.85797	7.45908	-6.77	4.01
62	-9.85371	7.47206	-6.77	4.01
63	-9.83377	7.47572	-6.77	4.01
64	-9.83885	7.46542	-6.77	4.01
65	-9.84048	7.46548	-6.77	4.01
66	-9.83772	7.45736	-6.77	4.01
67	-9.8245	7.44194	-6.77	4.01
68	-9.83259	7.39423	-6.77	4.01
69	-9.83537	7.38663	-6.77	4.01
70	-9.81225	7.34994	-6.77	4.01
71	-9.82551	7.29363	-6.77	4.01
72	-9.78675	7.25438	-6.77	4.01
73	-9.77724	7.18096	-6.77	4.01
74	-9.7517	7.12792	-6.77	4.01
75	-9.76074	7.03975	-6.77	4.01
76	-9.77891	6.98183	-6.77	4.01
77	-9.7532	6.94906	-6.77	4.01
78	-9.7244	6.88203	-6.77	4.01
79	-9.68841	6.80306	-6.77	4.01
80	-9.63431	6.71687	-6.77	4.01
81	-9.59188	6.62066	-6.77	4.01
82	-9.52623	6.52054	-6.77	4.01
83	-9.45479	6.4154	-6.77	4.01
84	-9.41359	6.31388	-6.77	4.01
85	-9.33066	6.21274	-6.77	4.01
86	-9.29087	6.10459	-6.77	4.01
87	-9.21069	5.99867	-6.77	4.01
88	-9.11937	5.89212	-6.77	4.01
89	-9.05113	5.80456	-6.77	4.01
90	-8.94191	5.69961	-6.77	4.01
91	-8.84545	5.58803	-6.77	4.01
92	-8.76172	5.50476	-6.77	4.01
93	-8.48464	5.46326	-6.77	4.01
94	-8.40714	5.35389	-6.77	4.01
95	-8.29881	5.27386	-6.77	4.01
96	-8.18291	5.21854	-6.77	4.01
97	-8.07603	5.17372	-6.77	4.01
98	-7.97604	5.12814	-6.77	4.01
99	-7.89457	5.09744	-6.77	4.01
100	-7.77298	5.0545	-6.77	4.01
101	-7.67422	5.02683	-6.77	4.01
102	-7.58895	5.00741	-6.77	4.01
103	-7.47671	4.97851	-6.77	4.01
104	-7.38508	4.9551	-6.77	4.01
105	-7.30371	4.9334	-6.77	4.01
106	-7.20307	4.9135	-6.77	4.01
107	-7.11693	4.87459	-6.77	4.01
108	-7.05061	4.86233	-6.77	4.01
109	-6.95927	4.84877	-6.77	4.01
110	-6.88283	4.83127	-6.77	4.01
111	-6.81603	4.80688	-6.77	4.01
112	-6.75732	4.79215	-6.77	4.01
113	-6.67174	4.77491	-6.77	4.01
114	-6.58715	4.76998	-6.77	4.01
115	-6.53634	4.75038	-6.77	4.01
116	-6.4737	4.73317	-6.77	4.01
117	-6.40492	4.72895	-6.77	4.01
118	-6.34109	4.7194	-6.77	4.01
119	-6.28516	4.71156	-6.77	4.01
120	-6.23296	4.70323	-6.77	4.01
121	-6.17939	4.69528	-6.77	4.01
122	-6.15914	4.67996	-6.77	4.01
123	-6.0899	4.67296	-6.77	4.01
124	-6.04247	4.66359	-6.77	4.01
125	-5.99865	4.65364	-6.77	4.01
126	-5.94739	4.64524	-6.77	4.01
127	-5.90967	4.63876	-6.77	4.01
128	-5.87611	4.62374	-6.77	4.01
129	-5.84004	4.61836	-6.77	4.01
130	-5.80027	4.6203	-6.77	4.01
131	-5.77292	4.61186	-6.77	4.01
132	-5.76002	4.60544	-6.77	4.01
133	-5.70835	4.60418	-6.77	4.01
134	-5.6765	4.59555	-6.77	4.01
135	-5.65503	4.59175	-6.77	4.01
136	-5.62233	4.58146	-6.77	4.01
137	-5.59979	4.57848	-6.77	4.01
138	-5.5817	4.57728	-6.77	4.01
139	-5.6732	4.5688	-6.77	4.01
140	-5.57495	4.54628	-6.77	4.01
141	-5.51413	4.53031	-6.77	4.01
142	-5.48183	4.52846	-6.77	4.01
143	-5.46114	4.53054	-6.77	4.01
144	-5.4372	4.53009	-6.77	4.01
145	-5.40689	4.52623	-6.77	4.01
146	-5.38642	4.51618	-6.77	4.01
147	-5.37031	4.51981	-6.77	4.01
148	-5.37653	4.52094	-6.77	4.01
149	-5.33285	4.51417	-6.77	4.01
150	-5.31945	4.51184	-6.77	4.01
151	-5.30102	4.50244	-6.77	4.01
152	-5.29401	4.49818	-6.77	4.01
153	-5.2736	4.49458	-6.77	4.01
154	-5.25969	4.49108	-6.77	4.01
155	-5.24974	4.47635	-6.77	4.01
156	-5.23404	4.48379	-6.77	4.01
157	-5.23113	4.47274	-6.77	4.01
158	-5.22353	4.46861	-6.77	4.01
159	-5.19613	4.46608	-6.77	4.01
160	-5.18144	4.46266	-6.77	4.01
