Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Cilclado - 20 ciclos 1 - 3.15mM	Cilclado - 20 ciclos 1 - 3.15mM	Cilclado - 20 ciclos 2 - 3.15mM	Cilclado - 20 ciclos 2 - 3.15mM	Adsorbido 1 - 3.15mM	Adsorbido 1 - 3.15mM	Adsorbido 2 - 3.15mM	Adsorbido 2 - 3.15mM	Adsorbido 3 - 3.15mM	Adsorbido 3 - 3.15mM	Adsorbido 4 - 3.15mM	Adsorbido 4 - 3.15mM	Adsorbido 5 - 3.15mM	Adsorbido 5 - 3.15mM	Adsorbido 6 - 3.15mM	Adsorbido 6 - 3.15mM	Adsorbido 7 - 3.15mM	Adsorbido 7 - 3.15mM	Ru 3.15mM - Au Desnudo	Ru 3.15mM - Au Desnudo
-600.1879	-3.116355	-600.1766	-5.368749	-599.9578	-5.120312	-599.9814	-3.435724	-600.0695	-3.759092	-599.983	-3.618548	-600.0816	-4.094085	-600.0662	-3.546805	-600.1121	-3.746996	-600.2421	-5.908736
-599.9512	-3.105098	-599.9344	-5.355292	-599.7445	-5.10477	-599.7456	-3.420024	-599.8147	-3.740396	-599.7491	-3.598345	-599.8467	-4.072962	-599.8303	-3.524424	-599.8755	-3.724238	-600.0027	-5.891369
-599.4523	-3.091538	-599.4373	-5.334276	-599.282	-5.080976	-599.2826	-3.394686	-599.3246	-3.711384	-599.2836	-3.566531	-599.344	-4.039315	-599.3512	-3.490752	-599.3814	-3.68937	-599.5192	-5.866902
-598.7135	-3.07458	-598.7043	-5.306906	-598.5732	-5.050586	-598.5485	-3.361186	-598.5786	-3.672902	-598.5457	-3.525215	-598.6071	-3.994553	-598.6378	-3.446585	-598.6497	-3.643992	-598.769	-5.835596
-597.7182	-3.054958	-597.6989	-5.270841	-597.6072	-5.012107	-597.5735	-3.31985	-597.5859	-3.625892	-597.5831	-3.474202	-597.6094	-3.939122	-597.6488	-3.392542	-597.6537	-3.588026	-597.7639	-5.797263
-596.7147	-3.046022	-596.6868	-5.244516	-596.6125	-4.983573	-596.5764	-3.287604	-596.5959	-3.589121	-596.5932	-3.434629	-596.6149	-3.896683	-596.6621	-3.352679	-596.6537	-3.546532	-596.7438	-5.770099
-595.725	-3.037598	-595.6967	-5.217831	-595.6201	-4.955632	-595.5571	-3.257072	-595.5984	-3.553799	-595.5825	-3.397532	-595.6571	-3.857662	-595.6766	-3.315309	-595.6448	-3.507907	-595.7322	-5.747209
-594.7109	-3.028575	-594.6843	-5.192522	-594.6393	-4.928161	-594.5758	-3.228384	-594.6031	-3.52082	-594.5863	-3.361247	-594.6531	-3.821373	-594.6653	-3.278912	-594.6477	-3.471456	-594.7294	-5.725219
-593.7135	-3.022075	-593.6942	-5.169715	-593.6221	-4.901754	-593.5665	-3.199352	-593.5966	-3.487574	-593.5692	-3.326165	-593.6467	-3.78614	-593.6716	-3.243732	-593.637	-3.436279	-593.7411	-5.703604
