Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 Ciclos 1 - 6.3mM	Ciclado - 20 Ciclos 1 - 6.3mM	Ciclado - 20 Ciclos 2 - 6.3mM	Ciclado - 20 Ciclos 2 - 6.3mM	Adsorbido 1 - 6.3mM	Adsorbido 1 - 6.3mM	Adsorbido 2 - 6.3mM	Adsorbido 2 - 6.3mM	Ru 6.3mM Au Desnudo	Ru 6.3mM Au Desnudo
-600.1796	-4.955153	-600.2395	-9.241439	-600.1999	-8.0299	-600.1733	-5.625447	-600.2449	-12.87342
-599.9537	-4.944145	-599.9962	-9.229607	-599.9913	-8.007924	-599.943	-5.603481	-600.0145	-12.85004
-599.488	-4.927634	-599.5013	-9.20817	-599.5118	-7.972318	-599.4688	-5.566719	-599.5258	-12.8173
-598.774	-4.907035	-598.7634	-9.181756	-598.7946	-7.921703	-598.7499	-5.517412	-598.7917	-12.7712
-597.8135	-4.88057	-597.779	-9.149927	-597.7966	-7.854647	-597.7639	-5.455654	-597.814	-12.71213
-596.8151	-4.863014	-596.7913	-9.120129	-596.7529	-7.795171	-596.776	-5.40744	-596.7986	-12.66554
-595.8348	-4.850575	-595.8268	-9.092906	-595.7609	-7.734884	-595.7582	-5.361962	-595.7889	-12.62121
-594.8481	-4.840255	-594.8651	-9.062782	-594.733	-7.676039	-594.7775	-5.320112	-594.7839	-12.5799
-593.8284	-4.830056	-593.8656	-9.027221	-593.7375	-7.61976	-593.7916	-5.279367	-593.7703	-12.53962
-592.8408	-4.81637	-592.8384	-8.994004	-592.7589	-7.567455	-592.7782	-5.237654	-592.7732	-12.50132
-591.8173	-4.800855	-591.7994	-8.962267	-591.7428	-7.515679	-591.7847	-5.196068	-591.7639	-12.46111
-590.8206	-4.784449	-590.7559	-8.930152	-590.7668	-7.46493	-590.7621	-5.155573	-590.7462	-12.42175
-589.8448	-4.770964	-589.7393	-8.900878	-589.7816	-7.411913	-589.7424	-5.11591	-589.7468	-12.38404
-588.8802	-4.760537	-588.7684	-8.874672	-588.7891	-7.363821	-588.7732	-5.077257	-588.7545	-12.34771
-587.9138	-4.751806	-587.7777	-8.842569	-587.8071	-7.316414	-587.7968	-5.041686	-587.7616	-12.3068
-586.9127	-4.735813	-586.7943	-8.812554	-586.8148	-7.269037	-586.8119	-5.005844	-586.7789	-12.26652
-585.9011	-4.714896	-585.8101	-8.790949	-585.8011	-7.231577	-585.8442	-4.969137	-585.7752	-12.22476
-584.885	-4.696006	-584.8232	-8.767697	-584.8221	-7.186134	-584.8335	-4.937866	-584.7844	-12.18331
-583.8602	-4.679394	-583.8328	-8.751516	-583.8243	-7.141989	-583.8409	-4.908663	-583.7871	-12.14617
-582.859	-4.670749	-582.8243	-8.731716	-582.8226	-7.098293	-582.8479	-4.881417	-582.7943	-12.10882
-581.8767	-4.66571	-581.8155	-8.700392	-581.8327	-7.053005	-581.8438	-4.855712	-581.7892	-12.07141
-580.8495	-4.658887	-580.8007	-8.67078	-580.8247	-7.009356	-580.8466	-4.826041	-580.7603	-12.03308
-579.8531	-4.645363	-579.7817	-8.639091	-579.8093	-6.966798	-579.8234	-4.795302	-579.7715	-11.99684
-578.8257	-4.630091	-578.7939	-8.611188	-578.8077	-6.927272	-578.8102	-4.763947	-578.7853	-11.95775
-577.8218	-4.617268	-577.8062	-8.591881	-577.8306	-6.884913	-577.7886	-4.735106	-577.7841	-11.91946
-576.8337	-4.606228	-576.8198	-8.568472	-576.8223	-6.839487	-576.7833	-4.70874	-576.8083	-11.88391
-575.8416	-4.595482	-575.843	-8.538525	-575.8499	-6.799319	-575.8079	-4.682621	-575.8176	-11.84418
-574.8884	-4.586533	-574.8281	-8.511134	-574.8638	-6.760344	-574.8035	-4.655478	-574.8165	-11.80494
-573.887	-4.567823	-573.8209	-8.485085	-573.863	-6.723841	-573.8051	-4.624587	-573.7952	-11.76556
-572.9096	-4.550153	-572.7916	-8.464361	-572.8843	-6.691919	-572.8073	-4.59574	-572.7787	-11.72282
-571.8989	-4.541149	-571.7814	-8.450047	-571.8732	-6.655071	-571.8148	-4.568719	-571.7628	-11.68031
-570.8432	-4.530609	-570.7887	-8.432632	-570.8696	-6.619586	-570.816	-4.544247	-570.741	-11.64223
-569.8376	-4.529609	-569.7794	-8.409662	-569.8451	-6.581997	-569.8242	-4.524022	-569.781	-11.60772
-568.8226	-4.524192	-568.7926	-8.383329	-568.8052	-6.54628	-568.8087	-4.499954	-568.778	-11.56994
-567.8062	-4.512176	-567.7731	-8.360083	-567.7837	-6.512171	-567.7813	-4.472875	-567.7755	-11.53287
-566.8278	-4.501027	-566.7717	-8.336963	-566.7578	-6.476227	-566.7795	-4.447047	-566.7838	-11.49703
-565.8208	-4.491183	-565.782	-8.31583	-565.7525	-6.438023	-565.7809	-4.420287	-565.764	-11.45598
-564.8421	-4.480755	-564.7925	-8.296232	-564.7869	-6.399665	-564.7878	-4.392869	-564.7649	-11.41953
-563.873	-4.469328	-563.8331	-8.268036	-563.8114	-6.365448	-563.7988	-4.367679	-563.7703	-11.38143
-562.8777	-4.456073	-562.8212	-8.243625	-562.8179	-6.331717	-562.8174	-4.339979	-562.7724	-11.33912
-561.8741	-4.441083	-561.8159	-8.222284	-561.8285	-6.30409	-561.8109	-4.31078	-561.7831	-11.29684
-560.8466	-4.427477	-560.8032	-8.200309	-560.7889	-6.276273	-560.8195	-4.283653	-560.7938	-11.25448
-559.8346	-4.416978	-559.7836	-8.183825	-559.7715	-6.245088	-559.8167	-4.257592	-559.8011	-11.21676
-558.8404	-4.411859	-558.787	-8.161859	-558.7757	-6.214604	-558.8108	-4.23304	-558.8121	-11.17677
-557.8787	-4.406812	-557.7981	-8.136915	-557.7837	-6.182101	-557.816	-4.210118	-557.8169	-11.13798
-556.875	-4.403698	-556.8162	-8.113179	-556.8193	-6.152632	-556.8326	-4.190108	-556.8311	-11.10341
-555.8915	-4.397787	-555.8185	-8.086866	-555.8271	-6.1221	-555.8399	-4.167396	-555.8542	-11.0622
-554.8741	-4.386293	-554.8303	-8.06246	-554.8258	-6.090594	-554.8329	-4.14174	-554.8491	-11.02133
-553.8512	-4.37512	-553.8229	-8.036121	-553.8275	-6.059157	-553.8375	-4.11737	-553.8428	-10.98201
-552.8496	-4.360322	-552.8081	-8.006004	-552.8152	-6.024943	-552.8262	-4.088082	-552.836	-10.93788
-551.8596	-4.345431	-551.7903	-7.980481	-551.8098	-5.993871	-551.8403	-4.057752	-551.8047	-10.89139
-550.8699	-4.33222	-550.7789	-7.955492	-550.8028	-5.964707	-550.8481	-4.029773	-550.8207	-10.85119
-549.8514	-4.317878	-549.7917	-7.931339	-549.793	-5.936411	-549.8243	-4.001688	-549.8268	-10.80889
-548.8683	-4.306281	-548.7827	-7.911626	-548.7816	-5.909246	-548.8064	-3.973518	-548.8356	-10.7631
-547.8275	-4.293753	-547.8043	-7.894189	-547.7855	-5.88261	-547.7742	-3.948297	-547.8348	-10.72337
-546.829	-4.282455	-546.8083	-7.877841	-546.8158	-5.855517	-546.7815	-3.923098	-546.8209	-10.68262
-545.8518	-4.276179	-545.8128	-7.861047	-545.8264	-5.827939	-545.7961	-3.898586	-545.8224	-10.6437
-544.8437	-4.269977	-544.8444	-7.839899	-544.8484	-5.800655	-544.8004	-3.875554	-544.8204	-10.60627
