E	DD = 0	DD = 0.05	DD = 0.1	DD = 0.15	DD = 0.2	DD = 0.25
-0.6972	-2.76928	-2.60793	-2.39738	-1.76457	-1.40327	-1.42391
-0.7	-2.76196	-2.60138	-2.39187	-1.76123	-1.40128	-1.42179
-0.6972	-2.75469	-2.59488	-2.38641	-1.75791	-1.39929	-1.41968
-0.6944	-2.74749	-2.58841	-2.381	-1.75461	-1.39732	-1.41759
-0.6916	-2.74035	-2.58199	-2.37563	-1.75134	-1.39535	-1.4155
-0.6888	-2.73327	-2.57561	-2.3703	-1.74808	-1.39339	-1.41342
-0.686	-2.72625	-2.56926	-2.36502	-1.74485	-1.39145	-1.41135
-0.6832	-2.7193	-2.56296	-2.35979	-1.74164	-1.38951	-1.4093
-0.6804	-2.7124	-2.5567	-2.3546	-1.73845	-1.38758	-1.40725
-0.6776	-2.70557	-2.55049	-2.34945	-1.73528	-1.38567	-1.40521
-0.6748	-2.6988	-2.54431	-2.34435	-1.73213	-1.38376	-1.40319
-0.672	-2.69208	-2.53817	-2.33929	-1.729	-1.38186	-1.40117
-0.6692	-2.68543	-2.53208	-2.33428	-1.7259	-1.37998	-1.39916
-0.6664	-2.67884	-2.52602	-2.32931	-1.72282	-1.3781	-1.39717
-0.6636	-2.67232	-2.52001	-2.32435	-1.71976	-1.37623	-1.39518
-0.6608	-2.66585	-2.51403	-2.3192	-1.71672	-1.37437	-1.3932
-0.658	-2.65936	-2.5081	-2.31408	-1.7137	-1.37253	-1.39124
-0.6552	-2.65274	-2.50221	-2.30899	-1.71071	-1.37069	-1.38928
-0.6524	-2.64617	-2.49636	-2.30393	-1.70773	-1.36886	-1.38733
-0.6496	-2.63965	-2.49055	-2.2989	-1.70478	-1.36704	-1.3854
-0.6468	-2.63317	-2.48478	-2.29391	-1.70185	-1.36524	-1.38347
-0.644	-2.62673	-2.47905	-2.28894	-1.69893	-1.36344	-1.38156
-0.6412	-2.62034	-2.47336	-2.28401	-1.69593	-1.36165	-1.37965
-0.6384	-2.61399	-2.46771	-2.2791	-1.69295	-1.35987	-1.37775
-0.6356	-2.60768	-2.46203	-2.27423	-1.68999	-1.35811	-1.37587
-0.6328	-2.60142	-2.45632	-2.26939	-1.68704	-1.35635	-1.37399
-0.63	-2.5952	-2.45064	-2.26458	-1.68411	-1.3546	-1.37213
-0.6272	-2.58903	-2.445	-2.2598	-1.6812	-1.35286	-1.37027
-0.6244	-2.5829	-2.4394	-2.25505	-1.67831	-1.35113	-1.36842
-0.6216	-2.57682	-2.43382	-2.25033	-1.67543	-1.34942	-1.36658
-0.6188	-2.57078	-2.42828	-2.24565	-1.67257	-1.34771	-1.36473
-0.616	-2.56478	-2.42278	-2.24099	-1.66973	-1.34601	-1.3629
-0.6132	-2.55882	-2.41731	-2.23637	-1.6669	-1.34432	-1.36107
-0.6104	-2.55292	-2.41188	-2.23177	-1.6641	-1.34264	-1.35926
-0.6076	-2.54705	-2.40648	-2.22721	-1.66131	-1.34097	-1.35745
-0.6048	-2.54123	-2.40111	-2.22268	-1.65853	-1.33931	-1.35565
-0.602	-2.53545	-2.39578	-2.21818	-1.65578	-1.33767	-1.35386
-0.5992	-2.52972	-2.39049	-2.21371	-1.65304	-1.33603	-1.35208
-0.5964	-2.52403	-2.38523	-2.20927	-1.65032	-1.33439	-1.35031
-0.5936	-2.51838	-2.38	-2.20486	-1.64762	-1.33271	-1.34855
-0.5908	-2.51278	-2.37481	-2.20049	-1.64493	-1.33105	-1.34679
-0.588	-2.50722	-2.36965	-2.19614	-1.64227	-1.32939	-1.34505
-0.5852	-2.50171	-2.36453	-2.19183	-1.63962	-1.32773	-1.34331
-0.5824	-2.49624	-2.35944	-2.18754	-1.63698	-1.32609	-1.34159
-0.5796	-2.49081	-2.35439	-2.18329	-1.63437	-1.32445	-1.33987
-0.5768	-2.48543	-2.34937	-2.17907	-1.63177	-1.32283	-1.33817
-0.574	-2.47994	-2.34439	-2.17488	-1.62919	-1.3212	-1.33647
-0.5712	-2.47446	-2.33944	-2.17072	-1.62663	-1.31959	-1.33478
-0.5684	-2.46901	-2.33452	-2.16659	-1.62408	-1.31799	-1.3331
-0.5656	-2.46359	-2.32965	-2.16249	-1.62156	-1.31639	-1.33143
-0.5628	-2.45821	-2.3248	-2.15843	-1.61905	-1.3148	-1.32977
-0.56	-2.45286	-2.31999	-2.15439	-1.61655	-1.31322	-1.32812
-0.5572	-2.44754	-2.31521	-2.15039	-1.61408	-1.31164	-1.32647
-0.5544	-2.44226	-2.31047	-2.14628	-1.61162	-1.31008	-1.32484
-0.5516	-2.437	-2.30577	-2.14216	-1.60918	-1.30852	-1.32322
-0.5488	-2.43178	-2.30109	-2.13805	-1.60676	-1.30697	-1.3216
-0.546	-2.42659	-2.29646	-2.13396	-1.60435	-1.30543	-1.31999
-0.5432	-2.42144	-2.29185	-2.1299	-1.60196	-1.30389	-1.3184
-0.5404	-2.41631	-2.28729	-2.12586	-1.59959	-1.30236	-1.31681
-0.5376	-2.41122	-2.28275	-2.12184	-1.59724	-1.30084	-1.31523
-0.5348	-2.40616	-2.27825	-2.11784	-1.5949	-1.29933	-1.31366
-0.532	-2.40113	-2.27379	-2.11387	-1.59258	-1.29783	-1.3121
-0.5292	-2.39614	-2.26936	-2.10992	-1.59028	-1.29633	-1.31055
-0.5264	-2.39118	-2.26496	-2.10598	-1.588	-1.29484	-1.30901
-0.5236	-2.38625	-2.26058	-2.10208	-1.58573	-1.29336	-1.30748
-0.5208	-2.38135	-2.25605	-2.09819	-1.58349	-1.29189	-1.30595
-0.518	-2.37649	-2.25154	-2.09432	-1.58125	-1.29043	-1.30444
-0.5152	-2.37165	-2.24705	-2.09048	-1.57904	-1.28897	-1.30293
-0.5124	-2.36685	-2.24259	-2.08666	-1.57685	-1.28752	-1.30144
-0.5096	-2.36209	-2.23815	-2.08286	-1.57451	-1.28608	-1.29995
-0.5068	-2.35735	-2.23373	-2.07908	-1.57217	-1.28464	-1.29808
-0.504	-2.35265	-2.22935	-2.07532	-1.56984	-1.28322	-1.29605
-0.5012	-2.34798	-2.22498	-2.07159	-1.56751	-1.2818	-1.29399
-0.4984	-2.34334	-2.22064	-2.06788	-1.5652	-1.28039	-1.29192
-0.4956	-2.33873	-2.21633	-2.06418	-1.5629	-1.27899	-1.28984
-0.4928	-2.33413	-2.21203	-2.06052	-1.5606	-1.27759	-1.28773
-0.49	-2.32953	-2.20777	-2.05687	-1.55832	-1.2762	-1.28561
-0.4872	-2.32495	-2.20353	-2.05324	-1.55605	-1.27482	-1.28347
-0.4844	-2.3204	-2.19931	-2.04964	-1.55378	-1.27345	-1.28132
-0.4816	-2.31587	-2.19512	-2.04606	-1.55153	-1.27209	-1.27914
-0.4788	-2.31137	-2.19095	-2.0425	-1.54929	-1.27073	-1.27695
-0.476	-2.30689	-2.1868	-2.03896	-1.54705	-1.26938	-1.27474
-0.4732	-2.30244	-2.18268	-2.03545	-1.54483	-1.26804	-1.27252
-0.4704	-2.29801	-2.17859	-2.03196	-1.54262	-1.26671	-1.27028
-0.4676	-2.29361	-2.17452	-2.02848	-1.54042	-1.26539	-1.26802
-0.4648	-2.28924	-2.17047	-2.02503	-1.53823	-1.26407	-1.26574
-0.462	-2.28488	-2.16645	-2.02161	-1.53604	-1.26276	-1.26345
-0.4592	-2.28055	-2.16246	-2.0182	-1.53387	-1.26146	-1.26114
-0.4564	-2.27625	-2.15848	-2.01482	-1.53171	-1.26016	-1.25881
-0.4536	-2.27197	-2.15454	-2.01146	-1.52956	-1.25863	-1.25647
-0.4508	-2.26771	-2.15061	-2.00812	-1.52742	-1.25655	-1.25319
-0.448	-2.26348	-2.14671	-2.00477	-1.52529	-1.25444	-1.24782
-0.4452	-2.25927	-2.14284	-2.00138	-1.52317	-1.2523	-1.24215
-0.4424	-2.25508	-2.13899	-1.99801	-1.52106	-1.25015	-1.23619
-0.4396	-2.25091	-2.13517	-1.99465	-1.51895	-1.24797	-1.22995
-0.4368	-2.24677	-2.13137	-1.99131	-1.51686	-1.24576	-1.22341
-0.434	-2.24265	-2.12759	-1.98798	-1.51478	-1.24354	-1.21658
-0.4312	-2.23855	-2.12384	-1.98466	-1.51271	-1.24129	-1.20947
-0.4284	-2.23448	-2.12011	-1.98136	-1.51065	-1.23902	-1.20207
