E(t)	k=0, D=1e-4	k=0, D=1e-6	k=0, D=1e-8	k=0, D=1e-10	k=1000, D=1e-4	k=1000, D=1e-6	k=1000, D=1e-8	k=1000, D=1e-10
-0.5976	-26.2847	-26.2857	-20.9851	-0.0458	-26.2850	-26.2651	-21.1386	-2.4921
-0.6000	-26.1901	-26.1891	-20.9194	-0.0442	-26.1904	-26.1703	-21.0493	-2.4809
-0.5976	-26.0649	-26.0590	-20.8219	-0.0105	-26.0643	-26.0406	-20.9397	-2.4374
-0.5952	-25.9705	-25.9681	-20.7569	-0.0089	-25.9709	-25.9506	-20.8501	-2.4261
-0.5928	-25.8773	-25.8779	-20.6919	-0.0070	-25.8776	-25.8571	-20.7693	-2.4137
-0.5904	-25.7845	-25.7828	-20.6271	-0.0049	-25.7848	-25.7641	-20.6806	-2.4029
-0.5880	-25.6920	-25.6931	-20.5624	-0.0026	-25.6924	-25.6715	-20.6015	-2.3907
-0.5856	-25.5999	-25.5988	-20.4978	-0.0001	-25.6002	-25.5793	-20.5215	-2.3789
-0.5832	-25.5081	-25.5091	-20.4333	0.0027	-25.5084	-25.4873	-20.4384	-2.3664
-0.5808	-25.4166	-25.4155	-20.3688	0.0057	-25.4169	-25.3957	-20.3618	-2.3542
-0.5784	-25.3253	-25.3263	-20.3044	0.0090	-25.3256	-25.3042	-20.2732	-2.3413
-0.5760	-25.2342	-25.2331	-20.2400	0.0127	-25.2345	-25.2130	-20.1986	-2.3286
-0.5736	-25.1433	-25.1445	-20.1756	0.0167	-25.1436	-25.1220	-20.1148	-2.3145
-0.5712	-25.0525	-25.0518	-20.1111	0.0211	-25.0528	-25.0311	-20.0403	-2.3022
-0.5688	-24.9619	-24.9628	-20.0465	0.0259	-24.9622	-24.9404	-19.9557	-2.2871
-0.5664	-24.8713	-24.8704	-19.9817	0.0312	-24.8716	-24.8496	-19.8724	-2.2735
-0.5640	-24.7807	-24.7831	-19.9167	0.0370	-24.7810	-24.7589	-19.7931	-2.2584
-0.5616	-24.6900	-24.6890	-19.8515	0.0434	-24.6903	-24.6681	-19.7135	-2.2435
-0.5592	-24.5992	-24.6002	-19.7860	0.0504	-24.5995	-24.5773	-19.6326	-2.2274
-0.5568	-24.5083	-24.5076	-19.7201	0.0580	-24.5085	-24.4862	-19.5451	-2.2113
-0.5544	-24.4171	-24.4188	-19.6537	0.0664	-24.4173	-24.3949	-19.4708	-2.1939
-0.5520	-24.3255	-24.3244	-19.5868	0.0757	-24.3258	-24.3032	-19.3859	-2.1763
-0.5496	-24.2336	-24.2346	-19.5194	0.0858	-24.2338	-24.2112	-19.3109	-2.1573
-0.5472	-24.1411	-24.1404	-19.4512	0.0969	-24.1414	-24.1186	-19.2239	-2.1386
-0.5448	-24.0481	-24.0498	-19.3822	0.1091	-24.0483	-24.0254	-19.1342	-2.1167
-0.5424	-23.9543	-23.9532	-19.3124	0.1226	-23.9545	-23.9316	-19.0532	-2.0961
-0.5400	-23.8597	-23.8605	-19.2415	0.1373	-23.8599	-23.8368	-18.9614	-2.0723
-0.5376	-23.7641	-23.7636	-19.1695	0.1534	-23.7643	-23.7412	-18.8798	-2.0482
-0.5352	-23.6674	-23.6678	-19.0961	0.1711	-23.6676	-23.6444	-18.7955	-2.0219
-0.5328	-23.5694	-23.5700	-19.0214	0.1906	-23.5696	-23.5463	-18.6996	-1.9945
-0.5304	-23.4700	-23.4681	-18.9450	0.2120	-23.4702	-23.4468	-18.6146	-1.9648
-0.5280	-23.3689	-23.3700	-18.8668	0.2354	-23.3691	-23.3456	-18.5300	-1.9335
-0.5256	-23.2660	-23.2645	-18.7866	0.2611	-23.2662	-23.2426	-18.4336	-1.8987
-0.5232	-23.1610	-23.1623	-18.7041	0.2894	-23.1612	-23.1376	-18.3456	-1.8638
-0.5208	-23.0537	-23.0522	-18.6191	0.3204	-23.0539	-23.0302	-18.2435	-1.8236
-0.5184	-22.9438	-22.9453	-18.5314	0.3544	-22.9441	-22.9202	-18.1404	-1.7831
