ru			Ferroceno			Ferri			Hq		
Tiempo	Ipa	Ipc	Tiempo	Ipa	Ipc	Tiempo	Ipa	Ipc	Tiempo	Ipa	
1	0.028490028	0.105535643	1	0.079371817	0.043772798	1	0	0	1	0.117647059
6	0.422170422	0.662086818	9	0.084889643	0.04950495	7	0	0	15	0.117647059
10	0.601139601	0.867184389	20	0.084889643	0.052110474	57	0.009259259	0.01	30	0.117647059
14	0.774669775	0.96435683	32	0.091680815	0.052110474	--	--	--	45	0.117647059
17	0.924889925	1.035444046	50	0.10229202	0.059405941	--	--	--	60	0.117647059
21	1.057757058	1.071087216	69	0.123089983	0.08129234					
25	1.15022015	1.093389088	--	--	--					
28	1.202279202	1.102150538	--	--	--					
32	1.231546232	1.106730386								
36	1.271691272	1.093389088								
40	1.277648278	1.084428515								
44	1.277648278	1.083831143								
48	1.265993266	1.082039028								
