VvsRef	A	VvsRef1	A1	VvsRef2	A2	VvsRef3	A3	VvsRef4	A4	VvsRef5	A5	VvsRef6	A6	VvsRef7	A7	VvsRef8	A8	VvsRef9	A9
Ru_1mM_F127_100.DTA-Ciclo-1.txt	Ru_1mM_F127_100.DTA-Ciclo-1.txt	Ru_1mM_F127_200.DTA-Ciclo-1.txt	Ru_1mM_F127_200.DTA-Ciclo-1.txt	Ru_1mM_F127_500.DTA-Ciclo-1.txt	Ru_1mM_F127_500.DTA-Ciclo-1.txt	Ru_1mM_F127_1000.DTA-Ciclo-1.txt	Ru_1mM_F127_1000.DTA-Ciclo-1.txt	Ru_1mM_F127_2000.DTA-Ciclo-1.txt	Ru_1mM_F127_2000.DTA-Ciclo-1.txt	Ru_1mM_F127_5000.DTA-Ciclo-1.txt	Ru_1mM_F127_5000.DTA-Ciclo-1.txt	Ru_1mM_F127_10000.DTA-Ciclo-1.txt	Ru_1mM_F127_10000.DTA-Ciclo-1.txt	Ru_1mM_F127_20000.DTA-Ciclo-1.txt	Ru_1mM_F127_20000.DTA-Ciclo-1.txt	Ru_1mM_F127_50000.DTA-Ciclo-1.txt	Ru_1mM_F127_50000.DTA-Ciclo-1.txt	Ru_1mM_F127_100000.DTA-Ciclo-1.txt	Ru_1mM_F127_100000.DTA-Ciclo-1.txt
-0.600029	-1.41068e-05	-0.600019	-1.40929e-05	-0.599997	-1.3926e-05	-0.600011	-1.42041e-05	-0.600015	-1.36479e-05	-0.600156	-1.43959e-05	-0.599946	-1.37283e-05	-0.600196	-1.37283e-05	-0.589462	-1.44387e-05	-0.616596	-1.11011e-05
-0.598025	-1.84727e-06	-0.598026	-1.8625e-06	-0.598011	-1.80159e-06	-0.598013	-1.56625e-06	-0.597921	-3.79505e-06	-0.598133	-2.76203e-06	-0.598294	-2.19721e-06	-0.598093	-1.69885e-06	-0.608486	-1.08835e-06	-0.592766	-7.7635e-06
-0.596042	-2.45624e-06	-0.596023	-2.3827e-06	-0.596033	-2.17179e-06	-0.596027	-1.97891e-06	-0.595952	-1.47937e-06	-0.596171	-1.46242e-06	-0.59574	-6.21467e-06	-0.596091	-1.69885e-06	-0.604581	-4.42592e-06	-0.599475	-2.7789e-05
-0.59404	-2.02036e-06	-0.594023	-1.94065e-06	-0.594016	-1.68805e-06	-0.594033	-1.44234e-06	-0.594025	-1.35727e-06	-0.594148	-5.76573e-07	-0.594088	9.61997e-07	-0.594188	-2.03109e-06	-0.596872	-1.44387e-05	-0.608386	-4.42592e-06
-0.592012	-1.95167e-06	-0.592025	-1.91062e-06	-0.592018	-1.74132e-06	-0.59201	-1.39497e-06	-0.591947	-1.25736e-06	-0.592426	-3.03493e-07	-0.592436	1.21176e-06	-0.591886	-2.03109e-06	-0.58796	-1.77762e-05	-0.574543	2.24923e-06
-0.590033	-1.93471e-06	-0.590025	-1.89248e-06	-0.590011	-1.79806e-06	-0.590028	-1.39581e-06	-0.589944	-1.21018e-06	-0.590304	2.09363e-07	-0.590484	2.04432e-06	-0.590083	-2.36334e-06	-0.585958	5.58681e-06	-0.602278	-7.7635e-06
-0.588019	-1.91814e-06	-0.588026	-1.86511e-06	-0.588007	-1.69256e-06	-0.587992	-1.40997e-06	-0.587917	-1.18243e-06	-0.588121	3.42573e-07	-0.588681	2.04432e-06	-0.58788	-1.36661e-06	-0.600376	1.55995e-05	-0.594268	1.55995e-05
-0.586024	-1.90118e-06	-0.58603	-1.85042e-06	-0.586035	-1.56262e-06	-0.586019	-1.42386e-06	-0.585956	-1.03812e-06	-0.586339	2.89289e-07	-0.585828	1.96107e-06	-0.586078	-2.36334e-06	-0.598373	-7.7635e-06	-0.57965	-1.08835e-06
-0.584028	-1.88601e-06	-0.584022	-1.82225e-06	-0.584029	-1.52554e-06	-0.58402	-1.41497e-06	-0.583945	-9.79839e-07	-0.584156	2.82628e-07	-0.583625	2.64377e-06	-0.584376	5.5447e-05	-0.578348	-1.08835e-06	-0.593367	8.92439e-06
-0.582009	-1.8698e-06	-0.582009	-1.81144e-06	-0.582018	-1.58686e-06	-0.582018	-1.374e-06	-0.581918	-8.60505e-07	-0.582153	1.76061e-07	-0.581973	3.32647e-06	-0.581873	1.52456e-05	-0.57995	5.58681e-06	-0.575945	1.55995e-05
-0.580028	-1.85459e-06	-0.580029	-1.7815e-06	-0.580036	-1.64325e-06	-0.580028	-1.28455e-06	-0.579974	-8.54955e-07	-0.579991	5.62368e-07	-0.580221	3.49298e-06	-0.57997	1.05942e-05	-0.57935	8.92439e-06	-0.589662	-1.08835e-06
-0.57803	-1.83856e-06	-0.578024	-1.77022e-06	-0.578013	-1.54207e-06	-0.578009	-1.18926e-06	-0.577946	-7.16195e-07	-0.577988	6.02331e-07	-0.578268	3.09335e-06	-0.578268	9.26519e-06	-0.57975	5.58681e-06	-0.57985	1.89371e-05
-0.575994	-1.8237e-06	-0.575994	-1.74061e-06	-0.576002	-1.41435e-06	-0.575994	-1.0944e-06	-0.575944	-7.30071e-07	-0.576106	7.82164e-07	-0.575765	3.49298e-06	-0.575965	9.26519e-06	-0.565532	-7.7635e-06	-0.570839	8.92439e-06
-0.574012	-1.80859e-06	-0.574005	-1.72905e-06	-0.574024	-1.38254e-06	-0.574029	-1.02078e-06	-0.573958	-6.27388e-07	-0.574163	8.55429e-07	-0.573863	3.64284e-06	-0.574063	9.59743e-06	-0.591064	-1.08835e-06	-0.580952	1.2262e-05
-0.572039	-1.79438e-06	-0.572015	-1.70085e-06	-0.572014	-1.44178e-06	-0.572009	-9.78418e-07	-0.57193	-6.27388e-07	-0.572	8.55429e-07	-0.572011	3.8593e-06	-0.57186	9.59743e-06	-0.602178	1.2262e-05	-0.570839	2.89498e-05
-0.570023	-1.77816e-06	-0.57001	-1.69116e-06	-0.570022	-1.50505e-06	-0.570019	-9.99391e-07	-0.569944	-5.7466e-07	-0.570198	9.08713e-07	-0.570358	3.97586e-06	-0.570158	9.26519e-06	-0.58746	2.89498e-05	-0.572841	-4.42592e-06
-0.568026	-1.7637e-06	-0.568017	-1.66382e-06	-0.568013	-1.40477e-06	-0.568017	-1.01398e-06	-0.567958	-5.0528e-07	-0.567975	8.6209e-07	-0.568206	4.04247e-06	-0.567855	1.02619e-05	-0.555119	2.89498e-05	-0.576045	2.56123e-05
-0.566011	-1.74893e-06	-0.566005	-1.65313e-06	-0.565998	-1.28615e-06	-0.565989	-1.03648e-06	-0.565914	-4.94179e-07	-0.566053	1.14183e-06	-0.566203	3.7927e-06	-0.566153	9.59743e-06	-0.533191	1.2262e-05	-0.552516	1.55995e-05
-0.56402	-1.73451e-06	-0.564014	-1.62527e-06	-0.564026	-1.24885e-06	-0.564012	-1.0362e-06	-0.56392	-4.49776e-07	-0.564131	1.14183e-06	-0.564	3.94256e-06	-0.56395	1.05942e-05	-0.552315	-7.7635e-06	-0.576746	1.89371e-05
-0.562009	-1.71793e-06	-0.562004	-1.61252e-06	-0.562003	-1.31025e-06	-0.56198	-9.97585e-07	-0.561926	-4.58101e-07	-0.562048	1.19511e-06	-0.561998	4.15902e-06	-0.562048	9.92968e-06	-0.57945	-7.7635e-06	-0.563329	3.89626e-05
-0.56001	-1.70357e-06	-0.560006	-1.58746e-06	-0.559996	-1.37261e-06	-0.559998	-9.07302e-07	-0.559915	-3.77621e-07	-0.560066	1.3483e-06	-0.560045	4.34219e-06	-0.560045	1.05942e-05	-0.575445	1.2262e-05	-0.557722	8.92439e-06
-0.55801	-1.68876e-06	-0.558003	-1.57696e-06	-0.558	-1.28031e-06	-0.557979	-8.25213e-07	-0.557963	-3.99822e-07	-0.558003	1.27504e-06	-0.557993	4.77512e-06	-0.557943	9.92968e-06	-0.561327	8.92439e-06	-0.570839	2.56123e-05
-0.556005	-1.67401e-06	-0.556018	-1.54948e-06	-0.55601	-1.15385e-06	-0.555973	-7.32985e-07	-0.555943	-3.19341e-07	-0.556121	1.52148e-06	-0.556091	4.45875e-06	-0.55594	1.12586e-05	-0.551915	1.55995e-05	-0.541902	3.22874e-05
