Velocidad,tiempo,Emax-anod,MaxIpa,EminCatodi,MinIpc,% Desorbido IpA,% Desorbido IpC,Ipa Corregido,Ipc Corregido
50,22.58,-274,3.5,-305,-2.3,0.40,0.34,8.75,-6.73
60,21.50,-279,4.3,-306,-2.84,0.43,0.37,9.95,-6.62
70,18.90,-279,5.0,-309,-3.87,0.50,0.45,10.09,-7.77
80,17.87,-275,6.0,-309,-4.38,0.53,0.48,11.49,-8.34
90,17.05,-276,6.2,-313,-5.36,0.55,0.50,11.36,-9.8
200,3.35,-261,14.0,-333,-11,0.91,0.90,15.37,-12.07
250,4.15,-260,16.0,-336,-12.44,0.89,0.88,17.93,-13.98
300,5.43,-253,17.1,-340,-13.58,0.86,0.84,20.03,-15.87
400,5.88,-249,18.6,-341,-13.08,0.84,0.83,22.02,-15.5
500,6.32,-245,21.5,-346,-18.18,0.83,0.82,25.81,-21.85
600,6.68,-243,23.0,-347,-18.43,0.82,0.81,27.91,-22.41
700,7.47,-232,28.1,-350,-22.33,0.80,0.78,35.02,-27.86
800,7.83,-232,28.1,-353,-21.48,0.79,0.77,35.49,-27.13
900,8.18,-228,29.0,-347,-21.48,0.78,0.76,37.06,-27.45
1000,8.50,-229,29.6,-353,-21.73,0.77,0.75,38.23,-28.07
2000,8.82,-201,41.3,-360,-29.29,0.77,0.74,53.88,-38.25
2500,9.63,-183,52.0,-369,-37.84,0.74,0.72,69.89,-50.86
3000,9.88,-180,52.7,-372,-37.23,0.74,0.71,71.51,-50.49
4000,10.28,-163,60.4,-374,-41.5,0.73,0.70,83.12,-57.1
5000,10.55,-152,63.4,-380,-45.04,0.72,0.69,88.02,-62.58
6000,11.25,-126,77.5,-386,-52.24,0.70,0.67,110.55,-74.51
7000,11.53,-123,77.5,-387,-53,0.69,0.66,111.77,-76.42
8000,12.32,-112,105.0,-405,-77.88,0.67,0.64,156.07,-115.76
9000,12.85,-87.9,115.0,-419,-84.71,0.66,0.63,174.61,-128.62
10000,13.18,-82.5,120.0,-424,-90.33,0.65,0.62,184.69,-139.03
20000,13.45,62.84,271.1,-460,-132.5,0.64,0.61,421.85,-206.18
30000,14.70,137,347.3,-500,-165,0.61,0.57,569.93,-270.74
40000,14.87,201,396.1,-523,-180.6,0.61,0.57,654.76,-298.51
50000,15.02,250,437.1,-536,-193.84,0.60,0.56,727.23,-322.51
