mV	uA	mV1	uA1	mV2	uA2	mV3	uA3	mV4	uA4	mV6	uA6	mV7	uA7	mV8	uA8	mV9	uA9	mV10	uA10	mV11	uA11
3 mV/seg	3 mV/seg	5 mV/seg	5 mV/seg	10 mV/seg	10 mV/seg	20 mV/seg	20 mV/seg	30 mV/seg	30 mV/seg	50 mV/seg	50 mV/seg	100 mV/seg	100 mV/seg	200 mV/seg	200 mV/seg	300 mV/seg	300 mV/seg	500 mV/seg	500 mV/seg	1000 mV/seg	1000 mV/seg
-599.9117	-14.23891	-599.985	-4.252271	-599.9659	-4.730156	-599.9783	-5.396581	-599.9573	-5.99647	-599.9575	-6.375967	-599.862	-6.476085	-600.0253	-6.27325	-599.9538	-5.821136	-599.8686	-5.592412	-600.0779	-5.165905
-599.6649	-14.04043	-599.7459	-4.230979	-599.7234	-4.707011	-599.7278	-5.345723	-599.8511	-5.974616	-599.7223	-6.345657	-599.6733	-6.356748	-599.7816	-6.142273	-599.6378	-5.736019	-599.7614	-5.533429	-599.8164	-5.014882
-599.1605	-13.67166	-599.248	-4.193808	-599.2277	-4.663254	-599.2273	-5.296102	-599.5051	-5.908799	-599.2387	-6.289399	-599.2016	-6.296466	-599.3018	-6.059103	-599.1072	-5.630977	-599.4175	-5.417758	-599.2963	-4.837318
-598.4092	-13.15171	-598.5024	-4.143943	-598.4881	-4.604916	-598.4802	-5.205642	-598.8871	-5.846942	-598.4871	-6.211848	-598.4888	-6.124643	-598.5696	-6.036129	-598.3596	-5.571396	-598.8096	-5.238661	-598.5563	-4.669837
-597.4081	-12.50471	-597.5011	-4.08123	-597.4878	-4.531457	-597.4864	-5.121391	-598.0237	-5.756854	-597.4921	-6.112057	-597.5353	-6.020501	-597.5693	-5.914706	-597.3511	-5.568295	-597.9625	-4.967438	-597.5971	-4.479383
-596.4047	-11.94756	-596.502	-4.030575	-596.4955	-4.467762	-596.4919	-5.051563	-597.0135	-5.653964	-596.5076	-6.025134	-596.5059	-5.922281	-596.5924	-5.815693	-596.4783	-5.638877	-596.9514	-4.695236	-596.5358	-4.431878
-595.4059	-11.45705	-595.5078	-3.986927	-595.4954	-4.412416	-595.4925	-4.984504	-595.9981	-5.605051	-595.5076	-5.94516	-595.5397	-5.839008	-595.5626	-5.724217	-595.5	-5.653067	-595.9439	-4.453803	-595.5679	-4.359927
-594.4031	-11.02637	-594.515	-3.94627	-594.4945	-4.359262	-594.4987	-4.924613	-595.0027	-5.524178	-594.5291	-5.8678	-594.5335	-5.751615	-594.57	-5.635773	-594.5338	-5.507866	-594.9336	-4.278716	-594.4941	-4.250051
-593.3908	-10.64717	-593.5082	-3.908714	-593.4885	-4.309706	-593.485	-4.862654	-594.012	-5.440236	-593.5366	-5.792724	-593.5276	-5.670646	-593.5897	-5.546712	-593.5392	-5.240108	-593.9565	-4.223233	-593.3651	-4.109736
