Velocidad	Emax-anod	MaxIpa	Emax-catodi	MaxIpc
				
3	-163.931	4.83	-243.007	-9.919
5	-164.67	7.298	-246.58	-12.25
10	-166.68	10.77	-253.56	-17.207
20	-172.71	15.823	-263.55	-24.92
30	-178.18	20.11	-270.93	-31.4
50	-185.72	28	-278.52	-41.61
100	-193.81	47.07	-294.32	-61.94
200	-188.91	83.4	-313.05	-92.66
300	-171.73	125.374	-326.45	-125.42
500	-151.3266	171.35	-338.33	-154.35
1000	-106.84	278.33	-371.1412	-222.17
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
