-599.3477 -1.905686	-597.772 -4.139958	-597.6671 -4.176977	-597.541 -4.185839	-597.4146 -4.182485	-597.3694 -4.183134	-597.2399 -4.180161	-597.1202 -4.175127	-597.0333 -4.170992	-596.942 -4.164821	-596.8354 -4.180472	-596.7412 -4.164333	-596.6527 -4.15454	-596.5423 -4.152477	-596.4033 -4.146072	-596.3411 -4.149864	-596.2443 -4.146152	-596.1404 -4.143483	-596.053 -4.13671	-595.9301 -4.131782	-595.8294 -4.146338	-595.7579 -4.132307	-595.6292 -4.125441	-595.5116 -4.117502	-595.4351 -4.111771	-595.3403 -4.110481	-595.2413 -4.10946	-595.1647 -4.100488	-595.0439 -4.093168	-594.9531 -4.092279	-594.842 -4.100563	-594.7232 -4.08461	-594.6624 -4.074829	-594.5529 -4.074944	-594.4551 -4.063824	-594.3599 -4.062627	-594.2267 -4.056236	-594.1188 -4.049769	-594.0436 -4.048209	-593.9304 -4.044705	-593.8456 -4.045206	-593.7197 -4.03503	-593.5975 -4.025267	-593.5378 -4.016319	-593.4455 -4.018238
-599.1122 -1.892253	-598.3687 -4.103449	-598.2709 -4.140016	-598.2198 -4.152977	-598.1434 -4.150311	-598.1378 -4.153042	-598.052 -4.151222	-598.0076 -4.150341	-597.9301 -4.14677	-597.9048 -4.148271	-597.8464 -4.177287	-597.739 -4.160769	-597.6533 -4.153349	-597.5389 -4.147242	-597.4072 -4.143604	-597.3413 -4.146933	-597.2552 -4.141021	-597.1454 -4.140185	-597.0393 -4.133257	-596.9257 -4.131795	-596.8228 -4.144825	-596.7562 -4.131138	-596.6364 -4.124948	-596.5232 -4.114879	-596.4336 -4.111997	-596.3383 -4.109434	-596.2371 -4.107085	-596.1567 -4.100116	-596.0397 -4.092717	-595.9475 -4.09224	-595.837 -4.100177	-595.7169 -4.083923	-595.6584 -4.075488	-595.5478 -4.075377	-595.4426 -4.066805	-595.3574 -4.062982	-595.226 -4.057341	-595.1187 -4.051114	-595.0444 -4.048449	-594.9507 -4.046545	-594.8351 -4.048172	-594.7242 -4.034667	-594.6052 -4.028083	-594.5168 -4.018976	-594.4393 -4.021482
-598.6237 -1.871994	-598.4292 -4.053271	-598.3868 -4.089028	-598.3658 -4.103406	-598.361 -4.104343	-598.3943 -4.106579	-598.374 -4.106325	-598.3755 -4.108065	-598.363 -4.105414	-598.3684 -4.111821	-598.3689 -4.137146	-598.3195 -4.125247	-598.2627 -4.122493	-598.1976 -4.113692	-598.1288 -4.114923	-598.1003 -4.118071	-598.0829 -4.115068	-598.0125 -4.115559	-597.9459 -4.111851	-597.8818 -4.116377	-597.837 -4.143619	-597.7534 -4.129506	-597.6467 -4.123786	-597.5262 -4.112641	-597.4359 -4.112374	-597.3344 -4.107916	-597.2413 -4.105285	-597.1572 -4.096231	-597.0509 -4.090761	-596.9545 -4.091614	-596.8289 -4.09938	-596.7123 -4.082575	-596.6487 -4.075585	-596.5446 -4.075149	-596.4265 -4.068631	-596.3588 -4.06219	-596.2229 -4.059102	-596.1108 -4.051805	-596.0204 -4.048752	-595.9438 -4.048392	-595.842 -4.051413	-595.7073 -4.035276	-595.6025 -4.029423	-595.5314 -4.019785	-595.443 -4.023771
-597.8929 -1.847264	-597.9839 -3.986658	-597.9923 -4.025326	-598.0362 -4.041337	-598.07 -4.044863	-598.1608 -4.048573	-598.1758 -4.048532	-598.2457 -4.04986	-598.298 -4.05111	-598.3148 -4.060962	-598.3656 -4.083103	-598.3807 -4.074974	-598.3636 -4.075805	-598.3663 -4.067782	-598.3693 -4.070466	-598.3716 -4.073234	-598.4077 -4.075258	-598.4048 -4.074781	-598.3522 -4.072731	-598.3486 -4.080805	-598.3633 -4.104915	-598.3165 -4.096267	-598.2632 -4.091847	-598.2164 -4.081215	-598.1519 -4.08489	-598.0988 -4.080776	-598.0729 -4.080818	-598.0292 -4.072826	-597.9587 -4.07047	-597.919 -4.076257	-597.8379 -4.098832	-597.7092 -4.08108	-597.6576 -4.075016	-597.5316 -4.074488	-597.4225 -4.070674	-597.3686 -4.061796	-597.2385 -4.059977	-597.1295 -4.052255	-597.0401 -4.050455	-596.9592 -4.050316	-596.8309 -4.053671	-596.6928 -4.035814	-596.6218 -4.03112	-596.5161 -4.021235	-596.4412 -4.025178
-596.8975 -1.815952	-597.0392 -3.909276	-597.097 -3.949369	-597.1965 -3.968099	-597.2794 -3.974195	-597.4213 -3.977341	-597.4854 -3.978612	-597.5942 -3.98069	-597.7032 -3.985115	-597.7703 -3.995818	-597.873 -4.015268	-597.9309 -4.011258	-597.9714 -4.01625	-598.022 -4.008229	-598.0873 -4.012425	-598.1238 -4.014332	-598.2343 -4.018403	-598.2681 -4.020737	-598.2576 -4.020488	-598.306 -4.02984	-598.3767 -4.052778	-598.3837 -4.04611	-598.3756 -4.044476	-598.3911 -4.035786	-598.3697 -4.041434	-598.3602 -4.039139	-598.3962 -4.040431	-598.3794 -4.034103	-598.3544 -4.033443	-598.374 -4.039328	-598.3434 -4.061121	-598.2866 -4.046324	-598.2658 -4.042895	-598.2079 -4.045187	-598.1405 -4.043355	-598.1245 -4.035336	-598.0505 -4.035643	-598.0242 -4.028657	-597.9395 -4.032245	-597.9434 -4.036456	-597.8203 -4.055475	-597.7041 -4.037271	-597.6358 -4.031846	-597.5406 -4.023797	-597.4473 -4.027005
-595.9008 -1.793769	-596.0249 -3.851421	-596.1084 -3.892747	-596.1838 -3.910336	-596.28 -3.915972	-596.4253 -3.917866	-596.5081 -3.918483	-596.5845 -3.920638	-596.7286 -3.925404	-596.7662 -3.932452	-596.8788 -3.935341	-596.9974 -3.934096	-597.0669 -3.943014	-597.1712 -3.937645	-597.2992 -3.940904	-597.3752 -3.942633	-597.565 -3.950041	-597.6224 -3.952058	-597.6947 -3.955207	-597.7802 -3.966042	-597.8741 -3.985438	-597.9436 -3.98261	-597.9841 -3.982325	-598.037 -3.977494	-598.0903 -3.984073	-598.1243 -3.983029	-598.2067 -3.984859	-598.2535 -3.981039	-598.2662 -3.982167	-598.3134 -3.988008	-598.3665 -4.009439	-598.3371 -3.997689	-598.3744 -3.995142	-598.3804 -4.001101	-598.3654 -4.000209	-598.3934 -3.993141	-598.3645 -3.993757	-598.3865 -3.989067	-598.3441 -3.99575	-598.3873 -4.000662	-598.3582 -4.018663	-598.2756 -4.006045	-598.24 -4.000075	-598.2092 -3.995626	-598.1572 -4.000255
-594.9003 -1.773845	-595.0117 -3.797505	-595.1074 -3.839506	-595.1826 -3.857824	-595.2684 -3.861663	-595.4211 -3.862403	-595.5239 -3.862292	-595.5966 -3.866989	-595.7065 -3.871427	-595.7886 -3.877835	-595.892 -3.88078	-595.9591 -3.877512	-596.0802 -3.886536	-596.1646 -3.884186	-596.2991 -3.884023	-596.3677 -3.884869	-596.554 -3.893395	-596.6197 -3.894058	-596.7087 -3.8956	-596.7786 -3.904385	-596.8929 -3.905741	-596.9952 -3.907135	-597.1057 -3.907582	-597.1977 -3.906429	-597.3004 -3.913644	-597.3914 -3.914279	-597.5189 -3.915778	-597.606 -3.917285	-597.6589 -3.918922	-597.7711 -3.923787	-597.8837 -3.945507	-597.9011 -3.937092	-597.9758 -3.935344	-598.056 -3.942502	-598.0781 -3.943643	-598.1428 -3.938098	-598.1632 -3.938446	-598.2512 -3.937987	-598.2551 -3.943548	-598.3356 -3.949815	-598.3653 -3.967198	-598.3582 -3.959345	-598.3336 -3.956015	-598.3624 -3.953704	-598.3566 -3.957319
-593.9009 -1.754054	-594.0287 -3.747977	-594.1125 -3.788724	-594.1803 -3.806279	-594.2817 -3.809484	-594.4131 -3.810034	-594.5319 -3.809974	-594.582 -3.816329	-594.699 -3.818914	-594.7818 -3.826312	-594.9148 -3.828537	-594.9479 -3.825063	-595.0895 -3.834129	-595.1602 -3.833374	-595.2866 -3.83149	-595.3693 -3.831351	-595.5529 -3.841854	-595.6068 -3.841493	-595.7142 -3.841307	-595.7911 -3.85054	-595.8917 -3.851101	-595.9858 -3.85137	-596.1129 -3.852801	-596.17 -3.851947	-596.2966 -3.857824	-596.3872 -3.858824	-596.5334 -3.858147	-596.5905 -3.86036	-596.6567 -3.861145	-596.7571 -3.861669	-596.9033 -3.867185	-596.9733 -3.86324	-597.078 -3.864058	-597.2246 -3.870612	-597.2991 -3.873564	-597.3883 -3.86954	-597.4556 -3.870533	-597.5801 -3.873866	-597.6517 -3.87829	-597.7924 -3.885017	-597.8748 -3.901293	-597.9192 -3.898493	-597.9395 -3.897777	-598.0355 -3.896029	-598.0586 -3.899847
-592.9153 -1.734813	-593.034 -3.699019	-593.1081 -3.740342	-593.184 -3.755898	-593.2849 -3.758872	-593.4069 -3.759568	-593.5231 -3.759825	-593.5933 -3.767085	-593.7095 -3.768232	-593.7915 -3.775658	-593.9003 -3.778129	-593.9539 -3.774564	-594.0938 -3.784051	-594.1626 -3.786746	-594.2876 -3.781062	-594.3716 -3.779413	-594.5297 -3.792858	-594.6075 -3.790593	-594.7145 -3.789317	-594.8071 -3.800229	-594.8992 -3.798714	-594.973 -3.800327	-595.0979 -3.800677	-595.1569 -3.800398	-595.3123 -3.805976	-595.4015 -3.804407	-595.5038 -3.805101	-595.5895 -3.808351	-595.6749 -3.808068	-595.7647 -3.809402	-595.9084 -3.813325	-595.9792 -3.810295	-596.0707 -3.81192	-596.2112 -3.816378	-596.2937 -3.819319	-596.3734 -3.813428	-596.4381 -3.815199	-596.5657 -3.820008	-596.6553 -3.82077	-596.78 -3.822836	-596.8898 -3.824675	-596.9669 -3.824008	-597.0439 -3.827396	-597.1844 -3.825417	-597.28 -3.83053
-591.9084 -1.716051	-592.0283 -3.652337	-592.0862 -3.692271	-592.1827 -3.706661	-592.2662 -3.710264	-592.4 -3.712063	-592.4928 -3.71261	-592.5897 -3.719576	-592.6924 -3.720147	-592.8236 -3.725496	-592.8843 -3.72743	-592.9624 -3.727048	-593.1074 -3.736002	-593.1727 -3.738449	-593.299 -3.732562	-593.3716 -3.728981	-593.5342 -3.744662	-593.6022 -3.742362	-593.6984 -3.739503	-593.798 -3.750167	-593.9036 -3.749857	-593.98 -3.751918	-594.1087 -3.75264	-594.1545 -3.750321	-594.3202 -3.755182	-594.3982 -3.753338	-594.5051 -3.756316	-594.5677 -3.757429	-594.6517 -3.757847	-594.7689 -3.760053	-594.8999 -3.762095	-595.0056 -3.760686	-595.0814 -3.762187	-595.2156 -3.765116	-595.2853 -3.767724	-595.4017 -3.761142	-595.4625 -3.766138	-595.5771 -3.770132	-595.6638 -3.7691	-595.7869 -3.770704	-595.8815 -3.774239	-595.9656 -3.772295	-596.0527 -3.776407	-596.1696 -3.772193	-596.284 -3.776856
-590.8989 -1.697093	-591.0293 -3.605357	-591.0957 -3.646742	-591.1766 -3.660172	-591.2755 -3.663769	-591.4122 -3.665771	-591.4766 -3.668156	-591.5677 -3.673146	-591.7029 -3.674344	-591.7928 -3.67646	-591.8479 -3.678068	-591.9785 -3.680937	-592.0746 -3.688979	-592.1668 -3.68956	-592.2743 -3.683683	-592.3798 -3.680522	-592.5351 -3.697011	-592.6117 -3.694626	-592.6943 -3.692267	-592.8 -3.700919	-592.8972 -3.701362	-592.9628 -3.705364	-593.1127 -3.706462	-593.1635 -3.703403	-593.319 -3.70609	-593.3914 -3.704592	-593.4973 -3.710245	-593.5688 -3.708561	-593.6515 -3.709484	-593.7775 -3.711964	-593.9067 -3.71162	-594.0248 -3.713123	-594.084 -3.713661	-594.2265 -3.717042	-594.2877 -3.71865	-594.3849 -3.710282	-594.4724 -3.718542	-594.5929 -3.720902	-594.6918 -3.720616	-594.7935 -3.721916	-594.8932 -3.724571	-594.964 -3.724653	-595.0657 -3.726505	-595.1886 -3.721258	-595.2988 -3.727604
