-599.3195 -1.97106	-597.7277 -3.490605	-597.6532 -3.503819	-597.5709 -3.503778	-597.4595 -3.496771	-597.3378 -3.486804	-597.2607 -3.491174	-597.1399 -3.48624	-597.0604 -3.48076	-596.9386 -3.474627	-596.8208 -3.477768	-596.7349 -3.469179	-596.57 -3.465275	-596.5221 -3.457631	-596.429 -3.456254	-596.3466 -3.451729	-596.2364 -3.448402	-596.1627 -3.448239	-596.0543 -3.440418	-595.9637 -3.438668	-595.7863 -3.444655	-595.6936 -3.431176	-595.6158 -3.427957	-595.5389 -3.425231	-595.4553 -3.423616	-595.3413 -3.417755	-595.2541 -3.413657	-595.1699 -3.416102	-595.0616 -3.413858	-594.8895 -3.407274	-594.7878 -3.419662	-594.7294 -3.417481	-594.6249 -3.416675	-594.5151 -3.41747	-594.4296 -3.426691	-594.3549 -3.427904	-594.2231 -3.439988	-594.1431 -3.449769	-594 -3.45477	-593.9527 -3.455436	-593.8344 -3.466017	-593.7037 -3.467181	-593.6439 -3.474939	-593.5339 -3.475238	-593.4101 -3.47819
-599.0938 -1.952332	-598.3179 -3.461758	-598.2731 -3.476556	-598.2253 -3.477646	-598.1587 -3.470473	-598.0933 -3.463627	-598.083 -3.470804	-598.0192 -3.466861	-597.9854 -3.463509	-597.8939 -3.462291	-597.8251 -3.484231	-597.7371 -3.475104	-597.5642 -3.472145	-597.5125 -3.463918	-597.42 -3.46322	-597.342 -3.457723	-597.2591 -3.455293	-597.1851 -3.454257	-597.0653 -3.446792	-596.9575 -3.443048	-596.7997 -3.448539	-596.6831 -3.43744	-596.608 -3.43524	-596.5313 -3.431368	-596.4531 -3.427842	-596.3153 -3.42396	-596.259 -3.420362	-596.1586 -3.421789	-596.0528 -3.418947	-595.89 -3.410866	-595.7941 -3.424121	-595.7201 -3.422458	-595.6236 -3.422215	-595.5108 -3.422611	-595.4166 -3.429918	-595.357 -3.433337	-595.2178 -3.445641	-595.1506 -3.45453	-595.0284 -3.458413	-594.9678 -3.459307	-594.8136 -3.470018	-594.6912 -3.472432	-594.6542 -3.479264	-594.5343 -3.479788	-594.425 -3.480016
-598.6077 -1.926674	-598.3829 -3.418932	-598.373 -3.434586	-598.3791 -3.437461	-598.3726 -3.429363	-598.3652 -3.426629	-598.4218 -3.43491	-598.3838 -3.431881	-598.3958 -3.428316	-598.3475 -3.430134	-598.3505 -3.452972	-598.3066 -3.442994	-598.2142 -3.444938	-598.1781 -3.438466	-598.1373 -3.438501	-598.1075 -3.435991	-598.0854 -3.435037	-598.0707 -3.432303	-598.0024 -3.43044	-597.9178 -3.429458	-597.8152 -3.453722	-597.7131 -3.443983	-597.6295 -3.437242	-597.5353 -3.43677	-597.4596 -3.431978	-597.3267 -3.431317	-597.2504 -3.426891	-597.1786 -3.426769	-597.0688 -3.423097	-596.9058 -3.415096	-596.7917 -3.429287	-596.7032 -3.428312	-596.6083 -3.427431	-596.5253 -3.428935	-596.4207 -3.434527	-596.3384 -3.440001	-596.2205 -3.451127	-596.1433 -3.458448	-596.0245 -3.46227	-595.9598 -3.463858	-595.8237 -3.4763	-595.6972 -3.476081	-595.6413 -3.48287	-595.5267 -3.483159	-595.4349 -3.485119
-597.8901 -1.896351	-597.9503 -3.362754	-597.9855 -3.379507	-598.0538 -3.384668	-598.0523 -3.376538	-598.1261 -3.376999	-598.2197 -3.386222	-598.2465 -3.38311	-598.2971 -3.379882	-598.3115 -3.385904	-598.3612 -3.407659	-598.3599 -3.397997	-598.3611 -3.403181	-598.3476 -3.397743	-598.3635 -3.398092	-598.3836 -3.400808	-598.4033 -3.399151	-598.4132 -3.395731	-598.4067 -3.397038	-598.3744 -3.396875	-598.3257 -3.420878	-598.3033 -3.415164	-598.2413 -3.409842	-598.1913 -3.409455	-598.1832 -3.405804	-598.1064 -3.409811	-598.0608 -3.406248	-598.0251 -3.406281	-597.9653 -3.405783	-597.8824 -3.401111	-597.7993 -3.43502	-597.7214 -3.43423	-597.6435 -3.433342	-597.5518 -3.436383	-597.4186 -3.440039	-597.3471 -3.447268	-597.2224 -3.457328	-597.1581 -3.462758	-597.0159 -3.466966	-596.9597 -3.47041	-596.8102 -3.48229	-596.723 -3.480528	-596.6387 -3.485875	-596.5089 -3.487186	-596.4392 -3.490556
-596.9116 -1.860599	-597.0227 -3.294914	-597.0975 -3.311903	-597.2095 -3.31918	-597.2821 -3.312208	-597.3978 -3.314812	-597.5352 -3.324743	-597.5948 -3.320997	-597.6871 -3.319381	-597.7738 -3.328437	-597.8856 -3.350329	-597.9202 -3.342985	-597.9833 -3.349569	-598.0229 -3.344252	-598.0851 -3.346035	-598.1414 -3.351332	-598.2134 -3.349654	-598.2393 -3.344885	-598.306 -3.349957	-598.3172 -3.351597	-598.3463 -3.375319	-598.3731 -3.372716	-598.3782 -3.369758	-598.3645 -3.368682	-598.3813 -3.368017	-598.3748 -3.373512	-598.3848 -3.370546	-598.3646 -3.37174	-598.3777 -3.374347	-598.3421 -3.369688	-598.342 -3.403308	-598.2897 -3.405557	-598.2623 -3.405145	-598.2096 -3.409013	-598.1447 -3.416769	-598.0912 -3.425781	-598.0616 -3.437926	-598.0037 -3.442857	-597.9268 -3.450392	-597.9205 -3.458484	-597.8094 -3.488346	-597.7246 -3.483898	-597.6384 -3.48951	-597.4951 -3.491022	-597.459 -3.497283
-595.9173 -1.839353	-596.0144 -3.249648	-596.1028 -3.267457	-596.2024 -3.272566	-596.2844 -3.268421	-596.408 -3.26988	-596.522 -3.277694	-596.5888 -3.273155	-596.6752 -3.271049	-596.7861 -3.277418	-596.9191 -3.28036	-596.9874 -3.275817	-597.1162 -3.283056	-597.2018 -3.278766	-597.303 -3.28233	-597.3989 -3.290529	-597.5171 -3.288403	-597.5795 -3.28308	-597.714 -3.290205	-597.8072 -3.296218	-597.8689 -3.317981	-597.9368 -3.317646	-598.0089 -3.315685	-598.0446 -3.315443	-598.0687 -3.319579	-598.1477 -3.32452	-598.1855 -3.321711	-598.2386 -3.323616	-598.3083 -3.328662	-598.3031 -3.327187	-598.3681 -3.35969	-598.3538 -3.362686	-598.3687 -3.362826	-598.3766 -3.368764	-598.3382 -3.380366	-598.3297 -3.38931	-598.3808 -3.40295	-598.3574 -3.407986	-598.3254 -3.416753	-598.3751 -3.427413	-598.3213 -3.456239	-598.2982 -3.453684	-598.257 -3.461837	-598.1668 -3.464926	-598.1493 -3.475349
-594.9203 -1.818375	-594.9944 -3.206674	-595.1118 -3.225467	-595.1983 -3.230217	-595.2735 -3.227751	-595.3938 -3.227847	-595.5095 -3.235377	-595.5825 -3.229698	-595.6686 -3.229053	-595.776 -3.235498	-595.9149 -3.237452	-595.9889 -3.23553	-596.1042 -3.238765	-596.2108 -3.233918	-596.2886 -3.239098	-596.3933 -3.246454	-596.5023 -3.243166	-596.5441 -3.238042	-596.7009 -3.241647	-596.8113 -3.247108	-596.8651 -3.248609	-596.9788 -3.250689	-597.1042 -3.252756	-597.1984 -3.250775	-597.2844 -3.259554	-597.3945 -3.263916	-597.4998 -3.261324	-597.5755 -3.264154	-597.6946 -3.270979	-597.782 -3.272825	-597.8821 -3.302801	-597.937 -3.307694	-597.9828 -3.308848	-598.046 -3.316797	-598.0493 -3.33165	-598.088 -3.340398	-598.2046 -3.355377	-598.2261 -3.361014	-598.2419 -3.371315	-598.3409 -3.383703	-598.3309 -3.411084	-598.342 -3.412446	-598.3638 -3.421053	-598.3365 -3.42685	-598.3544 -3.438016
-593.8943 -1.796751	-593.9904 -3.164514	-594.1027 -3.184888	-594.1884 -3.189244	-594.2935 -3.188463	-594.3929 -3.186549	-594.5241 -3.193773	-594.5845 -3.189264	-594.6785 -3.190311	-594.7878 -3.195366	-594.8987 -3.197339	-595.0073 -3.195034	-595.1068 -3.197062	-595.2136 -3.193089	-595.2861 -3.199277	-595.4106 -3.205245	-595.4854 -3.202246	-595.5622 -3.196762	-595.7073 -3.199531	-595.8269 -3.206205	-595.8799 -3.206202	-595.9642 -3.20792	-596.104 -3.208603	-596.1879 -3.207347	-596.2682 -3.218215	-596.3853 -3.219466	-596.4882 -3.215328	-596.5546 -3.219075	-596.7035 -3.224419	-596.782 -3.22434	-596.8669 -3.23378	-596.9931 -3.241302	-597.0725 -3.24389	-597.186 -3.254655	-597.2678 -3.271903	-597.3431 -3.279531	-597.5038 -3.295048	-597.5663 -3.303004	-597.6559 -3.315649	-597.7994 -3.327133	-597.8397 -3.354996	-597.8995 -3.359734	-597.9619 -3.370333	-597.993 -3.377297	-598.0634 -3.389458
-592.8876 -1.775056	-592.9709 -3.124282	-593.0944 -3.144645	-593.1741 -3.150516	-593.2887 -3.150312	-593.3751 -3.147192	-593.5168 -3.15348	-593.5956 -3.151668	-593.695 -3.152464	-593.7941 -3.15725	-593.8898 -3.157449	-594.0129 -3.156521	-594.0915 -3.15664	-594.2 -3.155897	-594.2883 -3.160803	-594.4123 -3.165981	-594.4532 -3.162872	-594.5951 -3.158288	-594.7119 -3.161469	-594.8588 -3.166878	-594.8623 -3.165492	-594.9775 -3.168131	-595.1011 -3.166869	-595.183 -3.16793	-595.2768 -3.178152	-595.3765 -3.177804	-595.4579 -3.172696	-595.5804 -3.177927	-595.6987 -3.183372	-595.7904 -3.184079	-595.8672 -3.192289	-595.9861 -3.198385	-596.0483 -3.201838	-596.1715 -3.213552	-596.2573 -3.229517	-596.3529 -3.236128	-596.4961 -3.249055	-596.5587 -3.259069	-596.6857 -3.271072	-596.8023 -3.279428	-596.8522 -3.287382	-596.9731 -3.295951	-597.0618 -3.307057	-597.1521 -3.31748	-597.2754 -3.32961
-591.8519 -1.752676	-591.9562 -3.085963	-592.0624 -3.104085	-592.1591 -3.113763	-592.2853 -3.111844	-592.3617 -3.109597	-592.5257 -3.113533	-592.5998 -3.114064	-592.6887 -3.114855	-592.7834 -3.117905	-592.8742 -3.118279	-593.0161 -3.117207	-593.0784 -3.119401	-593.1882 -3.119654	-593.2696 -3.121882	-593.402 -3.126765	-593.4393 -3.123579	-593.6031 -3.120641	-593.7096 -3.124304	-593.8578 -3.12801	-593.8505 -3.12636	-593.9904 -3.128836	-594.1014 -3.128194	-594.1783 -3.130109	-594.3007 -3.139054	-594.3824 -3.137609	-594.4606 -3.13256	-594.5759 -3.138652	-594.6944 -3.14473	-594.7839 -3.143879	-594.8704 -3.152989	-595.0005 -3.159956	-595.0507 -3.163445	-595.184 -3.174761	-595.2814 -3.190274	-595.3834 -3.196998	-595.4941 -3.207866	-595.5667 -3.219183	-595.6886 -3.231926	-595.8026 -3.239312	-595.8815 -3.24764	-595.9651 -3.253881	-596.0613 -3.265296	-596.1473 -3.277304	-596.2772 -3.287723
-590.8428 -1.731912	-590.9705 -3.049281	-591.0602 -3.067246	-591.1637 -3.077978	-591.278 -3.075413	-591.3564 -3.072986	-591.5146 -3.075457	-591.5981 -3.0786	-591.6821 -3.078458	-591.7865 -3.08007	-591.8436 -3.079886	-592.0118 -3.078908	-592.0635 -3.081236	-592.1569 -3.083351	-592.2803 -3.083457	-592.4047 -3.087647	-592.4423 -3.084279	-592.6272 -3.084857	-592.6974 -3.087095	-592.8392 -3.090525	-592.843 -3.088514	-592.9922 -3.089904	-593.0941 -3.091925	-593.175 -3.093744	-593.2837 -3.100756	-593.3759 -3.098614	-593.4669 -3.094531	-593.5825 -3.10112	-593.7109 -3.110029	-593.7795 -3.105956	-593.8774 -3.114962	-593.9938 -3.121066	-594.0516 -3.126806	-594.1566 -3.138131	-594.2911 -3.152966	-594.3848 -3.157643	-594.482 -3.169217	-594.58 -3.182181	-594.6766 -3.1945	-594.7936 -3.200238	-594.8839 -3.209478	-594.9705 -3.214367	-595.0687 -3.227799	-595.1534 -3.239352	-595.2732 -3.248833
