-599.302 -1.668773	-597.697 -2.70208	-597.6318 -2.733747	-597.5562 -2.740647	-597.4575 -2.745716	-597.347 -2.755038	-597.1922 -2.753891	-597.1038 -2.751792	-597.0285 -2.752232	-596.9406 -2.754164	-596.8396 -2.763658	-596.709 -2.754926	-596.6373 -2.753514	-596.4702 -2.755124	-596.4388 -2.754318	-596.3209 -2.752918	-596.1842 -2.752868	-596.111 -2.748586	-596.0531 -2.749625	-595.9478 -2.75149	-595.7993 -2.762619	-595.7341 -2.751544	-595.5974 -2.750754	-595.5236 -2.751607	-595.3984 -2.750946	-595.2922 -2.758003	-595.2355 -2.755932	-595.1288 -2.761164	-595.0144 -2.758979	-594.8995 -2.768194	-594.7795 -2.785868	-594.6974 -2.776126	-594.6448 -2.786441	-594.5128 -2.785456	-594.3787 -2.798223	-594.3037 -2.804251	-594.2456 -2.809531	-594.1079 -2.816358	-594.0088 -2.826345	-593.9191 -2.834009	-593.8232 -2.852474	-593.7255 -2.852643	-593.6129 -2.853461	-593.4812 -2.860819	-593.4299 -2.868042
-599.0765 -1.660275	-598.2541 -2.680793	-598.2527 -2.713531	-598.2154 -2.722451	-598.1823 -2.728219	-598.0986 -2.738377	-598.0082 -2.736019	-597.9561 -2.735813	-597.9006 -2.736801	-597.8848 -2.741683	-597.8589 -2.758633	-597.7186 -2.751401	-597.6116 -2.749557	-597.4753 -2.752877	-597.4557 -2.751802	-597.3021 -2.750659	-597.1906 -2.750166	-597.1356 -2.744496	-597.0464 -2.744623	-596.9272 -2.748742	-596.8032 -2.759815	-596.7192 -2.74675	-596.6196 -2.745824	-596.5248 -2.747154	-596.3936 -2.748204	-596.293 -2.754182	-596.2109 -2.751901	-596.1253 -2.757541	-596.0134 -2.754517	-595.8978 -2.766356	-595.7828 -2.781749	-595.6826 -2.771968	-595.6439 -2.783531	-595.4954 -2.780261	-595.3635 -2.795889	-595.3046 -2.800077	-595.2225 -2.803974	-595.1141 -2.811865	-594.998 -2.821706	-594.9162 -2.830386	-594.8052 -2.848839	-594.7318 -2.848907	-594.614 -2.849155	-594.4703 -2.854885	-594.4399 -2.864213
-598.5859 -1.647304	-598.3107 -2.653374	-598.3532 -2.68523	-598.3722 -2.698679	-598.3837 -2.703576	-598.341 -2.713876	-598.3355 -2.712591	-598.3236 -2.711661	-598.3209 -2.715348	-598.3269 -2.720968	-598.3636 -2.733364	-598.2911 -2.73134	-598.1957 -2.728961	-598.1395 -2.734305	-598.1621 -2.735444	-598.0704 -2.732775	-598.0182 -2.734905	-597.9752 -2.728484	-597.9717 -2.730042	-597.8903 -2.736701	-597.8157 -2.756472	-597.7223 -2.744989	-597.6044 -2.741142	-597.5378 -2.742685	-597.4038 -2.746099	-597.2916 -2.75058	-597.2095 -2.74916	-597.1386 -2.753159	-597.022 -2.75075	-596.9013 -2.76415	-596.7979 -2.778172	-596.6863 -2.768497	-596.6314 -2.779704	-596.5126 -2.776664	-596.3942 -2.793362	-596.2942 -2.795237	-596.206 -2.799709	-596.0972 -2.805978	-596.0009 -2.819121	-595.9271 -2.827274	-595.7986 -2.844838	-595.7406 -2.844389	-595.6074 -2.843315	-595.4393 -2.848553	-595.4468 -2.860118
-597.8529 -1.631687	-597.8927 -2.621269	-597.9414 -2.651973	-598.0032 -2.668578	-598.0643 -2.673182	-598.0884 -2.68334	-598.1749 -2.683495	-598.1658 -2.681283	-598.2304 -2.688339	-598.2964 -2.692984	-598.3679 -2.704238	-598.35 -2.705294	-598.2964 -2.702669	-598.3049 -2.709659	-598.3528 -2.710691	-598.3287 -2.708515	-598.3504 -2.712123	-598.3202 -2.706188	-598.3849 -2.708947	-598.3497 -2.715138	-598.3408 -2.732406	-598.2777 -2.724209	-598.2112 -2.721576	-598.1977 -2.724201	-598.1543 -2.728447	-598.0759 -2.732489	-598.0239 -2.73273	-598.0138 -2.737945	-597.9238 -2.737874	-597.8806 -2.752419	-597.8155 -2.775071	-597.6807 -2.765034	-597.6149 -2.773863	-597.5206 -2.774179	-597.4193 -2.790593	-597.3036 -2.791674	-597.2119 -2.796597	-597.1066 -2.801193	-596.9936 -2.816398	-596.9033 -2.82402	-596.8127 -2.841211	-596.7458 -2.841004	-596.5939 -2.837579	-596.4269 -2.844997	-596.4389 -2.856028
-596.8615 -1.612955	-596.9628 -2.582692	-597.0656 -2.615466	-597.1614 -2.633698	-597.2688 -2.637019	-597.358 -2.646648	-597.482 -2.648339	-597.5031 -2.646108	-597.6365 -2.656748	-597.7416 -2.659683	-597.8859 -2.668967	-597.9174 -2.672225	-597.9193 -2.671835	-597.9753 -2.679766	-598.0771 -2.680345	-598.0984 -2.678228	-598.1742 -2.68244	-598.2081 -2.676965	-598.2928 -2.68261	-598.3202 -2.687828	-598.3445 -2.702817	-598.319 -2.69766	-598.3557 -2.694604	-598.3736 -2.700999	-598.3671 -2.703453	-598.3361 -2.707879	-598.3349 -2.709116	-598.3623 -2.713916	-598.3415 -2.717142	-598.3511 -2.730417	-598.328 -2.751603	-598.2762 -2.74441	-598.2316 -2.753094	-598.1615 -2.75651	-598.1458 -2.772569	-598.076 -2.773919	-598.0393 -2.779446	-597.9714 -2.785073	-597.9006 -2.802866	-597.8676 -2.812178	-597.8118 -2.837903	-597.7348 -2.836415	-597.6224 -2.832675	-597.4443 -2.842308	-597.4454 -2.851763
-595.8608 -1.599671	-595.9559 -2.556172	-596.0491 -2.591194	-596.1586 -2.609135	-596.2653 -2.610607	-596.3619 -2.618956	-596.4941 -2.620733	-596.5127 -2.619843	-596.6627 -2.630885	-596.7405 -2.630687	-596.8915 -2.630774	-596.9735 -2.633806	-597.0293 -2.636692	-597.153 -2.644433	-597.2815 -2.643722	-597.3806 -2.642711	-597.4867 -2.648266	-597.5713 -2.643605	-597.7011 -2.650872	-597.7786 -2.654428	-597.8647 -2.667114	-597.888 -2.665976	-597.96 -2.66312	-598.0392 -2.671977	-598.085 -2.671961	-598.091 -2.677476	-598.1494 -2.679074	-598.2277 -2.684799	-598.2444 -2.690818	-598.3319 -2.70253	-598.3548 -2.722075	-598.3474 -2.716466	-598.3509 -2.726973	-598.3399 -2.732475	-598.3788 -2.748393	-598.3524 -2.74957	-598.3682 -2.755123	-598.3334 -2.7629	-598.3101 -2.781127	-598.3413 -2.790819	-598.3389 -2.813693	-598.3038 -2.8148	-598.2429 -2.813571	-598.0861 -2.82412	-598.1355 -2.831536
-594.8773 -1.586945	-594.9432 -2.532348	-595.0517 -2.56988	-595.1732 -2.585669	-595.2567 -2.587354	-595.3476 -2.594594	-595.4932 -2.595665	-595.5016 -2.598008	-595.6555 -2.607064	-595.7413 -2.605036	-595.9073 -2.606893	-595.9692 -2.607638	-596.0479 -2.613239	-596.1607 -2.620178	-596.2808 -2.617101	-596.3842 -2.616415	-596.484 -2.620425	-596.5638 -2.617785	-596.7117 -2.623973	-596.7597 -2.625363	-596.8671 -2.626703	-596.9348 -2.626278	-597.0778 -2.627543	-597.1555 -2.637184	-597.2924 -2.635879	-597.3658 -2.641783	-597.4587 -2.642859	-597.5985 -2.652787	-597.6462 -2.658254	-597.7862 -2.669477	-597.8608 -2.686721	-597.9186 -2.683483	-597.9767 -2.696522	-597.9856 -2.702624	-598.0725 -2.717865	-598.1159 -2.719384	-598.1743 -2.724636	-598.1887 -2.736334	-598.2169 -2.752507	-598.3141 -2.762822	-598.3438 -2.783278	-598.3608 -2.788807	-598.3593 -2.789772	-598.29 -2.799064	-598.3495 -2.806484
-593.8851 -1.573642	-593.9515 -2.51024	-594.0571 -2.549048	-594.1987 -2.562854	-594.2729 -2.564867	-594.361 -2.571473	-594.4913 -2.57283	-594.5058 -2.577186	-594.6769 -2.584698	-594.7212 -2.58118	-594.9034 -2.584121	-594.9718 -2.583359	-595.0641 -2.591141	-595.1492 -2.596794	-595.2845 -2.593558	-595.3843 -2.591182	-595.5007 -2.59722	-595.5837 -2.594414	-595.7039 -2.600942	-595.7494 -2.599307	-595.876 -2.601673	-595.9448 -2.601832	-596.0845 -2.603644	-596.1495 -2.612638	-596.2562 -2.609977	-596.3704 -2.61598	-596.4436 -2.616575	-596.5978 -2.626658	-596.6808 -2.631326	-596.7974 -2.639834	-596.8561 -2.646185	-596.9722 -2.646816	-597.1092 -2.661355	-597.1405 -2.666875	-597.2766 -2.681938	-597.3652 -2.683492	-597.4708 -2.689772	-597.5356 -2.703526	-597.6526 -2.719286	-597.8101 -2.729032	-597.8608 -2.747802	-597.9071 -2.756429	-597.9793 -2.760513	-597.9744 -2.76722	-598.0609 -2.775118
-592.8714 -1.560087	-592.9415 -2.489985	-593.0726 -2.527865	-593.1903 -2.540093	-593.2803 -2.543696	-593.3605 -2.548959	-593.4764 -2.551895	-593.54 -2.556171	-593.6868 -2.563076	-593.7182 -2.558235	-593.889 -2.562131	-593.9689 -2.562239	-594.0479 -2.569005	-594.1609 -2.573119	-594.2733 -2.571305	-594.3748 -2.568682	-594.4969 -2.574897	-594.5808 -2.572995	-594.7068 -2.578238	-594.7421 -2.575236	-594.8749 -2.577924	-594.9554 -2.579424	-595.08 -2.582575	-595.1343 -2.588519	-595.2665 -2.58619	-595.3776 -2.591135	-595.4457 -2.594166	-595.6133 -2.602475	-595.6696 -2.607673	-595.8015 -2.61447	-595.8553 -2.621285	-595.9728 -2.623119	-596.0956 -2.637195	-596.1541 -2.641417	-596.271 -2.65585	-596.3584 -2.656023	-596.4556 -2.664453	-596.5295 -2.677749	-596.672 -2.692038	-596.7997 -2.699626	-596.8638 -2.707595	-596.9387 -2.720104	-597.0618 -2.725561	-597.1495 -2.730844	-597.2596 -2.738014
-591.8616 -1.547658	-591.9427 -2.471617	-592.0743 -2.507053	-592.1887 -2.517494	-592.2576 -2.52246	-592.353 -2.52812	-592.4645 -2.532228	-592.535 -2.534693	-592.6826 -2.541436	-592.7321 -2.536129	-592.8822 -2.540522	-592.9811 -2.543171	-593.075 -2.546999	-593.1509 -2.550321	-593.2678 -2.548832	-593.3516 -2.547585	-593.5006 -2.554595	-593.5878 -2.551996	-593.7048 -2.55691	-593.7661 -2.552582	-593.8675 -2.555794	-593.9506 -2.557382	-594.083 -2.560705	-594.1243 -2.566473	-594.2923 -2.563808	-594.3836 -2.567701	-594.4506 -2.573179	-594.6036 -2.580992	-594.6888 -2.584597	-594.8 -2.590841	-594.844 -2.597865	-594.9716 -2.60211	-595.0931 -2.614681	-595.1542 -2.618164	-595.2769 -2.631664	-595.3323 -2.631476	-595.4426 -2.64277	-595.5409 -2.653816	-595.673 -2.667484	-595.7771 -2.675081	-595.8743 -2.682964	-595.9305 -2.696711	-596.0664 -2.701089	-596.1736 -2.705734	-596.2515 -2.713339
-590.8548 -1.537912	-590.9434 -2.45277	-591.0934 -2.487057	-591.1631 -2.496193	-591.2684 -2.500884	-591.3611 -2.50797	-591.4644 -2.513243	-591.535 -2.514504	-591.6776 -2.520618	-591.7396 -2.515175	-591.849 -2.519038	-591.9545 -2.523792	-592.0759 -2.525151	-592.1265 -2.528439	-592.2697 -2.526242	-592.3346 -2.527176	-592.4888 -2.532761	-592.6077 -2.530639	-592.6805 -2.535882	-592.7712 -2.530907	-592.8542 -2.534993	-592.9561 -2.537853	-593.0737 -2.539045	-593.1504 -2.544941	-593.2756 -2.540871	-593.3884 -2.546597	-593.4705 -2.553286	-593.5886 -2.557179	-593.6868 -2.563394	-593.7871 -2.568105	-593.8259 -2.576187	-593.9692 -2.581643	-594.11 -2.592914	-594.1656 -2.59559	-594.2549 -2.608994	-594.3395 -2.609905	-594.4541 -2.62139	-594.5507 -2.630615	-594.6989 -2.644527	-594.7547 -2.651756	-594.8905 -2.660681	-594.9211 -2.674514	-595.0695 -2.677407	-595.1614 -2.682673	-595.2512 -2.688883
