Scopus-127166-Analyze-Country

"Your query : (TITLE-ABS-KEY(nanotechnology))"


Number of results : 127166

"COUNTRY/TERRITORY",
"United States","39775"
"China","17546"
"Japan","8459"
"Germany","8395"
"United Kingdom","6755"
"South Korea","6168"
"India","6011"
"France","5255"
"Italy","4405"
"Canada","3324"
"Taiwan","3118"
"Spain","3064"
"Australia","2837"
"Russian Federation","2688"
"Switzerland","2264"
"Netherlands","2162"
"Singapore","2160"
"Iran","2065"
"Brazil","1453"
"Sweden","1386"
"Belgium","1260"
"Malaysia","1109"
"Poland","1080"
"Israel","1041"
"Romania","945"
"Hong Kong","935"
"Denmark","860"
"Ukraine","827"
"Austria","813"
"Turkey","798"
"Saudi Arabia","776"
"Mexico","773"
"Greece","731"
"Finland","715"
"Portugal","709"
"Czech Republic","689"
"Ireland","677"
"Egypt","594"
"Thailand","418"
"Hungary","402"
"South Africa","361"
"New Zealand","346"
"Norway","324"
"Argentina","294"
"Pakistan","281"
"Bulgaria","256"
"Latvia","242"
"Slovenia","213"
"Philippines","200"
"Colombia","197"
"Moldova","173"
"United Arab Emirates","167"
"Belarus","164"
"Slovakia","161"
"Tunisia","144"
"Croatia","136"
"Serbia","127"
"Chile","126"
"Indonesia","122"
"Lithuania","122"
"Viet Nam","120"
"Algeria","107"
"Puerto Rico","101"
"Bangladesh","100"
"Cyprus","78"
"Estonia","73"
"Nigeria","57"
"Kazakhstan","55"
"Jordan","52"
"Iraq","50"
"Morocco","48"
"Qatar","46"
"Georgia","43"
"Oman","42"
"Luxembourg","39"
"Lebanon","38"
"Venezuela","35"
"Armenia","33"
"Cuba","33"
"Kuwait","33"
"Uruguay","28"
"Sri Lanka","25"
"Iceland","22"
"Macedonia","21"
"Macao","19"
"Ecuador","17"
"Libyan Arab Jamahiriya","17"
"Bahrain","15"
"North Korea","15"
"Azerbaijan","14"
"Costa Rica","14"
"Ethiopia","14"
"Kenya","13"
"Peru","13"
"Tanzania","13"
"Nepal","12"
"Uzbekistan","10"
"Yugoslavia","10"
"Syrian Arab Republic","8"
"Ghana","7"
"Cameroon","6"
"Liechtenstein","6"
"Montenegro","6"
"Palestine","6"
"Sudan","6"
"Tajikistan","6"
"Bosnia and Herzegovina","5"
"Fiji","5"
"Malta","5"
"Mauritius","5"
"Albania","4"
"Trinidad and Tobago","4"
"Yemen","4"
"Barbados","3"
"Brunei Darussalam","3"
"Burkina Faso","3"
"Cambodia","3"
"El Salvador","3"
"Kyrgyzstan","3"
"Monaco","3"
"Zimbabwe","3"
"Botswana","2"
"Congo","2"
"Dominican Republic","2"
"Eritrea","2"
"French Polynesia","2"
"Jamaica","2"
"Malawi","2"
"Mongolia","2"
"Namibia","2"
"Netherlands Antilles","2"
"Senegal","2"
"Uganda","2"
"Zambia","2"
"Afghanistan","1"
"Angola","1"
"Benin","1"
"Bolivia","1"
"Dominica","1"
"Gambia","1"
"Mali","1"
"Niger","1"
"Panama","1"
"Undefined","7614"
