Scopus-180742-Analyze-Country

"Your query : (nanoscience)"


Number of results : 180742

"COUNTRY/TERRITORY",
"China","36335"
"Estados Unidos","34549"
"India","18156"
"Corea del Sur","15060"
"Alemania","11727"
"Japón","10522"
"Reino Unido","8130"
"Francia","7425"
"Brasil","3355"
"Argentina","567"
"Italy","6875"
"Iran","6335"
"Spain","6222"
"Taiwan","5122"
"Sweden","4615"
"Netherlands","4534"
"Australia","4389"
"Russian Federation","4033"
"Canada","3708"
"Singapore","3449"
"Brazil","3355"
"Denmark","3233"
"Switzerland","2519"
"Malaysia","2455"
"Finland","2291"
"Saudi Arabia","2190"
"Portugal","2184"
"Poland","2145"
"Israel","1969"
"Turkey","1929"
"Belgium","1744"
"Mexico","1646"
"Egypt","1474"
"Greece","1392"
"Hong Kong","1316"
"Romania","1284"
"Czech Republic","1261"
"Ukraine","1138"
"Thailand","1126"
"Pakistan","1085"
"Austria","1047"
"Ireland","1043"
"South Africa","940"
"Viet Nam","766"
"Argentina","567"
"Hungary","560"
"Norway","545"
"Bulgaria","525"
"Chile","488"
"New Zealand","442"
"Slovenia","421"
"Serbia","410"
"Slovakia","365"
"Colombia","308"
"Belarus","290"
"Tunisia","272"
"Indonesia","256"
"Algeria","255"
"United Arab Emirates","242"
"Lithuania","222"
"Iraq","208"
"Croatia","174"
"Qatar","164"
"Morocco","159"
"Puerto Rico","159"
"Nigeria","139"
"Bangladesh","114"
"Oman","114"
"Estonia","111"
"Jordan","111"
"Philippines","102"
"Moldova","101"
"Latvia","100"
"Armenia","99"
"Luxembourg","95"
"Cyprus","88"
"Cuba","85"
"Venezuela","66"
"Kazakhstan","64"
"Bahrain","59"
"Cameroon","59"
"Lebanon","56"
"Kuwait","48"
"Sri Lanka","47"
"Georgia","45"
"Palestine","40"
"Uruguay","38"
"Ecuador","33"
"Iceland","33"
"Peru","31"
"Uzbekistan","31"
"Azerbaijan","30"
"Ethiopia","30"
"Nepal","29"
"Brunei Darussalam","28"
"Sudan","28"
"Tanzania","26"
"Mongolia","24"
"Macedonia","22"
"Macao","20"
"Costa Rica","17"
"Kyrgyzstan","17"
"Kenya","16"
"Libyan Arab Jamahiriya","15"
"North Korea","15"
"Syrian Arab Republic","14"
"Yemen","14"
"Tajikistan","11"
"Botswana","10"
"Ghana","10"
"Malawi","10"
"Mauritius","9"
"Bosnia and Herzegovina","8"
"Panama","7"
"Senegal","7"
"Yugoslavia","6"
"Zimbabwe","6"
"Cambodia","4"
"Montenegro","4"
"Myanmar","4"
"Rwanda","4"
"Trinidad and Tobago","4"
"Barbados","3"
"Burkina Faso","3"
"Dominican Republic","3"
"Fiji","3"
"Malta","3"
"Swaziland","3"
"Togo","3"
"Albania","2"
"Angola","2"
"Benin","2"
"Congo","2"
"Cote d'Ivoire","2"
"El Salvador","2"
"Guadeloupe","2"
"Lesotho","2"
"Tokelau","2"
"Uganda","2"
"Belize","1"
"Bolivia","1"
"Burundi","1"
"Djibouti","1"
"Dominica","1"
"Eritrea","1"
"French Guiana","1"
"French Polynesia","1"
"Greenland","1"
"Guam","1"
"Guatemala","1"
"Jamaica","1"
"Liberia","1"
"Madagascar","1"
"Mali","1"
"Martinique","1"
"Mozambique","1"
"Namibia","1"
"Netherlands Antilles","1"
"Papua New Guinea","1"
"Paraguay","1"
"Turkmenistan","1"
"Undefined","1637"
