r ads	dstrAds	rdes	distrdes
86.1630267043	0.0005956852	86.1630267043	0.0003805139
57.7128443933	0.0001205543	57.7128443933	0.000712126
43.475665638	-0.0003545767	43.475665638	0.0010437381
34.9240480198	-0.0008315844	34.9240480198	0.0013786169
29.2155011608	-0.0010300823	29.2155011608	0.001708459
25.1318068649	-0.001231974	25.1318068649	0.0020442356
22.0638491517	-0.0014368668	22.0638491517	0.002385293
19.6732242665	-0.0016443195	19.6732242665	0.0027470911
17.7568846832	-0.0018538934	17.7568846832	0.0033267292
16.1856136495	-0.0020651696	16.1856136495	0.0039310978
14.8732624592	-0.0022777555	14.8732624592	0.0045595958
13.7601859049	-0.0024912869	13.7601859049	0.005211638
12.8037768221	-0.0027054291	12.8037768221	0.0058704633
11.9727868144	-0.0029198769	11.9727868144	0.0063376976
11.2437767063	-0.0031343536	11.2437767063	0.0068052316
10.5988197766	-0.0022173432	10.5988197766	0.0072725153
10.0239705798	-0.0010430478	10.0239705798	0.0077390552
9.5082172975	0.0002046665	9.5082172975	0.0082044111
9.0427483826	0.0015255225	9.0427483826	0.0086681931
8.6204287348	0.0029191853	8.6204287348	0.0091590768
8.2354187353	0.0032540029	8.2354187353	0.0097865058
7.8828926642	0.0034039716	7.8828926642	0.0104184611
7.5588275123	0.0035526898	7.5588275123	0.0110546571
7.2598424784	0.0037001124	7.2598424784	0.0116948394
6.9830755044	0.003846204	6.9830755044	0.0123097629
6.7260872473	0.0005597868	6.7260872473	0.0127894828
6.4867856276	-0.0029286315	6.4867856276	0.0132655787
6.2633659885	-0.0065316393	6.2633659885	0.0137379527
6.0542632223	-0.0102480485	6.0542632223	0.014206525
5.8581131628	-0.0140766735	5.8581131628	0.0146712314
5.6737212159	-0.0145851816	5.6737212159	0.0151320205
5.5000366934	-0.0150029244	5.5000366934	0.0136905015
5.3361316761	-0.0154161583	5.3361316761	0.005264843
5.1811834995	-0.0158249181	5.1811834995	-0.0033777449
5.0344601585	-0.0126058425	5.0344601585	-0.0122347833
4.8953080787	0.0010003256	4.8953080787	-0.0213038224
4.763141818	0.0149087189	4.763141818	-0.0286840906
4.6374353523	0.0292702833	4.6374353523	-0.0293759576
4.5177146682	0.0441357239	4.5177146682	-0.0301729381
4.2945576048	0.0558700135	4.2945576048	-0.027747283
4.0906998598	0.0577023446	4.0906998598	-0.0062267729
3.9036801465	0.0523021104	3.9036801465	0.0158892191
3.7314410018	0.0466290179	3.7314410018	0.0386700353
3.5722484708	0.0406971313	3.5722484708	0.0621289582
3.4246303111	0.0345123875	3.4246303111	0.0829224257
3.2873279148	0.0280803793	3.2873279148	0.0768575756
