Pads	nAds	Vads	Pdes	nDes	Vdes
0.001595	1.2822	1.9066546817	1.018	1.4377	43.8723482739
0.026088	1.2883	3.6356077404	0.945389	1.437	43.6933589347
0.092737	1.2942	5.301546356	0.885906	1.4362	43.4886894854
0.15536	1.2994	6.7646588506	0.8261	1.4354	43.283902479
0.218758	1.305	8.3348853864	0.771538	1.4364	43.5398678685
0.278937	1.3108	9.9552380193	0.719191	1.4342	42.9765015371
0.334521	1.3182	12.0137679461	0.669638	1.4331	42.6944849535
0.391215	1.3309	15.5235392879	0.618492	1.4319	42.3865769693
0.445581	1.3507	20.9369687535	0.565228	1.4303	41.9756214359
0.498361	1.401	34.366800871	0.512422	1.4288	41.5899234221
0.551578	1.4305	42.0270166009	0.460242	1.4203	39.3964910833
0.602358	1.4325	42.5405640315	0.408881	1.3825	29.4813474555
0.651895	1.4334	42.7714206127	0.353772	1.332	15.8261577332
0.705972	1.4346	43.0789979097	0.298031	1.3136	10.7353050192
0.759907	1.4354	43.283902479	0.241102	1.3051	8.3628738627
0.811327	1.4372	43.7445079294	0.182354	1.2993	6.7365678491
0.859878	1.4366	43.5910389043	0.121749	1.2939	5.2169880348
0.909304	1.4368	43.642202593	0.058269	1.2877	3.4658413987
0.953808	1.4365	43.5654543048	0.001677	1.2809	1.537331401
1.018	1.4377	43.8723482739	0.001634	1.2755	0
