"500mV/s"
EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test Identifier
DATE	LABEL	12/12/2016	Date
TIME	LABEL	15:11:14	Time
NOTES	NOTES	1	Notes...
	FeOH 1mM 500mv/
PSTAT	PSTAT	IFC1000-06217	Potentiostat
VINIT	POTEN	-2.00000E-001	F	Initial E (V)
VLIMIT1	POTEN	4.00000E-001	F	Scan Limit 1 (V)
VLIMIT2	POTEN	-2.00000E-001	F	Scan Limit 2 (V)
VFINAL	POTEN	4.00000E-001	F	Final E (V)
SCANRATE	QUANT	4.99999E+002	Scan Rate (mV/s)
STEPSIZE	QUANT	2.00000E+000	Step Size (mV)
CYCLES	IQUANT	1	Cycles (#)
IMODE	SELECTOR	1	I/E Range Mode
IRANGE	QUANT	5.00000E-001	Max Current (mA)
AREA	QUANT	1.00000E+000	Sample Area (cm^2)
EQDELAY	QUANT	5.00000E+000	Equil. Time (s)
IRCOMP	SELECTOR	0	IRComp
PFCOR	QUANT	5.00000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	1	Sampling Mode
EOC	QUANT	0	Open Circuit (V)
SEQUENCER	TOGGLE	TRUE	Run as Sequence
PSTATMODEL	IQUANT	48	Pstat Model
PSTATSECTION	LABEL	IFC1000-06217	Pstat Section
PSTATSERIALNO	LABEL	06217	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	3	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	3	Vch Filter
IERANGELOWERLIMIT	IQUANT	4	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	9	I/E Range
ACHSELECT	IQUANT	4	Ach Select
CABLEID	IQUANT	14	Cable ID
DCCALDATE	LABEL	11/10/2016	DC Calibration Date
ACCALDATE	LABEL	11/10/2016	AC Calibration Date
FRAMEWORKVERSION	QUANT	6.23	Framework Version
INSTRUMENTVERSION	LABEL	3.26	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.004	-2.00041E-001	-9.73647E-007	0.00000E+000	-2.00000E-001	0.00000E+000	9	...........
	1	0.008	-1.98049E-001	-7.73833E-007	0.00000E+000	-1.98000E-001	0.00000E+000	9	...........
	2	0.012	-1.96053E-001	-7.75220E-007	0.00000E+000	-1.96000E-001	0.00000E+000	9	...........
	3	0.016	-1.94044E-001	-8.59170E-007	0.00000E+000	-1.94000E-001	0.00000E+000	9	...........
	4	0.02	-1.92041E-001	-8.04360E-007	0.00000E+000	-1.92000E-001	0.00000E+000	9	...........
	5	0.024	-1.90024E-001	-6.51724E-007	0.00000E+000	-1.90000E-001	0.00000E+000	9	...........
	6	0.028	-1.88030E-001	-5.43492E-007	0.00000E+000	-1.88000E-001	0.00000E+000	9	...........
	7	0.032	-1.86034E-001	-5.95527E-007	0.00000E+000	-1.86000E-001	0.00000E+000	9	...........
	8	0.036	-1.84017E-001	-6.97515E-007	0.00000E+000	-1.84000E-001	0.00000E+000	9	...........
	9	0.04	-1.82046E-001	-6.69763E-007	0.00000E+000	-1.82000E-001	0.00000E+000	9	...........
	10	0.044	-1.80024E-001	-5.15740E-007	0.00000E+000	-1.80000E-001	0.00000E+000	9	...........
	11	0.048	-1.78032E-001	-4.24158E-007	0.00000E+000	-1.78000E-001	0.00000E+000	9	...........
	12	0.052	-1.76007E-001	-4.64398E-007	0.00000E+000	-1.76000E-001	0.00000E+000	9	...........
	13	0.056	-1.74029E-001	-5.76794E-007	0.00000E+000	-1.74000E-001	0.00000E+000	9	...........
	14	0.06	-1.72025E-001	-5.58061E-007	0.00000E+000	-1.72000E-001	0.00000E+000	9	...........
	15	0.064	-1.70030E-001	-4.17914E-007	0.00000E+000	-1.70000E-001	0.00000E+000	9	...........
	16	0.068	-1.68013E-001	-3.32577E-007	0.00000E+000	-1.68000E-001	0.00000E+000	9	...........
	17	0.072	-1.66021E-001	-3.85999E-007	0.00000E+000	-1.66000E-001	0.00000E+000	9	...........
	18	0.076	-1.64027E-001	-4.86600E-007	0.00000E+000	-1.64000E-001	0.00000E+000	9	...........
	19	0.08	-1.62037E-001	-4.74112E-007	0.00000E+000	-1.62000E-001	0.00000E+000	9	...........
	20	0.084	-1.60020E-001	-3.44371E-007	0.00000E+000	-1.60000E-001	0.00000E+000	9	...........
	21	0.088	-1.58032E-001	-2.59728E-007	0.00000E+000	-1.58000E-001	0.00000E+000	9	...........
	22	0.092	-1.56029E-001	-3.09681E-007	0.00000E+000	-1.56000E-001	0.00000E+000	9	...........
	23	0.096	-1.54031E-001	-4.21383E-007	0.00000E+000	-1.54000E-001	0.00000E+000	9	...........
	24	0.1	-1.52024E-001	-4.04038E-007	0.00000E+000	-1.52000E-001	0.00000E+000	9	...........
	25	0.104	-1.50022E-001	-2.69441E-007	0.00000E+000	-1.50000E-001	0.00000E+000	9	...........
	26	0.108	-1.48019E-001	-1.96592E-007	0.00000E+000	-1.48000E-001	0.00000E+000	9	...........
	27	0.112	-1.46011E-001	-2.43076E-007	0.00000E+000	-1.46000E-001	0.00000E+000	9	...........
	28	0.116	-1.44019E-001	-3.56860E-007	0.00000E+000	-1.44000E-001	0.00000E+000	9	...........
