Potencial	Intensidad
mv	uA
-598.985700	-5.605464
-598.759300	-5.593659
-598.279100	-5.579286
-597.577000	-5.558390
-596.606800	-5.529774
-595.627100	-5.509472
-594.633500	-5.485744
-593.611300	-5.467646
-592.624800	-5.451604
-591.601600	-5.432467
-590.597300	-5.418128
-589.591500	-5.396518
-588.574500	-5.376438
-587.600600	-5.360032
-586.622100	-5.340085
-585.628900	-5.323798
-584.621400	-5.304815
-583.600200	-5.283961
-582.595600	-5.266441
-581.626700	-5.248714
-580.641400	-5.234991
-579.666500	-5.222104
-578.651200	-5.204533
-577.620700	-5.187968
-576.623700	-5.169568
-575.624800	-5.150514
-574.630400	-5.134031
-573.634600	-5.119927
-572.611600	-5.101003
-571.602600	-5.083128
-570.620800	-5.065638
-569.619800	-5.044350
-568.631600	-5.030322
-567.631700	-5.018264
-566.590100	-5.002582
-565.575300	-4.989256
-564.578100	-4.976394
-563.549300	-4.960344
-562.581600	-4.944156
-561.604400	-4.929032
-560.609400	-4.910631
-559.611500	-4.893452
-558.601000	-4.878078
-557.591700	-4.861371
-556.596400	-4.847353
-555.617000	-4.834031
-554.635000	-4.823676
-553.626600	-4.811974
-552.608300	-4.798873
-551.608500	-4.784136
-550.606900	-4.767889
-549.614400	-4.754951
-548.618900	-4.741370
-547.635500	-4.727874
-546.624600	-4.712359
-545.627800	-4.695508
-544.649200	-4.681127
-543.635600	-4.669492
-542.638800	-4.660895
-541.639800	-4.649540
-540.617000	-4.635658
-539.624800	-4.616894
-538.627400	-4.601110
-537.628500	-4.587686
-536.657200	-4.576970
-535.663500	-4.567535
-534.673600	-4.551970
-533.693000	-4.540152
-532.662100	-4.522524
-531.648900	-4.510637
-530.641200	-4.500884
-529.641800	-4.487838
-528.655000	-4.480310
-527.634300	-4.467442
-526.633500	-4.455590
-525.612600	-4.442173
-524.603900	-4.427001
-523.616100	-4.415623
-522.605000	-4.402686
-521.589400	-4.390096
-520.599900	-4.376968
-519.613600	-4.362743
-518.619300	-4.350934
-517.644500	-4.340357
-516.635900	-4.331988
-515.601700	-4.322417
-514.575700	-4.311787
-513.563100	-4.300880
-512.558100	-4.287439
-511.572100	-4.274429
-510.607700	-4.263584
-509.603900	-4.252028
-508.604700	-4.239759
-507.614400	-4.228571
-506.605200	-4.215972
-505.632400	-4.205701
-504.646400	-4.198759
-503.644300	-4.190612
-502.641200	-4.180510
-501.620400	-4.169785
-500.619500	-4.158248
-499.634200	-4.148480
-498.635900	-4.138622
-497.646900	-4.126861
-496.639900	-4.114139
-495.630800	-4.101563
-494.627700	-4.090418
-493.616600	-4.078177
-492.616800	-4.072521
-491.622600	-4.065320
-490.631400	-4.058783
-489.626600	-4.052257
-488.641500	-4.041214
-487.628300	-4.030807
-486.623300	-4.017642
-485.631800	-4.008856
-484.634000	-3.997731
-483.658000	-3.985738
-482.686600	-3.977416
-481.702500	-3.967417
-480.698500	-3.959268
-479.681800	-3.952605
-478.666600	-3.946246
-477.659900	-3.937635
-476.641200	-3.928667
-475.635800	-3.919825
-474.620700	-3.907751
-473.602400	-3.897470
-472.618700	-3.887418
-471.634800	-3.875062
-470.640400	-3.863290
-469.648700	-3.852572
-468.639200	-3.844482
-467.617200	-3.839508
-466.628300	-3.836500
-465.623900	-3.832226
-464.629800	-3.825961
-463.633700	-3.817987
-462.620000	-3.807960
-461.631700	-3.798226
-460.610500	-3.787422
-459.623500	-3.778069
-458.637500	-3.767946
-457.646100	-3.756784
-456.688100	-3.748284
-455.669600	-3.741171
-454.679300	-3.736269
-453.667500	-3.733053
-452.645100	-3.726634
-451.664200	-3.717789
-450.638200	-3.710246
-449.628900	-3.700904
-448.635800	-3.691057
-447.638900	-3.683406
-446.661700	-3.676560
-445.695600	-3.666879
-444.679500	-3.658045
-443.670000	-3.649816
-442.665800	-3.640516
-441.631100	-3.635091
-440.634800	-3.633405
-439.636800	-3.627720
-438.610000	-3.618843
-437.622200	-3.610157
-436.634700	-3.598605
-435.638600	-3.589131
-434.645000	-3.582866
-433.651100	-3.575900
-432.647400	-3.569075
-431.627300	-3.560992
-430.626800	-3.553703
-429.620500	-3.548048
-428.626700	-3.541714
-427.650500	-3.536033
-426.652600	-3.528507
-425.648800	-3.517068
-424.640100	-3.508926
-423.626500	-3.499141
-422.645200	-3.489512
-421.660000	-3.482162
-420.653400	-3.471468
-419.663600	-3.461887
-418.649600	-3.454514
-417.632800	-3.452844
-416.645100	-3.449809
-415.630900	-3.444729
-414.638200	-3.440406
-413.631500	-3.429776
-412.583600	-3.420505
-411.590100	-3.413647
-410.580700	-3.405944
-409.575900	-3.398309
-408.626600	-3.387989
-407.631900	-3.378270
-406.638200	-3.368072
-405.654500	-3.359396
-404.643800	-3.358433
-403.644600	-3.353390
-402.630600	-3.346807
-401.633000	-3.341552
-400.646500	-3.331028
-399.633800	-3.324568
-398.644700	-3.317568
-397.644400	-3.310244
-396.625900	-3.303468
-395.633900	-3.295481
-394.640100	-3.287847
-393.629900	-3.275860
-392.649400	-3.270648
-391.666600	-3.263373
-390.671300	-3.258553
-389.682500	-3.253656
-388.670200	-3.241509
-387.660600	-3.233240
-386.655900	-3.222041
-385.662400	-3.217464
-384.695300	-3.211478
-383.702300	-3.203762
-382.722400	-3.196844
-381.741000	-3.186742
-380.726400	-3.178745
-379.728300	-3.173393
-378.720800	-3.165695
-377.694900	-3.157602
-376.707800	-3.150956
-375.713500	-3.140565
-374.705800	-3.132233
-373.732300	-3.124037
-372.696900	-3.103944
