Potencial	Intensidad
mv	uA
-599.509700	-5.214237
-599.286400	-5.208752
-598.801200	-5.195882
-598.079100	-5.178191
-597.119100	-5.156587
-596.112200	-5.135317
-595.107200	-5.114990
-594.095900	-5.098288
-593.049600	-5.079690
-592.047400	-5.061717
-591.061500	-5.046968
-590.097900	-5.031418
-589.126300	-5.015643
-588.135100	-5.001355
-587.151100	-4.985609
-586.132800	-4.967371
-585.136800	-4.952545
-584.162800	-4.936365
-583.165600	-4.921096
-582.164300	-4.906211
-581.148000	-4.891093
-580.129600	-4.876095
-579.111300	-4.861046
-578.106200	-4.848392
-577.135200	-4.833041
-576.146900	-4.817198
-575.167500	-4.801756
-574.171300	-4.786006
-573.162300	-4.769288
-572.154100	-4.755927
-571.143600	-4.743876
-570.143400	-4.729239
-569.133400	-4.719087
-568.108500	-4.707922
-567.098300	-4.693640
-566.070300	-4.682524
-565.073600	-4.670087
-564.071500	-4.656942
-563.071700	-4.643836
-562.098800	-4.629843
-561.086900	-4.616042
-560.105000	-4.600913
-559.101100	-4.588208
-558.106100	-4.573749
-557.116500	-4.557868
-556.112500	-4.546319
-555.108000	-4.534608
-554.093000	-4.521618
-553.080700	-4.511389
-552.081200	-4.498243
-551.087200	-4.483251
-550.087500	-4.472186
-549.074300	-4.459311
-548.076300	-4.446359
-547.077800	-4.433047
-546.088300	-4.420354
-545.102800	-4.406905
-544.107400	-4.393670
-543.116300	-4.383094
-542.106000	-4.368646
-541.105300	-4.355563
-540.088900	-4.343848
-539.085000	-4.331613
-538.100300	-4.318801
-537.121200	-4.308174
-536.134100	-4.296454
-535.140100	-4.284118
-534.151600	-4.274330
-533.154800	-4.261289
-532.168600	-4.247847
-531.168400	-4.233724
-530.158500	-4.220291
-529.146300	-4.207084
-528.128800	-4.192354
-527.125600	-4.180614
-526.136800	-4.171474
-525.125500	-4.162435
-524.159600	-4.154551
-523.177900	-4.144237
-522.151500	-4.128726
-521.175100	-4.114594
-520.147900	-4.100735
-519.120900	-4.086818
-518.132800	-4.075723
-517.110200	-4.064886
-516.097800	-4.053838
-515.086400	-4.042879
-514.066500	-4.032650
-513.056800	-4.019828
-512.065900	-4.007199
-511.086500	-3.996366
-510.098400	-3.982803
-509.124800	-3.968655
-508.129600	-3.956363
-507.127500	-3.945048
-506.116300	-3.933634
-505.125800	-3.926201
-504.115200	-3.915253
-503.099900	-3.901656
-502.108500	-3.889381
-501.088300	-3.877119
-500.092400	-3.865674
-499.099600	-3.854200
-498.115400	-3.844316
-497.121900	-3.832514
-496.122000	-3.823445
-495.105000	-3.814755
-494.114300	-3.804489
-493.098700	-3.793355
-492.104000	-3.782322
-491.142900	-3.770257
-490.128800	-3.756862
-489.159900	-3.746931
-488.146800	-3.735656
-487.131900	-3.727020
-486.112400	-3.718947
-485.105300	-3.708869
-484.121400	-3.696843
-483.140700	-3.683751
