Potencial	Intensidad
mv	uA
-594.524800	-2.703335
-595.517300	-2.700763
-596.550500	-2.703353
-597.529300	-2.705133
-598.120300	-2.674417
-598.182200	-2.643677
-597.719500	-2.605783
-596.789600	-2.561318
-595.749800	-2.530743
-594.754100	-2.505152
-593.771000	-2.480931
-592.787700	-2.459990
-591.775900	-2.440944
-590.776100	-2.423782
-589.758200	-2.407735
-588.720100	-2.390574
-587.749400	-2.373897
-586.743000	-2.357667
-585.743600	-2.342693
-584.786300	-2.328980
-583.793500	-2.313760
-582.795900	-2.300130
-581.802000	-2.287262
-580.778000	-2.273799
-579.774600	-2.262445
-578.777700	-2.249127
-577.768800	-2.234942
-576.787400	-2.222019
-575.777600	-2.210844
-574.803000	-2.199914
-573.809900	-2.187869
-572.796600	-2.175117
-571.797700	-2.163435
-570.785200	-2.150705
-569.779100	-2.138633
-568.787400	-2.126918
-567.777300	-2.113231
-566.745600	-2.101895
-565.756500	-2.090891
-564.719200	-2.078923
-563.714300	-2.068431
-562.746600	-2.059569
-561.758100	-2.049677
-560.807400	-2.039926
-559.816400	-2.029483
-558.814800	-2.019153
-557.829300	-2.009536
-556.816200	-1.999951
-555.813500	-1.991931
-554.805800	-1.979852
-553.778700	-1.968575
-552.778700	-1.958622
-551.778800	-1.948430
-550.782100	-1.939962
-549.796300	-1.931020
-548.823400	-1.922379
-547.841700	-1.911982
-546.861100	-1.904188
-545.851100	-1.896131
-544.826500	-1.884870
-543.815200	-1.875631
-542.800900	-1.866651
-541.809500	-1.857073
-540.793500	-1.848381
-539.802000	-1.839295
-538.821700	-1.829105
-537.808900	-1.820495
-536.833900	-1.814237
-535.826500	-1.804820
-534.811100	-1.795187
-533.822200	-1.784321
-532.810100	-1.774476
-531.843300	-1.765653
-530.835600	-1.757353
-529.835200	-1.747495
-528.839000	-1.737328
-527.806100	-1.729632
-526.812100	-1.720318
-525.809800	-1.713272
-524.794100	-1.704860
-523.807600	-1.697158
-522.819000	-1.689078
-521.823200	-1.680259
-520.839200	-1.672262
-519.844500	-1.661675
-518.838100	-1.651663
-517.836100	-1.644970
-516.828300	-1.636123
-515.796700	-1.627287
-514.783800	-1.619198
-513.766500	-1.610812
-512.772500	-1.603967
-511.777300	-1.598668
-510.772300	-1.592452
-509.796400	-1.584611
-508.782700	-1.577060
-507.811000	-1.569522
-506.823500	-1.560907
-505.823400	-1.552375
-504.845300	-1.544945
-503.822600	-1.536885
-502.826900	-1.529790
-501.807600	-1.523222
-500.807100	-1.514739
-499.809100	-1.507201
-498.794800	-1.500093
-497.794600	-1.491378
-496.787300	-1.482383
-495.783300	-1.475047
-494.805400	-1.467937
-493.829600	-1.462303
-492.836500	-1.456185
-491.851200	-1.448864
-490.836100	-1.442569
-489.821300	-1.433779
-488.837700	-1.427688
-487.835600	-1.420335
-486.835100	-1.412356
-485.842100	-1.407820
-484.826400	-1.401194
-483.842300	-1.394671
-482.847400	-1.386921
-481.860200	-1.378112
-480.859400	-1.371383
-479.848600	-1.365725
-478.862700	-1.360889
-477.867400	-1.355117
-476.871400	-1.347108
-475.881400	-1.339646
-474.876900	-1.333275
-473.869100	-1.327047
-472.867600	-1.320933
-471.881700	-1.313627
-470.896400	-1.305731
-469.891000	-1.300204
-468.895000	-1.292453
-467.880600	-1.286947
-466.856900	-1.280647
-465.852100	-1.270259
-464.855000	-1.263670
-463.830000	-1.254769
-462.829700	-1.247194
-461.823300	-1.240477
-460.801200	-1.232648
-459.819600	-1.225173
-458.835900	-1.214943
-457.842100	-1.206863
-456.868700	-1.201433
-455.869900	-1.194966
-454.869300	-1.187972
-453.877700	-1.179312
-452.898600	-1.168271
-451.888100	-1.158331
-450.879300	-1.152594
-449.873400	-1.144573
-448.848900	-1.135594
-447.882400	-1.126860
-446.893100	-1.116590
-445.910200	-1.107753
-444.897300	-1.098199
-443.889800	-1.088480
-442.890000	-1.077426
-441.868200	-1.066935
-440.900000	-1.058586
-439.892900	-1.048600
-438.887100	-1.037931
-437.880500	-1.027109
-436.860800	-1.014692
-435.856800	-1.004458
-434.870400	-0.996617
-433.894100	-0.987273
-432.903700	-0.976349
-431.889300	-0.962764
-430.869900	-0.948755
-429.862400	-0.935827
-428.842900	-0.922921
-427.857400	-0.910970
-426.859900	-0.895733
-425.837000	-0.882815
-424.840200	-0.869514
-423.828200	-0.855264
-422.836500	-0.842887
-421.848200	-0.829967
-420.848700	-0.816631
-419.877500	-0.803225
-418.869200	-0.787569
-417.871800	-0.770029
-416.879200	-0.753292
-415.848500	-0.737608
-414.835200	-0.723275
-413.833800	-0.705401
-412.806000	-0.686321
-411.789900	-0.669116
-410.773200	-0.650074
-409.779800	-0.633793
-408.795600	-0.618471
-407.810500	-0.598679
-406.829700	-0.578731
-405.836800	-0.560676
-404.851500	-0.540592
-403.858100	-0.519557
-402.879800	-0.497948
-401.862200	-0.474200
-400.874400	-0.450472
-399.866800	-0.424337
-398.860700	-0.400986
-397.874000	-0.376305
-396.873200	-0.349124
-395.879900	-0.327745
-394.865000	-0.301000
-393.866500	-0.270793
-392.873300	-0.244491
-391.863100	-0.215108
-390.874200	-0.185807
-389.887300	-0.158657
-388.859600	-0.124770
-387.855000	-0.091195
-386.839000	-0.058936
-385.838000	-0.027374
-384.855100	0.003512
-383.887500	0.031601
-382.931800	0.063272
-381.958500	0.097751
-380.955000	0.136078
-379.961200	0.175081
-378.955300	0.215443
-377.932300	0.256603
-376.946600	0.290195
-375.945900	0.329983
-374.932300	0.373137
-373.923300	0.413614
-372.903100	0.459247
-371.912500	0.502298
-370.915900	0.541853
-369.924400	0.587013
-368.933800	0.634414
-367.921400	0.687246
-366.916700	0.736597
-365.919500	0.783142
-364.908500	0.838560
-363.919800	0.885587
-362.928200	0.938856
-361.902700	0.998317
-360.904900	1.046222
-359.907100	1.099786
-358.885600	1.152715
-357.915300	1.198565
-356.929500	1.251993
-355.898500	1.306747
-354.930500	1.366555
-353.913300	1.427104
-352.919600	1.480778
-351.950700	1.537951
-350.944300	1.591996
-349.962000	1.653134
-348.958500	1.726606
-347.938800	1.788678
-346.931200	1.849660
-345.933700	1.911855
-344.927400	1.965365
-343.939400	2.028031
-342.961300	2.095667
-341.947000	2.156919
-340.953900	2.226058
-339.961500	2.293401
-338.961100	2.358399
-337.969100	2.428246
-336.959600	2.496806
-335.936300	2.575151
-334.917300	2.645252
-333.908600	2.710123
-332.902500	2.776054
-331.929400	2.830635
-330.950700	2.896916
-329.973300	2.974700
-329.003600	3.042306
-328.002300	3.112964
-326.988400	3.183686
-325.991800	3.248329
-324.975300	3.326357
-323.972000	3.402328
-322.984000	3.483015
-321.978400	3.557708
-320.986600	3.623550
-319.999700	3.690978
-318.998000	3.745158
-317.989700	3.809346
-316.958100	3.889457
-315.964100	3.958949
-314.971700	4.038050
-313.969000	4.115339
-313.001900	4.177937
-311.965700	4.255982
-310.936500	4.336699
-309.929800	4.412190
-308.915400	4.483727
-307.922500	4.546485
-306.946300	4.600772
-305.947500	4.654739
-304.950300	4.713685
-303.941000	4.781967
-302.954600	4.844518
-301.989300	4.906424
-301.000300	4.978663
-300.037300	5.035128
-299.022000	5.098683
-297.990800	5.174483
-296.979100	5.235457
-295.960400	5.301740
-294.958300	5.365563
-293.973700	5.411610
-292.985000	5.462249
-291.990200	5.521857
-290.992700	5.582862
-289.987900	5.646791
-289.012000	5.703439
-287.996500	5.759185
-286.995800	5.811828
-285.988400	5.867660
-284.954300	5.942236
-283.964600	5.995638
-282.978800	6.041198
-282.003800	6.087620
-281.009900	6.117827
-280.020300	6.157053
-278.997500	6.206471
-277.988400	6.251736
-276.996100	6.299355
-275.988900	6.344653
-275.012000	6.383058
-274.019700	6.420572
-273.013800	6.460351
-271.998000	6.517249
-270.976200	6.561395
-269.965200	6.595968
-268.952000	6.634508
-267.985000	6.649927
-266.993200	6.682186
-266.002800	6.725563
-265.051900	6.750526
-264.041300	6.780699
-263.039000	6.807776
-262.016700	6.828081
-260.978400	6.858982
-259.969000	6.892854
-258.956900	6.928048
-257.960000	6.957682
-256.960800	6.975208
-255.966000	6.988634
-254.978300	6.989788
-253.998700	6.996079
-253.009200	7.025681
-252.007100	7.040851
-251.005400	7.055832
-249.991600	7.075249
-249.009400	7.068975
-248.009800	7.083629
-247.022200	7.107255
-246.033400	7.121570
-245.011200	7.138557
-244.023900	7.141741
-243.013800	7.142669
-242.011600	7.141815
-241.017400	7.141353
-239.998100	7.152334
-239.001300	7.154216
-238.005200	7.158566
-237.002200	7.173309
-236.004600	7.168311
-235.020500	7.170790
-233.997500	7.184770
-232.977800	7.182430
-231.983300	7.173801
-230.956900	7.169524
-229.977700	7.146966
-228.994900	7.134184
-228.004100	7.136996
-227.008400	7.131818
-226.007900	7.125493
-225.015400	7.112209
-224.024200	7.107344
-223.032900	7.098544
-222.023400	7.092570
-221.013400	7.101005
-219.989800	7.088890
-218.998700	7.077206
-217.976500	7.070251
-216.985100	7.037970
-215.995900	7.021726
-214.980000	7.012839
-214.004200	7.000276
-212.985300	6.996963
-211.984000	6.980353
-210.982400	6.960687
-209.970600	6.941553
-208.988600	6.928032
-207.968900	6.927359
-206.959600	6.906536
-205.970900	6.879497
-204.965900	6.855973
-203.987300	6.817796
-203.000900	6.795300
-202.012200	6.782152
-201.016400	6.751396
-200.030100	6.731527
-199.027300	6.714148
-198.034500	6.686210
-197.044200	6.669003
-196.046700	6.650356
-195.038800	6.637727
-193.999700	6.620644
-193.006200	6.594405
-191.989700	6.567366
-190.984100	6.528488
-190.022100	6.502104
-189.000700	6.493314
-188.014600	6.468369
-187.048200	6.442253
-186.032900	6.419404
-185.043700	6.382144
-184.020600	6.361365
-183.004300	6.349016
-182.004900	6.318600
-181.016100	6.287049
-180.017100	6.254594
-179.046900	6.216566
-178.055400	6.184888
-177.062600	6.154225
-176.085800	6.129751
-175.070300	6.099880
-174.088000	6.070706
-173.065300	6.047808
-172.072900	6.009302
-171.078000	5.980138
-170.063700	5.959046
-169.078300	5.924384
-168.065400	5.895947
-167.049900	5.858545
-166.056100	5.814152
-165.040100	5.780849
-164.059600	5.750860
-163.075100	5.723971
-162.083600	5.695180
-161.113100	5.661078
-160.097200	5.629654
-159.096300	5.594765
-158.086700	5.563066
-157.052800	5.539226
-156.049700	5.498070
-155.050300	5.458914
-154.030100	5.423496
-153.071700	5.373208
-152.055600	5.337551
-151.059300	5.305214
-150.079400	5.266084
-149.058000	5.233967
-148.083100	5.196003
-147.059900	5.156775
-146.055700	5.122068
-145.067700	5.085208
-144.061700	5.060216
-143.105700	5.026850
-142.093100	4.988605
-141.098800	4.955810
-140.113400	4.910573
-139.100200	4.876094
-138.116500	4.845656
-137.105200	4.806410
-136.087800	4.773794
-135.078200	4.739952
-134.074200	4.701805
-133.071500	4.671464
-132.064900	4.639504
-131.042000	4.608555
-130.057900	4.575445
-129.067300	4.540751
-128.085900	4.508457
-127.105500	4.471611
-126.093500	4.442155
-125.064500	4.414102
-124.071900	4.378081
-123.069200	4.346493
-122.089500	4.317240
-121.111200	4.281264
-120.098900	4.255280
-119.096200	4.229681
-118.075400	4.200164
-117.065600	4.175801
-116.069600	4.149021
-115.086400	4.117562
-114.089800	4.088534
