Potencial	Intensidad
mv	uA
-600.096400	-3.658550
-599.855000	-3.645526
-599.347300	-3.626410
-598.605800	-3.601692
-597.597700	-3.571380
-596.599500	-3.550109
-595.610000	-3.529948
-594.614100	-3.512444
-593.617900	-3.495775
-592.596700	-3.478635
-591.598400	-3.462697
-590.586500	-3.445685
-589.579500	-3.428277
-588.590000	-3.412414
-587.604400	-3.394978
-586.612800	-3.377480
-585.641200	-3.360666
-584.654000	-3.343560
-583.648700	-3.328747
-582.654200	-3.314063
-581.646200	-3.299861
-580.644200	-3.285439
-579.622900	-3.270040
-578.622900	-3.255092
-577.622300	-3.239784
-576.629900	-3.223858
-575.654700	-3.207713
-574.660300	-3.191144
-573.655800	-3.174306
-572.667400	-3.159507
-571.646100	-3.145176
-570.649400	-3.131231
-569.661400	-3.118390
-568.627100	-3.103969
-567.629400	-3.088976
-566.615800	-3.074408
-565.599600	-3.058803
-564.610400	-3.044033
-563.616500	-3.028923
-562.628200	-3.013475
-561.635700	-2.998313
-560.635600	-2.982439
-559.644200	-2.967157
-558.643100	-2.953289
-557.655200	-2.938769
-556.670900	-2.925065
-555.688400	-2.910480
-554.678600	-2.893208
-553.654400	-2.877371
-552.637500	-2.860546
-551.618300	-2.844315
-550.619200	-2.829254
-549.634700	-2.813203
-548.658100	-2.797583
-547.661200	-2.781128
-546.673400	-2.764790
-545.667600	-2.749241
-544.664600	-2.733155
-543.656900	-2.718350
-542.643300	-2.702892
-541.620700	-2.686041
-540.604600	-2.670376
-539.612600	-2.654645
-538.622500	-2.638709
-537.659900	-2.623414
-536.662800	-2.607017
-535.673300	-2.589561
-534.660900	-2.572582
-533.653300	-2.556242
-532.661000	-2.540900
-531.666600	-2.525376
-530.676800	-2.509837
-529.682000	-2.493424
-528.687100	-2.475419
-527.683300	-2.458596
-526.679400	-2.441369
-525.666700	-2.423431
-524.677000	-2.406234
-523.673300	-2.387740
-522.656200	-2.368890
-521.661300	-2.351802
-520.657000	-2.334771
-519.648000	-2.318220
-518.654500	-2.302113
-517.657100	-2.284558
-516.637700	-2.266423
-515.623800	-2.247872
-514.637100	-2.229681
-513.618000	-2.211290
-512.611200	-2.192756
-511.615600	-2.175152
-510.616100	-2.157484
-509.615700	-2.139481
-508.626100	-2.123189
-507.643600	-2.106062
-506.646600	-2.088681
-505.671100	-2.072505
-504.663900	-2.054026
-503.666500	-2.035854
-502.659900	-2.017536
-501.658100	-1.998616
-500.661100	-1.980982
-499.664900	-1.964316
-498.669300	-1.946301
-497.660100	-1.928703
-496.653300	-1.909931
-495.652300	-1.891504
-494.676400	-1.874601
-493.674500	-1.855842
-492.694200	-1.838447
-491.680800	-1.819677
-490.658400	-1.799339
-489.679500	-1.782753
-488.679100	-1.765309
-487.688100	-1.747710
-486.701600	-1.732077
-485.682900	-1.712562
-484.692500	-1.694261
-483.689100	-1.675373
-482.694600	-1.656901
-481.715600	-1.640291
-480.708800	-1.622867
-479.730100	-1.606129
-478.704300	-1.587733
-477.677200	-1.567379
-476.666200	-1.548189
-475.628400	-1.529400
-474.633700	-1.510726
-473.656500	-1.494284
-472.667900	-1.475159
-471.695500	-1.455167
-470.694500	-1.436329
-469.692500	-1.416578
-468.692300	-1.399035
-467.688200	-1.381785
-466.693400	-1.363497
-465.714200	-1.344493
-464.703400	-1.324353
-463.685700	-1.305144
-462.694500	-1.285866
-461.669400	-1.265743
-460.663600	-1.246715
-459.668700	-1.226211
-458.665900	-1.205778
-457.668400	-1.187538
-456.679700	-1.167504
-455.687300	-1.146917
-454.709800	-1.125919
-453.712600	-1.101817
-452.720000	-1.078368
-451.695100	-1.054123
-450.666400	-1.030569
-449.653100	-1.008340
-448.649700	-0.985646
-447.685200	-0.963223
-446.681400	-0.938657
-445.685500	-0.912185
-444.682300	-0.887807
-443.663100	-0.862885
-442.671100	-0.837267
-441.679700	-0.813304
