Potencial	Intensidad
mv	uA
-599.479400	-10.154520
-599.231400	-10.134110
-598.724100	-10.103500
-597.968400	-10.063650
-596.960000	-10.007810
-595.988500	-9.958740
-595.008100	-9.912690
-594.020900	-9.866480
-593.034700	-9.826008
-592.004300	-9.788067
-591.000500	-9.746610
-590.001500	-9.710564
-589.006800	-9.683477
-588.009600	-9.662632
-587.015300	-9.644786
-586.016100	-9.630987
-585.024800	-9.634338
-584.042800	-9.669407
-583.043700	-9.703743
-582.051800	-9.680712
-581.039400	-9.630314
-580.046300	-9.558113
-579.040500	-9.483714
-578.023900	-9.484131
-577.031600	-9.472862
-576.026200	-9.441452
-575.037600	-9.420984
-574.055500	-9.356996
-573.050000	-9.318886
-572.041600	-9.281989
-571.019700	-9.230138
-570.011700	-9.231653
-568.992700	-9.204337
-568.004600	-9.172355
-567.010300	-9.140940
-566.008700	-9.071215
-565.019500	-9.035689
-563.996100	-9.015470
-562.987300	-9.006587
-561.990200	-8.977676
-560.988100	-8.930587
-559.990300	-8.887501
-559.006300	-8.838367
-558.004400	-8.819969
-557.010200	-8.797615
-556.013500	-8.771935
-555.016500	-8.736502
-554.014500	-8.693957
-553.015900	-8.660248
-552.023700	-8.614811
-551.021100	-8.593544
-550.024800	-8.571007
-549.021000	-8.544318
-548.029900	-8.512906
-547.022000	-8.465647
-546.018400	-8.429722
-545.022000	-8.392146
-544.010200	-8.378681
-543.019700	-8.362672
-542.014200	-8.325579
-540.992000	-8.294062
-539.977800	-8.250454
-538.957000	-8.215366
-537.942100	-8.191017
-536.969400	-8.169536
-535.980700	-8.146402
-535.007700	-8.112947
-534.028200	-8.080320
-533.030800	-8.040799
-532.052600	-8.006858
-531.049900	-7.986369
-530.066800	-7.964663
-529.068900	-7.940114
-528.032000	-7.905161
-527.016800	-7.871122
-525.991800	-7.840888
-524.977300	-7.813882
-524.003700	-7.799711
-523.017100	-7.776179
-522.015400	-7.743930
-520.997300	-7.715617
-519.987900	-7.686082
-518.964100	-7.656878
-517.973500	-7.637669
-516.993400	-7.620038
-515.981100	-7.592545
-514.995700	-7.564142
-513.984600	-7.535854
-512.968500	-7.503877
-511.976200	-7.479959
-510.961900	-7.461546
-509.985300	-7.438350
-508.993400	-7.411343
-507.976200	-7.384474
-506.990500	-7.360189
-505.975300	-7.337034
-504.989600	-7.319450
-504.013500	-7.301388
-503.022600	-7.278995
-502.011300	-7.252454
-501.007200	-7.226416
-500.008400	-7.203792
-499.015200	-7.178791
-498.040500	-7.162323
-497.040000	-7.146029
-496.029500	-7.117025
-495.013300	-7.094806
-494.005300	-7.072052
-493.002200	-7.049148
-492.015400	-7.035078
-491.012600	-7.016797
-489.989300	-6.997540
-488.989200	-6.973680
-487.967500	-6.952423
-486.971100	-6.934577
-485.992300	-6.912387
-484.977900	-6.898155
-483.991200	-6.878554
-483.005700	-6.856151
-482.006400	-6.836730
-481.025800	-6.815162
-480.012800	-6.801349
-478.989500	-6.785129
-477.988400	-6.771081
-476.970200	-6.754473
-476.007800	-6.732384
-475.024400	-6.713517
-474.029800	-6.694344
-473.036900	-6.678191
-472.006100	-6.660971
-471.006600	-6.644546
-470.000900	-6.627230
-469.013100	-6.605301
-468.013500	-6.589482
-467.011000	-6.572360
-465.994200	-6.555218
-464.977200	-6.542362
-463.943100	-6.521737
-462.928300	-6.504494
-461.967700	-6.485504
-460.977000	-6.466632
-460.013200	-6.453690
-459.023200	-6.435022
-458.003100	-6.420015
-457.007400	-6.403658
-456.005700	-6.384930
-455.001200	-6.372099
-453.992400	-6.355973
-452.985000	-6.341520
-452.001400	-6.325395
-450.997800	-6.307716
-449.997900	-6.290022
-448.996400	-6.270344
-447.968300	-6.256697
-446.965200	-6.240404
-445.968900	-6.224718
-444.976500	-6.210187
-443.968000	-6.191883
-442.968800	-6.176585
-441.975600	-6.160947
-440.974600	-6.146698
-439.990000	-6.132307
-438.961300	-6.114774
-437.946200	-6.100835
-436.940500	-6.083351
-435.947200	-6.066944
-434.985600	-6.052326
-433.988100	-6.034931
-432.998500	-6.019029
-431.989400	-6.002666
-430.998000	-5.989594
-430.004600	-5.973546
-428.998100	-5.957419
-428.021700	-5.945789
-427.017100	-5.925002
-426.016600	-5.909872
-425.000200	-5.897223
-423.976700	-5.877385
-422.979400	-5.864586
-421.971100	-5.849494
-420.981600	-5.835686
-419.967900	-5.820956
-418.948900	-5.806070
-417.943900	-5.793014
-416.940400	-5.773482
-415.953500	-5.759537
-414.946800	-5.743896
-413.945300	-5.726836
-412.914500	-5.712278
-411.911400	-5.695129
-410.910400	-5.681973
-409.905300	-5.665994
-408.942900	-5.649694
-407.930500	-5.637208
-406.939000	-5.618482
-405.941400	-5.604880
-404.938400	-5.591638
-403.952100	-5.575928
-402.949500	-5.563532
-401.956400	-5.546287
-400.944200	-5.533113
-399.929300	-5.514767
-398.925000	-5.498708
-397.929000	-5.486282
-396.915300	-5.467217
-395.932300	-5.455549
-394.931200	-5.439197
-393.937400	-5.422300
-392.942000	-5.411104
-391.947400	-5.393580
-390.959100	-5.381829
-389.948000	-5.367939
-388.964800	-5.350938
-387.958900	-5.338390
-386.945400	-5.320437
-385.950100	-5.307835
-384.970300	-5.293321
-383.971800	-5.277705
-382.977700	-5.263685
-381.971700	-5.244993
-380.944400	-5.231278
-379.963200	-5.215794
-378.975300	-5.202148
-377.981900	-5.189072
-377.003800	-5.171476
-375.991000	-5.159785
-374.971200	-5.143592
-373.975700	-5.128981
-372.957500	-5.116663
-371.966300	-5.098392
-370.972700	-5.084937
-369.983900	-5.067400
-368.978300	-5.052413
-367.960600	-5.038462
-366.953600	-5.022162
-365.935200	-5.011847
-364.957600	-4.995427
-363.965000	-4.980509
-362.970900	-4.965950
-361.947900	-4.945623
-360.928200	-4.932298
-359.906500	-4.915902
-358.891300	-4.900542
-357.911700	-4.889444
-356.923500	-4.871638
-355.933200	-4.859581
-354.943700	-4.845562
-353.956000	-4.828442
-352.950700	-4.816906
-351.961800	-4.799903
-350.979900	-4.784028
-349.976400	-4.768755
-348.955800	-4.749421
-347.949000	-4.734546
-346.940500	-4.718903
-345.938300	-4.702410
-344.969800	-4.686704
-343.975400	-4.671098
-342.955000	-4.654674
-341.958900	-4.639685
-340.946800	-4.627898
-339.941600	-4.611949
-338.970000	-4.597251
-337.956600	-4.583246
-336.952900	-4.565931
-335.944700	-4.550172
-334.949300	-4.535557
-333.974700	-4.519705
-332.981600	-4.501257
-332.015200	-4.485712
-331.008000	-4.468623
-329.983800	-4.450975
-328.989300	-4.438782
-327.983500	-4.421279
-326.994600	-4.406088
-326.010500	-4.391828
-325.007900	-4.371860
-324.002800	-4.357526
-322.984300	-4.337343
-321.972200	-4.319039
-320.961800	-4.305020
-319.946000	-4.285552
-318.953500	-4.271872
-317.955100	-4.253749
-316.947500	-4.234889
-315.938300	-4.220807
-314.937100	-4.201161
-313.922100	-4.185105
-312.929300	-4.167273
-311.915400	-4.146922
-310.895300	-4.127758
-309.901400	-4.105968
-308.898600	-4.088674
-307.922500	-4.069110
-306.923300	-4.050969
-305.925700	-4.034290
-304.936700	-4.012491
-303.929800	-3.994725
-302.940000	-3.977061
-301.934400	-3.957800
-300.912000	-3.938511
-299.931100	-3.917069
-298.922000	-3.896227
-297.925000	-3.872598
-296.950600	-3.853317
-295.929400	-3.832049
-294.951600	-3.806226
-293.952700	-3.786768
-292.936900	-3.760511
-291.945800	-3.737875
-290.931100	-3.718074
-289.936200	-3.694464
-288.941600	-3.675075
-287.942800	-3.650640
-286.959800	-3.627824
-285.938800	-3.605114
-284.917500	-3.575116
-283.903800	-3.553085
-282.897800	-3.524513
-281.908900	-3.496507
-280.948700	-3.475530
-279.956400	-3.446159
-278.947300	-3.421561
-277.977300	-3.395854
-276.989000	-3.367006
-275.997800	-3.340369
-275.010000	-3.308483
-273.991400	-3.279851
-272.964800	-3.246932
-271.951600	-3.210943
-270.940900	-3.182120
-269.940500	-3.148016
-268.933500	-3.116080
-267.948300	-3.088739
-266.947800	-3.055705
-265.935300	-3.019864
-264.945700	-2.985299
-263.944000	-2.950245
-262.943100	-2.910220
-261.950500	-2.872661
-260.932000	-2.830550
-259.910100	-2.785087
-258.896100	-2.744972
-257.889600	-2.703675
-256.900000	-2.666342
-255.899700	-2.626050
-254.916100	-2.584165
-253.933800	-2.543433
-252.924100	-2.494484
-251.926100	-2.450448
-250.918800	-2.402767
-249.909200	-2.350217
-248.913000	-2.306123
-247.929300	-2.252250
-246.920000	-2.201939
-245.923100	-2.150916
-244.924000	-2.091843
-243.922900	-2.040193
-242.937800	-1.982866
-241.950400	-1.927574
-240.957100	-1.871116
-239.958800	-1.807530
-238.947800	-1.749854
-237.930100	-1.685577
-236.934000	-1.622776
-235.941500	-1.564843
-234.957800	-1.496134
-233.938200	-1.428396
-232.939300	-1.358441
-231.928800	-1.285563
-230.917900	-1.214766
-229.944200	-1.146252
-228.935500	-1.075156
-227.936500	-1.000513
-226.935500	-0.928148
-225.938000	-0.851494
-224.954000	-0.774037
-223.964700	-0.695785
-222.988200	-0.611152
-221.997300	-0.523954
-220.977600	-0.430902
-219.970700	-0.344616
-218.958900	-0.260610
-217.945600	-0.173969
-216.959400	-0.099516
-215.954000	-0.011510
-214.923800	0.082708
-213.901700	0.170557
-212.882200	0.271878
-211.867200	0.368852
-210.883700	0.466003
-209.898600	0.566702
-208.896300	0.665328
-207.884800	0.769902
-206.880400	0.860700
-205.855500	0.952274
-204.847600	1.050697
-203.882900	1.132462
-202.893000	1.232056
-201.897000	1.339175
-200.915100	1.434144
-199.883600	1.541533
-198.887300	1.643196
-197.904700	1.739695
-196.912200	1.839255
-195.928300	1.939648
-194.920900	2.048232
-193.911500	2.147699
-192.894100	2.250576
-191.899400	2.353510
-190.918600	2.444501
-189.930900	2.544527
-188.934900	2.649185
-187.926800	2.743806
-186.924900	2.838652
-185.938400	2.934406
-184.945900	3.021539
-183.943900	3.116957
-182.929100	3.220307
-181.915100	3.318141
-180.899900	3.413509
-179.924600	3.501126
-178.913600	3.581389
-177.924400	3.660149
-176.952100	3.736290
-175.944000	3.821475
-174.962300	3.898864
-173.960100	3.974176
-172.949500	4.060397
-171.931100	4.132139
-170.928400	4.210757
-169.899100	4.293109
-168.899300	4.360215
-167.908300	4.426907
-166.918000	4.485338
-165.932200	4.535899
-164.930600	4.590568
-163.939600	4.645240
-162.930800	4.704889
-161.922800	4.760240
-160.914300	4.811754
-159.917800	4.865126
-158.913200	4.906129
-157.943300	4.951256
-156.936100	4.996654
-155.922500	5.026820
-154.910400	5.058530
-153.898100	5.082853
-152.905800	5.099411
-151.903900	5.125875
-150.909300	5.152414
-149.897500	5.174529
-148.914900	5.193809
-147.900300	5.207389
-146.911700	5.212869
-145.906500	5.220527
-144.890300	5.231286
-143.900000	5.244156
-142.898300	5.254556
-141.926000	5.258328
-140.914100	5.259356
-139.935000	5.249799
-138.925500	5.242978
-137.905700	5.240693
-136.938900	5.226260
-135.918200	5.217920
-134.918800	5.209222
-133.919500	5.192486
-132.905100	5.187331
-131.909100	5.178405
-130.901000	5.165563
-129.909500	5.151858
-128.912800	5.126173
-127.929500	5.102622
-126.939500	5.074332
-125.931900	5.047440
-124.924000	5.031049
-123.909100	5.002360
-122.923400	4.979587
-121.930100	4.959705
-120.933700	4.928239
-119.936800	4.908184
-118.923300	4.883752
-117.917600	4.858151
-116.912700	4.832729
-115.919100	4.801317
-114.918400	4.773800
-113.920200	4.740180
-112.937200	4.711938
-111.921000	4.690282
-110.918600	4.659550
-109.910800	4.634034
-108.876500	4.605213
-107.876900	4.572140
-106.862400	4.545561
-105.859900	4.518060
-104.847400	4.490331
-103.839100	4.460429
-102.846700	4.431688
-101.840100	4.401003
-100.858900	4.369943
-99.865440	4.344804
-98.861870	4.316526
-97.870120	4.288401
-96.868910	4.259366
-95.858170	4.229629
-94.851550	4.204395
-93.855520	4.179538
-92.860600	4.158340
-91.878020	4.134904
-90.885460	4.105135
-89.863450	4.080602
-88.869080	4.051364
-87.871540	4.026196
-86.863880	4.005507
-85.878810	3.979164
-84.869400	3.959404
-83.858150	3.935302
-82.861040	3.913316
-81.851060	3.894964
-80.853680	3.871545
-79.841200	3.855257
-78.827930	3.832234
-77.835980	3.810535
-76.836210	3.792022
-75.849610	3.766477
-74.875030	3.750123
-73.866850	3.731332
-72.881680	3.711368
-71.863310	3.699091
-70.879770	3.680899
-69.922210	3.666255
-68.897600	3.651147
-67.897800	3.632802
-66.874790	3.618766
-65.839120	3.600385
-64.856640	3.585551
-63.869450	3.570534
-62.891390	3.554419
-61.894610	3.543082
-60.874820	3.529279
-59.875230	3.518712
-58.857150	3.506439
-57.857540	3.493512
-56.870660	3.483146
-55.871130	3.469571
-54.857000	3.460484
-53.828600	3.447761
-52.826010	3.433674
-51.832840	3.423813
-50.836510	3.409960
-49.861210	3.401204
-48.855460	3.392949
-47.849850	3.382410
-46.856950	3.373672
-45.861800	3.362798
-44.868140	3.355406
-43.864940	3.349496
-42.864890	3.341507
-41.864200	3.335726
-40.834680	3.326116
-39.825140	3.314569
-38.816040	3.309084
-37.809760	3.299512
-36.829770	3.292647
-35.824810	3.287724
-34.830070	3.278770
-33.834340	3.275353
-32.831610	3.269745
-31.839490	3.264516
-30.833320	3.261140
-29.823730	3.253105
-28.799010	3.249537
-27.808250	3.243653
-26.832230	3.235714
-25.833850	3.233832
-24.873310	3.226585
-23.867890	3.221450
-22.853560	3.220637
-21.864470	3.215193
-20.862700	3.213221
-19.872560	3.211813
-18.881710	3.207785
-17.866790	3.206436
-16.857500	3.203955
-15.842880	3.201768
-14.820830	3.199184
-13.838360	3.195640
-12.842350	3.195656
-11.851420	3.192686
-10.875220	3.192084
-9.876513	3.193115
-8.871726	3.189681
-7.861706	3.190188
-6.835566	3.190251
-5.819679	3.188504
-4.819928	3.188539
-3.800236	3.185740
-2.815657	3.181741
-1.844190	3.179878
-0.874967	3.177146
0.086729	3.178917
1.077140	3.179128
2.073518	3.178932
3.076891	3.182397
4.067901	3.178404
5.057016	3.181206
6.051981	3.184016
7.059426	3.181310
8.045517	3.185742
9.052546	3.183313
10.054960	3.182509
11.044320	3.184549
12.048710	3.182164
13.020570	3.184445
14.005320	3.183518
14.994680	3.183275
16.016380	3.188320
17.031090	3.188368
18.045930	3.191570
19.065960	3.195498
20.042240	3.192127
21.055540	3.195522
22.083660	3.196487
23.074980	3.193910
24.087660	3.199687
25.080930	3.198942
26.053660	3.199713
27.054740	3.204466
28.031490	3.202922
29.016690	3.209989
29.993720	3.211801
30.984080	3.211081
31.986870	3.215686
33.000920	3.212272
34.000630	3.215754
35.024410	3.221116
36.033580	3.221607
37.027040	3.228376
38.041230	3.229780
39.008820	3.232197
39.994470	3.234991
40.992340	3.234256
42.005500	3.237671
43.030080	3.238291
44.037540	3.240201
45.044250	3.244753
46.043590	3.245708
47.036670	3.249746
48.049920	3.255297
49.056800	3.253672
50.045180	3.258772
51.036460	3.260736
52.030260	3.259499
53.012680	3.265699
54.028280	3.265573
55.031990	3.267706
56.034320	3.274991
57.039980	3.274822
58.029750	3.278731
59.034450	3.280857
60.033980	3.279675
61.054160	3.286117
62.061500	3.286097
63.065660	3.287595
64.068950	3.291823
65.056950	3.289339
66.038990	3.294850
67.032850	3.299390
68.017590	3.301648
69.011000	3.309274
70.022690	3.309229
71.020240	3.310357
72.023500	3.313066
73.045270	3.310861
74.058690	3.315283
75.063480	3.316080
76.051070	3.316410
77.010700	3.320751
78.012300	3.320275
78.991960	3.325500
80.033120	3.328795
81.064010	3.328857
82.042160	3.333161
83.048480	3.331325
84.010010	3.331769
85.011020	3.334564
86.020160	3.332652
