Vf	Im
V vs. Ref.	A
-5.97887E-001	-3.67725E-006
-5.95883E-001	-3.63104E-006
-5.93879E-001	-3.59219E-006
-5.91869E-001	-3.55777E-006
-5.89873E-001	-3.52704E-006
-5.87871E-001	-3.49415E-006
-5.85878E-001	-3.47396E-006
-5.83874E-001	-3.44746E-006
-5.81875E-001	-3.42318E-006
-5.79875E-001	-3.40139E-006
-5.77870E-001	-3.37884E-006
-5.75860E-001	-3.36712E-006
-5.73879E-001	-3.33985E-006
-5.71868E-001	-3.32341E-006
-5.69871E-001	-3.29836E-006
-5.67875E-001	-3.28469E-006
-5.65858E-001	-3.26693E-006
-5.63859E-001	-3.25014E-006
-5.61853E-001	-3.23058E-006
-5.59855E-001	-3.21406E-006
-5.57857E-001	-3.19596E-006
-5.55871E-001	-3.18916E-006
-5.53862E-001	-3.17015E-006
-5.51876E-001	-3.15794E-006
-5.49838E-001	-3.13469E-006
-5.47858E-001	-3.12658E-006
-5.45851E-001	-3.11478E-006
-5.43848E-001	-3.10188E-006
-5.41864E-001	-3.08432E-006
-5.39850E-001	-3.07253E-006
-5.37834E-001	-3.05699E-006
-5.35836E-001	-3.04145E-006
-5.33838E-001	-3.02806E-006
-5.31848E-001	-3.00801E-006
-5.29845E-001	-2.99253E-006
-5.27863E-001	-2.98754E-006
-5.25850E-001	-2.97068E-006
-5.23825E-001	-2.95673E-006
-5.21827E-001	-2.93738E-006
-5.19845E-001	-2.92260E-006
-5.17844E-001	-2.91504E-006
-5.15848E-001	-2.90303E-006
-5.13816E-001	-2.88687E-006
-5.11815E-001	-2.87098E-006
-5.09828E-001	-2.86654E-006
-5.07827E-001	-2.84961E-006
-5.05820E-001	-2.84302E-006
-5.03831E-001	-2.82852E-006
-5.01841E-001	-2.81950E-006
-4.99840E-001	-2.81263E-006
-4.97804E-001	-2.79515E-006
-4.95818E-001	-2.78661E-006
-4.93837E-001	-2.77413E-006
-4.91836E-001	-2.76046E-006
-4.89828E-001	-2.74797E-006
-4.87818E-001	-2.74332E-006
-4.85805E-001	-2.73326E-006
-4.83824E-001	-2.71904E-006
-4.81800E-001	-2.70447E-006
-4.79812E-001	-2.69483E-006
-4.77820E-001	-2.68671E-006
-4.75820E-001	-2.67783E-006
-4.73818E-001	-2.66749E-006
-4.71808E-001	-2.65132E-006
-4.69816E-001	-2.64293E-006
-4.67816E-001	-2.63363E-006
-4.65810E-001	-2.62357E-006
-4.63815E-001	-2.61233E-006
-4.61798E-001	-2.60505E-006
-4.59798E-001	-2.58916E-006
-4.57796E-001	-2.58652E-006
-4.55802E-001	-2.57549E-006
-4.53808E-001	-2.57202E-006
-4.51813E-001	-2.56050E-006
-4.49807E-001	-2.54725E-006
-4.47774E-001	-2.53574E-006
-4.45794E-001	-2.53026E-006
-4.43795E-001	-2.51881E-006
-4.41802E-001	-2.51298E-006
-4.39797E-001	-2.50403E-006
-4.37791E-001	-2.49078E-006
-4.35793E-001	-2.48467E-006
-4.33785E-001	-2.47267E-006
-4.31796E-001	-2.46670E-006
-4.29791E-001	-2.45248E-006
-4.27790E-001	-2.44554E-006
-4.25793E-001	-2.43298E-006
-4.23791E-001	-2.42299E-006
-4.21775E-001	-2.41370E-006
-4.19778E-001	-2.40385E-006
-4.17781E-001	-2.39635E-006
-4.15779E-001	-2.38706E-006
-4.13788E-001	-2.37415E-006
-4.11794E-001	-2.36173E-006
-4.09779E-001	-2.35736E-006
-4.07782E-001	-2.34577E-006
-4.05779E-001	-2.33301E-006
-4.03786E-001	-2.32295E-006
-4.01787E-001	-2.31774E-006
-3.99787E-001	-2.30505E-006
-3.97789E-001	-2.29575E-006
-3.95774E-001	-2.29069E-006
-3.93776E-001	-2.28229E-006
-3.91781E-001	-2.27147E-006
