r_ads	pob_ads	R_des	pob_des
90.80574942	0.00011457	90.80574942	-0.000308687
60.80018334	4.51685E-06	60.80018334	0.00014997
45.78530275	-0.000105537	45.78530275	0.000608627
36.76705602	-0.00021605	36.76705602	0.001069587
30.74741635	-0.00026746	30.74741635	0.001324241
26.44150709	-0.000319702	26.44150709	0.001583066
23.20688303	-0.00037268	23.20688303	0.001845592
20.68662416	-0.000426287	20.68662416	0.002111282
18.66657323	-0.000480414	18.66657323	0.002379603
17.01044364	-0.000534959	17.01044364	0.002650043
15.62737346	-0.000589825	15.62737346	0.002922123
14.45445448	-0.000644923	14.45445448	0.003195397
13.44674881	-0.000700169	13.44674881	0.003469454
12.57129887	-0.000755489	12.57129887	0.003743921
11.80338359	-0.000810814	11.80338359	0.004018458
11.12409598	-0.000866083	11.12409598	0.004292757
10.51872815	-0.000921241	10.51872815	0.004566543
9.975666364	-0.000976238	9.975666364	0.004839572
9.485617538	-0.001031031	9.485617538	0.005111627
9.041056753	-0.001085583	9.041056753	0.005382515
8.635825451	-0.001139858	8.635825451	0.005652071
8.264834436	-0.00119383	8.264834436	0.005920149
7.923841139	0.000450971	7.923841139	0.008441149
7.609280327	0.003582523	7.609280327	0.011279886
7.318133884	0.006828704	7.318133884	0.014209268
7.047829527	0.010188439	7.047829527	0.017228341
6.796161231	0.013660645	6.796161231	0.020336163
6.561226108	0.015545792	6.561226108	0.021277271
6.341373916	0.016054833	6.341373916	0.021985821
6.13516634	0.016558819	6.13516634	0.022687896
5.941343906	0.017057755	5.941343906	0.023383466
5.75879891	0.017540393	5.75879891	0.021926568
5.586553123	0.018005117	5.586553123	0.019488104
5.423739322	0.018464263	5.423739322	0.016967746
5.269585892	0.018917863	5.269585892	0.014366354
5.123403934	0.01936595	5.123403934	0.01168478
4.984576396	0.019819814	4.984576396	0.011069814
4.852548887	0.020343123	4.852548887	0.011388541
4.726821865	0.01981539	4.726821865	0.01263793
4.492506276	0.019153562	4.492506276	0.01464993
4.278499374	0.018523027	4.278499374	0.016763385
