%HR ads	n Ads	e Ads	V ads	%HR des	n des	e des	V des
0.001615	1.2441	207.571	2.214296376	0.979889	1.3728	207.861	38.15034817
0.00158	1.2451	207.611	2.504903769	0.943443	1.3726	207.6	38.09683325
0.036948	1.25	207.583	3.926359367	0.885679	1.3724	207.18	38.04331099
0.091635	1.2548	207.564	5.314736099	0.834797	1.3721	206.854	37.96301385
0.156299	1.26	207.608	6.814250661	0.788686	1.3715	206.6	37.8023701
0.217907	1.2647	207.623	8.16548771	0.744954	1.3712	206.204	37.72202347
0.270237	1.2686	207.603	9.283767922	0.704335	1.3708	205.846	37.61486898
0.317704	1.2717	207.681	10.17073841	0.663772	1.3688	205.44	37.07865673
0.361582	1.2743	207.667	10.9133362	0.625013	1.3569	205.146	33.87304916
0.404345	1.2768	207.587	11.62624125	0.582522	1.3217	205.304	24.23961572
0.446508	1.2798	207.269	12.48026114	0.542755	1.2948	205.899	16.72628373
0.486963	1.2831	206.765	13.41783275	0.49871	1.2881	206.24	14.83469524
0.529305	1.2861	206.558	14.26848583	0.459387	1.2827	206.697	13.30429105
0.568402	1.289	206.446	15.08925627	0.419631	1.2767	207.554	11.59774636
0.605252	1.2923	206.316	16.0214071	0.378315	1.2717	207.766	10.17073841
0.643725	1.2964	206.236	17.17681678	0.336321	1.2684	207.813	9.226485615
0.681571	1.302	206.114	18.7500632	0.294217	1.2654	207.794	8.366402508
0.724414	1.3239	206.029	24.84830644	0.251633	1.262	207.76	7.389720923
0.761414	1.3553	206.139	33.44006716	0.207257	1.2585	207.768	6.382186001
0.79541	1.3665	206.52	36.46110667	0.159878	1.2555	207.75	5.516870406
0.837411	1.3717	207.024	37.85592535	0.111036	1.2516	207.723	4.389599787
0.879557	1.373	207.293	38.20385576	0.058295	1.2467	207.716	2.969513173
0.922474	1.3727	207.633	38.12359162	0.005561	1.2407	207.81	1.224929787
0.975292	1.3733	207.751	38.2841034	0.001572	1.2366	207.865	0.029200522
0.979889	1.3728	207.861	38.15034817	0.001559	1.2365	207.889	0
